Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.028464,0.89137,-0.014174,0.452159,-4.714002,85.715927,17.324791,-0.014535,0.887317,0.056939,0.457401,-4.253587,92.944923,17.328205,0.0045,0.888061,0.02329,0.459113,-5.401655,107.584236,18.621727,0.075968,0.940943,-0.058444,0.324715,-5.627506,124.427986,19.388927,0.048838,0.982171,-0.041429,0.176744,-2.086412,137.587173,17.176405,0.061537,0.824274,0.118405,0.550242,-8.098557,118.825127,16.526154,0.075976,-0.613149,0.043718,-0.785089,-14.852818,122.870911,0.944732,0.031824,0.349195,-0.303396,-0.886003,-9.849011,119.556252,-18.640554,0.29728,0.422284,-0.298931,-0.802459,3.20131,132.328613,-4.964286,-0.134737,0.923179,0.057807,0.35531,-4.012306,118.617584,22.285658,0.349538,0.899975,0.227088,-0.127664,8.403593,122.243431,34.010323,0.14607,0.214087,0.467454,-0.845173,23.214802,110.543396,26.051321,0.216881,0.033531,0.647176,-0.73007,13.626564,125.345909,15.911076,0.062928,0.869544,0.125006,0.47361,-9.921328,86.050949,10.196962,0.109231,0.946715,-0.009803,0.302825,-9.599445,51.576591,0.25813,-0.006547,0.904738,-0.005254,0.425886,-19.303932,7.06124,-1.9128,-0.104255,0.860012,-0.078665,0.493277,0.493323,85.380905,24.452618,-0.041016,0.814358,-0.091709,0.571602,4.142791,50.725067,32.997726,-0.01706,0.837834,0.018846,0.545332,2.407709,6.03323,41.949528,-0.006547,0.904738,-0.005254,0.425886,-9.049402,1.268055,-10.269276,-0.01706,0.837834,0.018846,0.545332,14.789671,0.963734,36.514988
1,0.008333,0.028623,0.891352,-0.014226,0.452184,-4.728006,85.709557,17.312916,-0.014313,0.887375,0.057115,0.457274,-4.265189,92.938393,17.316719,0.004525,0.888159,0.022924,0.458943,-5.409161,107.571205,18.617458,0.075592,0.94112,-0.057922,0.324383,-5.62845,124.41552,19.37414,0.048041,0.982342,-0.041022,0.176107,-2.10252,137.580154,17.169779,0.060345,0.823888,0.118318,0.55097,-8.102718,118.811775,16.515875,0.079221,-0.612811,0.043551,-0.785042,-14.834052,122.823784,0.915807,0.0332,0.348481,-0.306709,-0.885092,-9.812656,119.434181,-18.652149,0.298702,0.422318,-0.301659,-0.800891,3.168044,132.348465,-5.043419,-0.134343,0.923303,0.058173,0.355076,-4.014259,118.606339,22.27389,0.350936,0.898984,0.228147,-0.128923,8.411151,122.215988,33.993484,0.146563,0.21283,0.468421,-0.84487,23.169006,110.495972,25.965065,0.216457,0.032901,0.648037,-0.72946,13.598482,125.324921,15.858419,0.063074,0.869564,0.125027,0.47355,-9.934777,86.046661,10.184777,0.108964,0.946591,-0.00998,0.303302,-9.621957,51.574009,0.239758,-0.006829,0.904726,-0.005118,0.425909,-19.307487,7.053667,-1.913308,-0.104254,0.860129,-0.078811,0.493049,0.478764,85.372452,24.441055,-0.041188,0.814442,-0.091634,0.571481,4.125172,50.718235,32.994061,-0.017066,0.837825,0.019043,0.545339,2.408128,6.026432,41.949539,-0.006829,0.904726,-0.005118,0.425909,-9.048941,1.266956,-10.26934,-0.017066,0.837825,0.019043,0.545339,14.791306,0.961481,36.513527
2,0.016667,0.028741,0.891382,-0.014181,0.452118,-4.737678,85.703056,17.301168,-0.014072,0.88746,0.05731,0.45709,-4.273637,92.931816,17.306297,0.004526,0.888276,0.022583,0.458731,-5.413096,107.557106,18.614975,0.076163,0.941125,-0.058165,0.324191,-5.626872,124.401939,19.361525,0.046448,0.98252,-0.040305,0.175705,-2.085185,137.562012,17.155218,0.059046,0.823633,0.118059,0.551547,-8.104241,118.797218,16.50787,0.083681,-0.61223,0.042263,-0.785102,-14.818769,122.768738,0.890212,0.034592,0.347705,-0.309556,-0.884353,-9.763733,119.310463,-18.657047,0.298168,0.421775,-0.30528,-0.800004,3.159699,132.348236,-5.117325,-0.134056,0.923403,0.058454,0.354879,-4.013044,118.594025,22.264019,0.35216,0.898159,0.228738,-0.130282,8.419934,122.191833,33.979218,0.146919,0.211941,0.469134,-0.844635,23.128111,110.454521,25.88518,0.215804,0.032346,0.648375,-0.729378,13.572578,125.300934,15.803337,0.063134,0.869667,0.125045,0.473346,-9.945385,86.042419,10.173825,0.108806,0.946576,-0.01008,0.303404,-9.637943,51.570625,0.225671,-0.006697,0.90466,-0.00486,0.426054,-19.312487,7.047322,-1.915437,-0.104227,0.860078,-0.07892,0.493127,0.470029,85.363701,24.428514,-0.041348,0.814515,-0.091646,0.571364,4.110072,50.710327,32.987637,-0.017225,0.837855,0.01918,0.545283,2.405594,6.019932,41.952496,-0.006697,0.90466,-0.00486,0.426054,-9.051394,1.265295,-10.271578,-0.017225,0.837855,0.01918,0.545283,14.790206,0.960446,36.514671
3,0.025,0.028991,0.891422,-0.014215,0.452023,-4.751472,85.693192,17.289942,-0.013823,0.887499,0.057441,0.457007,-4.283994,92.92173,17.296219,0.004459,0.888318,0.022374,0.458662,-5.418101,107.540474,18.611191,0.076581,0.941156,-0.057895,0.324051,-5.630625,124.385643,19.350473,0.045107,0.982692,-0.039998,0.175163,-2.081147,137.545273,17.154064,0.05778,0.823243,0.117993,0.552277,-8.108831,118.779846,16.499647,0.087054,-0.611729,0.042364,-0.78512,-14.8004,122.715927,0.863169,0.035511,0.346621,-0.31277,-0.883611,-9.72059,119.171539,-18.662235,0.297773,0.421258,-0.30843,-0.799215,3.15012,132.345551,-5.191766,-0.133618,0.923527,0.058789,0.354668,-4.01672,118.578888,22.255226,0.353707,0.897252,0.229058,-0.131767,8.425595,122.159401,33.965813,0.146959,0.210914,0.470365,-0.844201,23.073084,110.393906,25.802916,0.215632,0.031515,0.64879,-0.729096,13.547633,125.278893,15.752736,0.063111,0.869728,0.125168,0.473206,-9.960445,86.036255,10.1637,0.108657,0.946459,-0.010268,0.303814,-9.648928,51.566471,0.208704,-0.006821,0.904642,-0.004778,0.426092,-19.31505,7.040563,-1.916186,-0.104215,0.860109,-0.079042,0.493056,0.457502,85.350128,24.416183,-0.041531,0.814535,-0.091617,0.571327,4.093156,50.697964,32.982052,-0.01736,0.837869,0.019415,0.545251,2.404161,6.008455,41.954288,-0.006821,0.904642,-0.004778,0.426092,-9.05157,1.261919,-10.271739,-0.01736,0.837869,0.019415,0.545251,14.790827,0.956278,36.514336
4,0.033333,0.029159,0.891446,-0.014163,0.451966,-4.760959,85.68354,17.276865,-0.013835,0.887542,0.057644,0.456898,-4.291648,92.911957,17.284876,0.004637,0.88839,0.022203,0.458528,-5.428198,107.524399,18.604595,0.076774,0.941205,-0.057797,0.323881,-5.63262,124.369774,19.341516,0.043954,0.982825,-0.039622,0.174795,-2.079739,137.529053,17.148474,0.056537,0.823046,0.117354,0.552836,-8.114338,118.764725,16.492275,0.090633,-0.611023,0.042416,-0.785263,-14.789306,122.654633,0.837159,0.037366,0.345807,-0.316571,-0.882499,-9.67426,119.021271,-18.662683,0.299573,0.421572,-0.310848,-0.797437,3.112903,132.360397,-5.275599,-0.133188,0.923616,0.059099,0.354546,-4.02052,118.562675,22.246601,0.35516,0.896353,0.22951,-0.133185,8.428824,122.12616,33.954914,0.147332,0.209812,0.471475,-0.843791,23.01873,110.336128,25.724585,0.215328,0.030248,0.649588,-0.728529,13.518328,125.252556,15.703413,0.063057,0.869879,0.125242,0.472915,-9.970676,86.029686,10.151315,0.108549,0.946436,-0.010413,0.30392,-9.656587,51.560738,0.19352,-0.007002,0.904629,-0.00472,0.426116,-19.317234,7.032952,-1.916963,-0.104047,0.860035,-0.079054,0.493219,0.44876,85.337402,24.402416,-0.041909,0.814189,-0.091635,0.571789,4.072089,50.682854,32.963871,-0.017404,0.83789,0.019735,0.545204,2.405013,5.996531,41.956039,-0.007002,0.904629,-0.00472,0.426116,-9.05113,1.257782,-10.2717,-0.017404,0.83789,0.019735,0.545204,14.793217,0.952248,36.512264
5,0.041667,0.029282,0.891454,-0.01401,0.451947,-4.767519,85.671982,17.263704,-0.013623,0.88757,0.05802,0.456802,-4.297615,92.900352,17.274492,0.004453,0.888448,0.021887,0.458433,-5.433684,107.513786,18.607162,0.076736,0.941272,-0.0579,0.323675,-5.638638,124.359688,19.331827,0.043172,0.982954,-0.039096,0.174383,-2.086626,137.518555,17.13484,0.055173,0.822504,0.117256,0.5538,-8.120744,118.752457,16.487217,0.094962,-0.610466,0.04214,-0.785199,-14.763782,122.604179,0.809097,0.039138,0.34507,-0.319838,-0.881532,-9.619925,118.873581,-18.664785,0.299949,0.421506,-0.31389,-0.796138,3.095974,132.357208,-5.353667,-0.132534,0.923744,0.059568,0.354378,-4.025668,118.554779,22.240801,0.356403,0.89539,0.230579,-0.134489,8.433898,122.092316,33.94611,0.147628,0.208814,0.472326,-0.843511,22.973261,110.288849,25.645901,0.214678,0.029335,0.649379,-0.728945,13.49152,125.227905,15.653679,0.063045,0.870024,0.125317,0.472631,-9.977397,86.021301,10.138427,0.108448,0.946384,-0.010601,0.304111,-9.663242,51.5536,0.176294,-0.006954,0.90461,-0.004421,0.42616,-19.32007,7.024178,-1.917051,-0.104099,0.860226,-0.079327,0.49283,0.44236,85.322662,24.388983,-0.041906,0.814549,-0.091603,0.571281,4.062946,50.671993,32.967312,-0.01753,0.837902,0.02003,0.545172,2.402997,5.985117,41.958054,-0.006954,0.90461,-0.004421,0.42616,-9.052234,1.255606,-10.274213,-0.01753,0.837902,0.02003,0.545172,14.793497,0.949375,36.511597
6,0.05,0.029412,0.891484,-0.013931,0.451883,-4.7759,85.661263,17.249132,-0.013543,0.887611,0.058355,0.456682,-4.304833,92.889557,17.261759,0.004595,0.888523,0.02182,0.458291,-5.442652,107.495689,18.603806,0.076907,0.941357,-0.057924,0.323383,-5.64222,124.341644,19.328667,0.04227,0.983105,-0.038724,0.173834,-2.086795,137.499481,17.13117,0.054231,0.822157,0.116931,0.554477,-8.126972,118.735191,16.484827,0.100059,-0.609727,0.041559,-0.785172,-14.74742,122.555695,0.78952,0.041521,0.344326,-0.323003,-0.880559,-9.564614,118.719414,-18.653477,0.300475,0.421352,-0.317363,-0.794643,3.079431,132.349533,-5.430909,-0.132145,0.923877,0.059945,0.354112,-4.030072,118.536224,22.237068,0.357506,0.894628,0.230988,-0.135921,8.439655,122.057739,33.936386,0.148011,0.207555,0.473057,-0.843345,22.930908,110.240784,25.571474,0.214301,0.027764,0.650196,-0.728388,13.458501,125.201942,15.614757,0.063008,0.870096,0.125414,0.472477,-9.986681,86.01329,10.124647,0.108347,0.94632,-0.010802,0.304339,-9.668641,51.546997,0.157797,-0.0071,0.904592,-0.004212,0.426198,-19.32197,7.015976,-1.917745,-0.104099,0.860175,-0.079368,0.492913,0.43488,85.309235,24.373617,-0.042078,0.814467,-0.091667,0.571376,4.05312,50.659023,32.954784,-0.017661,0.837883,0.020284,0.545188,2.401483,5.974531,41.958881,-0.0071,0.904592,-0.004212,0.426198,-9.05091,1.254056,-10.275537,-0.017661,0.837883,0.020284,0.545188,14.79472,0.9465,36.511528
7,0.058333,0.029516,0.891474,-0.013743,0.451901,-4.784292,85.647026,17.232986,-0.013271,0.887661,0.058627,0.456558,-4.313119,92.875305,17.248735,0.004673,0.888609,0.021814,0.458123,-5.447093,107.478226,18.601431,0.076951,0.941492,-0.057704,0.32302,-5.64409,124.324165,19.327349,0.041528,0.983267,-0.038561,0.17313,-2.09077,137.483276,17.134024,0.052745,0.821714,0.117138,0.555232,-8.130683,118.718216,16.484127,0.104125,-0.609044,0.041612,-0.78517,-14.727407,122.502327,0.770032,0.043271,0.343365,-0.326346,-0.879617,-9.51068,118.565689,-18.643805,0.301148,0.420918,-0.320863,-0.793212,3.067354,132.344894,-5.503929,-0.131474,0.924015,0.060153,0.353966,-4.03163,118.518356,22.234798,0.358532,0.893884,0.231446,-0.137327,8.447886,122.016571,33.930656,0.148012,0.206449,0.473962,-0.843108,22.893263,110.188805,25.501936,0.214635,0.026244,0.649319,-0.729128,13.44054,125.177551,15.583308,0.063039,0.870161,0.125524,0.472324,-9.994671,86.002182,10.108367,0.108212,0.946249,-0.011071,0.304598,-9.676533,51.538147,0.133711,-0.007295,0.904595,-0.003882,0.426191,-19.325226,7.004997,-1.917492,-0.104149,0.860097,-0.079468,0.493022,0.426088,85.291862,24.357609,-0.042225,0.81453,-0.09171,0.571268,4.042684,50.643539,32.947071,-0.017936,0.837914,0.020585,0.545119,2.400909,5.960894,41.962128,-0.007295,0.904595,-0.003882,0.426191,-9.050695,1.253193,-10.277979,-0.017936,0.837914,0.020585,0.545119,14.797314,0.943766,36.511944
8,0.066667,0.02965,0.891515,-0.013552,0.451817,-4.792415,85.635193,17.214514,-0.013081,0.887747,0.058812,0.456372,-4.32076,92.863434,17.233557,0.004874,0.888723,0.022,0.457891,-5.451003,107.453201,18.592688,0.076612,0.941735,-0.057366,0.322452,-5.64464,124.298813,19.327358,0.041106,0.983454,-0.038347,0.172214,-2.104877,137.462036,17.136738,0.051253,0.82144,0.117435,0.555715,-8.133717,118.694756,16.482565,0.108818,-0.608047,0.041308,-0.785323,-14.717134,122.443329,0.754376,0.045572,0.342529,-0.329762,-0.878553,-9.449671,118.403542,-18.624542,0.302113,0.4205,-0.324381,-0.791634,3.051727,132.33754,-5.576797,-0.13129,0.924069,0.060531,0.353829,-4.03168,118.491219,22.23098,0.359804,0.893052,0.231732,-0.138921,8.452913,121.979378,33.924431,0.147964,0.205246,0.475091,-0.842775,22.842852,110.134056,25.425812,0.21504,0.025376,0.649574,-0.728813,13.414529,125.161018,15.546361,0.062948,0.870214,0.125556,0.472229,-10.003994,85.994026,10.090956,0.108163,0.9462,-0.011227,0.304764,-9.680154,51.529739,0.117323,-0.007496,0.90455,-0.003698,0.426287,-19.32863,6.995946,-1.920802,-0.104146,0.860027,-0.079541,0.493134,0.419165,85.27636,24.338072,-0.042447,0.814358,-0.091759,0.571488,4.031821,50.628834,32.932407,-0.018055,0.837911,0.020919,0.545107,2.401446,5.948731,41.962124,-0.007496,0.90455,-0.003698,0.426287,-9.04937,1.250867,-10.280099,-0.018055,0.837911,0.020919,0.545107,14.80053,0.940924,36.509457
9,0.075,0.02972,0.891548,-0.013408,0.451751,-4.798061,85.6241,17.194256,-0.012726,0.887822,0.059314,0.456171,-4.326437,92.852333,17.215586,0.004858,0.888843,0.022045,0.457656,-5.45341,107.435356,18.592293,0.076654,0.94192,-0.056591,0.322039,-5.648042,124.280891,19.328121,0.040561,0.983621,-0.038588,0.171332,-2.11526,137.448959,17.155432,0.049892,0.821152,0.11755,0.556239,-8.138154,118.676826,16.484283,0.113426,-0.607039,0.041143,-0.785459,-14.706039,122.390213,0.741261,0.047813,0.341647,-0.333119,-0.87751,-9.387853,118.245399,-18.601593,0.303042,0.419926,-0.328136,-0.790034,3.039115,132.330811,-5.646926,-0.130726,0.92425,0.06092,0.353498,-4.033079,118.473259,22.23053,0.361057,0.892132,0.232481,-0.140324,8.464847,121.939934,33.916126,0.148014,0.203852,0.476053,-0.842562,22.801722,110.079994,25.348484,0.214624,0.024042,0.650173,-0.728446,13.387132,125.14415,15.51148,0.062923,0.870264,0.125584,0.472133,-10.010626,85.985222,10.071533,0.108071,0.946119,-0.011469,0.305039,-9.685341,51.521225,0.096989,-0.007607,0.904523,-0.00345,0.426342,-19.332071,6.986108,-1.920472,-0.10418,0.859979,-0.079641,0.493194,0.414503,85.26297,24.316978,-0.042605,0.814367,-0.091862,0.571448,4.02501,50.6171,32.918854,-0.018169,0.837943,0.021128,0.545046,2.401397,5.939939,41.964352,-0.007607,0.904523,-0.00345,0.426342,-9.049453,1.248238,-10.280594,-0.018169,0.837943,0.021128,0.545046,14.801839,0.938575,36.508858
