Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.003257,0.890429,0.032558,0.453944,-1.280398,83.722084,14.991588,-0.02552,0.894614,0.092174,0.436484,-1.536532,90.950218,15.390165,-0.020536,0.898333,0.079519,0.431571,-3.34219,105.004517,17.432257,0.06035,0.959563,-0.017498,0.274393,-5.121744,121.639763,19.542513,0.064214,0.991793,-0.048034,0.099577,-2.477821,135.106049,18.03657,-0.008634,0.820765,0.183886,0.540792,-7.216981,116.045319,16.379305,0.450501,-0.55057,0.062281,-0.700031,-14.460855,119.270027,0.826277,0.173903,0.004743,-0.519987,-0.836271,-6.554134,107.322289,-13.814205,0.228371,-0.001794,-0.561973,-0.795003,3.755628,126.886162,-17.696728,-0.161289,0.918237,0.150775,0.328776,-2.789774,115.821091,21.880394,0.41366,0.843019,0.246412,-0.23976,9.985455,119.261299,33.270199,0.209851,0.14018,0.502385,-0.826995,21.104378,107.394981,20.813528,0.283863,-0.001214,0.650349,-0.704604,12.0846,122.670197,12.055061,0.08235,0.872046,0.119841,0.467325,-6.473279,83.931961,7.848454,0.113656,0.94448,-0.018276,0.307743,-7.607657,49.56934,-2.412558,-0.033562,0.912748,0.043193,0.404844,-17.913345,5.16566,-4.028681,-0.119144,0.848428,-0.102435,0.505452,3.912483,83.512207,22.134722,-0.10734,0.989395,-0.064785,-0.073342,7.450877,49.403954,32.692734,,,,,,,,-0.033562,0.912748,0.043193,0.404844,-7.606441,0.862986,-13.183011,-0.10734,0.989395,-0.064785,-0.073342,17.107973,-2.243347,25.47084
1,0.008333,-0.003205,0.890419,0.03256,0.453964,-1.277748,83.721596,14.989157,-0.02547,0.894611,0.092182,0.436492,-1.533232,90.949722,15.388092,-0.020524,0.898327,0.07957,0.431573,-3.337783,105.004524,17.431053,0.06039,0.95956,-0.017506,0.274393,-5.117732,121.639511,19.543037,0.064198,0.991793,-0.048095,0.099564,-2.472708,135.105591,18.037184,-0.008579,0.820808,0.183722,0.540783,-7.212821,116.045357,16.37923,0.450382,-0.550496,0.062454,-0.70015,-14.457029,119.268456,0.826024,0.173854,0.004606,-0.52003,-0.836255,-6.547853,107.319511,-13.81215,0.228388,-0.001787,-0.561988,-0.794988,3.759718,126.883064,-17.698935,-0.16124,0.918239,0.150726,0.328816,-2.785643,115.820648,21.880323,0.413644,0.843003,0.24647,-0.239785,9.989207,119.259666,33.270912,0.209888,0.140186,0.502381,-0.826988,21.108171,107.394997,20.812714,0.283855,-0.00124,0.650396,-0.704564,12.088966,122.668587,12.054045,0.082339,0.872035,0.119828,0.467351,-6.470311,83.93232,7.845818,0.113635,0.944517,-0.018304,0.307635,-7.604131,49.569336,-2.414053,-0.033656,0.912813,0.043113,0.404699,-17.909071,5.165327,-4.025948,-0.119181,0.848564,-0.102491,0.505204,3.914814,83.51088,22.132496,-0.107271,0.989361,-0.064856,-0.073834,7.456441,49.404079,32.69413,,,,,,,,-0.033656,0.912813,0.043113,0.404699,-7.604461,0.861659,-13.182391,-0.107271,0.989361,-0.064856,-0.073834,17.09721,-2.246857,25.476412
2,0.016667,-0.003268,0.890441,0.03256,0.453921,-1.271687,83.722031,14.987159,-0.025527,0.894605,0.09224,0.436488,-1.527964,90.950157,15.385699,-0.020478,0.898325,0.079555,0.431583,-3.334523,105.003288,17.42926,0.060401,0.959569,-0.017451,0.274363,-5.112885,121.63842,19.541416,0.064169,0.991801,-0.048121,0.099482,-2.468055,135.104691,18.036974,-0.008545,0.820814,0.18377,0.54076,-7.20848,116.04451,16.377522,0.450477,-0.55047,0.062514,-0.700104,-14.453617,119.269333,0.825106,0.174007,0.004585,-0.520005,-0.836239,-6.543591,107.317123,-13.809945,0.228524,-0.001828,-0.56212,-0.794855,3.765839,126.880623,-17.701153,-0.161227,0.918225,0.150747,0.328853,-2.781388,115.819298,21.878662,0.413694,0.842955,0.246585,-0.239748,9.992781,119.257378,33.270298,0.20987,0.140179,0.502454,-0.826949,21.110777,107.39254,20.811394,0.283862,-0.001227,0.650317,-0.704634,12.094328,122.667984,12.05282,0.082395,0.872036,0.119835,0.467336,-6.464937,83.93174,7.844289,0.11368,0.944506,-0.018332,0.30765,-7.602227,49.569546,-2.41783,-0.033738,0.912777,0.043065,0.404777,-17.91169,5.166557,-4.028788,-0.119078,0.848532,-0.10253,0.505274,3.921565,83.512321,22.130028,-0.107328,0.989431,-0.064726,-0.072924,7.454688,49.404343,32.690674,,,,,,,,-0.033738,0.912777,0.043065,0.404777,-7.604945,0.862669,-13.182722,-0.107328,0.989431,-0.064726,-0.072924,17.118511,-2.241295,25.465876
3,0.025,-0.003275,0.890439,0.032584,0.453923,-1.268001,83.721779,14.983537,-0.025462,0.894603,0.092306,0.436483,-1.524527,90.94989,15.382326,-0.020474,0.898325,0.079551,0.431584,-3.330173,105.002357,17.428318,0.060438,0.959569,-0.017472,0.274354,-5.108345,121.63752,19.540417,0.064147,0.991805,-0.048147,0.099452,-2.462438,135.103546,18.035679,-0.008512,0.820833,0.183754,0.540736,-7.203996,116.043617,16.376534,0.450548,-0.550341,0.062687,-0.700144,-14.45002,119.268921,0.824635,0.174037,0.004453,-0.520119,-0.836162,-6.535046,107.312431,-13.804243,0.228575,-0.00194,-0.562052,-0.794888,3.768992,126.877151,-17.701969,-0.161074,0.91821,0.150735,0.328974,-2.776922,115.818382,21.877687,0.413631,0.842934,0.246634,-0.239882,9.996165,119.250977,33.272186,0.209763,0.140115,0.502477,-0.826973,21.113674,107.390511,20.808683,0.28387,-0.001205,0.65049,-0.704471,12.0971,122.668861,12.053726,0.082404,0.872066,0.1198,0.467287,-6.461213,83.931557,7.840642,0.113617,0.944564,-0.018337,0.307495,-7.600834,49.568878,-2.41958,-0.033205,0.912811,0.043265,0.404725,-17.90539,5.164608,-4.02667,-0.119078,0.848556,-0.102536,0.505232,3.925211,83.512001,22.126431,-0.107236,0.989341,-0.064953,-0.074066,7.458632,49.404114,32.68729,,,,,,,,-0.033205,0.912811,0.043265,0.404725,-7.603802,0.859603,-13.185883,-0.107236,0.989341,-0.064953,-0.074066,17.09215,-2.249394,25.478294
4,0.033333,-0.003245,0.890458,0.03256,0.453889,-1.264331,83.720963,14.981231,-0.025279,0.894602,0.092322,0.436491,-1.520301,90.949097,15.379931,-0.020606,0.898301,0.079537,0.431631,-3.321212,104.999733,17.428308,0.060385,0.959571,-0.017415,0.274362,-5.10331,121.634796,19.537968,0.064183,0.991806,-0.04818,0.099395,-2.459174,135.101288,18.03434,-0.008483,0.820868,0.183787,0.540671,-7.197332,116.040001,16.374565,0.450566,-0.550402,0.062613,-0.700091,-14.445832,119.266357,0.824034,0.174119,0.004519,-0.520049,-0.836188,-6.533262,107.31057,-13.806722,0.228685,-0.001931,-0.562126,-0.794804,3.774621,126.874939,-17.703554,-0.161089,0.918169,0.150752,0.329074,-2.770901,115.816475,21.876307,0.413769,0.842846,0.246561,-0.240027,9.999743,119.248581,33.273689,0.209686,0.140058,0.50265,-0.826897,21.10973,107.38559,20.805878,0.28391,-0.001256,0.650583,-0.704369,12.099969,122.668076,12.053849,0.082384,0.872103,0.119823,0.467217,-6.458105,83.931007,7.838752,0.113659,0.94463,-0.018332,0.307278,-7.596482,49.568485,-2.422126,-0.033635,0.912831,0.043092,0.404662,-17.904768,5.165052,-4.028396,-0.119037,0.848538,-0.102547,0.505271,3.929444,83.510918,22.123709,-0.107263,0.989408,-0.064832,-0.073236,7.459532,49.402477,32.683899,,,,,,,,-0.033635,0.912831,0.043092,0.404662,-7.601151,0.860594,-13.185585,-0.107263,0.989408,-0.064832,-0.073236,17.111345,-2.246699,25.468349
5,0.041667,-0.003213,0.890479,0.032402,0.453857,-1.263896,83.716522,14.981085,-0.025197,0.894611,0.092273,0.436487,-1.518397,90.944801,15.377966,-0.020567,0.898298,0.079551,0.431636,-3.316853,104.997681,17.426426,0.060346,0.959582,-0.017342,0.274335,-5.097981,121.632721,19.537073,0.064204,0.991809,-0.04823,0.099332,-2.455458,135.099716,18.034962,-0.008455,0.820915,0.183749,0.540614,-7.192315,116.038239,16.373323,0.450823,-0.550331,0.062453,-0.699996,-14.443008,119.26429,0.823754,0.174298,0.004553,-0.520081,-0.836132,-6.526394,107.308853,-13.80509,0.228728,-0.001962,-0.561996,-0.794884,3.778645,126.870743,-17.704569,-0.161088,0.918175,0.150759,0.329055,-2.76593,115.814117,21.875078,0.413794,0.842862,0.2464,-0.240094,10.005152,119.246246,33.271961,0.209605,0.140025,0.502679,-0.826905,21.112989,107.381233,20.804163,0.283894,-0.001349,0.650615,-0.704345,12.103571,122.666298,12.054118,0.082365,0.872152,0.119925,0.467102,-6.458173,83.925789,7.83895,0.113737,0.944532,-0.018413,0.307545,-7.593215,49.564789,-2.427404,-0.033206,0.912787,0.043159,0.404788,-17.909929,5.163252,-4.031794,-0.119014,0.848569,-0.102523,0.505229,3.930381,83.507256,22.12322,-0.107256,0.989414,-0.064841,-0.073156,7.460542,49.398079,32.680996,,,,,,,,-0.033206,0.912787,0.043159,0.404788,-7.607423,0.855607,-13.188732,-0.107256,0.989414,-0.064841,-0.073156,17.113361,-2.251134,25.467056
6,0.05,-0.003227,0.890472,0.032392,0.453873,-1.260189,83.715073,14.978424,-0.025045,0.894606,0.092293,0.436504,-1.514803,90.943359,15.375081,-0.020706,0.898277,0.079538,0.431676,-3.309498,104.995239,17.425758,0.060342,0.959595,-0.017258,0.274297,-5.094737,121.630142,19.533907,0.064327,0.991816,-0.048217,0.099188,-2.453057,135.097534,18.033817,-0.008421,0.82092,0.183802,0.540589,-7.187413,116.03476,16.370695,0.450516,-0.550391,0.062692,-0.700125,-14.439058,119.262627,0.821941,0.174153,0.004505,-0.519978,-0.836225,-6.526375,107.305824,-13.807928,0.228739,-0.001952,-0.562027,-0.794859,3.784189,126.867058,-17.705297,-0.161136,0.918192,0.150932,0.328905,-2.761593,115.812424,21.872978,0.413872,0.842843,0.246421,-0.240007,10.012396,119.24498,33.266483,0.209615,0.139865,0.502681,-0.826929,21.119297,107.37693,20.800743,0.284043,-0.00123,0.650551,-0.704344,12.107689,122.664619,12.055112,0.082465,0.872184,0.119867,0.467041,-6.454218,83.924049,7.836098,0.113696,0.944511,-0.018452,0.307622,-7.598204,49.563244,-2.429918,-0.033623,0.912762,0.043137,0.404814,-17.912462,5.160996,-4.030649,-0.118997,0.848608,-0.102544,0.505162,3.933841,83.506088,22.12075,-0.107206,0.989399,-0.064892,-0.073391,7.463025,49.396935,32.67894,,,,,,,,-0.033623,0.912762,0.043137,0.404814,-7.6058,0.857594,-13.184911,-0.107206,0.989399,-0.064892,-0.073391,17.106495,-2.254572,25.468901
7,0.058333,-0.003249,0.890485,0.032398,0.453847,-1.256673,83.715401,14.975863,-0.025055,0.894611,0.092406,0.436468,-1.511604,90.94368,15.372465,-0.020585,0.898299,0.079526,0.431637,-3.308032,104.99617,17.426132,0.060427,0.959614,-0.017282,0.27421,-5.089334,121.63131,19.535767,0.064278,0.991832,-0.048243,0.099048,-2.445524,135.098236,18.035376,-0.008455,0.820931,0.183748,0.540591,-7.183604,116.036629,16.372349,0.450811,-0.550406,0.062445,-0.699945,-14.435169,119.262505,0.82314,0.174349,0.004581,-0.519953,-0.8362,-6.521886,107.306313,-13.806899,0.22873,-0.00197,-0.561989,-0.794888,3.788733,126.864479,-17.705387,-0.161064,0.918196,0.15085,0.328965,-2.75723,115.812889,21.874132,0.413864,0.842836,0.246368,-0.240098,10.016193,119.243813,33.268768,0.209574,0.139949,0.502693,-0.826917,21.121588,107.376549,20.800936,0.283718,-0.001573,0.650641,-0.704392,12.111306,122.664139,12.05323,0.082502,0.872191,0.119857,0.467024,-6.451112,83.924065,7.833824,0.113714,0.944438,-0.018537,0.307836,-7.597902,49.563519,-2.432737,-0.033613,0.912744,0.043144,0.404855,-17.915619,5.161914,-4.029001,-0.118967,0.848702,-0.102623,0.504996,3.937765,83.506729,22.117905,-0.107198,0.989404,-0.064874,-0.073353,7.464257,49.398224,32.679089,,,,,,,,-0.033613,0.912744,0.043144,0.404855,-7.608199,0.85859,-13.182447,-0.107198,0.989404,-0.064874,-0.073353,17.107559,-2.253106,25.467587
8,0.066667,-0.003199,0.890512,0.032385,0.453795,-1.255547,83.715118,14.973649,-0.025025,0.894651,0.092328,0.436405,-1.50973,90.943413,15.37042,-0.020549,0.898336,0.079527,0.431562,-3.30409,104.99498,17.422415,0.060382,0.95962,-0.017329,0.274196,-5.084153,121.630165,19.532745,0.064297,0.991828,-0.04811,0.09914,-2.441214,135.097092,18.030725,-0.008389,0.821,0.183759,0.540483,-7.179257,116.035667,16.369551,0.450851,-0.550304,0.062562,-0.699989,-14.434941,119.262909,0.82255,0.17438,0.0045,-0.519983,-0.836176,-6.517678,107.304214,-13.803288,0.228704,-0.002019,-0.56191,-0.794952,3.791673,126.862442,-17.705784,-0.161045,0.918159,0.150864,0.329071,-2.751959,115.811554,21.870575,0.413874,0.842799,0.246511,-0.240066,10.019238,119.240929,33.268173,0.209534,0.139829,0.502811,-0.826876,21.124905,107.375023,20.799286,0.283913,-0.001663,0.650662,-0.704294,12.118069,122.666718,12.055664,0.082508,0.872162,0.119867,0.467074,-6.450824,83.924423,7.83224,0.11365,0.94452,-0.018549,0.307606,-7.597075,49.56411,-2.435158,-0.033526,0.91282,0.043143,0.404689,-17.910109,5.161226,-4.026083,-0.118958,0.84872,-0.102641,0.504964,3.939731,83.505806,22.115059,-0.10718,0.989406,-0.064899,-0.073317,7.465425,49.397423,32.67688,,,,,,,,-0.033526,0.91282,0.043143,0.404689,-7.606742,0.856821,-13.183585,-0.10718,0.989406,-0.064899,-0.073317,17.107798,-2.254504,25.468433
9,0.075,-0.003183,0.890505,0.032367,0.45381,-1.251373,83.714745,14.971645,-0.025003,0.894614,0.092442,0.436458,-1.50524,90.943062,15.368289,-0.020567,0.898298,0.07953,0.43164,-3.300647,104.994598,17.423424,0.060378,0.959614,-0.017406,0.274214,-5.081484,121.629738,19.533421,0.064316,0.99183,-0.048115,0.099101,-2.438035,135.096329,18.029432,-0.008443,0.820959,0.183773,0.540539,-7.175901,116.035187,16.369871,0.450861,-0.550362,0.062512,-0.699942,-14.429426,119.261536,0.821678,0.174395,0.004566,-0.51996,-0.836186,-6.514531,107.303131,-13.805683,0.228756,-0.002,-0.561907,-0.794938,3.796236,126.862045,-17.706024,-0.161018,0.918183,0.150839,0.329029,-2.749553,115.811195,21.871664,0.413874,0.842798,0.246471,-0.240107,10.022913,119.240334,33.267906,0.209542,0.139837,0.502818,-0.826869,21.127779,107.374451,20.798285,0.2839,-0.001672,0.650777,-0.704192,12.121392,122.665932,12.054306,0.082469,0.872276,0.119895,0.466861,-6.446421,83.924171,7.830072,0.113742,0.94449,-0.018564,0.307663,-7.591801,49.563877,-2.437498,-0.033668,0.912784,0.042988,0.404777,-17.912981,5.162954,-4.030296,-0.118937,0.848725,-0.102661,0.504956,3.943675,83.505318,22.113218,-0.107178,0.989411,-0.064893,-0.073261,7.467437,49.396858,32.675457,,,,,,,,-0.033668,0.912784,0.042988,0.404777,-7.607116,0.856321,-13.183936,-0.107178,0.989411,-0.064893,-0.073261,17.110666,-2.254887,25.466787
