Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.025655,0.953582,0.027445,0.29878,-2.064333,84.997025,12.196866,-0.037929,0.955093,0.078451,0.283205,-1.828457,92.227966,12.687582,0.002793,0.95937,0.061447,0.275365,-3.485095,106.185722,14.50701,0.003073,0.984467,0.007731,0.175371,-3.967075,122.979591,16.528139,0.006238,0.997392,-0.007214,0.071545,-3.310515,136.709641,15.091918,0.051277,0.935755,0.110549,0.330926,-7.06868,117.370033,14.298883,0.464209,-0.475178,0.169492,-0.728003,-20.686598,120.33918,3.625377,0.360071,0.231701,-0.483932,-0.7632,-10.291404,105.773071,-7.691853,0.42514,0.414249,-0.391068,-0.703363,-0.966152,125.677155,-7.578226,-0.112862,0.969213,0.12415,0.180207,-1.070045,117.092857,18.032497,0.534296,0.789384,0.139501,-0.268218,14.897781,120.14798,24.656843,0.238538,0.126964,0.575136,-0.772139,20.935894,103.872124,12.534586,0.260836,-0.016757,0.754691,-0.601769,14.751922,120.586357,3.03332,0.075299,0.935825,0.088044,0.33288,-9.317023,85.57473,7.170272,0.049458,0.964643,-0.012587,0.25857,-12.281832,50.524521,-0.570478,-0.031652,0.944524,0.045261,0.323767,-16.824991,6.184718,-0.628085,-0.075974,0.905261,-0.136793,0.394992,5.188357,84.419319,17.223459,-0.047165,0.859792,-0.129575,0.491675,6.250433,50.166,28.305346,-0.005517,0.836901,0.019475,0.546979,4.186129,7.289019,40.303886,-0.031652,0.944524,0.045261,0.323767,-8.237967,1.877728,-11.431209,-0.005517,0.836901,0.019475,0.546979,16.503199,2.058131,34.833767
1,0.008333,0.025638,0.953568,0.027504,0.298823,-2.060149,84.998299,12.19812,-0.037939,0.955072,0.07845,0.283273,-1.82479,92.229202,12.689593,0.002746,0.959345,0.06149,0.275441,-3.481662,106.185677,14.508626,0.002975,0.984463,0.00777,0.175395,-3.965725,122.979378,16.530687,0.006271,0.997393,-0.007106,0.071532,-3.311944,136.709625,15.095076,0.05125,0.935743,0.110599,0.330947,-7.066376,117.369629,14.30058,0.464098,-0.475048,0.169515,-0.728153,-20.683908,120.338562,3.626527,0.360024,0.231743,-0.483981,-0.763177,-10.283809,105.775436,-7.690038,0.425166,0.414324,-0.391081,-0.703296,-0.961977,125.679985,-7.575046,-0.112857,0.969185,0.124287,0.180269,-1.068332,117.09285,18.03517,0.534218,0.789419,0.139606,-0.268215,14.898755,120.146538,24.661953,0.238495,0.126968,0.575096,-0.772181,20.940443,103.87365,12.537503,0.260776,-0.01677,0.754676,-0.601813,14.754502,120.588211,3.037016,0.075312,0.935796,0.088009,0.332968,-9.312405,85.576042,7.170907,0.049496,0.964643,-0.012586,0.258566,-12.278201,50.52552,-0.568038,-0.031783,0.944537,0.045202,0.323722,-16.824562,6.18605,-0.626599,-0.076,0.905261,-0.136825,0.394975,5.192107,84.420547,17.225334,-0.047109,0.85982,-0.129613,0.49162,6.25513,50.168144,28.309948,-0.005481,0.836926,0.019477,0.546942,4.185658,7.291579,40.309071,-0.031783,0.944537,0.045202,0.323722,-8.237448,1.87873,-11.429518,-0.005481,0.836926,0.019477,0.546942,16.501923,2.060188,34.837624
2,0.016667,0.025608,0.953545,0.02756,0.298893,-2.056358,84.998772,12.199847,-0.037951,0.955053,0.078481,0.283327,-1.821686,92.22966,12.691978,0.002724,0.959329,0.06152,0.275491,-3.479201,106.185509,14.5116,0.002978,0.984448,0.007766,0.175481,-3.964355,122.97908,16.534407,0.006176,0.997386,-0.007154,0.071642,-3.310181,136.709305,15.098822,0.051204,0.93572,0.110625,0.331011,-7.064476,117.369286,14.303702,0.464091,-0.474921,0.169493,-0.728245,-20.680685,120.337204,3.627671,0.360022,0.231819,-0.484027,-0.763126,-10.275171,105.776726,-7.687329,0.425147,0.41442,-0.391117,-0.703231,-0.95602,125.684692,-7.570979,-0.112913,0.969172,0.124185,0.18037,-1.066815,117.092644,18.038919,0.534133,0.78948,0.139795,-0.268104,14.898547,120.148407,24.668911,0.238554,0.126966,0.575106,-0.772156,20.946579,103.878448,12.543684,0.261043,-0.016801,0.754555,-0.601848,14.761191,120.592079,3.042091,0.075325,0.935774,0.087984,0.333034,-9.307897,85.57634,7.171573,0.049558,0.96462,-0.012586,0.258639,-12.274665,50.525665,-0.56629,-0.031719,0.944499,0.045258,0.323832,-16.826353,6.186745,-0.626636,-0.075999,0.905248,-0.136853,0.394997,5.19518,84.421211,17.228123,-0.047094,0.859719,-0.129552,0.491815,6.257084,50.169342,28.314518,-0.005766,0.836937,0.019385,0.546925,4.186442,7.29124,40.307964,-0.031719,0.944499,0.045258,0.323832,-8.237246,1.880325,-11.428331,-0.005766,0.836937,0.019385,0.546925,16.50453,2.061948,34.8386
3,0.025,0.025635,0.953529,0.027516,0.298944,-2.05357,84.99839,12.200705,-0.037976,0.955033,0.078533,0.283376,-1.818359,92.229286,12.692361,0.002744,0.959315,0.061542,0.275536,-3.477103,106.185234,14.513143,0.002936,0.984446,0.007738,0.175494,-3.961897,122.978722,16.536808,0.006118,0.997388,-0.007085,0.071628,-3.308687,136.708908,15.100278,0.051152,0.9357,0.110686,0.331056,-7.061997,117.369141,14.305517,0.464161,-0.474899,0.169467,-0.728222,-20.677362,120.336189,3.628164,0.360072,0.231897,-0.484034,-0.763075,-10.270556,105.775742,-7.685681,0.42517,0.414484,-0.391211,-0.703127,-0.953233,125.684669,-7.568399,-0.112914,0.969156,0.124179,0.180462,-1.064686,117.092094,18.041271,0.534128,0.789471,0.139804,-0.268138,14.899508,120.147469,24.674265,0.238482,0.127059,0.575137,-0.77214,20.947016,103.878197,12.547848,0.260926,-0.016788,0.754534,-0.601925,14.764007,120.591858,3.044843,0.0753,0.935762,0.087958,0.333081,-9.304545,85.576195,7.171646,0.049576,0.964654,-0.01256,0.25851,-12.269884,50.524902,-0.563987,-0.031647,0.944515,0.045295,0.323787,-16.822489,6.18608,-0.626375,-0.075998,0.905196,-0.136823,0.395125,5.197405,84.420578,17.229765,-0.047081,0.859785,-0.129587,0.491692,6.258513,50.168114,28.314383,-0.005677,0.836957,0.019426,0.546895,4.187068,7.290703,40.310139,-0.031647,0.944515,0.045295,0.323787,-8.234979,1.879942,-11.429458,-0.005677,0.836957,0.019426,0.546895,16.504196,2.061037,34.838978
4,0.033333,0.025661,0.953516,0.027508,0.298986,-2.050587,84.996574,12.201044,-0.037982,0.955019,0.078551,0.283419,-1.815015,92.227463,12.692714,0.002674,0.9593,0.06157,0.275583,-3.474418,106.185654,14.514144,0.002815,0.984438,0.007788,0.175539,-3.961836,122.979034,16.538042,0.006152,0.997383,-0.007026,0.071689,-3.311996,136.709457,15.102347,0.051117,0.93568,0.110732,0.331102,-7.060891,117.369041,14.306325,0.46409,-0.474722,0.16954,-0.728365,-20.675293,120.335625,3.627624,0.360031,0.231886,-0.48411,-0.763049,-10.262446,105.776772,-7.682717,0.425049,0.414608,-0.391154,-0.703159,-0.94843,125.686584,-7.566405,-0.112904,0.969133,0.12428,0.180524,-1.063943,117.092804,18.042713,0.534095,0.789491,0.139865,-0.268112,14.899537,120.14682,24.678032,0.23846,0.127062,0.575148,-0.772138,20.949139,103.878738,12.551072,0.260999,-0.016739,0.754532,-0.601898,14.766715,120.592621,3.04848,0.075298,0.935753,0.087938,0.333111,-9.301092,85.574783,7.171355,0.049598,0.964684,-0.012544,0.258395,-12.266521,50.523216,-0.562983,-0.031636,0.944516,0.045306,0.323784,-16.820663,6.184548,-0.626749,-0.075971,0.905173,-0.13679,0.395195,5.199918,84.418365,17.230732,-0.047081,0.859754,-0.129566,0.491751,6.2594,50.164963,28.31262,-0.005401,0.83688,0.019626,0.547008,4.188047,7.287052,40.306633,-0.031636,0.944516,0.045306,0.323784,-8.233294,1.878577,-11.430001,-0.005401,0.83688,0.019626,0.547008,16.505312,2.057858,34.835331
5,0.041667,0.025666,0.953503,0.027443,0.299031,-2.04756,84.995689,12.203158,-0.038013,0.954998,0.078601,0.283472,-1.811652,92.226624,12.693956,0.002662,0.959281,0.061622,0.275638,-3.472434,106.185005,14.516467,0.002767,0.984437,0.007788,0.175544,-3.96087,122.978172,16.541908,0.006116,0.997387,-0.007074,0.071643,-3.312326,136.708649,15.105978,0.051043,0.935668,0.110742,0.331144,-7.059403,117.368256,14.309292,0.464084,-0.474702,0.16947,-0.728399,-20.673094,120.332657,3.62908,0.36003,0.23195,-0.48409,-0.763043,-10.25841,105.776276,-7.682747,0.425024,0.414694,-0.391226,-0.703083,-0.944037,125.687996,-7.563971,-0.112923,0.969132,0.124246,0.180542,-1.062881,117.091927,18.046362,0.53408,0.789499,0.139934,-0.268085,14.900229,120.146751,24.682205,0.238443,0.127105,0.575146,-0.772138,20.951138,103.879639,12.554585,0.260948,-0.016744,0.754459,-0.60201,14.769226,120.59269,3.051309,0.075332,0.935751,0.087937,0.33311,-9.297584,85.573654,7.172751,0.04957,0.964664,-0.012531,0.258474,-12.265316,50.522457,-0.562362,-0.03165,0.944547,0.045262,0.323698,-16.816797,6.183526,-0.626951,-0.07593,0.90518,-0.136767,0.395195,5.202465,84.417717,17.233566,-0.047069,0.859794,-0.129556,0.491685,6.25999,50.163414,28.312838,-0.005573,0.836901,0.019588,0.546975,4.189126,7.285184,40.305763,-0.03165,0.944547,0.045262,0.323698,-8.231334,1.876507,-11.431301,-0.005573,0.836901,0.019588,0.546975,16.507296,2.057658,34.834908
6,0.05,0.025668,0.953501,0.02741,0.299042,-2.044477,84.996117,12.205187,-0.038084,0.954986,0.078611,0.283498,-1.808407,92.227081,12.69554,0.002618,0.95927,0.06167,0.275665,-3.471094,106.183937,14.517519,0.002785,0.984426,0.007734,0.175605,-3.961467,122.976913,16.544081,0.00605,0.997381,-0.006996,0.071733,-3.311986,136.707199,15.106858,0.051051,0.935632,0.110795,0.331226,-7.059252,117.366814,14.310882,0.464002,-0.474528,0.169514,-0.728554,-20.671013,120.332375,3.628535,0.359954,0.231991,-0.484179,-0.76301,-10.249989,105.778564,-7.680757,0.424923,0.414793,-0.391254,-0.70307,-0.941032,125.690735,-7.560778,-0.112957,0.969124,0.124271,0.180546,-1.06294,117.090881,18.048313,0.533981,0.789568,0.139867,-0.268112,14.899834,120.146652,24.684519,0.238332,0.127191,0.575129,-0.772171,20.954611,103.880676,12.55731,0.26093,-0.016784,0.754384,-0.602112,14.772628,120.594063,3.05371,0.075337,0.935743,0.087946,0.333129,-9.29438,85.573944,7.174592,0.049622,0.964702,-0.012527,0.258322,-12.262108,50.522919,-0.561292,-0.031627,0.944552,0.045247,0.323687,-16.817974,6.184435,-0.626727,-0.075875,0.905237,-0.136799,0.395062,5.205427,84.418282,17.235781,-0.047062,0.859739,-0.129524,0.49179,6.260048,50.164001,28.315405,-0.005459,0.836899,0.019647,0.546977,4.188583,7.28499,40.305443,-0.031627,0.944552,0.045247,0.323687,-8.233019,1.876806,-11.431235,-0.005459,0.836899,0.019647,0.546977,16.506096,2.057134,34.833427
7,0.058333,0.025649,0.953493,0.027463,0.299065,-2.040488,84.997246,12.204016,-0.038306,0.954971,0.078726,0.283489,-1.804914,92.22818,12.695029,0.00283,0.959281,0.0617,0.275618,-3.474798,106.186531,14.518632,0.002754,0.984436,0.007778,0.175547,-3.958468,122.97934,16.548151,0.00594,0.997385,-0.007016,0.071679,-3.31021,136.709778,15.111904,0.050972,0.935595,0.110791,0.331345,-7.058684,117.370819,14.314363,0.464028,-0.47451,0.169477,-0.728558,-20.66795,120.334114,3.6282,0.359924,0.232087,-0.484188,-0.762989,-10.245644,105.781265,-7.681169,0.42477,0.414941,-0.39125,-0.703077,-0.938711,125.695183,-7.557621,-0.112977,0.96911,0.124361,0.180546,-1.062019,117.091942,18.051014,0.533943,0.789591,0.139949,-0.268078,14.900604,120.147774,24.687571,0.238276,0.12719,0.575109,-0.772202,20.957842,103.883278,12.559605,0.260913,-0.016777,0.754253,-0.602283,14.774999,120.597008,3.057423,0.075355,0.935737,0.087904,0.333153,-9.290173,85.575058,7.173097,0.04969,0.96467,-0.012542,0.258429,-12.259901,50.523674,-0.560454,-0.031794,0.94454,0.045204,0.323714,-16.821894,6.185815,-0.626661,-0.075906,0.905151,-0.136821,0.395247,5.209197,84.419441,17.234934,-0.047051,0.859678,-0.129543,0.491892,6.262942,50.165939,28.317038,-0.005506,0.836914,0.019658,0.546953,4.188315,7.287273,40.307762,-0.031794,0.94454,0.045204,0.323714,-8.234877,1.878639,-11.429718,-0.005506,0.836914,0.019658,0.546953,16.506001,2.060352,34.835236
8,0.066667,0.025631,0.953488,0.027504,0.299079,-2.035863,84.998596,12.204867,-0.038321,0.95496,0.078739,0.283519,-1.800734,92.229507,12.696366,0.002773,0.959268,0.061732,0.275655,-3.470914,106.185555,14.519842,0.00274,0.98443,0.007816,0.175582,-3.956805,122.978249,16.549854,0.005851,0.997385,-0.006951,0.071697,-3.308992,136.708817,15.114599,0.050911,0.935565,0.110917,0.331396,-7.056145,117.369415,14.31562,0.463952,-0.474455,0.169401,-0.728659,-20.664454,120.332314,3.628129,0.359814,0.232209,-0.484206,-0.762992,-10.23888,105.783669,-7.683619,0.424662,0.41503,-0.391311,-0.703056,-0.935256,125.699005,-7.553935,-0.113057,0.969092,0.124399,0.180565,-1.059769,117.091141,18.052778,0.533789,0.789696,0.139599,-0.268259,14.901978,120.149292,24.690374,0.238074,0.127339,0.575067,-0.772272,20.962091,103.884682,12.56399,0.260914,-0.016822,0.75417,-0.602386,14.778465,120.599274,3.061325,0.075405,0.935714,0.087865,0.333218,-9.285419,85.576309,7.173753,0.049721,0.964624,-0.012559,0.258594,-12.258926,50.524986,-0.558606,-0.031779,0.944504,0.045234,0.323814,-16.823959,6.187442,-0.62484,-0.075931,0.905155,-0.136893,0.395208,5.213692,84.420883,17.235983,-0.046949,0.859828,-0.129565,0.491635,6.267425,50.169075,28.323328,-0.005761,0.836995,0.019493,0.546833,4.187634,7.290059,40.311901,-0.031779,0.944504,0.045234,0.323814,-8.234748,1.880939,-11.42642,-0.005761,0.836995,0.019493,0.546833,16.505123,2.063173,34.838894
9,0.075,0.025633,0.953483,0.02755,0.29909,-2.031126,84.996887,12.203635,-0.03827,0.954951,0.078777,0.283547,-1.796167,92.22776,12.695789,0.002742,0.959258,0.061719,0.275695,-3.465387,106.184258,14.52072,0.002379,0.984431,0.007779,0.175583,-3.952247,122.977005,16.550005,0.005896,0.997383,-0.006788,0.071734,-3.314001,136.707733,15.112008,0.050888,0.935573,0.11097,0.331361,-7.05113,117.367935,14.315732,0.463933,-0.474456,0.169364,-0.728679,-20.66033,120.330582,3.629308,0.359727,0.232271,-0.484242,-0.762992,-10.234248,105.78331,-7.683741,0.424411,0.415267,-0.391445,-0.702993,-0.934339,125.697922,-7.550682,-0.113168,0.969063,0.124398,0.180652,-1.055062,117.090103,18.053421,0.533799,0.789689,0.139702,-0.268205,14.904709,120.151543,24.694252,0.238128,0.127332,0.575039,-0.772277,20.965584,103.887604,12.567356,0.260873,-0.016891,0.754029,-0.602578,14.780831,120.600555,3.064318,0.07544,0.935709,0.087839,0.333228,-9.28056,85.574898,7.172383,0.049745,0.964649,-0.012554,0.258495,-12.256992,50.523613,-0.559042,-0.031723,0.944527,0.045321,0.323741,-16.823986,6.186274,-0.62581,-0.075847,0.90519,-0.136958,0.395122,5.218309,84.418884,17.234888,-0.046989,0.859782,-0.129547,0.491716,6.265759,50.167454,28.32398,-0.005406,0.836981,0.019672,0.546852,4.188661,7.288346,40.312702,-0.031723,0.944527,0.045321,0.323741,-8.236723,1.881505,-11.429626,-0.005406,0.836981,0.019672,0.546852,16.504229,2.060298,34.836491
