Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.016346,0.915064,0.00686,0.402918,0.008749,85.140228,14.736441,-0.019968,0.916396,0.065586,0.394357,0.185595,92.387077,14.922997,-0.014359,0.918271,0.057348,0.391515,-1.092534,106.721588,16.434536,0.061041,0.95957,-0.039305,0.271947,-2.298651,123.525223,18.026525,0.085741,0.984568,-0.050004,0.144133,0.514662,136.895538,15.946084,0.034326,0.863645,0.142097,0.482439,-4.675999,117.83812,15.187213,0.263831,-0.568806,0.051146,-0.777327,-14.018006,121.285919,0.729452,0.102722,0.292767,-0.428928,-0.848384,-6.656296,113.247391,-17.422653,0.269989,0.368164,-0.493414,-0.74034,3.763477,131.071716,-8.17872,-0.309215,0.891236,-0.264656,0.200104,0.224403,117.707062,20.283211,0.635544,0.756034,-0.108394,-0.112904,13.016737,129.24234,23.671543,0.136485,0.269499,0.644728,-0.702188,16.545795,108.376785,22.974091,0.266325,0.032289,0.722922,-0.63672,16.031891,126.651787,10.793211,0.083371,0.893705,0.104447,0.428289,-5.958453,85.453667,8.217532,0.096745,0.956502,-0.028834,0.273701,-8.103307,50.723164,-1.078601,-0.023291,0.923885,0.016249,0.381615,-17.055948,7.059655,-0.980509,-0.08855,0.893546,-0.112281,0.42559,5.975951,84.82679,21.25535,-0.041547,0.864825,-0.13283,0.482398,8.233347,50.282722,31.19705,0.00135,0.857609,0.013978,0.51411,5.724325,7.437453,43.224052,-0.023291,0.923885,0.016249,0.381615,-7.393847,1.954932,-10.445191,0.00135,0.857609,0.013978,0.51411,17.491158,1.991271,36.830673
1,0.008333,0.016433,0.915063,0.006694,0.40292,0.005266,85.136452,14.740112,-0.020076,0.916312,0.06575,0.394521,0.184232,92.383301,14.924974,-0.014368,0.918184,0.057175,0.391744,-1.099059,106.719086,16.439575,0.06127,0.959493,-0.039041,0.272203,-2.303583,123.523392,18.025784,0.085682,0.984536,-0.050395,0.144251,0.514737,136.894135,15.954929,0.03441,0.86351,0.141627,0.482813,-4.680332,117.835747,15.187051,0.264207,-0.569022,0.051824,-0.776996,-14.009458,121.279861,0.720093,0.103369,0.292261,-0.428783,-0.848554,-6.661087,113.208298,-17.422752,0.270518,0.367532,-0.493615,-0.740327,3.776505,131.034409,-8.208921,-0.309029,0.891128,-0.264786,0.200699,0.21753,117.705559,20.285515,0.63519,0.756327,-0.107825,-0.113483,13.005531,129.240295,23.692009,0.13569,0.26808,0.644734,-0.702879,16.548086,108.378311,22.957672,0.265884,0.031415,0.722405,-0.637535,16.000992,126.69178,10.834391,0.083483,0.893691,0.104435,0.4283,-5.961855,85.450111,8.221138,0.096777,0.956389,-0.028762,0.274093,-8.114132,50.720779,-1.077645,-0.023153,0.923719,0.016355,0.38202,-17.067759,7.057449,-0.990143,-0.088515,0.893721,-0.112321,0.42522,5.972387,84.8228,21.259087,-0.041532,0.864933,-0.13279,0.482217,8.230418,50.27895,31.201399,0.001271,0.857643,0.014031,0.514052,5.724529,7.432628,43.225292,-0.023153,0.923719,0.016355,0.38202,-7.398386,1.954048,-10.448113,0.001271,0.857643,0.014031,0.514052,17.49156,1.988753,36.830303
2,0.016667,0.01651,0.915057,0.0066,0.402932,8.3e-05,85.131378,14.740652,-0.020163,0.916202,0.065972,0.394734,0.180615,92.378204,14.924715,-0.014287,0.918067,0.057121,0.392027,-1.108156,106.716202,16.444208,0.061577,0.959355,-0.038754,0.27266,-2.30995,123.52079,18.029461,0.085513,0.984453,-0.051027,0.144693,0.516006,136.891708,15.970169,0.034376,0.863319,0.141189,0.483284,-4.686233,117.833626,15.18937,0.264557,-0.569284,0.052358,-0.77665,-13.999465,121.27137,0.710663,0.103923,0.29171,-0.428637,-0.84875,-6.66607,113.171638,-17.425686,0.270853,0.367028,-0.493797,-0.740334,3.791738,131.000656,-8.240453,-0.308862,0.891033,-0.264919,0.201204,0.208523,117.702438,20.290791,0.634897,0.75653,-0.107358,-0.114206,12.993013,129.236542,23.71254,0.134875,0.266505,0.644796,-0.703578,16.544338,108.377419,22.940189,0.265156,0.030396,0.722377,-0.637918,15.963682,126.733078,10.879031,0.083571,0.893735,0.10437,0.428207,-5.966827,85.44561,8.221513,0.096656,0.956264,-0.028738,0.274574,-8.127719,50.716339,-1.075521,-0.023174,0.923692,0.01647,0.38208,-17.070578,7.050797,-0.991537,-0.088545,0.893723,-0.112254,0.425226,5.966993,84.817146,21.25979,-0.041519,0.865077,-0.132818,0.481951,8.228973,50.272583,31.198751,0.00134,0.85766,0.014158,0.51402,5.724557,7.426825,43.224983,-0.023174,0.923692,0.01647,0.38208,-7.399363,1.950517,-10.449303,0.00134,0.85766,0.014158,0.51402,17.491192,1.984956,36.827564
3,0.025,0.016528,0.915066,0.006562,0.402913,-0.000699,85.127914,14.745113,-0.020329,0.916086,0.066083,0.394976,0.180299,92.374733,14.928776,-0.014285,0.917934,0.056984,0.392361,-1.114661,106.713577,16.449127,0.061889,0.959218,-0.038631,0.273091,-2.315123,123.518707,18.029716,0.085321,0.984397,-0.051365,0.145065,0.51965,136.88887,15.977661,0.034376,0.863183,0.140824,0.483634,-4.690197,117.831245,15.189199,0.264879,-0.569484,0.053039,-0.776347,-13.991552,121.264351,0.701755,0.104535,0.291164,-0.428509,-0.848926,-6.670869,113.132904,-17.425539,0.271395,0.366291,-0.49389,-0.740438,3.806036,130.965515,-8.270482,-0.30868,0.890915,-0.265098,0.201768,0.200864,117.700493,20.294174,0.634669,0.75677,-0.106569,-0.114616,12.981331,129.234146,23.73246,0.134008,0.265025,0.644973,-0.70414,16.540936,108.377823,22.923567,0.264598,0.029282,0.721942,-0.638694,15.935766,126.774002,10.924995,0.08359,0.894059,0.104512,0.42749,-5.967868,85.442169,8.226211,0.096614,0.956341,-0.028727,0.274321,-8.132993,50.715275,-1.078688,-0.023256,0.923687,0.016462,0.382086,-17.072004,7.048944,-0.992259,-0.088532,0.893764,-0.112219,0.425153,5.96647,84.81366,21.264017,-0.041523,0.865101,-0.132849,0.481899,8.229568,50.268364,31.200165,0.000935,0.857772,0.014098,0.513837,5.724735,7.423377,43.229069,-0.023256,0.923687,0.016462,0.382086,-7.399872,1.94934,-10.449456,0.000935,0.857772,0.014098,0.513837,17.492167,1.985664,36.829575
4,0.033333,0.01655,0.915051,0.006522,0.402945,-0.001829,85.125862,14.74753,-0.020267,0.915994,0.066374,0.395144,0.17969,92.372688,14.930801,-0.014504,0.917834,0.056847,0.392606,-1.116877,106.706558,16.458891,0.062174,0.959087,-0.038532,0.273499,-2.322751,123.511993,18.032005,0.085201,0.984331,-0.0517,0.145466,0.520246,136.881378,15.986273,0.034325,0.86301,0.140475,0.484049,-4.694705,117.822754,15.192469,0.265131,-0.569792,0.053488,-0.776003,-13.982089,121.250221,0.694741,0.104685,0.290571,-0.428184,-0.849275,-6.678308,113.095222,-17.428783,0.271002,0.36523,-0.494182,-0.740911,3.826606,130.920883,-8.293447,-0.308711,0.890717,-0.265275,0.20236,0.193538,117.695381,20.300222,0.634423,0.756958,-0.106124,-0.115155,12.964922,129.234619,23.753429,0.133019,0.263888,0.645091,-0.704647,16.532526,108.380905,22.91329,0.263885,0.028229,0.721762,-0.63924,15.907617,126.81292,10.97159,0.08368,0.894085,0.104439,0.427436,-5.968524,85.440186,8.228202,0.096548,0.956361,-0.028653,0.274282,-8.142235,50.713276,-1.074635,-0.023316,0.923674,0.016506,0.382112,-17.073858,7.04543,-0.992517,-0.088509,0.89379,-0.112175,0.425114,5.964866,84.811539,21.266859,-0.041513,0.86518,-0.132866,0.481753,8.22828,50.265236,31.199432,0.000956,0.857767,0.01411,0.513844,5.72399,7.420569,43.229588,-0.023316,0.923674,0.016506,0.382112,-7.400452,1.947565,-10.449342,0.000956,0.857767,0.01411,0.513844,17.491398,1.982844,36.830074
5,0.041667,0.016563,0.915045,0.00646,0.402959,-0.005163,85.122139,14.751214,-0.020629,0.915853,0.066513,0.395428,0.176884,92.368965,14.933735,-0.014279,0.917689,0.056774,0.392963,-1.131583,106.704437,16.461193,0.062334,0.958931,-0.038647,0.273992,-2.330136,123.510376,18.034582,0.085143,0.984232,-0.051896,0.146095,0.519643,136.878342,15.989013,0.034249,0.862855,0.140062,0.48445,-4.702848,117.822525,15.192879,0.265311,-0.570124,0.054187,-0.77565,-13.976787,121.242462,0.684765,0.105496,0.290085,-0.428034,-0.849417,-6.692195,113.057266,-17.432871,0.271999,0.365147,-0.493758,-0.740869,3.830388,130.886734,-8.330063,-0.308447,0.890647,-0.265487,0.202794,0.181523,117.692329,20.304268,0.634221,0.757098,-0.105645,-0.115778,12.952449,129.228119,23.770716,0.131917,0.262471,0.645246,-0.705241,16.524765,108.37661,22.896132,0.263103,0.027415,0.721826,-0.639526,15.875832,126.853111,11.020645,0.08373,0.894153,0.10444,0.427284,-5.971655,85.436226,8.231687,0.096494,0.956357,-0.028603,0.274322,-8.150085,50.709938,-1.072365,-0.023506,0.923656,0.016554,0.382142,-17.075962,7.040909,-0.993555,-0.088507,0.893873,-0.112131,0.424953,5.961329,84.808052,21.270741,-0.04147,0.865385,-0.132849,0.481394,8.227773,50.261002,31.200033,0.000852,0.857718,0.013933,0.513931,5.725935,7.41561,43.22813,-0.023506,0.923656,0.016554,0.382142,-7.39989,1.946276,-10.449397,0.000852,0.857718,0.013933,0.513931,17.4946,1.975217,36.833199
6,0.05,0.016597,0.915015,0.006439,0.403026,-0.006755,85.118233,14.754455,-0.020208,0.915707,0.066692,0.395758,0.17586,92.365051,14.936918,-0.014808,0.917486,0.056566,0.393446,-1.123457,106.694122,16.47279,0.062503,0.958767,-0.038331,0.274571,-2.336491,123.500336,18.032055,0.085065,0.984157,-0.052262,0.146518,0.517549,136.869186,15.998271,0.034285,0.862846,0.139684,0.484571,-4.701731,117.808533,15.192047,0.265363,-0.570519,0.054707,-0.775305,-13.971445,121.22374,0.680119,0.105529,0.289239,-0.427646,-0.849896,-6.708333,113.016548,-17.436192,0.270991,0.364772,-0.493925,-0.741312,3.848673,130.832245,-8.360833,-0.308473,0.890456,-0.265648,0.203383,0.17705,117.685928,20.308958,0.634121,0.757205,-0.10511,-0.116114,12.939013,129.227097,23.790478,0.131261,0.261089,0.645425,-0.705712,16.513401,108.37706,22.889774,0.262339,0.026344,0.721903,-0.639797,15.842843,126.887558,11.069541,0.08378,0.894246,0.104402,0.42709,-5.972268,85.432739,8.234052,0.096404,0.956231,-0.028608,0.27479,-8.157136,50.706493,-1.068663,-0.023595,0.923671,0.016649,0.382098,-17.075617,7.035947,-0.991595,-0.08847,0.893916,-0.112101,0.424877,5.958758,84.803734,21.274858,-0.041497,0.865353,-0.13281,0.48146,8.224641,50.255741,31.200993,0.000959,0.857689,0.014085,0.513974,5.725664,7.409638,43.227146,-0.023595,0.923671,0.016649,0.382098,-7.39921,1.944618,-10.448875,0.000959,0.857689,0.014085,0.513974,17.494823,1.971272,36.83139
7,0.058333,0.016726,0.914975,0.00631,0.403115,-0.012895,85.114685,14.757922,-0.020161,0.915581,0.0668,0.396035,0.17217,92.361465,14.939436,-0.014882,0.91734,0.05646,0.393799,-1.127609,106.69017,16.478296,0.062505,0.958627,-0.038293,0.275067,-2.342127,123.496712,18.032827,0.085091,0.984054,-0.052472,0.147118,0.513492,136.865692,16.002018,0.034205,0.862768,0.139308,0.484825,-4.705076,117.80423,15.192275,0.265433,-0.570943,0.055241,-0.774931,-13.966361,121.211746,0.673155,0.106259,0.288797,-0.427445,-0.850057,-6.726226,112.981438,-17.441862,0.272273,0.364434,-0.493512,-0.741283,3.849057,130.798126,-8.395462,-0.308352,0.89034,-0.265811,0.203857,0.169746,117.682861,20.312988,0.634161,0.757166,-0.104818,-0.116416,12.927558,129.224579,23.807848,0.130596,0.259573,0.645763,-0.706086,16.496853,108.374428,22.889982,0.261988,0.025223,0.722408,-0.639416,15.810922,126.918449,11.131943,0.083797,0.894254,0.104416,0.427065,-5.977069,85.430351,8.236348,0.096373,0.956229,-0.028568,0.274812,-8.162822,50.704502,-1.06765,-0.023556,0.923636,0.016702,0.382182,-17.077679,7.033214,-0.993404,-0.088496,0.893975,-0.112035,0.424765,5.951279,84.799026,21.279495,-0.041444,0.865519,-0.13286,0.481152,8.222157,50.250305,31.201952,0.001337,0.857724,0.014588,0.513902,5.721197,7.404974,43.230457,-0.023556,0.923636,0.016702,0.382182,-7.399765,1.942828,-10.449655,0.001337,0.857724,0.014588,0.513902,17.488575,1.973103,36.825909
8,0.066667,0.016789,0.914932,0.006223,0.403211,-0.016991,85.111191,14.762571,-0.02021,0.915437,0.066923,0.396343,0.169393,92.357948,14.943322,-0.014864,0.917181,0.056356,0.394185,-1.133669,106.686844,16.484495,0.062519,0.958467,-0.038419,0.2756,-2.346896,123.49379,18.03554,0.085071,0.983946,-0.052605,0.147804,0.511972,136.861908,16.003687,0.034087,0.862725,0.138883,0.485031,-4.708351,117.801262,15.193855,0.265497,-0.571275,0.055713,-0.77463,-13.96288,121.198906,0.66812,0.106669,0.288224,-0.427137,-0.850355,-6.741022,112.948547,-17.445078,0.272539,0.36392,-0.493307,-0.741574,3.859806,130.759506,-8.424372,-0.308225,0.890154,-0.266064,0.204531,0.162181,117.679893,20.318649,0.634144,0.757183,-0.104539,-0.116648,12.913086,129.22374,23.831671,0.130014,0.258558,0.646015,-0.706335,16.481009,108.374023,22.898733,0.261829,0.023775,0.721657,-0.640384,15.786418,126.941254,11.187023,0.083859,0.894258,0.104392,0.42705,-5.97976,85.427246,8.239733,0.096304,0.956436,-0.02841,0.274132,-8.170401,50.701786,-1.064553,-0.023689,0.923653,0.016735,0.382131,-17.075581,7.028514,-0.995665,-0.088492,0.894047,-0.11199,0.424626,5.945778,84.795135,21.28541,-0.041439,0.865558,-0.132818,0.481094,8.219329,50.245632,31.204515,0.001317,0.857742,0.014712,0.513869,5.720636,7.399273,43.22982,-0.023689,0.923653,0.016735,0.382131,-7.397261,1.940335,-10.452685,0.001317,0.857742,0.014712,0.513869,17.48842,1.970538,36.823353
9,0.075,0.016792,0.914869,0.006207,0.403353,-0.019204,85.109566,14.766079,-0.020184,0.915296,0.066969,0.396662,0.167285,92.356331,14.946672,-0.014996,0.917015,0.056281,0.394577,-1.136096,106.684647,16.488869,0.062408,0.958305,-0.038403,0.276193,-2.353085,123.491753,18.035294,0.085187,0.983807,-0.052776,0.148598,0.50496,136.860336,16.005348,0.034025,0.862703,0.138448,0.485198,-4.711255,117.798279,15.192771,0.265567,-0.571532,0.056165,-0.774384,-13.960248,121.187424,0.661527,0.107111,0.287758,-0.426843,-0.850604,-6.752952,112.918221,-17.448875,0.272967,0.363376,-0.493183,-0.741766,3.870546,130.724854,-8.450604,-0.308052,0.890072,-0.266116,0.20508,0.154847,117.678703,20.321814,0.63416,0.757185,-0.104136,-0.11691,12.901595,129.221756,23.852474,0.129506,0.257167,0.646337,-0.706641,16.466076,108.372307,22.900339,0.261789,0.02279,0.721903,-0.640158,15.75834,126.969894,11.242149,0.083953,0.89422,0.104319,0.42713,-5.97994,85.42556,8.24138,0.096242,0.956315,-0.028409,0.274574,-8.178011,50.700153,-1.061332,-0.023446,0.923626,0.016893,0.382205,-17.077991,7.02582,-0.995136,-0.088486,0.894054,-0.111933,0.424628,5.941533,84.793571,21.290779,-0.041453,0.865589,-0.132792,0.481044,8.216461,50.243057,31.206062,0.001211,0.857752,0.014716,0.513852,5.7207,7.396185,43.230141,-0.023446,0.923626,0.016893,0.382205,-7.400007,1.939021,-10.453241,0.001211,0.857752,0.014716,0.513852,17.48926,1.968971,36.823814
