Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.013437,0.932872,-0.015719,0.359613,-5.600591,81.682755,20.139431,-0.03099,0.924051,0.060788,0.376131,-5.700163,88.910606,19.857368,0.015158,0.92214,0.074416,0.37933,-7.123576,102.601364,21.087704,0.076531,0.95822,-0.063951,0.26808,-7.634617,120.325027,23.754744,0.050801,0.981322,-0.118468,0.1428,-4.271009,133.438461,21.143597,-0.019493,0.844628,0.180988,0.503455,-10.523799,114.829384,21.051468,0.449392,-0.528892,0.045379,-0.718513,-19.271786,117.482529,5.813845,0.279795,0.085612,-0.540478,-0.78884,-10.099055,106.120979,-9.303035,-0.314901,-0.328171,0.634036,0.625412,-1.161828,126.187729,-13.032452,-0.115066,0.947588,0.183282,0.235042,-5.502022,114.233826,25.971476,0.434046,0.79794,0.212363,-0.360275,9.833513,116.577827,34.636265,0.06947,0.242226,0.555921,-0.792119,17.475813,105.235268,18.677397,-0.009756,0.006736,0.709953,-0.704149,11.834724,123.29686,8.847942,0.065796,0.926033,0.197245,0.315005,-12.137652,81.361855,14.224066,0.106882,0.976854,0.005349,0.185214,-12.052484,49.045067,-0.165451,0.00986,0.896623,0.019412,0.44226,-21.082048,6.389192,-2.350127,-0.117132,0.863393,-0.018824,0.490386,0.93647,82.003654,26.0548,-0.031358,0.800319,-0.147618,0.580271,7.4385,47.623722,31.268614,-0.016533,0.859354,0.016285,0.510854,2.150737,5.956385,43.172451,0.00986,0.896623,0.019412,0.44226,-10.585082,1.005564,-10.646197,-0.016533,0.859354,0.016285,0.510854,14.020653,0.822167,36.789711
1,0.008333,-0.013301,0.932841,-0.015674,0.359702,-5.602177,81.678474,20.117565,-0.030995,0.924027,0.061092,0.37614,-5.700122,88.906403,19.836802,0.015163,0.922122,0.074829,0.379292,-7.126734,102.595367,21.074745,0.076438,0.958255,-0.063593,0.26807,-7.643137,120.316826,23.755428,0.050571,0.981342,-0.118415,0.142789,-4.284425,133.433182,21.152706,-0.019321,0.844607,0.181282,0.503391,-10.53074,114.822365,21.048058,0.449324,-0.528954,0.045186,-0.718522,-19.281254,117.485535,5.813628,0.279592,0.085842,-0.540706,-0.788731,-10.110554,106.13015,-9.309116,-0.315041,-0.328318,0.634046,0.625254,-1.186132,126.204285,-13.028793,-0.11474,0.94751,0.18326,0.235532,-5.508561,114.224579,25.967384,0.435439,0.796607,0.21306,-0.361132,9.82144,116.554283,34.645824,0.069874,0.241251,0.557324,-0.791395,17.38685,105.207634,18.653267,-0.009984,0.005722,0.710874,-0.703225,11.792682,123.296593,8.851276,0.065767,0.925948,0.197261,0.315252,-12.138185,81.360077,14.200899,0.106878,0.976863,0.005094,0.185175,-12.046931,49.043461,-0.188971,0.009769,0.89666,0.019286,0.442192,-21.080393,6.387279,-2.351415,-0.117131,0.863385,-0.018911,0.490396,0.933832,81.996872,26.034233,-0.031502,0.800331,-0.147783,0.580206,7.432699,47.617157,31.25345,-0.016535,0.859487,0.016625,0.51062,2.147505,5.954865,43.176079,0.009769,0.89666,0.019286,0.442192,-10.584406,1.001678,-10.647449,-0.016535,0.859487,0.016625,0.51062,14.01574,0.8285,36.783897
2,0.016667,-0.013203,0.932824,-0.015646,0.359749,-5.602332,81.674614,20.097563,-0.031078,0.923993,0.06145,0.376159,-5.699082,88.902588,19.81769,0.015233,0.922097,0.075188,0.379279,-7.131654,102.591324,21.063934,0.076408,0.958303,-0.063331,0.267968,-7.650589,120.310768,23.757401,0.050401,0.981395,-0.118291,0.142587,-4.294877,133.429092,21.160715,-0.019278,0.844593,0.181548,0.50332,-10.537416,114.817856,21.046082,0.449223,-0.529021,0.045054,-0.718544,-19.290533,117.486618,5.814129,0.279362,0.086055,-0.540917,-0.788645,-10.122332,106.136147,-9.313819,-0.314966,-0.328709,0.63397,0.625163,-1.209015,126.218964,-13.023699,-0.114443,0.947457,0.183325,0.23584,-5.515128,114.217232,25.964951,0.436844,0.795358,0.213275,-0.36206,9.812125,116.534164,34.651657,0.069958,0.240456,0.558807,-0.790583,17.297796,105.174995,18.630486,-0.010111,0.004936,0.711507,-0.702589,11.75798,123.295853,8.857385,0.065732,0.925891,0.19725,0.315431,-12.137779,81.358002,14.180181,0.106896,0.976853,0.004907,0.185222,-12.041679,49.040771,-0.208265,0.009642,0.896635,0.019173,0.44225,-21.079527,6.38476,-2.355524,-0.117109,0.863436,-0.018994,0.49031,0.933116,81.991219,26.014944,-0.031635,0.800346,-0.147897,0.580148,7.428304,47.611362,31.237778,-0.016762,0.859479,0.01639,0.510634,2.147441,5.952754,43.175198,0.009642,0.896635,0.019173,0.44225,-10.581803,0.997861,-10.648514,-0.016762,0.859479,0.01639,0.510634,14.01675,0.824105,36.786846
3,0.025,-0.013081,0.932796,-0.01564,0.359828,-5.601552,81.672989,20.076599,-0.031112,0.923934,0.061871,0.376231,-5.696663,88.901016,19.79743,0.01522,0.922046,0.075524,0.379336,-7.134387,102.586624,21.053761,0.076313,0.958324,-0.063076,0.267979,-7.658513,120.304276,23.75803,0.050222,0.981422,-0.118197,0.142539,-4.306942,133.424835,21.16724,-0.019136,0.844623,0.181805,0.503183,-10.543438,114.812241,21.042889,0.449266,-0.529078,0.044793,-0.718492,-19.301638,117.488968,5.81526,0.279163,0.086214,-0.541122,-0.788557,-10.134987,106.144455,-9.318091,-0.314815,-0.328885,0.634009,0.625107,-1.232807,126.233589,-13.020459,-0.114329,0.94737,0.183457,0.23614,-5.521753,114.209961,25.962168,0.437919,0.79437,0.213727,-0.362662,9.801391,116.51963,34.658043,0.070492,0.239441,0.559837,-0.790115,17.229179,105.154976,18.613846,-0.009681,0.004005,0.712095,-0.702005,11.719142,123.292313,8.866402,0.065762,0.925821,0.197169,0.315683,-12.13606,81.358406,14.158076,0.106873,0.97684,0.004712,0.185311,-12.039897,49.039196,-0.225917,0.009686,0.896645,0.019227,0.442226,-21.07876,6.382587,-2.35701,-0.117097,0.863403,-0.019029,0.490368,0.932956,81.987572,25.995123,-0.031777,0.800333,-0.148034,0.580123,7.425848,47.607609,31.220135,-0.016752,0.859483,0.016236,0.510631,2.148236,5.953318,43.174034,0.009686,0.896645,0.019227,0.442226,-10.581617,0.996514,-10.651266,-0.016752,0.859483,0.016236,0.510631,14.016621,0.820974,36.786945
4,0.033333,-0.013054,0.932773,-0.01542,0.359898,-5.594995,81.668015,20.053234,-0.031235,0.92389,0.062315,0.376256,-5.690871,88.896149,19.777163,0.015221,0.92202,0.075888,0.379327,-7.136655,102.582802,21.043734,0.076126,0.958386,-0.062715,0.267896,-7.665704,120.29847,23.759995,0.050218,0.981446,-0.118184,0.142391,-4.32178,133.42244,21.176699,-0.019129,0.844578,0.182188,0.50312,-10.549077,114.807487,21.041094,0.449186,-0.529183,0.044583,-0.718477,-19.309546,117.490913,5.815948,0.278754,0.086357,-0.541347,-0.788532,-10.146743,106.15255,-9.324344,-0.314518,-0.328961,0.634071,0.625153,-1.256478,126.249245,-13.01474,-0.114225,0.94728,0.183486,0.236528,-5.527295,114.203247,25.960033,0.438799,0.793507,0.213941,-0.363361,9.790192,116.506279,34.667637,0.070731,0.238721,0.560794,-0.789632,17.164227,105.137718,18.601427,-0.009633,0.003265,0.712917,-0.701174,11.685618,123.294304,8.875179,0.065772,0.925816,0.197123,0.315722,-12.128628,81.355255,14.133644,0.10689,0.976808,0.00442,0.185478,-12.033617,49.034847,-0.247671,0.009585,0.896633,0.019336,0.442248,-21.078289,6.37832,-2.355675,-0.117149,0.863322,-0.019168,0.490494,0.938638,81.980774,25.972826,-0.031815,0.800359,-0.148165,0.580052,7.429071,47.602055,31.209045,-0.016711,0.859465,0.016364,0.51066,2.148483,5.951369,43.174179,0.009585,0.896633,0.019336,0.442248,-10.579208,0.996021,-10.649935,-0.016711,0.859465,0.016364,0.51066,14.017573,0.821413,36.786472
5,0.041667,-0.013038,0.932758,-0.015183,0.359948,-5.588695,81.665573,20.032858,-0.031322,0.923861,0.062627,0.376268,-5.685573,88.893822,19.760056,0.015255,0.921999,0.076257,0.379302,-7.136945,102.580437,21.033733,0.075992,0.958455,-0.062237,0.267797,-7.669824,120.29406,23.762596,0.050196,0.981463,-0.118303,0.142178,-4.333053,133.421982,21.190125,-0.019072,0.844598,0.182468,0.502987,-10.552053,114.804375,21.039858,0.449106,-0.529322,0.044388,-0.718438,-19.317343,117.493645,5.818516,0.278309,0.086423,-0.541567,-0.788531,-10.160002,106.160416,-9.328921,-0.314059,-0.329088,0.63411,0.625278,-1.280615,126.264481,-13.009098,-0.114121,0.947187,0.183607,0.23686,-5.530025,114.197746,25.958256,0.439915,0.792558,0.213956,-0.364074,9.782712,116.493698,34.676067,0.070858,0.238076,0.561932,-0.789007,17.093727,105.112114,18.590282,-0.009686,0.002568,0.713555,-0.700527,11.655571,123.295525,8.884076,0.065823,0.925801,0.197085,0.315781,-12.121699,81.354576,14.112481,0.106899,0.976768,0.004166,0.185688,-12.029937,49.033585,-0.267549,0.009502,0.896633,0.019406,0.442246,-21.07906,6.377041,-2.355988,-0.117212,0.863353,-0.019358,0.490417,0.94431,81.976578,25.953234,-0.031825,0.800372,-0.148261,0.58001,7.432366,47.599422,31.202667,-0.0169,0.859475,0.016311,0.510637,2.148182,5.951288,43.175098,0.009502,0.896633,0.019406,0.442246,-10.578826,0.997389,-10.650502,-0.0169,0.859475,0.016311,0.510637,14.018391,0.822729,36.788353
6,0.05,-0.013005,0.93272,-0.015104,0.36005,-5.585299,81.664597,20.015003,-0.031375,0.923813,0.06298,0.376323,-5.682114,88.892891,19.743443,0.015112,0.921961,0.07657,0.379337,-7.138339,102.575836,21.025242,0.075707,0.958531,-0.061935,0.267678,-7.680309,120.287895,23.762415,0.050391,0.9815,-0.118176,0.14196,-4.353457,133.419342,21.195026,-0.018916,0.844551,0.182726,0.502978,-10.559489,114.79808,21.036726,0.449261,-0.529442,0.044098,-0.718269,-19.325331,117.496613,5.817345,0.27817,0.086697,-0.541937,-0.788295,-10.172282,106.166733,-9.335193,-0.314273,-0.329339,0.63391,0.625242,-1.312697,126.28125,-13.007964,-0.113979,0.947109,0.183758,0.237122,-5.537767,114.191612,25.955456,0.440642,0.791907,0.214172,-0.364484,9.771717,116.479492,34.681103,0.070925,0.237471,0.56264,-0.788678,17.043261,105.092743,18.581093,-0.009662,0.002039,0.713661,-0.700421,11.627115,123.292114,8.895447,0.065875,0.925757,0.197017,0.315942,-12.117016,81.354637,14.093155,0.106912,0.976721,0.00395,0.185929,-12.027751,49.032219,-0.283676,0.009605,0.896605,0.019483,0.442299,-21.081009,6.375775,-2.356158,-0.117274,0.863353,-0.019479,0.490396,0.946419,81.974564,25.936852,-0.03185,0.800327,-0.148314,0.580056,7.434087,47.598763,31.195658,-0.016916,0.859435,0.016314,0.510705,2.148236,5.952138,43.172611,0.009605,0.896605,0.019483,0.442299,-10.580446,0.996786,-10.650687,-0.016916,0.859435,0.016314,0.510705,14.019611,0.823898,36.787777
7,0.058333,-0.012903,0.932706,-0.014975,0.360096,-5.579594,81.660858,19.996634,-0.031502,0.923771,0.063377,0.376349,-5.675693,88.889244,19.727331,0.01511,0.921936,0.076856,0.37934,-7.139419,102.57193,21.017962,0.075664,0.95858,-0.061531,0.267607,-7.685371,120.28241,23.764494,0.050315,0.98152,-0.118304,0.141743,-4.362713,133.416824,21.206856,-0.018918,0.844509,0.182952,0.502966,-10.563255,114.793411,21.035803,0.449224,-0.529606,0.044032,-0.718176,-19.329529,117.495857,5.817366,0.277779,0.086742,-0.54216,-0.788275,-10.183516,106.165871,-9.339348,-0.313915,-0.32945,0.633831,0.625443,-1.333851,126.289604,-13.004449,-0.11388,0.947026,0.183844,0.237432,-5.541564,114.18544,25.954378,0.441481,0.791182,0.214344,-0.364941,9.763481,116.466919,34.689487,0.07105,0.236952,0.563419,-0.788267,16.989897,105.072441,18.574627,-0.009878,0.001526,0.714142,-0.69993,11.600955,123.287491,8.905733,0.065919,0.925719,0.196966,0.316075,-12.110783,81.353371,14.074071,0.106912,0.976724,0.003778,0.185921,-12.023516,49.029968,-0.300562,0.009432,0.896598,0.019427,0.442319,-21.079609,6.373405,-2.35825,-0.117321,0.8634,-0.019631,0.490297,0.951595,81.968338,25.919195,-0.031864,0.80033,-0.148413,0.580026,7.437402,47.59375,31.18816,-0.016904,0.859428,0.016348,0.510716,2.14795,5.94975,43.172649,0.009432,0.896598,0.019427,0.442319,-10.577256,0.995032,-10.650911,-0.016904,0.859428,0.016348,0.510716,14.019555,0.822132,36.787739
8,0.066667,-0.012692,0.932704,-0.014994,0.360107,-5.57766,81.660789,19.977507,-0.031498,0.923748,0.063823,0.37633,-5.670807,88.889244,19.709045,0.015091,0.921928,0.077149,0.379301,-7.138938,102.569412,21.010998,0.07554,0.958624,-0.06132,0.267532,-7.689413,120.278297,23.766922,0.050224,0.981539,-0.118328,0.141626,-4.371707,133.414764,21.213442,-0.01894,0.844512,0.18316,0.502885,-10.565992,114.789978,21.03548,0.449341,-0.529708,0.043821,-0.71804,-19.335117,117.494965,5.819142,0.277406,0.086741,-0.542265,-0.788334,-10.192872,106.167053,-9.341386,-0.313241,-0.329312,0.633967,0.625716,-1.34822,126.294495,-12.99859,-0.11374,0.946939,0.183729,0.237933,-5.543883,114.180733,25.953468,0.442163,0.790539,0.214217,-0.365583,9.753825,116.454842,34.703331,0.071252,0.236525,0.564186,-0.787829,16.935184,105.053452,18.573227,-0.009862,0.000939,0.715059,-0.698994,11.574356,123.283173,8.915858,0.065955,0.925655,0.196822,0.316345,-12.108794,81.356659,14.054716,0.106898,0.97673,0.00368,0.185896,-12.023053,49.029564,-0.311629,0.009285,0.896633,0.019257,0.442257,-21.079571,6.372675,-2.36051,-0.117339,0.863461,-0.019776,0.490179,0.953474,81.96492,25.900299,-0.031951,0.800276,-0.148475,0.58008,7.43598,47.591026,31.17783,-0.01668,0.859415,0.016343,0.510745,2.148592,5.949131,43.170525,0.009285,0.896633,0.019257,0.442257,-10.577748,0.991911,-10.652285,-0.01668,0.859415,0.016343,0.510745,14.018544,0.818283,36.785145
9,0.075,-0.012663,0.932697,-0.014956,0.360127,-5.569656,81.659576,19.96027,-0.031591,0.923695,0.06427,0.376376,-5.662608,88.888062,19.692465,0.01509,0.921885,0.077454,0.379343,-7.13791,102.567604,21.004847,0.075321,0.95867,-0.061149,0.267469,-7.692694,120.274803,23.770718,0.050228,0.981555,-0.118347,0.141495,-4.382063,133.413528,21.219719,-0.018969,0.844484,0.18331,0.502876,-10.567715,114.787376,21.03583,0.449647,-0.529823,0.043557,-0.71778,-19.33713,117.494118,5.819967,0.277274,0.086886,-0.542521,-0.788188,-10.19902,106.16568,-9.342666,-0.313056,-0.329368,0.633965,0.62578,-1.367853,126.300026,-12.995333,-0.113523,0.946858,0.183679,0.238399,-5.546055,114.176491,25.954073,0.442814,0.789927,0.214624,-0.365879,9.745519,116.440369,34.717304,0.071657,0.235972,0.564803,-0.787515,16.893578,105.037689,18.573334,-0.009742,0.000477,0.715802,-0.698235,11.551692,123.276939,8.92676,0.065955,0.925679,0.196771,0.316305,-12.100548,81.356155,14.037172,0.106924,0.976754,0.003531,0.185761,-12.016631,49.027645,-0.325979,0.009449,0.896635,0.01929,0.442249,-21.078079,6.371155,-2.361317,-0.1173,0.86348,-0.019989,0.490146,0.961234,81.963005,25.883368,-0.032021,0.800233,-0.148516,0.580125,7.434204,47.589062,31.172302,-0.016725,0.859421,0.016242,0.510737,2.148953,5.948606,43.170944,0.009449,0.896635,0.01929,0.442249,-10.577858,0.989316,-10.654424,-0.016725,0.859421,0.016242,0.510737,14.018682,0.816043,36.786526
