Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.013466,0.879028,0.00559,0.476547,-1.783645,81.038651,20.619574,-0.026744,0.872069,0.104812,0.477279,-1.993451,88.269608,20.597822,0.009387,0.872711,0.110128,0.475562,-4.022394,101.777054,22.77314,0.068638,0.941943,-0.036309,0.32667,-5.606763,119.26947,26.379827,0.029412,0.983614,-0.076548,0.160559,-2.437194,132.578857,24.674509,-0.01072,0.812883,0.195873,0.548398,-7.687697,113.928307,22.774418,-0.643969,0.077418,0.615087,-0.448306,-14.765075,117.43605,6.857195,-0.734026,-0.336554,0.391797,0.440945,-9.902638,103.749229,-8.333967,-0.194953,-0.153226,0.686954,0.683089,2.080352,125.318192,-15.485305,-0.140835,0.904604,0.190083,0.354579,-3.8248,113.073685,28.616253,0.372982,0.851744,0.179743,-0.321105,8.771553,115.206017,40.96682,0.036973,0.267215,0.51612,-0.812927,19.607267,104.278114,26.652081,0.026667,0.042867,0.700567,-0.711798,12.721642,121.668221,16.621445,0.081493,0.881254,0.18573,0.426913,-6.59555,80.876793,13.227209,0.14671,0.968682,-0.036286,0.197016,-6.06671,48.411568,-0.8145,0.037024,0.927363,0.018176,0.371882,-19.099209,6.750009,-0.269198,-0.121254,0.810169,0.011483,0.573404,3.02826,81.2005,28.011938,-0.016158,0.763623,-0.151609,0.627402,10.444496,46.874367,32.272892,-0.027414,0.832254,0.032036,0.552789,3.216763,5.248246,43.266304,0.037024,0.927363,0.018176,0.371882,-10.27033,1.116927,-10.184528,-0.027414,0.832254,0.032036,0.552789,15.834252,0.641047,38.015862
1,0.008333,-0.013385,0.879153,0.005522,0.47632,-1.781127,81.035942,20.625961,-0.026589,0.872175,0.104601,0.477141,-1.989438,88.266953,20.603952,0.009491,0.87279,0.10996,0.475455,-4.011599,101.776161,22.776703,0.068922,0.941973,-0.036465,0.326507,-5.589396,119.269821,26.380175,0.029184,0.983647,-0.076849,0.160251,-2.411823,132.577026,24.672703,-0.010687,0.813086,0.195574,0.548204,-7.673059,113.928581,22.776487,-0.64367,0.077446,0.615249,-0.448508,-14.758013,117.430031,6.861241,-0.734149,-0.336485,0.391915,0.440688,-9.904151,103.735161,-8.32541,-0.195452,-0.152998,0.686846,0.683105,2.076295,125.300873,-15.489573,-0.140834,0.904743,0.19005,0.354241,-3.808747,113.073959,28.617388,0.372702,0.852081,0.177733,-0.321655,8.796126,115.209648,40.958691,0.036507,0.267603,0.515887,-0.812968,19.625753,104.263474,26.653299,0.027053,0.042958,0.700696,-0.711651,12.735785,121.658585,16.615032,0.081493,0.881469,0.185865,0.42641,-6.596891,80.874718,13.236094,0.146654,0.968765,-0.036209,0.196661,-6.071819,48.413052,-0.813989,0.036904,0.92738,0.018109,0.371856,-19.098219,6.74957,-0.269457,-0.121271,0.810088,0.011683,0.573511,3.034636,81.197166,28.015827,-0.016076,0.763544,-0.15176,0.627463,10.459309,46.871632,32.266964,-0.027381,0.832252,0.032027,0.552795,3.216902,5.24928,43.264988,0.036904,0.92738,0.018109,0.371856,-10.268971,1.115918,-10.18414,-0.027381,0.832252,0.032027,0.552795,15.834146,0.641379,38.014561
2,0.016667,-0.013247,0.879296,0.005372,0.476061,-1.777503,81.032013,20.635921,-0.026874,0.872543,0.104003,0.476581,-1.983023,88.263092,20.613024,0.00946,0.8732,0.109782,0.474742,-4.002575,101.773575,22.768778,0.068732,0.942149,-0.036412,0.326045,-5.575359,119.268669,26.367533,0.029478,0.983654,-0.076933,0.160113,-2.404575,132.577179,24.6576,-0.010501,0.813226,0.195388,0.548067,-7.66463,113.925812,22.769472,-0.64344,0.077878,0.615115,-0.448947,-14.755053,117.428032,6.856836,-0.734207,-0.336374,0.392226,0.440399,-9.897067,103.713417,-8.310665,-0.195463,-0.152656,0.686859,0.683166,2.07529,125.278244,-15.495607,-0.140664,0.904775,0.189738,0.354395,-3.790759,113.073814,28.604418,0.375975,0.849855,0.187909,-0.317931,8.811926,115.2071,40.948364,0.041166,0.264546,0.51733,-0.812829,19.638704,104.287079,26.620844,0.0273,0.043052,0.700384,-0.711943,12.757793,121.643974,16.606709,0.081502,0.881696,0.186059,0.425855,-6.597672,80.87162,13.248912,0.146612,0.968748,-0.036206,0.19678,-6.075948,48.415157,-0.813293,0.036854,0.927377,0.018025,0.371873,-19.098875,6.750581,-0.269836,-0.121238,0.810082,0.011964,0.57352,3.042667,81.192406,28.02293,-0.015969,0.763518,-0.151985,0.627444,10.476828,46.866783,32.256752,-0.027458,0.83226,0.031959,0.552782,3.215137,5.250093,43.263474,0.036854,0.927377,0.018025,0.371873,-10.269149,1.115265,-10.18314,-0.027458,0.83226,0.031959,0.552782,15.832509,0.641815,38.013695
3,0.025,-0.013183,0.879429,0.005346,0.475817,-1.77217,81.027069,20.644634,-0.02679,0.872722,0.103755,0.476312,-1.97671,88.258186,20.621904,0.009487,0.873373,0.109606,0.474463,-3.990558,101.771912,22.773762,0.06867,0.942232,-0.036585,0.325798,-5.558333,119.268372,26.368057,0.0295,0.983669,-0.07718,0.159903,-2.38845,132.576309,24.652044,-0.010445,0.813391,0.195167,0.547902,-7.650785,113.924706,22.773058,-0.643101,0.078048,0.61532,-0.449123,-14.747688,117.423035,6.862453,-0.734332,-0.336103,0.392366,0.440272,-9.90141,103.696526,-8.298034,-0.195628,-0.152242,0.686862,0.683207,2.075326,125.255157,-15.499492,-0.140566,0.904896,0.189417,0.354295,-3.773187,113.073959,28.605711,0.376306,0.849751,0.187711,-0.317934,8.833001,115.209404,40.945709,0.041563,0.264547,0.517454,-0.81273,19.649223,104.276588,26.61997,0.027586,0.043178,0.70073,-0.711585,12.773582,121.631554,16.597748,0.081553,0.881982,0.186194,0.425193,-6.596466,80.867401,13.260299,0.146549,0.968758,-0.03615,0.196787,-6.084218,48.415089,-0.811839,0.0369,0.927336,0.018078,0.371967,-19.101036,6.748554,-0.272132,-0.121203,0.809968,0.012271,0.573683,3.052125,81.186745,28.028971,-0.01588,0.763397,-0.152229,0.627535,10.495918,46.86105,32.245251,-0.027432,0.832228,0.03196,0.552832,3.21359,5.250588,43.261894,0.0369,0.927336,0.018078,0.371967,-10.269545,1.114057,-10.184338,-0.027432,0.832228,0.03196,0.552832,15.831375,0.641925,38.013439
4,0.033333,-0.01299,0.8796,0.005359,0.475506,-1.765718,81.021187,20.65469,-0.026692,0.872896,0.103543,0.476046,-1.967899,88.252373,20.633516,0.009448,0.873538,0.10933,0.474224,-3.976198,101.76915,22.782515,0.068847,0.942252,-0.036981,0.325658,-5.539508,119.267799,26.368052,0.029263,0.983674,-0.077353,0.159833,-2.362211,132.572784,24.642912,-0.010445,0.81362,0.194914,0.547651,-7.634749,113.92244,22.777193,-0.642743,0.078035,0.615406,-0.449519,-14.741412,117.414009,6.869465,-0.734454,-0.335957,0.392574,0.439995,-9.899519,103.677132,-8.283032,-0.195769,-0.151821,0.686943,0.68318,2.07342,125.230644,-15.502617,-0.140579,0.904981,0.189206,0.354185,-3.753939,113.074371,28.608101,0.376582,0.849712,0.187457,-0.31786,8.854893,115.214088,40.94466,0.041917,0.264608,0.517493,-0.812667,19.664324,104.268005,26.623926,0.027935,0.043439,0.700847,-0.71144,12.792209,121.617821,16.59305,0.081535,0.882328,0.186332,0.424417,-6.595321,80.86454,13.273762,0.14649,0.968784,-0.036049,0.196722,-6.090037,48.415665,-0.806549,0.037119,0.927304,0.018231,0.372017,-19.100235,6.746974,-0.273412,-0.121239,0.809855,0.012575,0.573827,3.063885,81.177834,28.035618,-0.01566,0.763436,-0.1525,0.627427,10.521219,46.853298,32.237309,-0.027604,0.832241,0.031949,0.552804,3.210884,5.249441,43.26033,0.037119,0.927304,0.018231,0.372017,-10.269238,1.114243,-10.187058,-0.027604,0.832241,0.031949,0.552804,15.829677,0.643141,38.012226
5,0.041667,-0.012888,0.879814,0.005414,0.475113,-1.754706,81.016052,20.667116,-0.026778,0.873064,0.103296,0.475787,-1.955978,88.247261,20.64744,0.0095,0.87369,0.109114,0.473994,-3.963088,101.769257,22.790638,0.068911,0.942316,-0.037237,0.325431,-5.520147,119.269562,26.370796,0.029165,0.983693,-0.077666,0.159581,-2.339771,132.572906,24.638687,-0.010481,0.813833,0.194732,0.547399,-7.6187,113.923431,22.783028,-0.64245,0.078296,0.61556,-0.449683,-14.735138,117.408585,6.878263,-0.734608,-0.335661,0.392735,0.439822,-9.902901,103.65847,-8.265309,-0.195958,-0.151415,0.687085,0.683073,2.07303,125.202194,-15.503311,-0.140329,0.905159,0.188888,0.353999,-3.734818,113.076508,28.612057,0.376453,0.849862,0.1869,-0.317941,8.881189,115.214302,40.941612,0.042171,0.264688,0.517216,-0.812803,19.692554,104.263641,26.625835,0.028355,0.043703,0.701094,-0.711163,12.810076,121.603966,16.585573,0.081512,0.882781,0.18648,0.423414,-6.590951,80.861374,13.290498,0.146467,0.968753,-0.035983,0.196901,-6.09561,48.416122,-0.798525,0.036824,0.92728,0.018154,0.372111,-19.102877,6.746423,-0.272971,-0.121263,0.809878,0.012845,0.573784,3.08154,81.170731,28.043736,-0.015398,0.76345,-0.152793,0.627344,10.551348,46.84708,32.230503,-0.027766,0.832203,0.031961,0.552852,3.208597,5.250338,43.258812,0.036824,0.92728,0.018154,0.372111,-10.267203,1.114326,-10.18281,-0.027766,0.832203,0.031961,0.552852,15.829374,0.646801,38.013046
6,0.05,-0.012687,0.880054,0.005317,0.474674,-1.746469,81.012764,20.68462,-0.026948,0.873261,0.102959,0.475487,-1.944529,88.244064,20.665186,0.00965,0.873872,0.108917,0.4737,-3.949928,101.763168,22.798073,0.068774,0.942399,-0.03756,0.325182,-5.497714,119.264915,26.375229,0.029093,0.983701,-0.077919,0.159422,-2.318882,132.567245,24.632538,-0.010419,0.814132,0.194398,0.547075,-7.600903,113.918732,22.790241,-0.642188,0.078513,0.615591,-0.449975,-14.730013,117.396843,6.889608,-0.734741,-0.33543,0.392974,0.439562,-9.900827,103.633591,-8.242989,-0.196106,-0.151003,0.687237,0.682968,2.073174,125.170639,-15.502252,-0.140294,0.905317,0.188416,0.353862,-3.713128,113.071701,28.616657,0.376605,0.84989,0.186578,-0.317875,8.906672,115.216019,40.941193,0.042544,0.264808,0.517191,-0.812761,19.714985,104.254677,26.631287,0.028908,0.04395,0.700977,-0.711241,12.83471,121.587303,16.580101,0.08155,0.883166,0.186632,0.422536,-6.590171,80.860283,13.312848,0.146349,0.968788,-0.035826,0.196848,-6.106462,48.419491,-0.786841,0.036725,0.927334,0.018222,0.371984,-19.101387,6.745812,-0.271729,-0.121274,0.809876,0.013169,0.573778,3.097234,81.165245,28.056389,-0.01518,0.763317,-0.153051,0.627448,10.580802,46.842373,32.224964,-0.027879,0.832161,0.031964,0.55291,3.207809,5.251935,43.256901,0.036725,0.927334,0.018222,0.371984,-10.266992,1.116448,-10.184259,-0.027879,0.832161,0.031964,0.55291,15.830257,0.650198,38.013577
7,0.058333,-0.012645,0.880301,0.005285,0.474217,-1.730166,81.007477,20.70266,-0.027096,0.873502,0.102729,0.475087,-1.92747,88.238808,20.683214,0.009713,0.874115,0.108709,0.473298,-3.93245,101.758888,22.80957,0.068558,0.942525,-0.03781,0.324834,-5.473076,119.262222,26.382088,0.02906,0.983716,-0.078295,0.159149,-2.298769,132.564346,24.62952,-0.010389,0.814413,0.194111,0.546759,-7.580817,113.915237,22.800962,-0.641841,0.07877,0.6158,-0.450141,-14.72224,117.386353,6.904326,-0.734877,-0.335074,0.393189,0.439413,-9.90555,103.60907,-8.219494,-0.196327,-0.150478,0.687247,0.683011,2.071228,125.135468,-15.499777,-0.140294,0.905565,0.188392,0.353241,-3.687696,113.069405,28.623983,0.376899,0.849892,0.186036,-0.317839,8.947715,115.219429,40.931519,0.043092,0.264561,0.517108,-0.812865,19.747675,104.240021,26.629158,0.029621,0.044053,0.701357,-0.710831,12.857524,121.56813,16.572418,0.081645,0.883584,0.186819,0.42156,-6.581527,80.855301,13.335919,0.146298,0.968805,-0.03572,0.196818,-6.113462,48.420544,-0.778161,0.036648,0.927357,0.018221,0.371932,-19.102318,6.744874,-0.270745,-0.121171,0.809875,0.013509,0.573792,3.121194,81.15966,28.069401,-0.015014,0.763038,-0.153361,0.627717,10.61269,46.83567,32.214443,-0.027927,0.832151,0.031945,0.552924,3.207727,5.253082,43.254543,0.036648,0.927357,0.018221,0.371932,-10.26821,1.11624,-10.18395,-0.027927,0.832151,0.031945,0.552924,15.830644,0.651657,38.012077
8,0.066667,-0.01248,0.880571,0.005157,0.473722,-1.716899,81.002533,20.725819,-0.026846,0.87374,0.102366,0.47474,-1.911243,88.233932,20.70599,0.009467,0.874294,0.108422,0.473039,-3.904135,101.753365,22.827295,0.068329,0.942617,-0.038165,0.324575,-5.446568,119.259094,26.387259,0.029013,0.98374,-0.078553,0.15888,-2.275931,132.560471,24.622427,-0.010397,0.814758,0.193846,0.546338,-7.555185,113.908897,22.811449,-0.641425,0.078981,0.616095,-0.450292,-14.712954,117.371597,6.920326,-0.735014,-0.334751,0.393352,0.439285,-9.912976,103.58049,-8.196199,-0.196553,-0.150045,0.687267,0.68302,2.067562,125.096718,-15.494413,-0.140378,0.905717,0.188072,0.352986,-3.658536,113.06839,28.632883,0.377397,0.849778,0.185571,-0.317824,8.982446,115.22757,40.933098,0.043742,0.264677,0.517144,-0.81277,19.767042,104.225876,26.636276,0.030029,0.044231,0.701328,-0.710831,12.881294,121.545006,16.562616,0.081842,0.883963,0.187003,0.420643,-6.576617,80.851746,13.364561,0.146184,0.968842,-0.035512,0.19676,-6.129743,48.424133,-0.766629,0.036521,0.927295,0.01814,0.372103,-19.10573,6.744277,-0.274009,-0.121103,0.810042,0.01384,0.573563,3.142819,81.15332,28.08708,-0.014733,0.763083,-0.153659,0.627596,10.645074,46.828815,32.208294,-0.027922,0.83217,0.031968,0.552894,3.206702,5.253488,43.253281,0.036521,0.927295,0.01814,0.372103,-10.267103,1.11458,-10.182579,-0.027922,0.83217,0.031968,0.552894,15.829325,0.652495,38.009724
9,0.075,-0.012336,0.880908,0.00496,0.473101,-1.69769,80.99601,20.753407,-0.026946,0.874096,0.101956,0.474168,-1.888861,88.227501,20.732183,0.009363,0.874629,0.108208,0.47247,-3.877437,101.749039,22.843685,0.068152,0.942791,-0.038434,0.324072,-5.417154,119.256508,26.396265,0.028958,0.983779,-0.078994,0.158429,-2.250399,132.557373,24.620728,-0.010377,0.815146,0.193493,0.545884,-7.529818,113.904175,22.826056,-0.64094,0.07921,0.616359,-0.450582,-14.705208,117.357338,6.940812,-0.735229,-0.334186,0.393534,0.439192,-9.920432,103.549179,-8.164963,-0.196251,-0.149478,0.687389,0.683109,2.071262,125.048462,-15.48824,-0.140466,0.905892,0.187638,0.352734,-3.625549,113.0672,28.642887,0.377871,0.849744,0.184827,-0.317786,9.020868,115.237221,40.935593,0.044213,0.264969,0.517157,-0.812641,19.791422,104.208885,26.648716,0.030411,0.044425,0.700882,-0.711242,12.912217,121.521294,16.555283,0.082201,0.884266,0.187133,0.419878,-6.567842,80.84568,13.399044,0.14601,0.968964,-0.035211,0.196344,-6.151445,48.425682,-0.750528,0.036636,0.927299,0.018298,0.372076,-19.107765,6.739518,-0.274658,-0.120995,0.810309,0.014198,0.573199,3.172463,81.146339,28.107771,-0.014334,0.763223,-0.154022,0.627346,10.684938,46.820686,32.200714,-0.02809,0.83216,0.031868,0.552906,3.203593,5.254102,43.249588,0.036636,0.927299,0.018298,0.372076,-10.270123,1.112761,-10.185771,-0.02809,0.83216,0.031868,0.552906,15.827242,0.653414,38.008247
