Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.054971,0.847011,-0.042379,0.527024,-8.343821,84.844788,4.76545,-0.12348,0.805241,-0.017115,0.579695,-8.694329,92.009125,3.826951,-0.081429,0.795281,-0.003298,0.600738,-11.384093,106.567039,1.261833,0.068166,0.866341,-0.107341,0.482995,-13.635378,124.259392,-0.586448,0.158597,0.917476,-0.103782,0.349734,-9.15168,137.046951,-3.129788,-0.080531,0.720729,0.133122,0.675532,-14.621849,118.043304,-3.085456,0.373779,-0.555284,-0.103311,-0.735715,-15.94287,119.176544,-20.769419,0.419212,-0.150891,-0.569042,-0.691148,-8.335041,113.646973,-39.565353,-0.512056,-0.282898,0.613608,0.530333,-1.308106,128.762909,-55.267548,-0.198768,0.836978,-0.001021,0.509861,-12.752395,118.985069,3.652322,0.328428,0.927287,0.177074,0.030315,-5.625684,124.915985,18.811022,0.083681,0.485429,0.495879,-0.715164,10.819221,111.888611,17.548035,0.059097,0.203129,0.717616,-0.663531,10.021376,125.458611,0.752345,0.015256,0.873397,0.099215,0.476552,-12.211812,83.629189,-3.069638,0.070108,0.95381,-0.125714,0.263682,-9.809343,48.966377,-9.714937,0.009185,0.913215,-0.00554,0.407337,-18.542126,7.119608,-0.859681,-0.213509,0.799126,-0.014087,0.561794,-4.475828,86.060387,12.600538,-0.132514,0.752547,-0.143651,0.62887,7.035927,53.923988,21.883505,0.124733,0.832212,-0.179171,0.509669,7.855343,13.603097,38.598267,0.009185,0.913215,-0.00554,0.407337,-8.820575,1.153714,-9.685436,0.124733,0.832212,-0.179171,0.509669,16.251709,2.786586,34.070732
1,0.008333,-0.05416,0.846628,-0.042356,0.527726,-8.35836,84.819084,4.739642,-0.122471,0.80563,-0.015961,0.579401,-8.698369,91.984726,3.807297,-0.08037,0.795828,-0.003116,0.600158,-11.381808,106.531921,1.291902,0.068737,0.866415,-0.10675,0.482913,-13.608439,124.230453,-0.526763,0.159055,0.917217,-0.102912,0.350461,-9.119331,137.020187,-3.049638,-0.079841,0.721772,0.132123,0.674695,-14.608608,118.019608,-3.03332,0.3758,-0.556063,-0.098235,-0.734791,-15.973709,119.139626,-20.714781,0.419868,-0.150386,-0.566945,-0.692581,-8.359252,113.389778,-39.441814,-0.513651,-0.280273,0.613804,0.529957,-1.22455,128.464264,-55.096512,-0.197843,0.837647,-0.000781,0.509122,-12.726903,118.948532,3.702831,0.329143,0.926958,0.177682,0.029021,-5.560402,124.852249,18.853386,0.083757,0.48414,0.496517,-0.715586,10.867961,111.810432,17.525846,0.059796,0.20192,0.717171,-0.664318,10.043511,125.411537,0.758159,0.015409,0.873269,0.098879,0.47685,-12.214853,83.615669,-3.102992,0.069702,0.953527,-0.126001,0.264671,-9.830913,48.948486,-9.732132,0.009022,0.913261,-0.005078,0.407244,-18.54562,7.10305,-0.852802,-0.212623,0.798521,-0.01591,0.562941,-4.501868,86.022499,12.582275,-0.133116,0.751511,-0.142565,0.630227,6.876923,53.863262,21.949682,0.123175,0.832526,-0.176858,0.510342,7.766627,13.529208,38.629047,0.009022,0.913261,-0.005078,0.407244,-8.82182,1.15001,-9.684762,0.123175,0.832526,-0.176858,0.510342,16.223574,2.767126,34.084602
2,0.016667,-0.053042,0.846536,-0.042471,0.527978,-8.381799,84.78997,4.718957,-0.121393,0.806398,-0.015031,0.578585,-8.707008,91.957207,3.793608,-0.079219,0.79681,-0.002815,0.599007,-11.380415,106.495193,1.325114,0.069257,0.866686,-0.10676,0.48235,-13.583583,124.200378,-0.457046,0.159333,0.91706,-0.101593,0.351131,-9.084606,136.987198,-2.977066,-0.079403,0.722616,0.131462,0.673972,-14.60157,117.995392,-2.970953,0.377388,-0.557424,-0.092529,-0.733686,-16.003815,119.105057,-20.65016,0.41975,-0.149455,-0.565443,-0.69408,-8.407326,113.115952,-39.309387,-0.51588,-0.277944,0.613353,0.52954,-1.185575,128.192978,-54.905338,-0.197061,0.838631,-0.00042,0.507805,-12.697801,118.909904,3.760969,0.330356,0.926593,0.177637,0.027122,-5.472707,124.790665,18.892612,0.083635,0.482798,0.497223,-0.716017,10.926523,111.720909,17.48225,0.060575,0.200487,0.716482,-0.665424,10.076038,125.364815,0.741853,0.015501,0.873397,0.098587,0.476673,-12.235708,83.602081,-3.127315,0.069176,0.953376,-0.12612,0.265297,-9.868674,48.931019,-9.74218,0.008731,0.913304,-0.004541,0.40716,-18.548307,7.081819,-0.846246,-0.211808,0.796973,-0.017221,0.565398,-4.527889,85.977852,12.565228,-0.133371,0.750592,-0.141548,0.631496,6.726445,53.797211,22.009178,0.121242,0.832545,-0.174399,0.511619,7.662462,13.44384,38.639229,0.008731,0.913304,-0.004541,0.40716,-8.820354,1.144791,-9.684409,0.121242,0.832545,-0.174399,0.511619,16.195007,2.742526,34.092579
3,0.025,-0.05187,0.846711,-0.04221,0.527833,-8.388363,84.746948,4.699273,-0.121063,0.807469,-0.014274,0.577177,-8.701433,91.916283,3.786069,-0.077476,0.798299,-0.002138,0.597254,-11.382928,106.448891,1.347668,0.069365,0.867298,-0.106523,0.481285,-13.555106,124.163994,-0.372934,0.159466,0.916981,-0.100411,0.351618,-9.060857,136.952362,-2.893519,-0.079012,0.723573,0.131218,0.673038,-14.598593,117.968597,-2.899993,0.3796,-0.558564,-0.087158,-0.732335,-16.047754,119.075432,-20.575588,0.419666,-0.148151,-0.564169,-0.695445,-8.464163,112.845703,-39.161129,-0.517019,-0.276555,0.6131,0.52945,-1.165826,127.928772,-54.683601,-0.196439,0.839853,-1.6e-05,0.506023,-12.66137,118.85936,3.825565,0.330973,0.926542,0.177108,0.024695,-5.363385,124.722839,18.928905,0.084359,0.481022,0.497497,-0.716936,11.02397,111.64843,17.42671,0.061811,0.198237,0.716691,-0.66576,10.111217,125.313332,0.703967,0.015721,0.873739,0.098268,0.476106,-12.247128,83.578934,-3.147595,0.068659,0.953295,-0.126246,0.265662,-9.908832,48.903908,-9.751911,0.008334,0.913352,-0.003746,0.407069,-18.551914,7.051268,-0.836595,-0.210945,0.796057,-0.018891,0.566955,-4.529597,85.914955,12.54614,-0.133341,0.749934,-0.140723,0.632468,6.593524,53.712761,22.071714,0.118693,0.832697,-0.171674,0.51289,7.553434,13.338369,38.649292,0.008334,0.913352,-0.003746,0.407069,-8.817546,1.137593,-9.68334,0.118693,0.832697,-0.171674,0.51289,16.173983,2.709107,34.09964
4,0.033333,-0.05106,0.847175,-0.042309,0.527159,-8.384041,84.716293,4.700795,-0.120172,0.809002,-0.012425,0.575257,-8.687191,91.886719,3.792784,-0.076452,0.800039,-0.002337,0.595053,-11.38476,106.424187,1.421358,0.069637,0.867959,-0.106523,0.480054,-13.52832,124.144913,-0.277103,0.15948,0.916963,-0.099312,0.351969,-9.032687,136.931839,-2.802546,-0.079012,0.724699,0.13081,0.671906,-14.599169,117.953239,-2.801836,0.38142,-0.559944,-0.081799,-0.730952,-16.102448,119.04187,-20.474047,0.41882,-0.146878,-0.562872,-0.697275,-8.545696,112.57756,-38.990284,-0.517444,-0.274725,0.613082,0.530008,-1.16815,127.686836,-54.427994,-0.195815,0.842059,0.001174,0.502585,-12.622693,118.835953,3.913358,0.332167,0.926255,0.176699,0.022228,-5.19278,124.674904,18.961779,0.085481,0.478569,0.497687,-0.718312,11.166148,111.576721,17.360029,0.064012,0.196253,0.715618,-0.667292,10.159284,125.269676,0.651722,0.016186,0.874361,0.098196,0.474962,-12.256831,83.559555,-3.140832,0.068,0.953185,-0.126331,0.266186,-9.958344,48.884579,-9.759359,0.007917,0.91342,-0.003026,0.406929,-18.55364,7.025963,-0.825951,-0.209641,0.795666,-0.020257,0.56794,-4.51125,85.873039,12.54242,-0.133502,0.749343,-0.140324,0.633223,6.476444,53.635834,22.106695,0.116624,0.832916,-0.169229,0.513821,7.452825,13.255408,38.668598,0.007917,0.91342,-0.003026,0.406929,-8.813985,1.134085,-9.681418,0.116624,0.832916,-0.169229,0.513821,16.145859,2.689128,34.110165
5,0.041667,-0.050174,0.847967,-0.042231,0.525977,-8.371642,84.68103,4.708003,-0.119593,0.810863,-0.011707,0.572767,-8.665829,91.852844,3.808076,-0.075141,0.802319,-0.001707,0.592145,-11.367044,106.383026,1.474194,0.069684,0.868978,-0.106152,0.478281,-13.492736,124.11097,-0.170541,0.159359,0.917051,-0.098362,0.35206,-9.007684,136.900986,-2.699179,-0.079067,0.72595,0.131301,0.670451,-14.593021,117.926537,-2.700377,0.383715,-0.561121,-0.076842,-0.729384,-16.165382,119.015182,-20.366573,0.417364,-0.145415,-0.561911,-0.699227,-8.631028,112.320496,-38.809925,-0.517354,-0.272117,0.613055,0.531471,-1.191539,127.472672,-54.143978,-0.195422,0.843706,0.001853,0.499968,-12.565019,118.791512,4.001748,0.333494,0.926136,0.175242,0.018578,-5.036373,124.618172,19.005796,0.086577,0.476119,0.498095,-0.719525,11.291707,111.498276,17.272408,0.066499,0.193633,0.715706,-0.66772,10.200824,125.221848,0.583556,0.016519,0.875196,0.09832,0.473384,-12.267987,83.538429,-3.124024,0.067509,0.953195,-0.126411,0.266237,-9.997873,48.865955,-9.765423,0.007518,0.913492,-0.002406,0.40678,-18.554794,7.003295,-0.814116,-0.208305,0.79619,-0.022217,0.567625,-4.475296,85.823624,12.540029,-0.133198,0.749035,-0.139954,0.633734,6.366608,53.552784,22.157097,0.114227,0.833015,-0.166262,0.515166,7.333651,13.156226,38.680161,0.007518,0.913492,-0.002406,0.40678,-8.810765,1.130593,-9.677507,0.114227,0.833015,-0.166262,0.515166,16.11508,2.665681,34.116238
6,0.05,-0.049227,0.84903,-0.04219,0.524352,-8.357826,84.647346,4.719368,-0.119045,0.813031,-0.009874,0.569834,-8.642448,91.820572,3.827659,-0.073938,0.804789,-0.001825,0.588935,-11.369343,106.350243,1.558346,0.0697,0.870038,-0.106381,0.476297,-13.46471,124.084602,-0.05588,0.15894,0.917227,-0.097191,0.352118,-8.984409,136.872574,-2.603137,-0.078848,0.727485,0.131449,0.668782,-14.600499,117.904839,-2.581425,0.385501,-0.562331,-0.071711,-0.728032,-16.253538,118.990562,-20.240437,0.415251,-0.144168,-0.56074,-0.701678,-8.744273,112.072777,-38.611553,-0.516527,-0.269247,0.612907,0.533902,-1.233055,127.278503,-53.836189,-0.194743,0.846202,0.00282,0.495993,-12.516483,118.759666,4.104801,0.334256,0.92614,0.174106,0.015011,-4.837754,124.566483,19.040329,0.08862,0.472907,0.497767,-0.721619,11.473961,111.443832,17.178413,0.069417,0.191004,0.7156,-0.668293,10.236738,125.176071,0.499687,0.017004,0.876078,0.098528,0.471689,-12.285946,83.519585,-3.098926,0.066825,0.953211,-0.126482,0.266319,-10.051766,48.851154,-9.773559,0.007208,0.913618,-0.001815,0.406505,-18.554377,6.982017,-0.800801,-0.206829,0.797114,-0.024294,0.566782,-4.429707,85.775108,12.537663,-0.132944,0.749054,-0.139783,0.633802,6.260617,53.467762,22.201759,0.112704,0.833011,-0.163159,0.516497,7.219942,13.061112,38.7006,0.007208,0.913618,-0.001815,0.406505,-8.809483,1.12692,-9.67489,0.112704,0.833011,-0.163159,0.516497,16.077015,2.640084,34.1236
7,0.058333,-0.048082,0.850528,-0.042244,0.522021,-8.342795,84.611198,4.739458,-0.118131,0.815553,-0.007777,0.566444,-8.615423,91.785973,3.856479,-0.072932,0.807501,-0.002125,0.585336,-11.363692,106.313583,1.666601,0.069663,0.871235,-0.106505,0.474081,-13.43103,124.053207,0.07416,0.158235,0.917508,-0.096395,0.351921,-8.958971,136.840363,-2.491573,-0.078918,0.729153,0.131865,0.666873,-14.604113,117.876648,-2.442171,0.387284,-0.563279,-0.066828,-0.726816,-16.34738,118.956818,-20.092844,0.412109,-0.143088,-0.559777,-0.704515,-8.854542,111.828575,-38.390064,-0.514628,-0.265514,0.612655,0.53788,-1.283174,127.110497,-53.493988,-0.19437,0.848791,0.003719,0.491692,-12.458371,118.725227,4.225299,0.336255,0.92584,0.172186,0.010255,-4.623511,124.523422,19.082884,0.090358,0.469653,0.497676,-0.723589,11.63692,111.362839,17.048199,0.071417,0.187976,0.714986,-0.669597,10.263009,125.111603,0.394219,0.017844,0.877201,0.098532,0.469565,-12.315908,83.500549,-3.058522,0.06578,0.953489,-0.126195,0.265719,-10.149918,48.834244,-9.766551,0.006643,0.913729,-0.000893,0.406269,-18.553921,6.946692,-0.786859,-0.205215,0.798039,-0.026512,0.565966,-4.369681,85.721848,12.537437,-0.132614,0.749261,-0.139773,0.633628,6.155629,53.375423,22.25178,0.11038,0.833238,-0.160042,0.517607,7.098403,12.960887,38.732235,0.006643,0.913729,-0.000893,0.406269,-8.803156,1.119886,-9.673103,0.11038,0.833238,-0.160042,0.517607,16.040546,2.618659,34.141941
8,0.066667,-0.047158,0.85225,-0.042292,0.519286,-8.319874,84.574875,4.769756,-0.116766,0.818304,-0.005831,0.56277,-8.583619,91.750862,3.893979,-0.072384,0.810393,-0.00226,0.581394,-11.341374,106.286621,1.787311,0.069327,0.8726,-0.106782,0.471551,-13.397841,124.029076,0.212458,0.157699,0.917847,-0.095725,0.351461,-8.940467,136.81572,-2.381259,-0.079177,0.731109,0.132793,0.664512,-14.604494,117.853928,-2.291435,0.389562,-0.564104,-0.062639,-0.72533,-16.458015,118.932739,-19.930952,0.408841,-0.141649,-0.558501,-0.707716,-8.981501,111.605156,-38.15596,-0.511877,-0.261063,0.612867,0.542423,-1.333223,126.962067,-53.113968,-0.193718,0.851581,0.004964,0.487092,-12.39273,118.700218,4.354718,0.33745,0.92576,0.170499,0.005061,-4.388866,124.476982,19.130342,0.093095,0.465537,0.497464,-0.726043,11.841075,111.308968,16.908813,0.075341,0.184388,0.714985,-0.670165,10.291511,125.06459,0.276515,0.018424,0.878443,0.099146,0.467086,-12.344795,83.478256,-3.003604,0.065008,0.953678,-0.126224,0.265216,-10.213402,48.822029,-9.774503,0.006585,0.913907,-0.000289,0.405871,-18.549337,6.926298,-0.769563,-0.203575,0.799577,-0.028843,0.564272,-4.294952,85.671486,12.543115,-0.132043,0.749909,-0.139815,0.632972,6.070062,53.286766,22.302141,0.108515,0.833357,-0.157041,0.518729,6.988644,12.86006,38.754089,0.006585,0.913907,-0.000289,0.405871,-8.802762,1.114772,-9.670402,0.108515,0.833357,-0.157041,0.518729,16.007133,2.590245,34.150589
9,0.075,-0.045938,0.854237,-0.042105,0.516135,-8.294143,84.534111,4.802333,-0.115313,0.821269,-0.004014,0.558752,-8.547478,91.711967,3.938915,-0.071892,0.81351,-0.002155,0.577086,-11.30976,106.251953,1.915488,0.068916,0.874111,-0.107129,0.468726,-13.362495,123.996964,0.364818,0.156906,0.918305,-0.094999,0.350815,-8.922003,136.782867,-2.261319,-0.079038,0.733424,0.133785,0.661773,-14.602751,117.823563,-2.126902,0.391292,-0.564688,-0.057955,-0.724333,-16.586163,118.909859,-19.751829,0.404974,-0.140033,-0.55731,-0.71119,-9.113605,111.386421,-37.898491,-0.509149,-0.256179,0.61312,0.547012,-1.388106,126.839828,-52.698689,-0.193289,0.854529,0.006072,0.482061,-12.319556,118.666389,4.495493,0.338681,0.925655,0.168695,-0.000543,-4.136492,124.43235,19.176882,0.096251,0.460968,0.497236,-0.728698,12.05952,111.258057,16.754108,0.079631,0.179933,0.714915,-0.670954,10.317457,125.014786,0.150615,0.018913,0.880015,0.099677,0.463983,-12.378624,83.45829,-2.942815,0.064296,0.954043,-0.126006,0.264178,-10.284082,48.810822,-9.76981,0.006105,0.914041,0.000284,0.405576,-18.546299,6.90226,-0.756632,-0.201903,0.801552,-0.031447,0.561926,-4.209661,85.609924,12.547482,-0.131481,0.750646,-0.139934,0.632188,5.99022,53.188324,22.357912,0.106381,0.833762,-0.15413,0.519392,6.883543,12.7516,38.786621,0.006105,0.914041,0.000284,0.405576,-8.797637,1.10974,-9.667573,0.106381,0.833762,-0.15413,0.519392,15.975344,2.556121,34.16214
