Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.001941,0.999874,-0.009358,0.012658,-3.185044,82.149124,7.791154,0.018757,0.992814,0.0906,-0.075892,-3.211406,89.381844,7.655426,0.064805,0.986955,0.098745,-0.10941,-2.502004,103.054718,10.118398,-0.024597,0.997047,-0.025825,-0.06801,0.179066,120.484947,13.35904,-0.015972,0.997132,-0.073048,-0.011656,-0.776695,134.027512,10.954885,0.110334,0.976148,0.164648,-0.088611,-3.878836,115.090965,13.902658,-0.347474,0.001047,0.859139,-0.375687,-20.936554,118.40007,17.622263,-0.637649,-0.154768,0.471115,0.589493,-30.946075,104.817131,5.090033,-0.007676,0.036016,-0.629465,-0.776156,-18.459778,123.313644,-5.18857,-0.010746,0.924052,0.249674,-0.289266,2.948437,114.340889,12.28863,0.496146,-0.11125,0.754028,0.415818,17.740028,117.260468,2.884573,-0.745376,0.355083,-0.429483,0.36589,21.142151,106.40097,-14.785755,0.362845,-0.31928,0.623479,-0.614555,11.270727,128.378647,-24.695953,0.027628,0.975636,0.21431,0.037983,-12.004148,82.112793,7.568165,0.062335,0.99031,-0.045382,0.1155,-13.335347,50.040638,-7.299414,0.020551,0.902163,0.005467,0.430872,-19.182814,6.903916,-4.004034,-0.10883,0.944518,-0.119385,0.285988,5.63406,82.185455,8.014143,-0.079674,0.818094,-0.25538,0.509073,10.491069,48.656128,18.194221,0.07475,0.835418,-0.114339,0.532369,4.830993,11.248934,39.977112,0.020551,0.902163,0.005467,0.430872,-9.077683,1.070989,-12.480927,0.07475,0.835418,-0.114339,0.532369,14.961258,2.147384,35.230114
1,0.008333,-0.002007,0.999923,-0.010666,0.005959,-3.227133,82.221146,7.669304,0.022613,0.992098,0.088569,-0.085938,-3.25525,89.453484,7.514822,0.065286,0.985676,0.098806,-0.120078,-2.419291,103.132233,9.905489,-0.027727,0.996467,-0.025901,-0.074922,0.313856,120.559784,13.116902,-0.016089,0.997006,-0.074351,-0.013832,-0.755744,134.096115,10.725651,0.109122,0.975218,0.161833,-0.104172,-3.72629,115.160881,13.738364,-0.337295,-0.003088,0.860429,-0.381948,-20.686848,118.343712,17.97637,-0.63273,-0.15206,0.480992,0.587517,-30.78997,104.573021,5.727338,-0.015125,0.030158,-0.632133,-0.774125,-18.729286,123.180771,-4.83394,-0.011404,0.919194,0.253025,-0.301549,3.065557,114.420258,11.977207,0.502693,-0.119572,0.753919,0.40572,17.59873,117.504379,2.229053,-0.742209,0.352863,-0.427519,0.376618,21.074686,107.173248,-15.741179,0.352961,-0.319747,0.619524,-0.623996,11.033693,129.207993,-25.349701,0.02816,0.975976,0.213536,0.03287,-12.048435,82.184616,7.564545,0.060309,0.990787,-0.044766,0.112697,-13.496319,50.09111,-7.245954,0.021312,0.902677,0.005267,0.429758,-19.153999,6.927854,-3.966802,-0.111557,0.94568,-0.117915,0.281673,5.594169,82.257675,7.774064,-0.080748,0.819889,-0.259154,0.504085,10.708368,48.746208,17.886766,0.078883,0.836807,-0.122157,0.527835,5.08276,11.523637,39.99247,0.021312,0.902677,0.005267,0.429758,-9.078668,1.082507,-12.470571,0.078883,0.836807,-0.122157,0.527835,15.021133,2.224474,35.222897
2,0.016667,-0.002102,0.999924,-0.012156,-0.000285,-3.259753,82.282524,7.561685,0.026093,0.991283,0.087157,-0.095289,-3.290217,89.514366,7.385837,0.065615,0.984429,0.098375,-0.130062,-2.339498,103.195313,9.720448,-0.030498,0.99587,-0.025733,-0.081552,0.435735,120.624367,12.887302,-0.016331,0.99683,-0.076164,-0.016221,-0.736107,134.155701,10.515891,0.107209,0.974296,0.158613,-0.118723,-3.584306,115.219948,13.586437,-0.327289,-0.008307,0.861245,-0.388677,-20.444304,118.262878,18.301579,-0.628117,-0.149523,0.49065,0.585128,-30.608971,104.305984,6.31707,-0.022952,0.023178,-0.63477,-0.772012,-18.978668,123.010803,-4.517394,-0.012219,0.914212,0.256402,-0.313569,3.171687,114.489029,11.688636,0.507671,-0.128865,0.753003,0.398309,17.441399,117.743324,1.612111,-0.738673,0.351561,-0.426482,0.385849,20.956379,107.885742,-16.614693,0.343243,-0.318548,0.615881,-0.633563,10.821469,129.990143,-25.960997,0.028577,0.976183,0.213256,0.027775,-12.081672,82.245491,7.567172,0.058706,0.991187,-0.044388,0.110141,-13.636329,50.145222,-7.21781,0.021834,0.90296,0.00462,0.429145,-19.14374,6.962359,-3.940933,-0.114104,0.946883,-0.116351,0.277229,5.562166,82.319557,7.556199,-0.081719,0.821641,-0.262831,0.499147,10.924202,48.822807,17.588972,0.082919,0.838148,-0.129563,0.523304,5.332117,11.781549,40.005547,0.021834,0.90296,0.00462,0.429145,-9.088843,1.096198,-12.454549,0.082919,0.838148,-0.129563,0.523304,15.081294,2.296195,35.212212
3,0.025,-0.002258,0.999883,-0.013848,-0.006108,-3.290246,82.319031,7.467607,0.029525,0.990388,0.085879,-0.104328,-3.324134,89.550224,7.267473,0.065744,0.983166,0.097569,-0.139794,-2.261354,103.231117,9.548014,-0.033635,0.995218,-0.026088,-0.087914,0.545749,120.665237,12.658434,-0.016337,0.996678,-0.077683,-0.018208,-0.738081,134.187729,10.294521,0.105079,0.973419,0.154776,-0.132129,-3.45058,115.254066,13.436735,-0.317677,-0.01465,0.861273,-0.396326,-20.207136,118.162407,18.585623,-0.623746,-0.148014,0.500539,0.581802,-30.379986,104.00946,6.840368,-0.030132,0.01625,-0.637212,-0.769928,-19.221874,122.81636,-4.246172,-0.01329,0.909724,0.258518,-0.324645,3.268118,114.534424,11.4068,0.512672,-0.135717,0.75293,0.389674,17.285645,117.94677,1.032962,-0.734835,0.349079,-0.425996,0.395839,20.872196,108.538475,-17.416004,0.332466,-0.317884,0.612817,-0.642551,10.625086,130.689514,-26.52663,0.0294,0.976331,0.212948,0.02381,-12.111499,82.280693,7.57592,0.056982,0.99173,-0.04389,0.106292,-13.78364,50.1745,-7.183376,0.02153,0.903356,0.004252,0.42833,-19.124973,6.970379,-3.911783,-0.116924,0.947663,-0.11437,0.274196,5.531007,82.357376,7.359294,-0.082704,0.822387,-0.266152,0.495988,11.151809,48.874386,17.295897,0.085067,0.839318,-0.136944,0.519188,5.564469,12.000668,39.988178,0.02153,0.903356,0.004252,0.42833,-9.084104,1.099197,-12.438485,0.085067,0.839318,-0.136944,0.519188,15.154809,2.353549,35.19725
4,0.033333,-0.002826,0.999812,-0.015391,-0.011446,-3.314252,82.34127,7.371254,0.032502,0.98942,0.085322,-0.112749,-3.357685,89.57177,7.149081,0.066038,0.98188,0.09674,-0.148973,-2.195157,103.253006,9.396197,-0.036537,0.994565,-0.027019,-0.093678,0.646947,120.691505,12.449741,-0.016475,0.996521,-0.079322,-0.019561,-0.741347,134.202225,10.077579,0.102791,0.972489,0.151495,-0.144045,-3.327317,115.275452,13.303438,-0.308551,-0.020952,0.860505,-0.404831,-19.983826,118.052498,18.835205,-0.619769,-0.147015,0.510194,0.577906,-30.110497,103.680824,7.317854,-0.037344,0.008599,-0.639593,-0.767758,-19.426805,122.588242,-4.010165,-0.014253,0.905847,0.259533,-0.334487,3.353433,114.563843,11.149238,0.516711,-0.143761,0.752104,0.382991,17.139481,118.107841,0.512663,-0.731427,0.347337,-0.425582,0.404045,20.768307,109.122063,-18.137577,0.321774,-0.316897,0.611445,-0.649749,10.439635,131.318146,-27.044212,0.030471,0.976484,0.212446,0.020429,-12.133801,82.294525,7.573933,0.055135,0.992428,-0.043903,0.100596,-13.931911,50.177757,-7.14749,0.02202,0.904335,0.005144,0.426223,-19.09498,6.955662,-3.827514,-0.119497,0.948458,-0.112258,0.271194,5.505297,82.388016,7.168575,-0.084205,0.822333,-0.270086,0.493691,11.370151,48.914211,16.99445,0.089251,0.840238,-0.143645,0.51517,5.773977,12.246576,40.016098,0.02202,0.904335,0.005144,0.426223,-9.093928,1.101956,-12.412829,0.089251,0.840238,-0.143645,0.51517,15.182153,2.429047,35.210175
5,0.041667,-0.003314,0.999721,-0.01686,-0.016199,-3.34116,82.346687,7.289754,0.0355,0.988498,0.084348,-0.120405,-3.393041,89.576462,7.046666,0.06604,0.980695,0.095571,-0.157297,-2.134658,103.2491,9.24663,-0.039018,0.993952,-0.027124,-0.098999,0.726975,120.695648,12.235207,-0.016791,0.996334,-0.081207,-0.021044,-0.750584,134.199219,9.876328,0.100021,0.971612,0.14805,-0.15507,-3.222539,115.273331,13.160929,-0.300877,-0.02655,0.858916,-0.413559,-19.781811,117.911163,19.041733,-0.615946,-0.147154,0.519952,0.573242,-29.804808,103.315437,7.717069,-0.043094,0.002005,-0.64389,-0.763901,-19.619717,122.349182,-3.834781,-0.015568,0.902591,0.25999,-0.342771,3.422231,114.571571,10.895115,0.519996,-0.151443,0.751047,0.377621,17.007484,118.238052,0.043885,-0.728024,0.345649,-0.425744,0.4114,20.664814,109.626625,-18.776602,0.311344,-0.314818,0.610299,-0.656879,10.282383,131.863663,-27.516953,0.030806,0.97648,0.212756,0.016511,-12.158335,82.29306,7.576476,0.053832,0.992884,-0.043613,0.096861,-14.038102,50.187057,-7.158224,0.022055,0.904543,0.005203,0.425779,-19.073681,6.950349,-3.83269,-0.122724,0.948757,-0.109541,0.269814,5.476016,82.400322,7.003032,-0.085537,0.821946,-0.273683,0.492123,11.622853,48.939186,16.698853,0.092402,0.841156,-0.15046,0.511156,6.001854,12.462062,40.015209,0.022055,0.904543,0.005203,0.425779,-9.081022,1.097975,-12.428674,0.092402,0.841156,-0.15046,0.511156,15.23985,2.485734,35.206173
6,0.05,-0.004054,0.999617,-0.018295,-0.020343,-3.35087,82.332779,7.224689,0.037618,0.987637,0.083423,-0.127277,-3.414885,89.561737,6.961284,0.065914,0.979598,0.094136,-0.164865,-2.087068,103.226837,9.118345,-0.041111,0.993369,-0.027556,-0.103773,0.785012,120.683754,12.035592,-0.017286,0.99615,-0.083,-0.022308,-0.769811,134.179214,9.679928,0.097097,0.970854,0.14464,-0.164605,-3.13891,115.255058,13.030253,-0.293842,-0.032709,0.856852,-0.422364,-19.610327,117.759087,19.208738,-0.612908,-0.147878,0.529009,0.568001,-29.4998,102.950333,8.044383,-0.047917,-0.004142,-0.647379,-0.760649,-19.797689,122.087952,-3.710664,-0.016485,0.899919,0.259527,-0.350027,3.471689,114.562927,10.663762,0.521382,-0.161158,0.745271,0.383093,16.877239,118.318542,-0.378787,-0.723215,0.349534,-0.428395,0.41384,20.298948,109.849098,-19.307697,0.298935,-0.311312,0.609524,-0.664984,10.175228,132.257217,-27.913588,0.031736,0.976445,0.212935,0.014356,-12.165275,82.267845,7.584791,0.052593,0.993266,-0.043676,0.093534,-14.141453,50.171368,-7.158037,0.021826,0.904983,0.006025,0.424845,-19.059155,6.923622,-3.799789,-0.125728,0.948938,-0.10682,0.268883,5.463534,82.397713,6.864588,-0.086925,0.820924,-0.276986,0.491738,11.872636,48.947735,16.4282,0.095929,0.841731,-0.156087,0.507862,6.210862,12.650308,40.013569,0.021826,0.904983,0.006025,0.424845,-9.077277,1.094098,-12.423772,0.095929,0.841731,-0.156087,0.507862,15.293172,2.534382,35.199623
7,0.058333,-0.004968,0.999521,-0.019134,-0.023793,-3.358612,82.288918,7.160398,0.038958,0.986938,0.082068,-0.133044,-3.437042,89.517303,6.885414,0.065786,0.978666,0.092574,-0.171219,-2.065634,103.177711,8.991446,-0.042804,0.992856,-0.028175,-0.107755,0.811614,120.645676,11.836497,-0.017504,0.996011,-0.08434,-0.023283,-0.806937,134.132965,9.476969,0.094864,0.970022,0.141871,-0.173005,-3.089057,115.211853,12.89266,-0.287643,-0.038789,0.854251,-0.431292,-19.474926,117.609879,19.335035,-0.610717,-0.149245,0.537306,0.562186,-29.195551,102.591721,8.302914,-0.051706,-0.010242,-0.651391,-0.756909,-19.952473,121.81897,-3.639691,-0.017727,0.898011,0.258661,-0.355467,3.49165,114.527023,10.442221,0.523769,-0.164204,0.748208,0.372676,16.759306,118.36039,-0.739278,-0.719368,0.342671,-0.429414,0.425076,20.407087,110.254517,-19.784801,0.286722,-0.306306,0.609394,-0.67276,10.08134,132.608688,-28.290403,0.031892,0.976329,0.213625,0.011332,-12.170186,82.209335,7.581676,0.051871,0.993519,-0.044234,0.090955,-14.201916,50.134373,-7.200361,0.021102,0.905363,0.007043,0.424056,-19.052814,6.884331,-3.775214,-0.129144,0.948759,-0.104271,0.268898,5.452961,82.368507,6.73912,-0.087887,0.819828,-0.280869,0.491193,12.138145,48.942055,16.19537,0.099151,0.842631,-0.161334,0.504097,6.383547,12.848431,40.069275,0.021102,0.905363,0.007043,0.424056,-9.072789,1.087633,-12.423436,0.099151,0.842631,-0.161334,0.504097,15.311192,2.604652,35.236412
8,0.066667,-0.005816,0.999431,-0.019885,-0.026616,-3.36959,82.225372,7.097415,0.039813,0.986339,0.081335,-0.137605,-3.46134,89.453201,6.812122,0.065484,0.977955,0.090793,-0.176273,-2.060251,103.10849,8.887508,-0.043957,0.992448,-0.028685,-0.11087,0.810251,120.589592,11.657725,-0.017883,0.995853,-0.085918,-0.02399,-0.853612,134.070694,9.294338,0.092347,0.969527,0.139315,-0.179111,-3.068139,115.15062,12.768067,-0.283037,-0.043405,0.85113,-0.439982,-19.394346,117.445709,19.396719,-0.608895,-0.151357,0.544807,0.556349,-28.9072,102.220619,8.467581,-0.05412,-0.014992,-0.654933,-0.753598,-20.094666,121.54245,-3.632043,-0.018367,0.896688,0.25707,-0.359901,3.488345,114.472786,10.251637,0.5246,-0.168062,0.748167,0.36986,16.642458,118.346115,-1.049605,-0.714366,0.339351,-0.432319,0.433154,20.341492,110.420273,-20.160906,0.27277,-0.299811,0.609276,-0.681537,10.028202,132.807861,-28.593428,0.031963,0.976243,0.214084,0.00983,-12.178493,82.132156,7.568807,0.051497,0.993879,-0.04465,0.086947,-14.23732,50.071411,-7.240315,0.020401,0.905663,0.008645,0.42342,-19.045038,6.821221,-3.756671,-0.132528,0.948484,-0.101554,0.26926,5.439313,82.318588,6.626025,-0.089178,0.818466,-0.284094,0.491376,12.398176,48.91523,15.965734,0.102066,0.843607,-0.165987,0.500358,6.582582,13.000658,40.093548,0.020401,0.905663,0.008645,0.42342,-9.061233,1.071141,-12.431616,0.102066,0.843607,-0.165987,0.500358,15.365654,2.644222,35.235935
9,0.075,-0.007083,0.999356,-0.020363,-0.028695,-3.380406,82.124176,7.040826,0.040105,0.985913,0.080382,-0.141087,-3.491274,89.351494,6.749342,0.065093,0.977439,0.089012,-0.180145,-2.077813,103.017273,8.793693,-0.045028,0.992096,-0.030235,-0.11315,0.778849,120.511696,11.493238,-0.017817,0.995783,-0.086672,-0.024236,-0.927735,133.981506,9.096236,0.089682,0.969312,0.135899,-0.184181,-3.079523,115.067986,12.649144,-0.279574,-0.049035,0.84697,-0.449528,-19.357512,117.267838,19.426987,-0.607837,-0.155062,0.551989,0.549361,-28.595337,101.839676,8.546825,-0.055268,-0.018614,-0.658262,-0.750526,-20.226406,121.263588,-3.685872,-0.018499,0.895863,0.255604,-0.362979,3.458205,114.396454,10.082725,0.524417,-0.170637,0.747418,0.370454,16.53307,118.282677,-1.305714,-0.709102,0.337349,-0.436275,0.439356,20.221678,110.405281,-20.439043,0.259055,-0.292576,0.610345,-0.689035,10.016818,132.856079,-28.83532,0.031275,0.976,0.215424,0.00625,-12.18699,82.009598,7.549337,0.050934,0.993902,-0.046087,0.086265,-14.251348,49.986477,-7.340207,0.019011,0.906276,0.010311,0.422132,-19.018438,6.742623,-3.724482,-0.136116,0.947816,-0.098876,0.270816,5.426178,82.238762,6.532315,-0.089907,0.817733,-0.287286,0.490609,12.659497,48.865612,15.770933,0.103803,0.844944,-0.170202,0.496313,6.7725,13.121676,40.133667,0.019011,0.906276,0.010311,0.422132,-9.035872,1.048606,-12.437743,0.103803,0.844944,-0.170202,0.496313,15.428916,2.673578,35.245094
