Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.009352,0.977178,0.052121,0.205715,1.942833,86.173378,16.832253,-0.08727,0.954271,0.158323,0.238087,1.634831,93.88385,17.592249,0.013033,0.967688,0.054065,0.24594,-3.192563,112.531876,22.791969,-0.020415,0.989173,0.026551,0.142883,-3.22169,133.648438,25.151506,0.053277,0.997555,-0.002527,0.045151,-3.392332,148.382828,24.02457,-0.020297,0.875195,0.160436,0.455941,-7.013206,128.304932,23.220343,0.416755,-0.551773,0.052083,-0.72052,-16.914822,130.184937,9.564969,0.075938,0.088406,-0.575319,-0.809584,-8.333024,118.281128,-7.161976,0.136038,0.102912,-0.637468,-0.751357,0.015278,142.751389,-5.717879,-0.070575,0.96753,0.133917,0.202412,-0.41898,127.916077,26.781872,0.471259,0.852597,0.106967,-0.198875,14.993162,129.313782,33.750225,0.012981,0.207675,0.569866,-0.794956,25.60116,112.379303,23.960835,0.159101,0.082396,0.715928,-0.674793,19.162659,134.323853,15.55526,0.029944,0.975415,0.172156,0.134279,-6.711224,86.203316,13.021324,0.088598,0.995732,0.025827,0.000998,-7.152402,52.198315,0.566832,-0.024976,0.95856,0.031945,0.281991,-15.49862,5.687085,-1.875222,-0.067816,0.953544,-0.101527,0.275405,10.59689,86.14344,20.643179,0.026998,0.946454,-0.154727,0.282055,13.255538,51.006485,29.008305,-0.042088,0.89968,0.039293,0.432736,6.707398,6.023842,42.146099,-0.024976,0.95856,0.031945,0.281991,-7.448135,0.62932,-14.064405,-0.042088,0.89968,0.039293,0.432736,18.379396,1.437688,33.107342
1,0.008333,-0.009251,0.977185,0.052057,0.205701,1.939822,86.173805,16.833311,-0.087257,0.954275,0.158355,0.238054,1.633569,93.884399,17.592672,0.013039,0.9677,0.054024,0.245902,-3.19309,112.530815,22.793518,-0.020323,0.989178,0.026545,0.142862,-3.221415,133.647568,25.151417,0.05319,0.997561,-0.002467,0.045124,-3.38941,148.381989,24.024673,-0.020352,0.875165,0.160329,0.456034,-7.01324,128.304016,23.220974,0.416686,-0.551725,0.052075,-0.720597,-16.911882,130.181259,9.563078,0.075877,0.08847,-0.575413,-0.809516,-8.327727,118.280113,-7.164534,0.136085,0.103058,-0.637437,-0.751354,0.014606,142.752838,-5.716567,-0.070505,0.96754,0.133898,0.202404,-0.418741,127.915237,26.782,0.471328,0.852545,0.10703,-0.198902,14.993834,129.310852,33.74979,0.013046,0.207616,0.569911,-0.794938,25.598442,112.375519,23.958208,0.159069,0.082352,0.715964,-0.674768,19.161278,134.320755,15.553257,0.029924,0.975409,0.172167,0.134312,-6.714372,86.205353,13.022719,0.088578,0.995734,0.025833,0.000916,-7.15359,52.200542,0.567628,-0.024986,0.958567,0.031846,0.281978,-15.498154,5.68901,-1.874269,-0.067879,0.953512,-0.101467,0.275519,10.594016,86.142258,20.643904,0.027006,0.946452,-0.154767,0.282041,13.257222,51.005035,29.00647,-0.041961,0.899704,0.039343,0.432693,6.707497,6.023616,42.147652,-0.024986,0.958567,0.031846,0.281978,-7.448151,0.628571,-14.062649,-0.041961,0.899704,0.039343,0.432693,18.37764,1.437069,33.106712
2,0.016667,-0.009298,0.977186,0.052091,0.205687,1.94464,86.172752,16.832464,-0.087354,0.954256,0.158376,0.23808,1.637586,93.883286,17.592196,0.013102,0.967692,0.054019,0.24593,-3.193323,112.529663,22.792973,-0.020358,0.989164,0.026641,0.142934,-3.219096,133.646362,25.151316,0.053071,0.997563,-0.002461,0.045233,-3.388292,148.380981,24.027256,-0.020256,0.875158,0.160458,0.456005,-7.011498,128.303345,23.220566,0.416787,-0.551726,0.052035,-0.720541,-16.911182,130.185287,9.564064,0.075984,0.088572,-0.575397,-0.809506,-8.326886,118.28302,-7.162693,0.136134,0.103198,-0.637377,-0.751378,0.01502,142.754395,-5.713672,-0.070496,0.967536,0.133905,0.202419,-0.417231,127.913651,26.781919,0.471354,0.852519,0.107079,-0.198924,14.995186,129.308838,33.750156,0.013131,0.207529,0.569927,-0.794948,25.598345,112.373627,23.956791,0.159099,0.082262,0.716023,-0.674709,19.160286,134.318985,15.552722,0.029862,0.975445,0.172167,0.134068,-6.709647,86.20356,13.022074,0.08865,0.995727,0.025862,0.000662,-7.147617,52.198494,0.567632,-0.024842,0.958569,0.031956,0.281972,-15.499488,5.688301,-1.87491,-0.067835,0.953533,-0.101513,0.275441,10.598927,86.141945,20.642853,0.027067,0.946499,-0.154766,0.281876,13.258837,51.004963,29.007479,-0.04195,0.899697,0.039351,0.432709,6.705966,6.023842,42.148102,-0.024842,0.958569,0.031956,0.281972,-7.4509,0.62969,-14.064991,-0.04195,0.899697,0.039351,0.432709,18.376354,1.437363,33.107441
3,0.025,-0.009375,0.977235,0.051921,0.205494,1.953651,86.176208,16.837931,-0.087588,0.954244,0.158377,0.238041,1.64612,93.886986,17.59491,0.01315,0.967691,0.05401,0.245933,-3.192424,112.528015,22.792505,-0.020423,0.989164,0.026626,0.142927,-3.216138,133.644699,25.150967,0.053048,0.997564,-0.002388,0.045233,-3.387182,148.379257,24.026207,-0.020337,0.875164,0.16034,0.456033,-7.00906,128.302063,23.220184,0.416711,-0.55173,0.051914,-0.720591,-16.907761,130.179916,9.562413,0.075875,0.088713,-0.575428,-0.809479,-8.323103,118.283234,-7.16812,0.136091,0.103346,-0.637425,-0.751324,0.016056,142.756195,-5.71014,-0.0705,0.967533,0.133905,0.202434,-0.414834,127.911713,26.781542,0.471362,0.852496,0.107178,-0.19895,14.997351,129.306931,33.750267,0.013305,0.207265,0.569971,-0.794983,25.599697,112.372902,23.95401,0.15941,0.082013,0.7162,-0.674477,19.158697,134.319489,15.554884,0.029942,0.975444,0.172323,0.133852,-6.702106,86.204735,13.030869,0.088786,0.995715,0.025815,0.001467,-7.146908,52.203896,0.565144,-0.024731,0.958483,0.03181,0.282289,-15.509515,5.695757,-1.879734,-0.067704,0.953547,-0.101509,0.275429,10.609408,86.147675,20.644993,0.027063,0.94647,-0.15478,0.281965,13.26051,51.009357,29.006784,-0.042033,0.899701,0.039269,0.4327,6.70641,6.028623,42.148121,-0.024731,0.958483,0.03181,0.282289,-7.454505,0.63227,-14.06354,-0.042033,0.899701,0.039269,0.4327,18.377087,1.441061,33.108391
4,0.033333,-0.00932,0.977196,0.052172,0.20562,1.948951,86.173401,16.832146,-0.087451,0.954245,0.158396,0.238074,1.64135,93.883797,17.593048,0.013189,0.967693,0.054003,0.245927,-3.192607,112.52639,22.792826,-0.020425,0.989169,0.026582,0.142906,-3.214594,133.643066,25.151432,0.053,0.997568,-0.002296,0.045201,-3.385573,148.377518,24.025349,-0.020297,0.875197,0.160145,0.456039,-7.007977,128.300735,23.220676,0.416789,-0.551706,0.05172,-0.720578,-16.906553,130.176773,9.562553,0.075858,0.088842,-0.575455,-0.809447,-8.319816,118.284866,-7.170324,0.136028,0.103393,-0.637401,-0.75135,0.016193,142.757492,-5.706713,-0.07045,0.967536,0.133938,0.202415,-0.413718,127.909836,26.781919,0.471391,0.85247,0.107217,-0.198974,14.998977,129.303299,33.749897,0.013342,0.207194,0.569944,-0.79502,25.59967,112.369171,23.951996,0.159288,0.082026,0.716226,-0.674477,19.155687,134.315659,15.55416,0.029896,0.975448,0.172223,0.133965,-6.705859,86.204041,13.022934,0.088795,0.995714,0.025816,0.001518,-7.146996,52.200497,0.56444,-0.024756,0.958466,0.031904,0.282333,-15.510318,5.692512,-1.880942,-0.067842,0.953529,-0.101496,0.275462,10.603761,86.142769,20.641357,0.027108,0.946501,-0.154847,0.281823,13.264303,51.005615,29.005041,-0.042006,0.899728,0.039351,0.43264,6.706414,6.027043,42.151917,-0.024756,0.958466,0.031904,0.282333,-7.453694,0.631883,-14.064878,-0.042006,0.899728,0.039351,0.43264,18.375952,1.441262,33.109795
5,0.041667,-0.009323,0.977208,0.05216,0.205563,1.950776,86.171387,16.831821,-0.087498,0.954242,0.158453,0.238032,1.643209,93.881798,17.592556,0.013246,0.967706,0.05394,0.245886,-3.19289,112.523804,22.794298,-0.020445,0.989163,0.026636,0.142928,-3.211806,133.640701,25.150908,0.052913,0.997569,-0.00228,0.045286,-3.38353,148.375259,24.026333,-0.020262,0.875211,0.160216,0.45599,-7.006091,128.298706,23.221016,0.416783,-0.551663,0.051748,-0.720612,-16.906229,130.176605,9.564286,0.075822,0.088839,-0.575471,-0.809439,-8.317524,118.284668,-7.167551,0.135884,0.103447,-0.637539,-0.751251,0.017176,142.756485,-5.703149,-0.07045,0.967542,0.133878,0.202427,-0.411552,127.907249,26.781675,0.471478,0.85242,0.10713,-0.199029,15.000969,129.301086,33.749954,0.013416,0.207136,0.569988,-0.795002,25.597065,112.36422,23.951822,0.159398,0.081988,0.71615,-0.674537,19.154442,134.310913,15.554467,0.029906,0.975457,0.172261,0.13385,-6.704472,86.201866,13.023609,0.088808,0.995714,0.025783,0.001726,-7.147356,52.199333,0.562423,-0.024908,0.958453,0.031808,0.282374,-15.511385,5.691409,-1.881576,-0.067815,0.953545,-0.101493,0.275412,10.606024,86.140915,20.640034,0.027129,0.946531,-0.154862,0.281709,13.265246,51.003456,29.002863,-0.041906,0.899725,0.039385,0.432653,6.706622,6.02546,42.151325,-0.024908,0.958453,0.031808,0.282374,-7.452345,0.629406,-14.06334,-0.041906,0.899725,0.039385,0.432653,18.375608,1.439265,33.108707
6,0.05,-0.009264,0.97721,0.052167,0.205559,1.950987,86.169632,16.831503,-0.08755,0.954243,0.158491,0.237984,1.6443,93.880043,17.592531,0.013298,0.967726,0.053899,0.245814,-3.193924,112.521423,22.79549,-0.020358,0.989176,0.026578,0.142866,-3.210097,133.638458,25.15099,0.052836,0.997576,-0.00224,0.045222,-3.379229,148.37294,24.025076,-0.020155,0.875143,0.160271,0.456104,-7.005283,128.296783,23.221968,0.416714,-0.551708,0.051897,-0.720607,-16.902029,130.179367,9.563424,0.07575,0.088875,-0.575468,-0.809444,-8.316204,118.283546,-7.167135,0.135843,0.103514,-0.637618,-0.751183,0.018481,142.755661,-5.699004,-0.070377,0.967545,0.133886,0.202433,-0.410234,127.90477,26.781624,0.471521,0.852381,0.107013,-0.199155,15.002563,129.296143,33.749783,0.013462,0.207067,0.570015,-0.795,25.594622,112.357986,23.94949,0.159401,0.081875,0.716307,-0.674383,19.151886,134.305908,15.553279,0.029896,0.975465,0.172265,0.133791,-6.704314,86.201225,13.023416,0.088786,0.995714,0.025894,0.000938,-7.147275,52.198757,0.562076,-0.0249,0.958454,0.031773,0.282377,-15.511203,5.691016,-1.885773,-0.067827,0.953567,-0.101496,0.275334,10.606287,86.138031,20.639589,0.027151,0.946549,-0.154881,0.281637,13.266929,51.000725,29.00263,-0.041978,0.899758,0.039367,0.432578,6.706881,6.02338,42.152611,-0.0249,0.958454,0.031773,0.282377,-7.452256,0.627985,-14.067173,-0.041978,0.899758,0.039367,0.432578,18.374992,1.437623,33.108635
7,0.058333,-0.009337,0.977262,0.051939,0.205365,1.960027,86.170486,16.837379,-0.087707,0.954259,0.158509,0.237851,1.653108,93.881241,17.594801,0.013266,0.967754,0.053866,0.245713,-3.189736,112.518463,22.7967,-0.020361,0.989182,0.026617,0.142815,-3.206611,133.635681,25.150501,0.052757,0.997581,-0.002231,0.045212,-3.376158,148.370255,24.025679,-0.020168,0.875142,0.160276,0.456104,-7.001897,128.29364,23.2227,0.416633,-0.551733,0.05187,-0.720636,-16.898626,130.175919,9.564097,0.07562,0.088937,-0.575489,-0.809435,-8.313923,118.282364,-7.168653,0.135764,0.103547,-0.63774,-0.751088,0.019046,142.755051,-5.694144,-0.070327,0.967521,0.133896,0.202558,-0.406086,127.90229,26.781017,0.471602,0.852305,0.107127,-0.199226,15.005229,129.29129,33.752937,0.013549,0.206933,0.570075,-0.79499,25.592617,112.353027,23.947807,0.159454,0.081874,0.716308,-0.674369,19.150709,134.301514,15.554674,0.030073,0.975404,0.172766,0.133544,-6.696753,86.199646,13.032638,0.088865,0.9957,0.026122,0.001672,-7.150284,52.210449,0.535507,-0.024717,0.95824,0.031177,0.283185,-15.519653,5.705145,-1.939995,-0.067653,0.953629,-0.101508,0.275155,10.616808,86.141319,20.64212,0.027142,0.946549,-0.154884,0.281638,13.266839,51.002491,29.002115,-0.041864,0.899767,0.039307,0.432575,6.707482,6.025189,42.152584,-0.024717,0.95824,0.031177,0.283185,-7.443856,0.624241,-14.102784,-0.041864,0.899767,0.039307,0.432575,18.374256,1.436335,33.108459
8,0.066667,-0.009221,0.977223,0.05218,0.205494,1.954149,86.167961,16.83073,-0.087547,0.954259,0.158539,0.237889,1.648125,93.878372,17.592125,0.013347,0.967756,0.053857,0.245704,-3.189242,112.516594,22.796642,-0.020361,0.989182,0.026637,0.142808,-3.202669,133.633759,25.150923,0.052673,0.997586,-0.002226,0.045204,-3.372307,148.368378,24.02669,-0.020033,0.875134,0.160324,0.456109,-6.998862,128.292374,23.223101,0.416621,-0.55174,0.051998,-0.720629,-16.895618,130.179428,9.565182,0.075583,0.088921,-0.575476,-0.809449,-8.31182,118.282005,-7.16528,0.13564,0.103553,-0.637733,-0.751116,0.022228,142.754822,-5.690191,-0.070266,0.967506,0.133886,0.202657,-0.403019,127.899887,26.781235,0.471655,0.852247,0.107157,-0.199335,15.007228,129.286484,33.755993,0.013523,0.206915,0.570151,-0.794941,25.590477,112.348213,23.946394,0.159484,0.081895,0.716219,-0.674454,19.152607,134.297806,15.555414,0.030016,0.975402,0.172651,0.133726,-6.701674,86.20034,13.02384,0.088745,0.995712,0.02612,0.000944,-7.150034,52.208012,0.535034,-0.024603,0.95831,0.031395,0.282932,-15.51,5.700678,-1.934123,-0.067821,0.953576,-0.101522,0.275295,10.609973,86.135582,20.637621,0.027192,0.946553,-0.154905,0.281606,13.27001,50.9986,29.002178,-0.04203,0.899735,0.039297,0.432626,6.706067,6.022179,42.153381,-0.024603,0.95831,0.031395,0.282932,-7.441229,0.624761,-14.103653,-0.04203,0.899735,0.039297,0.432626,18.375366,1.435278,33.111526
9,0.075,-0.009242,0.977224,0.052252,0.205469,1.956738,86.166489,16.828451,-0.08762,0.954271,0.158519,0.237828,1.65018,93.87677,17.590858,0.013393,0.967775,0.053917,0.245611,-3.189469,112.514946,22.794268,-0.020313,0.989191,0.026572,0.142766,-3.201432,133.63179,25.151464,0.052589,0.99759,-0.002176,0.045212,-3.369518,148.366287,24.025518,-0.020042,0.875148,0.160114,0.456155,-6.998253,128.290848,23.223637,0.416664,-0.551707,0.051852,-0.72064,-16.893587,130.174622,9.564231,0.07557,0.089076,-0.575491,-0.809423,-8.307483,118.28141,-7.168038,0.135586,0.103666,-0.637701,-0.751137,0.024012,142.753952,-5.686281,-0.07018,0.967497,0.133951,0.202685,-0.401742,127.897552,26.780445,0.471613,0.852258,0.107261,-0.199328,15.00853,129.280731,33.755825,0.013498,0.20684,0.570127,-0.794978,25.593624,112.344696,23.944387,0.159433,0.081862,0.716296,-0.674389,19.152706,134.295441,15.556395,0.029944,0.975473,0.172303,0.13367,-6.699272,86.198715,13.021982,0.088805,0.995715,0.025739,0.001561,-7.146758,52.197395,0.557662,-0.024829,0.958473,0.031916,0.282302,-15.510914,5.689201,-1.880843,-0.067822,0.95358,-0.101603,0.27525,10.612748,86.134262,20.634922,0.027217,0.946567,-0.154896,0.281562,13.27156,50.998486,29.004951,-0.042073,0.899779,0.039372,0.432525,6.706248,6.021938,42.155029,-0.024829,0.958473,0.031916,0.282302,-7.454266,0.629509,-14.065154,-0.042073,0.899779,0.039372,0.432525,18.374205,1.437522,33.110172
