Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.007334,0.963539,0.044492,0.263741,-1.55694,86.315384,17.017448,-0.102567,0.944116,0.138686,0.280877,-1.8485,94.037804,17.652266,-0.0003,0.957026,0.013635,0.289681,-7.255994,112.764359,21.719234,0.012246,0.990694,0.007574,0.135344,-7.43606,134.004456,22.270077,0.062662,0.996839,0.043841,-0.021527,-6.602971,148.677383,20.716906,-0.062753,0.811829,0.171981,0.554452,-11.053622,128.498856,20.464642,0.345591,-0.428136,0.03951,-0.83409,-17.45694,130.006332,4.819498,0.121145,0.320008,-0.541947,-0.767601,-3.432199,121.955025,-10.465177,0.255847,0.313303,-0.538474,-0.739209,1.928284,145.420212,-1.178324,-0.085292,0.965403,0.075249,0.23465,-4.808497,128.443878,24.625761,0.419767,0.899583,0.074585,-0.094782,10.047502,130.639511,32.532978,-0.085846,0.334107,0.516185,-0.783936,24.057705,114.148964,27.345079,0.038293,0.13004,0.702262,-0.698893,18.110102,135.287506,16.730112,0.022021,0.964813,0.17089,0.198614,-9.696452,86.403664,12.205245,0.080757,0.981732,0.012962,0.171792,-8.776929,52.337395,-0.054183,-0.03544,0.949338,0.030768,0.310732,-16.068983,5.653277,-2.571338,-0.088492,0.942274,-0.100189,0.307004,6.582572,86.227104,21.829651,-0.009393,0.943493,-0.151213,0.294734,10.394391,51.304699,30.63562,-0.039427,0.914872,0.039444,0.399873,7.015406,6.159693,44.398933,-0.03544,0.949338,0.030768,0.310732,-7.200476,0.674929,-14.213204,-0.039427,0.914872,0.039444,0.399873,17.986601,1.522436,34.545197
1,0.008333,-0.007391,0.963537,0.044551,0.263737,-1.55104,86.316643,17.019897,-0.102766,0.944059,0.138725,0.280975,-1.8437,94.038971,17.655365,-0.000262,0.956986,0.013646,0.289814,-7.259595,112.764145,21.721018,0.012355,0.990732,0.007451,0.135066,-7.438306,134.004227,22.272768,0.062089,0.99689,0.043083,-0.022339,-6.60249,148.676636,20.716076,-0.062713,0.811479,0.172518,0.554803,-11.055758,128.498962,20.466084,0.344987,-0.426863,0.038798,-0.835025,-17.446032,130.020447,4.816966,0.122405,0.323545,-0.541655,-0.766124,-3.370379,122.024963,-10.450212,0.259848,0.317192,-0.536038,-0.737924,1.889558,145.482819,-1.080406,-0.085315,0.965358,0.075242,0.234828,-4.811793,128.443359,24.628929,0.419871,0.899536,0.074735,-0.094643,10.041235,130.639206,32.541653,-0.085701,0.334039,0.516259,-0.783932,24.04871,114.145515,27.35638,0.038357,0.130078,0.702366,-0.698778,18.102819,135.283539,16.741055,0.022002,0.964826,0.170942,0.198507,-9.690578,86.404167,12.207729,0.080797,0.981739,0.012939,0.171738,-8.770312,52.339127,-0.055024,-0.035413,0.949368,0.030736,0.310646,-16.066545,5.655548,-2.570279,-0.088486,0.942285,-0.10015,0.306983,6.588497,86.229118,21.832067,-0.009318,0.943551,-0.151253,0.294528,10.400997,51.306068,30.635162,-0.038837,0.914864,0.039798,0.399915,7.017203,6.162077,44.40062,-0.035413,0.949368,0.030736,0.310646,-7.200495,0.67599,-14.213493,-0.038837,0.914864,0.039798,0.399915,17.984783,1.527139,34.541775
2,0.016667,-0.007457,0.963523,0.044598,0.263777,-1.546823,86.318886,17.021456,-0.10285,0.944002,0.138683,0.281157,-1.840688,94.04113,17.657345,-0.000306,0.956915,0.013756,0.290041,-7.260098,112.766182,21.719456,0.01222,0.990781,0.007265,0.134726,-7.442091,134.006134,22.275089,0.061799,0.996914,0.042429,-0.02329,-6.610652,148.678101,20.711985,-0.062845,0.811122,0.172922,0.555184,-11.057901,128.500702,20.465656,0.344524,-0.425564,0.038112,-0.83591,-17.433279,130.029129,4.811136,0.123283,0.326531,-0.541376,-0.764913,-3.305974,122.086357,-10.435835,0.262529,0.320286,-0.534202,-0.736969,1.870206,145.536774,-0.98957,-0.085186,0.965301,0.075112,0.235151,-4.815905,128.445206,24.63146,0.419957,0.899505,0.074882,-0.094442,10.032731,130.636887,32.553585,-0.085545,0.334095,0.516331,-0.783878,24.038706,114.140297,27.373482,0.038849,0.130356,0.701739,-0.699328,18.099298,135.273712,16.7551,0.021994,0.964813,0.171002,0.198522,-9.685941,86.405472,12.208557,0.080898,0.981656,0.012818,0.17217,-8.764065,52.341877,-0.058124,-0.03538,0.949316,0.030697,0.310814,-16.070559,5.659559,-2.566999,-0.088433,0.942299,-0.100148,0.306956,6.592295,86.2323,21.834356,-0.009274,0.943602,-0.151258,0.294365,10.401546,51.308537,30.636047,-0.039154,0.914828,0.039769,0.399968,7.016099,6.164625,44.401352,-0.03538,0.949316,0.030697,0.310814,-7.200852,0.678744,-14.206898,-0.039154,0.914828,0.039769,0.399968,17.987776,1.532831,34.545586
3,0.025,-0.007509,0.963518,0.044615,0.26379,-1.543975,86.320068,17.022552,-0.102969,0.943954,0.138704,0.281263,-1.838687,94.042274,17.658482,-0.000419,0.95687,0.013905,0.290184,-7.264019,112.768997,21.719946,0.012733,0.990803,0.006965,0.134533,-7.452542,134.008759,22.280207,0.061111,0.996967,0.041774,-0.024013,-6.60567,148.679108,20.710152,-0.062977,0.810744,0.17325,0.55562,-11.066154,128.502655,20.468458,0.344375,-0.424352,0.037445,-0.836618,-17.42454,130.037018,4.807603,0.124392,0.329519,-0.541209,-0.763569,-3.24917,122.13929,-10.418144,0.265678,0.323274,-0.532289,-0.735919,1.835581,145.585327,-0.905941,-0.085156,0.965292,0.07522,0.235161,-4.825408,128.448105,24.63615,0.420062,0.899471,0.075165,-0.094077,10.023231,130.637878,32.5588,-0.085368,0.334141,0.516409,-0.783826,24.028334,114.137695,27.387787,0.038875,0.130517,0.701954,-0.699082,18.094709,135.268845,16.765039,0.021986,0.964812,0.170992,0.198537,-9.682951,86.405823,12.209393,0.080889,0.981716,0.012883,0.171827,-8.760448,52.341949,-0.056459,-0.035374,0.949346,0.030735,0.310719,-16.065882,5.659646,-2.568616,-0.088448,0.9423,-0.100098,0.306967,6.595,86.234314,21.835712,-0.009261,0.943571,-0.151283,0.294451,10.406277,51.310028,30.634439,-0.038811,0.914873,0.03987,0.399889,7.017706,6.166795,44.401211,-0.035374,0.949346,0.030735,0.310719,-7.198465,0.679738,-14.210649,-0.038811,0.914873,0.03987,0.399889,17.984724,1.533461,34.540977
4,0.033333,-0.007615,0.963533,0.044629,0.263731,-1.53963,86.320183,17.023315,-0.103162,0.943874,0.138737,0.281446,-1.835941,94.042351,17.659044,-0.000409,0.956787,0.013915,0.290456,-7.270286,112.769508,21.718931,0.01267,0.990824,0.006725,0.134397,-7.458659,134.009262,22.279686,0.060752,0.996993,0.041341,-0.024598,-6.613144,148.678894,20.702204,-0.062967,0.810479,0.17363,0.555889,-11.071361,128.503281,20.465733,0.344606,-0.423082,0.03688,-0.837191,-17.419626,130.047226,4.801721,0.125329,0.332051,-0.541265,-0.762278,-3.194496,122.184708,-10.39581,0.268293,0.325121,-0.531009,-0.735081,1.801113,145.631454,-0.831562,-0.085024,0.965268,0.075035,0.235371,-4.832987,128.448486,24.636963,0.420095,0.899481,0.075115,-0.093877,10.013072,130.634781,32.565395,-0.085331,0.334272,0.516408,-0.783776,24.018641,114.13224,27.4032,0.038863,0.130627,0.702298,-0.698716,18.08902,135.262695,16.774929,0.021919,0.964819,0.171073,0.198437,-9.679169,86.404022,12.21108,0.08097,0.981723,0.012849,0.17175,-8.752096,52.341949,-0.059411,-0.035387,0.949335,0.030759,0.31075,-16.06572,5.660802,-2.569152,-0.088398,0.942298,-0.100085,0.306991,6.599907,86.236343,21.835552,-0.009239,0.943581,-0.151314,0.294403,10.40785,51.311214,30.632385,-0.038836,0.914859,0.039761,0.39993,7.01713,6.168837,44.401436,-0.035387,0.949335,0.030759,0.31075,-7.197346,0.681724,-14.210807,-0.038836,0.914859,0.039761,0.39993,17.984905,1.532907,34.54327
5,0.041667,-0.007645,0.963534,0.044649,0.263723,-1.536191,86.319557,17.024412,-0.10337,0.943798,0.138787,0.281599,-1.833039,94.041687,17.660315,-0.000345,0.956724,0.013915,0.290663,-7.276779,112.768219,21.719065,0.012684,0.990828,0.006659,0.134369,-7.462695,134.007996,22.280558,0.060198,0.997041,0.04077,-0.024952,-6.616624,148.677383,20.701172,-0.063064,0.810262,0.173909,0.556106,-11.075315,128.502518,20.464836,0.344911,-0.421937,0.036332,-0.837667,-17.414959,130.050797,4.797764,0.125817,0.333824,-0.541478,-0.761271,-3.144968,122.21978,-10.373935,0.269516,0.326452,-0.530573,-0.734358,1.777183,145.663834,-0.773443,-0.084981,0.965238,0.074919,0.235542,-4.838744,128.446777,24.63875,0.420188,0.899471,0.074891,-0.093732,10.004814,130.63208,32.572136,-0.085327,0.33456,0.516404,-0.783655,24.008087,114.124557,27.419647,0.038725,0.13074,0.702455,-0.698544,18.087627,135.25322,16.782078,0.021988,0.964797,0.171091,0.198523,-9.675794,86.402931,12.212281,0.080991,0.981681,0.012798,0.171986,-8.752176,52.341545,-0.060373,-0.035472,0.949331,0.030735,0.310753,-16.067993,5.660594,-2.567467,-0.088391,0.942353,-0.100073,0.306826,6.603411,86.236183,21.836544,-0.009158,0.943652,-0.151339,0.294167,10.412715,51.310802,30.631771,-0.039004,0.914899,0.039675,0.399832,7.017501,6.168991,44.401558,-0.035472,0.949331,0.030735,0.310753,-7.19874,0.68165,-14.208505,-0.039004,0.914899,0.039675,0.399832,17.984509,1.532739,34.542698
6,0.05,-0.007672,0.963548,0.044695,0.263664,-1.53262,86.318901,17.024473,-0.103506,0.943758,0.138823,0.281667,-1.830005,94.040955,17.660963,-0.000419,0.956686,0.013915,0.290788,-7.279866,112.767395,21.719343,0.012778,0.990824,0.006797,0.134382,-7.468838,134.007156,22.279869,0.059649,0.997094,0.040146,-0.025195,-6.620538,148.676895,20.704899,-0.063108,0.810026,0.174101,0.556386,-11.080228,128.501129,20.463436,0.345559,-0.420945,0.035646,-0.837928,-17.409138,130.054016,4.792476,0.126304,0.335514,-0.541645,-0.760328,-3.099735,122.251251,-10.356659,0.270737,0.327233,-0.530492,-0.73362,1.754493,145.694016,-0.721147,-0.084955,0.965214,0.074913,0.235654,-4.844747,128.446411,24.63899,0.420313,0.899456,0.074598,-0.093549,9.997173,130.630554,32.575768,-0.085387,0.334834,0.5164,-0.783535,23.997316,114.116493,27.435741,0.03866,0.130991,0.702751,-0.698203,18.085176,135.245407,16.790531,0.021995,0.964807,0.171121,0.198447,-9.67281,86.40197,12.213325,0.081039,0.981682,0.012777,0.171959,-8.750178,52.341324,-0.061475,-0.035413,0.949313,0.030737,0.310814,-16.070822,5.661058,-2.567224,-0.088363,0.94241,-0.100176,0.306626,6.607569,86.235825,21.835619,-0.009112,0.943631,-0.151278,0.294265,10.414476,51.311577,30.636383,-0.038922,0.914839,0.039794,0.399964,7.015465,6.167945,44.399254,-0.035413,0.949313,0.030737,0.310814,-7.200688,0.681657,-14.207399,-0.038922,0.914839,0.039794,0.399964,17.984894,1.533961,34.542011
7,0.058333,-0.007704,0.963562,0.044726,0.263607,-1.529283,86.319984,17.025152,-0.103672,0.943711,0.138826,0.281761,-1.827238,94.041992,17.661991,-0.000467,0.95664,0.013971,0.290937,-7.283244,112.76548,21.717615,0.012627,0.990832,0.006714,0.134338,-7.474972,134.005173,22.27981,0.059328,0.99712,0.039784,-0.025462,-6.630887,148.67482,20.701756,-0.063083,0.809885,0.174296,0.556532,-11.085124,128.49884,20.461798,0.346204,-0.42005,0.035232,-0.838129,-17.408604,130.057251,4.789196,0.127213,0.337059,-0.541794,-0.759387,-3.064418,122.271301,-10.33567,0.272328,0.328773,-0.530103,-0.732623,1.727214,145.716125,-0.683635,-0.084971,0.96519,0.074792,0.235783,-4.850942,128.44455,24.639299,0.420325,0.899477,0.074563,-0.093323,9.988827,130.629807,32.579792,-0.085453,0.335067,0.516369,-0.783448,23.990396,114.113976,27.449318,0.03818,0.131151,0.703729,-0.697214,18.083717,135.243851,16.796974,0.022017,0.964793,0.171148,0.198489,-9.670025,86.402573,12.21493,0.081067,0.981662,0.01274,0.172064,-8.747983,52.342667,-0.061969,-0.035399,0.949313,0.030717,0.310818,-16.071579,5.662751,-2.565551,-0.088325,0.942355,-0.100159,0.306813,6.611459,86.237396,21.835375,-0.00911,0.94364,-0.151306,0.294224,10.414457,51.312424,30.634949,-0.038967,0.914814,0.039716,0.400025,7.015026,6.169596,44.400345,-0.035399,0.949313,0.030717,0.310818,-7.201543,0.682675,-14.205514,-0.038967,0.914814,0.039716,0.400025,17.985937,1.534132,34.545452
8,0.066667,-0.007743,0.963588,0.044727,0.263511,-1.526092,86.320839,17.026468,-0.10372,0.943685,0.138885,0.281801,-1.824577,94.042831,17.663197,-0.000587,0.956607,0.013952,0.291046,-7.282773,112.763885,21.719902,0.012638,0.990804,0.006809,0.134545,-7.479207,134.003586,22.279804,0.058671,0.997182,0.039318,-0.025282,-6.634446,148.673538,20.704859,-0.063186,0.809748,0.174455,0.55667,-11.087749,128.496307,20.461538,0.346752,-0.419278,0.034896,-0.838303,-17.405581,130.055969,4.786785,0.127654,0.338067,-0.541693,-0.758936,-3.031498,122.283951,-10.316844,0.272726,0.329286,-0.53048,-0.731971,1.730279,145.724945,-0.645494,-0.084966,0.965164,0.074714,0.23592,-4.854528,128.443787,24.640495,0.42056,0.899415,0.074568,-0.092856,9.98308,130.629089,32.585011,-0.08536,0.335346,0.516481,-0.783265,23.979706,114.10347,27.472614,0.038815,0.131719,0.702966,-0.697841,18.088318,135.230774,16.811686,0.021994,0.964814,0.171168,0.198375,-9.667786,86.402634,12.217847,0.081102,0.981688,0.012781,0.171892,-8.745301,52.343155,-0.060208,-0.035482,0.949308,0.030711,0.310826,-16.071909,5.663877,-2.566844,-0.088303,0.942386,-0.100145,0.306727,6.615602,86.239037,21.835093,-0.009085,0.943658,-0.151354,0.294143,10.418274,51.313568,30.632856,-0.038699,0.914869,0.039805,0.399916,7.016526,6.172082,44.402088,-0.035482,0.949308,0.030711,0.310826,-7.200816,0.684423,-14.206261,-0.038699,0.914869,0.039805,0.399916,17.982838,1.535653,34.54253
9,0.075,-0.007945,0.963631,0.044913,0.263316,-1.518955,86.324394,17.021589,-0.104032,0.943616,0.139028,0.281845,-1.821076,94.046089,17.660316,-0.000352,0.956576,0.014013,0.291146,-7.294214,112.768532,21.719563,0.012677,0.990802,0.00672,0.13456,-7.48192,134.008179,22.284855,0.058134,0.997227,0.038913,-0.0254,-6.635629,148.67778,20.707476,-0.063477,0.809621,0.174354,0.556853,-11.092388,128.502838,20.464455,0.347203,-0.418606,0.034798,-0.838456,-17.40205,130.053986,4.785564,0.128478,0.339002,-0.541669,-0.758396,-3.002605,122.287369,-10.296677,0.274044,0.330198,-0.53045,-0.731089,1.727645,145.732117,-0.621365,-0.084937,0.96515,0.074803,0.235956,-4.86003,128.446671,24.644651,0.420732,0.89936,0.074714,-0.092487,9.977171,130.630157,32.590424,-0.085311,0.335668,0.516568,-0.783075,23.970411,114.098045,27.48974,0.03873,0.132136,0.702946,-0.697787,18.093973,135.224335,16.818821,0.022061,0.96482,0.171142,0.198361,-9.662528,86.403267,12.2161,0.081087,0.981708,0.012798,0.171788,-8.745269,52.343369,-0.061169,-0.035492,0.949291,0.030807,0.310868,-16.070446,5.663898,-2.568351,-0.088192,0.942318,-0.10023,0.306941,6.624619,86.245522,21.827078,-0.00926,0.943733,-0.151494,0.293824,10.415801,51.319874,30.629086,-0.039303,0.915188,0.039125,0.399194,7.030413,6.182689,44.416447,-0.035492,0.949291,0.030807,0.310868,-7.197999,0.68724,-14.207933,-0.039303,0.915188,0.039125,0.399194,17.984921,1.534916,34.54911
