Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.0328,0.943697,0.025518,0.328189,-0.106976,86.648796,16.072073,-0.104833,0.933167,0.147473,0.310583,-0.716866,94.375969,16.278597,-0.034247,0.948188,0.015263,0.315489,-6.352124,112.708923,20.400524,0.04364,0.980815,0.040251,0.185681,-7.936706,133.897186,20.556395,0.067283,0.996665,0.023829,0.039555,-6.205592,148.569443,20.196529,-0.123184,0.807207,0.163092,0.553754,-11.083804,128.140549,18.655104,0.424723,-0.454075,0.039502,-0.782219,-17.132,127.83091,2.800484,0.117643,0.184873,-0.582835,-0.782486,-4.125619,117.873024,-12.259825,0.179575,0.163708,-0.657728,-0.712984,2.301872,142.222809,-8.381984,-0.112585,0.946152,0.038638,0.301046,-5.090698,128.555664,23.152863,0.423182,0.904709,0.048258,-0.009532,8.374681,131.776611,32.968903,-0.106149,0.461415,0.480044,-0.738502,22.65254,114.758667,31.676281,-0.040573,0.226324,0.639125,-0.733928,19.903486,134.337708,17.614054,0.039319,0.952112,0.144249,0.266702,-7.505685,86.221802,10.198958,0.098582,0.988626,-0.00215,0.113557,-7.43067,51.624264,-0.508708,-0.024275,0.951416,0.047347,0.303276,-16.676939,5.227202,-1.366948,-0.083065,0.931441,-0.090345,0.342571,7.291733,87.07579,21.945189,0.007845,0.941607,-0.150577,0.301066,10.65414,51.950096,30.101711,-0.032312,0.894212,0.014526,0.446241,5.664988,6.784415,43.295921,-0.024275,0.951416,0.047347,0.303276,-8.06371,0.602324,-13.341511,-0.032312,0.894212,0.014526,0.446241,17.406401,1.430924,34.784359
1,0.008333,-0.032935,0.943688,0.025617,0.328196,-0.094918,86.647423,16.070902,-0.104905,0.933167,0.147376,0.310603,-0.707294,94.374374,16.278162,-0.034234,0.948184,0.015333,0.315499,-6.344781,112.709877,20.396034,0.043716,0.980811,0.040257,0.185685,-7.929787,133.898087,20.554876,0.067346,0.996662,0.023762,0.039544,-6.196515,148.570114,20.195591,-0.123115,0.807231,0.162942,0.553778,-11.076741,128.141647,18.652721,0.424783,-0.45407,0.039354,-0.782196,-17.124596,127.831139,2.797991,0.117544,0.185007,-0.582935,-0.782395,-4.117507,117.877327,-12.264398,0.179438,0.163869,-0.65781,-0.712906,2.301553,142.228241,-8.379737,-0.112582,0.94613,0.038736,0.301103,-5.083713,128.556244,23.150633,0.423239,0.904671,0.048466,-0.009489,8.380504,131.775955,32.96867,-0.106105,0.461313,0.480226,-0.738455,22.656256,114.756416,31.67375,-0.040454,0.226118,0.63924,-0.733899,19.911142,134.338943,17.616488,0.03938,0.952147,0.144257,0.266563,-7.493369,86.21862,10.197594,0.098659,0.988633,-0.002183,0.113432,-7.423988,51.621597,-0.51178,-0.024036,0.951422,0.047622,0.303233,-16.67782,5.225977,-1.366614,-0.08295,0.931458,-0.09036,0.34255,7.303533,87.076225,21.944212,0.007909,0.941645,-0.150633,0.300918,10.658014,51.949329,30.098837,-0.032397,0.894227,0.014444,0.446206,5.663621,6.785333,43.296825,-0.024036,0.951422,0.047622,0.303233,-8.067356,0.606614,-13.345292,-0.032397,0.894227,0.014444,0.446206,17.40489,1.430855,34.785686
2,0.016667,-0.032827,0.943701,0.025396,0.328187,-0.091244,86.648796,16.073189,-0.104936,0.933225,0.147349,0.310431,-0.700907,94.37603,16.277781,-0.034213,0.948262,0.015322,0.315269,-6.337393,112.708221,20.394552,0.043649,0.980829,0.040309,0.185592,-7.921388,133.8965,20.553617,0.067432,0.996655,0.023732,0.039614,-6.190515,148.568832,20.195255,-0.123039,0.807191,0.16301,0.553834,-11.069517,128.140167,18.653135,0.424681,-0.454152,0.039322,-0.782206,-17.115921,127.833473,2.797775,0.117341,0.185068,-0.583,-0.782363,-4.11202,117.881287,-12.268442,0.179264,0.163999,-0.657957,-0.712784,2.302161,142.232727,-8.375934,-0.112651,0.946121,0.038727,0.301105,-5.074292,128.554611,23.148132,0.423326,0.904635,0.048374,-0.00951,8.389358,131.776581,32.966202,-0.106172,0.461289,0.480282,-0.738423,22.661814,114.75425,31.67198,-0.040476,0.225996,0.639346,-0.733842,19.918165,134.340164,17.617584,0.039408,0.952091,0.144255,0.26676,-7.489948,86.220558,10.200158,0.098673,0.988632,-0.002159,0.113425,-7.42031,51.623642,-0.509553,-0.024262,0.951432,0.047324,0.303231,-16.675234,5.228284,-1.366717,-0.082929,0.931513,-0.090326,0.342415,7.307459,87.077042,21.946222,0.007945,0.941645,-0.150638,0.300916,10.662629,51.949448,30.097563,-0.032237,0.894225,0.014533,0.446219,5.664923,6.785643,43.294949,-0.024262,0.951432,0.047324,0.303231,-8.063301,0.602628,-13.341912,-0.032237,0.894225,0.014533,0.446219,17.405195,1.431315,34.782341
3,0.025,-0.032784,0.943706,0.025379,0.328178,-0.085628,86.649254,16.071877,-0.104754,0.933242,0.147149,0.310536,-0.694586,94.376549,16.276443,-0.034323,0.948217,0.015496,0.315383,-6.322243,112.711189,20.387503,0.043624,0.98083,0.040283,0.185597,-7.912979,133.898926,20.551922,0.067515,0.996653,0.023736,0.03952,-6.18267,148.571304,20.19268,-0.123079,0.807233,0.163096,0.553739,-11.058839,128.142105,18.649143,0.424565,-0.454238,0.039325,-0.782219,-17.108484,127.835228,2.795026,0.117149,0.185193,-0.583002,-0.782361,-4.10808,117.883636,-12.274605,0.179088,0.164136,-0.65801,-0.712748,2.30402,142.235703,-8.371182,-0.112648,0.946106,0.038804,0.301145,-5.064804,128.557236,23.145664,0.423314,0.904628,0.048626,-0.009408,8.398048,131.778198,32.965149,-0.106062,0.461156,0.480336,-0.738487,22.671024,114.756348,31.670307,-0.04052,0.225949,0.639453,-0.733761,19.924067,134.341614,17.617588,0.039437,0.952055,0.1442,0.266913,-7.484494,86.221657,10.199006,0.098703,0.988688,-0.00205,0.112913,-7.416241,51.623768,-0.507581,-0.023963,0.951457,0.047401,0.303164,-16.673151,5.22891,-1.370458,-0.08293,0.931575,-0.090345,0.342242,7.31324,87.076859,21.944748,0.008092,0.941725,-0.150676,0.300642,10.669472,51.949524,30.096754,-0.032348,0.894199,0.014381,0.446268,5.661424,6.787017,43.29467,-0.023963,0.951457,0.047401,0.303164,-8.065698,0.602661,-13.34864,-0.032348,0.894199,0.014381,0.446268,17.403093,1.430321,34.78548
4,0.033333,-0.032818,0.943696,0.025376,0.328202,-0.07717,86.648087,16.070127,-0.104732,0.933249,0.1471,0.310548,-0.686618,94.375343,16.274467,-0.034352,0.948214,0.015539,0.315386,-6.313309,112.711922,20.384245,0.043743,0.980831,0.040354,0.185552,-7.905802,133.899506,20.550003,0.067584,0.996655,0.023678,0.039391,-6.172552,148.571594,20.193361,-0.123106,0.807231,0.163132,0.553725,-11.051169,128.142548,18.646835,0.42424,-0.454317,0.039518,-0.782339,-17.101076,127.835548,2.792826,0.116906,0.185229,-0.583018,-0.782376,-4.104572,117.882111,-12.278931,0.178972,0.164309,-0.657978,-0.712767,2.306839,142.237015,-8.366179,-0.112623,0.946102,0.038789,0.301169,-5.057204,128.557892,23.143425,0.423503,0.904546,0.04848,-0.009595,8.405347,131.778152,32.963547,-0.106148,0.461091,0.480498,-0.73841,22.671041,114.750587,31.663572,-0.040474,0.22581,0.639624,-0.733657,19.928431,134.34343,17.616375,0.039447,0.952075,0.144147,0.266867,-7.475692,86.219879,10.196868,0.098765,0.988635,-0.00211,0.113318,-7.409656,51.620926,-0.506295,-0.024043,0.951462,0.04744,0.303135,-16.672642,5.227262,-1.367976,-0.082874,0.931634,-0.090384,0.342083,7.321352,87.076286,21.943388,0.008121,0.941739,-0.150703,0.300584,10.674241,51.948799,30.096119,-0.03227,0.89425,0.014431,0.44617,5.663662,6.787124,43.295914,-0.024043,0.951462,0.04744,0.303135,-8.065008,0.60282,-13.346725,-0.03227,0.89425,0.014431,0.44617,17.402899,1.430579,34.783276
5,0.041667,-0.032782,0.943698,0.025357,0.328203,-0.072518,86.649467,16.069395,-0.104717,0.933274,0.147061,0.310495,-0.68134,94.376778,16.273638,-0.034377,0.948239,0.015565,0.315309,-6.306168,112.711868,20.382072,0.043905,0.980826,0.0404,0.18553,-7.900008,133.899353,20.548653,0.067561,0.996657,0.023631,0.039388,-6.16238,148.570984,20.194155,-0.122967,0.807252,0.163142,0.553722,-11.045315,128.142242,18.645849,0.424165,-0.454299,0.03963,-0.782385,-17.096521,127.839134,2.792259,0.116913,0.185395,-0.582995,-0.782353,-4.099664,117.883575,-12.277791,0.179006,0.164565,-0.657987,-0.712691,2.310081,142.238205,-8.35871,-0.112567,0.946118,0.038733,0.301147,-5.050637,128.557846,23.141462,0.423502,0.904548,0.048468,-0.009503,8.41279,131.777008,32.960747,-0.106182,0.46107,0.480487,-0.738425,22.678604,114.749229,31.664722,-0.040035,0.22576,0.638874,-0.73435,19.934906,134.340317,17.620382,0.039453,0.952061,0.144083,0.266951,-7.471076,86.221786,10.196144,0.098812,0.988643,-0.002072,0.113211,-7.40577,51.621532,-0.502833,-0.024216,0.951455,0.047356,0.303156,-16.672792,5.228731,-1.367639,-0.082853,0.931589,-0.090377,0.342212,7.32604,87.077148,21.942646,0.00817,0.941751,-0.150711,0.300541,10.67658,51.94931,30.094847,-0.032264,0.894234,0.014407,0.446203,5.66196,6.787944,43.294159,-0.024216,0.951455,0.047356,0.303156,-8.0631,0.603527,-13.344611,-0.032264,0.894234,0.014407,0.446203,17.401657,1.430741,34.78257
6,0.05,-0.032795,0.943692,0.02541,0.328214,-0.06596,86.649117,16.067001,-0.1047,0.933289,0.147003,0.310484,-0.675242,94.376381,16.271946,-0.034385,0.948248,0.015602,0.315278,-6.299028,112.713181,20.37878,0.043853,0.980839,0.040325,0.185489,-7.893659,133.900589,20.546808,0.067666,0.996649,0.02371,0.039372,-6.157203,148.572296,20.189779,-0.122377,0.807429,0.163092,0.553609,-11.038874,128.143478,18.643848,0.424364,-0.454186,0.039872,-0.78233,-17.099218,127.85424,2.793491,0.11716,0.185452,-0.582901,-0.782373,-4.098661,117.888435,-12.266597,0.17892,0.164659,-0.657956,-0.712719,2.314478,142.238281,-8.352534,-0.11258,0.946123,0.038813,0.301117,-5.043913,128.559036,23.139091,0.423519,0.904539,0.048482,-0.009538,8.420044,131.777817,32.957775,-0.106216,0.460978,0.480541,-0.738443,22.685173,114.749596,31.660015,-0.039977,0.225653,0.638941,-0.734327,19.939907,134.342804,17.619989,0.039468,0.952041,0.144062,0.267034,-7.46436,86.221542,10.193544,0.098873,0.988688,-0.002012,0.112763,-7.399562,51.620937,-0.504256,-0.02417,0.951439,0.047342,0.303213,-16.672012,5.229261,-1.371077,-0.082795,0.931588,-0.09039,0.342226,7.332441,87.076691,21.940458,0.008174,0.941745,-0.150758,0.300537,10.67864,51.948334,30.092161,-0.032285,0.894248,0.014366,0.446175,5.662428,6.788299,43.295433,-0.02417,0.951439,0.047342,0.303213,-8.061418,0.60327,-13.347095,-0.032285,0.894248,0.014366,0.446175,17.401625,1.430298,34.783657
7,0.058333,-0.032858,0.943717,0.025455,0.328131,-0.056481,86.650726,16.06428,-0.104892,0.933292,0.1472,0.310316,-0.666896,94.377884,16.269617,-0.034366,0.948304,0.015461,0.315119,-6.299704,112.712646,20.382421,0.043889,0.980871,0.040342,0.185308,-7.891647,133.900314,20.545269,0.067939,0.996637,0.023771,0.039173,-6.154631,148.571945,20.188465,-0.122451,0.80728,0.1631,0.553809,-11.038202,128.143066,18.644888,0.424057,-0.454289,0.040051,-0.782427,-17.090448,127.853668,2.791431,0.116927,0.185549,-0.582862,-0.782414,-4.094672,117.885735,-12.271388,0.178794,0.164832,-0.657856,-0.712803,2.319434,142.23555,-8.345605,-0.112537,0.946169,0.038849,0.300983,-5.041716,128.559082,23.13806,0.423291,0.90464,0.048579,-0.009559,8.425318,131.776474,32.952995,-0.106054,0.460722,0.480441,-0.738691,22.699051,114.75563,31.653049,-0.040488,0.225408,0.640231,-0.733251,19.937321,134.348709,17.610491,0.039521,0.952075,0.144034,0.266918,-7.455845,86.222252,10.192095,0.09909,0.988542,-0.002145,0.113848,-7.396577,51.621365,-0.504856,-0.024143,0.951302,0.047223,0.303664,-16.689533,5.233794,-1.371817,-0.082706,0.931627,-0.090497,0.342112,7.342883,87.079201,21.936462,0.008222,0.941755,-0.150752,0.300507,10.681372,51.951172,30.092779,-0.03227,0.894218,0.014283,0.446239,5.661504,6.791038,43.294334,-0.024143,0.951302,0.047223,0.303664,-8.068368,0.604298,-13.338881,-0.03227,0.894218,0.014283,0.446239,17.4014,1.430744,34.784962
8,0.066667,-0.03282,0.943712,0.025422,0.328152,-0.051428,86.649002,16.061985,-0.104788,0.933312,0.147109,0.310333,-0.661112,94.376221,16.267017,-0.034397,0.948302,0.015555,0.315116,-6.289669,112.714455,20.378172,0.043832,0.980874,0.040375,0.185296,-7.88415,133.901901,20.544394,0.068057,0.996629,0.023772,0.039174,-6.148984,148.573761,20.188204,-0.122772,0.807255,0.163083,0.553778,-11.030033,128.144592,18.643131,0.423817,-0.454364,0.039999,-0.782517,-17.080751,127.846001,2.789265,0.116668,0.185706,-0.582826,-0.782442,-4.087818,117.883156,-12.279363,0.178674,0.164894,-0.65773,-0.712936,2.326015,142.23288,-8.338791,-0.112546,0.946169,0.038889,0.300973,-5.033553,128.560608,23.136307,0.42351,0.904541,0.048474,-0.009745,8.433602,131.777924,32.951096,-0.106242,0.460731,0.480569,-0.738575,22.698896,114.750465,31.645161,-0.040496,0.225469,0.640001,-0.733432,19.943422,134.350433,17.609379,0.039522,0.952075,0.144025,0.266922,-7.450569,86.221024,10.189486,0.098991,0.988681,-0.002076,0.112721,-7.39149,51.619957,-0.506882,-0.024032,0.951412,0.047387,0.303302,-16.67555,5.230507,-1.368648,-0.082692,0.93163,-0.090501,0.342106,7.347712,87.076981,21.934486,0.008283,0.941813,-0.150783,0.300307,10.685224,51.948833,30.090702,-0.032467,0.894213,0.01421,0.446237,5.661822,6.789693,43.294312,-0.024032,0.951412,0.047387,0.303302,-8.064047,0.604507,-13.344013,-0.032467,0.894213,0.01421,0.446237,17.403374,1.430178,34.786736
9,0.075,-0.032862,0.943724,0.025372,0.328117,-0.042768,86.650024,16.05859,-0.104672,0.933307,0.147123,0.310381,-0.652817,94.377243,16.262705,-0.034486,0.948269,0.015586,0.315204,-6.277541,112.716248,20.375557,0.043891,0.980844,0.040445,0.185428,-7.876015,133.903381,20.541712,0.068024,0.996625,0.023764,0.039323,-6.139258,148.575134,20.188189,-0.122344,0.807538,0.162994,0.553487,-11.020461,128.145508,18.639791,0.424108,-0.454181,0.040059,-0.782463,-17.08568,127.854195,2.791333,0.117013,0.185841,-0.582662,-0.782481,-4.085567,117.886925,-12.268175,0.178624,0.164996,-0.657604,-0.71304,2.333896,142.22937,-8.332088,-0.112417,0.946172,0.038777,0.301027,-5.02491,128.562592,23.134106,0.423502,0.904541,0.04855,-0.009702,8.442116,131.77684,32.950066,-0.106351,0.460787,0.480523,-0.738554,22.707777,114.74968,31.64447,-0.040307,0.2255,0.639003,-0.734302,19.952911,134.348724,17.610554,0.039544,0.952085,0.144038,0.266879,-7.442291,86.220955,10.186653,0.099035,0.988608,-0.002201,0.113316,-7.384996,51.620285,-0.511008,-0.024067,0.951436,0.047335,0.303234,-16.673931,5.231705,-1.367126,-0.082595,0.931582,-0.090557,0.342247,7.356754,87.079094,21.930527,0.008301,0.941828,-0.15078,0.300261,10.685156,51.95052,30.088606,-0.032322,0.894185,0.014166,0.446305,5.660922,6.791303,43.29163,-0.024067,0.951436,0.047335,0.303234,-8.06389,0.604561,-13.343102,-0.032322,0.894185,0.014166,0.446305,17.402103,1.428752,34.785454
