Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.0399,0.948577,0.031363,0.312452,-0.356883,86.279205,17.431299,-0.11332,0.927417,0.130277,0.331791,-1.095796,93.99321,17.699333,-0.024637,0.937541,0.014797,0.346686,-6.899221,112.390602,20.955641,0.034153,0.969675,0.025566,0.240644,-8.098795,133.6035,21.182222,0.079919,0.988019,0.039377,0.126019,-6.422438,148.26973,20.480154,-0.10227,0.788392,0.165023,0.583734,-11.220124,127.921143,19.031418,0.407479,-0.431773,0.046364,-0.803357,-16.270803,128.454102,2.837221,0.11596,0.191432,-0.595444,-0.771592,-2.41145,118.966606,-11.758807,0.178575,0.196496,-0.645192,-0.716399,3.158694,143.624619,-7.731745,-0.109937,0.937119,0.059583,0.325841,-5.528581,128.190826,23.915377,0.399819,0.90996,0.109966,0.005073,7.429171,131.028839,34.502525,-0.126462,0.41367,0.481183,-0.762461,22.565617,114.812813,32.751301,-0.06895,0.201817,0.691583,-0.690094,17.791662,135.372208,20.266708,0.042811,0.957867,0.163566,0.232173,-7.936506,85.748741,11.802387,0.087505,0.988806,0.016603,0.119709,-8.156107,51.602673,-0.266051,-0.041601,0.946177,0.049926,0.317057,-16.156322,5.036187,-2.810962,-0.083276,0.939972,-0.094084,0.317281,7.222739,86.809662,23.060211,0.002228,0.940427,-0.138155,0.310653,10.730384,51.736439,31.379768,-0.034434,0.884723,0.037042,0.463366,6.470582,6.225988,43.609665,-0.041601,0.946177,0.049926,0.317057,-7.026556,0.65592,-14.491199,-0.034434,0.884723,0.037042,0.463366,18.649443,1.493321,35.348637
1,0.008333,-0.039853,0.948586,0.031301,0.312435,-0.354407,86.277733,17.431507,-0.113239,0.927459,0.130195,0.331732,-1.09233,93.991867,17.698864,-0.024637,0.937573,0.01484,0.346598,-6.89134,112.389862,20.953552,0.034069,0.969697,0.025563,0.240568,-8.091534,133.602722,21.181961,0.080025,0.988012,0.039431,0.125988,-6.417716,148.269196,20.479029,-0.102134,0.788422,0.165013,0.583721,-11.213091,127.92041,19.031313,0.407419,-0.431855,0.046476,-0.803337,-16.265242,128.456619,2.837683,0.115878,0.191282,-0.59545,-0.771636,-2.409492,118.964836,-11.758985,0.178431,0.196408,-0.645148,-0.716499,3.163495,143.624054,-7.734728,-0.109941,0.937143,0.0596,0.325766,-5.520637,128.189896,23.914225,0.399954,0.909921,0.109795,0.005012,7.438748,131.028091,34.499325,-0.126558,0.413651,0.481252,-0.762412,22.570414,114.807617,32.748005,-0.068876,0.20177,0.691629,-0.690069,17.798763,135.371094,20.267326,0.042873,0.957852,0.163526,0.23225,-7.934289,85.747734,11.802906,0.087484,0.988815,0.016657,0.119643,-8.157906,51.601105,-0.26387,-0.041396,0.946175,0.049987,0.317081,-16.155672,5.034438,-2.813066,-0.08328,0.939951,-0.09405,0.31735,7.225474,86.807739,23.06011,0.002246,0.940409,-0.13816,0.310706,10.733592,51.734116,31.377739,-0.034363,0.884694,0.03716,0.463417,6.471282,6.223798,43.607265,-0.041396,0.946175,0.049987,0.317081,-7.027177,0.653874,-14.494183,-0.034363,0.884694,0.03716,0.463417,18.650902,1.493216,35.346169
2,0.016667,-0.039843,0.948607,0.031363,0.312369,-0.349424,86.27932,17.429823,-0.113155,0.92747,0.130192,0.33173,-1.087487,93.993393,17.698196,-0.024673,0.937565,0.01483,0.346616,-6.883586,112.392601,20.954025,0.034198,0.969698,0.025709,0.240532,-8.085079,133.605377,21.181461,0.080027,0.988033,0.039367,0.125841,-6.408705,148.271805,20.483507,-0.102402,0.788309,0.165053,0.583815,-11.206205,127.922798,19.030937,0.407217,-0.432019,0.046461,-0.803353,-16.252764,128.453522,2.835384,0.115629,0.191253,-0.595492,-0.771648,-2.403265,118.963196,-11.768143,0.178378,0.196369,-0.645147,-0.716524,3.168002,143.623108,-7.737337,-0.109832,0.937173,0.059685,0.325702,-5.513962,128.192856,23.914063,0.399761,0.909995,0.10989,0.005036,7.447643,131.026901,34.497559,-0.126596,0.413465,0.481263,-0.7625,22.586191,114.812813,32.746498,-0.068341,0.201693,0.691838,-0.689935,17.807394,135.378815,20.271683,0.042898,0.957856,0.163497,0.232251,-7.930104,85.749802,11.802249,0.087507,0.988796,0.016627,0.119787,-8.155927,51.60265,-0.262988,-0.041391,0.946181,0.049928,0.317073,-16.155863,5.03628,-2.810802,-0.083251,0.940019,-0.094142,0.317128,7.231256,86.808838,23.057396,0.002297,0.94044,-0.138189,0.310598,10.737226,51.736115,31.379772,-0.034593,0.88472,0.037047,0.463359,6.470969,6.226575,43.610798,-0.041391,0.946181,0.049928,0.317073,-7.027744,0.653999,-14.491573,-0.034593,0.88472,0.037047,0.463359,18.651199,1.496229,35.35046
3,0.025,-0.039811,0.948628,0.031421,0.312303,-0.343635,86.281227,17.427708,-0.113138,0.927491,0.130155,0.331693,-1.081484,93.995293,17.69714,-0.024664,0.93758,0.01488,0.346575,-6.876614,112.395668,20.95223,0.034206,0.969702,0.025731,0.240513,-8.078478,133.608414,21.181826,0.080051,0.988028,0.039404,0.125853,-6.402072,148.274857,20.484514,-0.102426,0.788304,0.165004,0.583832,-11.199693,127.925964,19.031036,0.407146,-0.432123,0.046469,-0.803332,-16.245398,128.455215,2.835169,0.11555,0.191242,-0.595477,-0.771675,-2.399944,118.964096,-11.771681,0.178415,0.19631,-0.645112,-0.716562,3.172346,143.622665,-7.738678,-0.109806,0.937209,0.059648,0.325613,-5.507015,128.195648,23.913673,0.399819,0.909959,0.10997,0.005156,7.456765,131.029587,34.494526,-0.126528,0.413464,0.481345,-0.762459,22.593168,114.813171,32.746578,-0.068206,0.201616,0.691766,-0.690042,17.81848,135.379135,20.272018,0.042869,0.957877,0.163475,0.232185,-7.925139,85.752579,11.801163,0.087574,0.988778,0.016603,0.119887,-8.150176,51.604698,-0.262053,-0.041423,0.946172,0.0499,0.317099,-16.156336,5.039358,-2.80921,-0.083243,0.940035,-0.094223,0.31706,7.237869,86.809883,23.054251,0.002364,0.940493,-0.138219,0.310424,10.741997,51.738155,31.381596,-0.034755,0.884721,0.036878,0.463359,6.471209,6.229413,43.614014,-0.041423,0.946172,0.0499,0.317099,-7.02733,0.656638,-14.489121,-0.034755,0.884721,0.036878,0.463359,18.652239,1.496946,35.356079
4,0.033333,-0.039776,0.948634,0.031432,0.312286,-0.339341,86.280655,17.426289,-0.113014,0.927523,0.130113,0.331661,-1.076716,93.994751,17.69606,-0.02471,0.937595,0.014893,0.346531,-6.867384,112.398651,20.951912,0.034514,0.96969,0.025784,0.240512,-8.071263,133.611267,21.181437,0.079896,0.988046,0.039389,0.125819,-6.386455,148.276932,20.487789,-0.102458,0.788313,0.164939,0.583833,-11.192129,127.92852,19.030979,0.407172,-0.432221,0.046418,-0.803269,-16.237602,128.455582,2.834965,0.115521,0.191196,-0.595455,-0.771707,-2.395703,118.964149,-11.775063,0.178328,0.196337,-0.645139,-0.716552,3.17882,143.622406,-7.742556,-0.109808,0.93727,0.059877,0.325395,-5.49903,128.198792,23.913094,0.399903,0.909941,0.109806,0.005209,7.469548,131.030899,34.488564,-0.126618,0.413456,0.481336,-0.762455,22.602945,114.81118,32.745293,-0.068138,0.201608,0.691724,-0.690094,17.827215,135.379623,20.272486,0.042911,0.957875,0.163433,0.232214,-7.921104,85.752693,11.800025,0.087562,0.988773,0.016595,0.119942,-8.149445,51.604088,-0.261066,-0.04146,0.946191,0.049952,0.317031,-16.154446,5.038527,-2.807825,-0.083253,0.940012,-0.094256,0.317116,7.242422,86.808624,23.052551,0.002409,0.940497,-0.138243,0.310401,10.74592,51.737469,31.382566,-0.034689,0.884697,0.036951,0.463403,6.470715,6.229386,43.615894,-0.04146,0.946191,0.049952,0.317031,-7.02662,0.657565,-14.489322,-0.034689,0.884697,0.036951,0.463403,18.652254,1.497919,35.358135
5,0.041667,-0.039757,0.948647,0.0314,0.312254,-0.334837,86.280861,17.424515,-0.112964,0.927536,0.130111,0.331644,-1.071778,93.99501,17.693932,-0.024715,0.937599,0.014887,0.346518,-6.86036,112.398705,20.950359,0.034529,0.969688,0.025747,0.240521,-8.064322,133.611328,21.179588,0.079926,0.988033,0.039505,0.125863,-6.378804,148.276871,20.485003,-0.102391,0.788372,0.164898,0.583776,-11.185222,127.928528,19.029301,0.407254,-0.432246,0.046412,-0.803215,-16.2334,128.456055,2.834146,0.115517,0.191113,-0.595419,-0.771756,-2.392407,118.962906,-11.775625,0.178179,0.196169,-0.645116,-0.716656,3.185894,143.620331,-7.745618,-0.109766,0.937265,0.059853,0.325429,-5.491994,128.198898,23.911263,0.399942,0.909941,0.109675,0.005119,7.476138,131.029861,34.487579,-0.12665,0.413485,0.481364,-0.762417,22.608208,114.809074,32.742794,-0.068138,0.201547,0.691856,-0.689979,17.834848,135.378891,20.270422,0.042919,0.957878,0.163413,0.232214,-7.917008,85.753014,11.798789,0.08757,0.988793,0.016608,0.119768,-8.146201,51.603973,-0.261073,-0.041277,0.946202,0.049956,0.31702,-16.152266,5.038586,-2.807714,-0.0832,0.940019,-0.094309,0.317094,7.247333,86.808716,23.050241,0.002375,0.940432,-0.138217,0.310611,10.746208,51.737667,31.382608,-0.034658,0.884693,0.036919,0.463415,6.472039,6.228879,43.613686,-0.041277,0.946202,0.049956,0.31702,-7.026483,0.655912,-14.490165,-0.034658,0.884693,0.036919,0.463415,18.653383,1.496153,35.356354
6,0.05,-0.039748,0.948643,0.031285,0.312279,-0.33104,86.279053,17.425283,-0.112878,0.92757,0.13002,0.331613,-1.0673,93.993324,17.693037,-0.024707,0.937623,0.014971,0.346452,-6.851904,112.399803,20.947802,0.034573,0.969695,0.025743,0.240485,-8.056789,133.612335,21.180578,0.079951,0.988031,0.039514,0.125863,-6.370105,148.27774,20.486101,-0.102439,0.788363,0.164861,0.58379,-11.177743,127.929733,19.02984,0.407197,-0.432371,0.046433,-0.803175,-16.225016,128.455383,2.834347,0.11545,0.190996,-0.59542,-0.771794,-2.388936,118.960403,-11.778888,0.178179,0.196086,-0.645025,-0.71676,3.191945,143.619217,-7.75089,-0.109772,0.937281,0.059909,0.325371,-5.483822,128.199585,23.911016,0.40007,0.909895,0.109587,0.005102,7.485554,131.030304,34.48587,-0.126652,0.413528,0.481408,-0.762365,22.613047,114.805222,32.74131,-0.068181,0.201592,0.691774,-0.690044,17.843571,135.375671,20.268749,0.042971,0.957868,0.163372,0.232274,-7.912926,85.750702,11.799227,0.087581,0.988797,0.016632,0.11972,-8.145664,51.601028,-0.258762,-0.041414,0.946206,0.049894,0.317001,-16.15251,5.03588,-2.807323,-0.083131,0.940023,-0.094321,0.317095,7.250846,86.807404,23.05134,0.002374,0.940427,-0.138197,0.310634,10.744758,51.735676,31.382954,-0.034702,0.884686,0.036874,0.463429,6.47093,6.226385,43.612274,-0.041414,0.946206,0.049894,0.317001,-7.025989,0.652827,-14.489047,-0.034702,0.884686,0.036874,0.463429,18.652737,1.493119,35.355942
7,0.058333,-0.039671,0.948646,0.031185,0.312289,-0.328726,86.278839,17.425493,-0.112901,0.927557,0.129968,0.331663,-1.06337,93.993301,17.692144,-0.024595,0.937608,0.01498,0.346498,-6.848636,112.401054,20.944611,0.034626,0.96969,0.025738,0.240499,-8.049212,133.613815,21.179325,0.079979,0.988027,0.039594,0.125853,-6.360941,148.279053,20.485117,-0.102435,0.788407,0.164814,0.583745,-11.171126,127.93206,19.027746,0.407362,-0.432399,0.046416,-0.803077,-16.220236,128.456436,2.832776,0.115514,0.190941,-0.5954,-0.771814,-2.385171,118.958595,-11.779558,0.178092,0.195973,-0.644958,-0.716873,3.197854,143.616623,-7.755538,-0.109303,0.937103,0.059364,0.326138,-5.477604,128.200287,23.909481,0.399909,0.909925,0.109942,0.004714,7.478292,131.019897,34.503819,-0.126634,0.413628,0.481566,-0.762214,22.611706,114.802612,32.738037,-0.068164,0.201636,0.69165,-0.690157,17.854691,135.371628,20.267843,0.042974,0.957855,0.163346,0.232345,-7.91061,85.751289,11.799352,0.087602,0.988804,0.01668,0.119647,-8.143165,51.601021,-0.256962,-0.041447,0.946217,0.049804,0.316977,-16.151623,5.036378,-2.809637,-0.083127,0.940025,-0.09433,0.317087,7.253157,86.806389,23.051634,0.002391,0.94042,-0.138183,0.310661,10.746659,51.734722,31.383699,-0.034623,0.884689,0.036918,0.463427,6.471418,6.225056,43.611137,-0.041447,0.946217,0.049804,0.316977,-7.02556,0.651113,-14.490896,-0.034623,0.884689,0.036918,0.463427,18.652649,1.491825,35.353931
8,0.066667,-0.039738,0.948645,0.031232,0.31228,-0.320384,86.279037,17.424515,-0.112915,0.927563,0.129894,0.33167,-1.056231,93.99337,17.691536,-0.024486,0.937615,0.015011,0.346488,-6.841212,112.402168,20.941187,0.034515,0.969688,0.025788,0.240517,-8.037898,133.615112,21.178757,0.079984,0.988013,0.039657,0.125934,-6.353083,148.280792,20.485254,-0.102464,0.788445,0.164813,0.583689,-11.160913,127.934219,19.026514,0.407231,-0.432505,0.046524,-0.80308,-16.21204,128.457352,2.832141,0.115406,0.190779,-0.595409,-0.771863,-2.38152,118.956245,-11.782358,0.178043,0.195873,-0.644936,-0.716933,3.204281,143.615097,-7.760858,-0.109669,0.937267,0.059856,0.325453,-5.467203,128.200745,23.908119,0.400195,0.909828,0.109687,0.005138,7.501118,131.02858,34.485043,-0.126675,0.41364,0.481505,-0.762239,22.624149,114.799431,32.739563,-0.068214,0.201788,0.691527,-0.690231,17.864204,135.370102,20.267504,0.04303,0.957903,0.163347,0.232139,-7.902274,85.750565,11.798475,0.087628,0.988792,0.016628,0.119732,-8.141287,51.600658,-0.258728,-0.041421,0.946215,0.049862,0.316978,-16.152563,5.036292,-2.807518,-0.083041,0.940026,-0.094356,0.317099,7.261506,86.80751,23.050554,0.002428,0.940422,-0.13823,0.310632,10.748496,51.735168,31.382507,-0.034613,0.884667,0.036914,0.463469,6.468966,6.226742,43.61306,-0.041421,0.946215,0.049862,0.316978,-7.026608,0.652388,-14.489363,-0.034613,0.884667,0.036914,0.463469,18.650854,1.493279,35.356956
9,0.075,-0.03972,0.948647,0.03128,0.312271,-0.315826,86.281258,17.422592,-0.112696,0.927625,0.129817,0.331602,-1.051645,93.995575,17.690422,-0.024607,0.937647,0.015106,0.346387,-6.825915,112.401627,20.939751,0.034631,0.969711,0.025694,0.24042,-8.028771,133.614197,21.179432,0.079978,0.988022,0.039769,0.125837,-6.340236,148.279327,20.48378,-0.102249,0.788471,0.164873,0.583674,-11.150577,127.932571,19.027353,0.407297,-0.432655,0.046558,-0.802964,-16.203772,128.462494,2.833851,0.115398,0.19061,-0.595375,-0.771932,-2.379169,118.956421,-11.783017,0.177978,0.195684,-0.644832,-0.717094,3.211852,143.614273,-7.767191,-0.109524,0.93728,0.05967,0.3255,-5.455909,128.200348,23.907774,0.400035,0.909863,0.109969,0.005268,7.512447,131.025558,34.485348,-0.126613,0.413612,0.481424,-0.762316,22.641106,114.801552,32.740894,-0.068285,0.201886,0.691427,-0.690296,17.876192,135.369507,20.266411,0.04307,0.957879,0.163292,0.232269,-7.897845,85.75338,11.796674,0.087653,0.988787,0.016625,0.119751,-8.138927,51.602436,-0.25753,-0.041201,0.946206,0.049884,0.317031,-16.152477,5.038467,-2.806544,-0.083045,0.940033,-0.094386,0.31707,7.266193,86.809135,23.048512,0.00245,0.940429,-0.138234,0.31061,10.753034,51.737259,31.382469,-0.034599,0.884698,0.037024,0.463402,6.471714,6.228969,43.612888,-0.041201,0.946206,0.049884,0.317031,-7.027343,0.653025,-14.488453,-0.034599,0.884698,0.037024,0.463402,18.652702,1.49814,35.353954
