Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.004452,0.965012,0.035724,0.259722,1.512958,86.336746,18.737989,-0.076382,0.94622,0.167897,0.26579,1.30244,94.070602,19.254673,0.01809,0.962823,0.025551,0.268313,-3.53881,113.368416,24.993217,0.038997,0.986806,0.018789,0.156013,-3.089962,134.574799,26.24493,0.018421,0.999291,-0.002622,0.032731,-1.462734,149.223846,25.168982,-0.004314,0.857257,0.146502,0.493587,-6.939092,129.233017,24.426054,0.262205,-0.643894,0.019135,-0.718529,-15.640703,131.562012,10.041888,-0.044728,0.110575,-0.503047,-0.855989,-11.856362,123.436546,-10.324602,0.122595,0.078203,-0.53092,-0.834853,0.27203,145.431229,-4.271116,-0.086741,0.967749,0.118782,0.204521,-0.519921,128.868698,28.296583,0.433957,0.874754,0.141089,-0.163035,14.776778,130.893463,35.364662,-0.14797,0.278353,0.519621,-0.794115,27.464748,115.023438,26.292974,-0.023651,0.265306,0.590606,-0.761734,20.003927,137.224274,19.240955,0.022469,0.96775,0.169401,0.185092,-6.66699,86.430954,13.994958,0.083056,0.978095,0.02827,0.188767,-5.97085,52.329399,1.819131,-0.040432,0.954526,0.028619,0.293985,-13.153585,5.740595,-2.281296,-0.069836,0.937236,-0.107521,0.32427,9.692905,86.242531,23.481022,0.033593,0.934772,-0.146979,0.321668,11.908401,51.216446,32.420616,-0.046878,0.88487,0.033622,0.462252,4.462545,6.05036,44.400005,-0.040432,0.954526,0.028619,0.293985,-4.648004,0.736485,-14.180049,-0.046878,0.88487,0.033622,0.462252,16.722307,1.403548,36.210278
1,0.008333,-0.004461,0.965026,0.035726,0.259671,1.516585,86.336876,18.737915,-0.076339,0.946267,0.167812,0.265687,1.305964,94.070724,19.25461,0.017934,0.962853,0.025619,0.268208,-3.531043,113.365868,24.989704,0.039216,0.986832,0.018908,0.15578,-3.089204,134.572342,26.242363,0.018291,0.999308,-0.002598,0.032285,-1.456857,149.221115,25.170336,-0.004115,0.857246,0.146772,0.493529,-6.936882,129.229324,24.424028,0.262757,-0.643288,0.01865,-0.718882,-15.640494,131.568359,10.042704,-0.044732,0.110576,-0.503605,-0.85566,-11.820657,123.449348,-10.319736,0.121717,0.078366,-0.530599,-0.835169,0.27746,145.457916,-4.267289,-0.086663,0.967775,0.118692,0.204482,-0.516779,128.86702,28.293201,0.433882,0.87481,0.140738,-0.163237,14.780922,130.890076,35.359596,-0.148003,0.27841,0.519507,-0.794164,27.468842,115.020576,26.286892,-0.023562,0.265387,0.590212,-0.762014,20.003746,137.219086,19.231991,0.022498,0.96776,0.169412,0.185027,-6.66386,86.430916,13.99574,0.083056,0.978072,0.028252,0.188891,-5.970445,52.329708,1.818769,-0.040336,0.95452,0.02867,0.294011,-13.153012,5.740812,-2.280849,-0.069835,0.937287,-0.107515,0.324123,9.697029,86.242836,23.480091,0.033639,0.934815,-0.147026,0.321516,11.914041,51.216663,32.418964,-0.04685,0.884918,0.033588,0.462165,4.464637,6.052181,44.402184,-0.040336,0.95452,0.02867,0.294011,-4.647687,0.737242,-14.180008,-0.04685,0.884918,0.033588,0.462165,16.722422,1.404016,36.210262
2,0.016667,-0.004447,0.96504,0.035698,0.259621,1.518135,86.336227,18.737909,-0.076291,0.946306,0.167713,0.265626,1.307853,94.070114,19.254244,0.017912,0.962872,0.025727,0.268133,-3.525947,113.367096,24.986496,0.039216,0.986867,0.018953,0.155553,-3.086172,134.573364,26.24329,0.018226,0.999322,-0.002574,0.031895,-1.454685,149.22229,25.172064,-0.003985,0.857219,0.146971,0.493517,-6.933555,129.230316,24.424471,0.262966,-0.642671,0.018765,-0.719355,-15.637605,131.576401,10.044554,-0.045016,0.110344,-0.504312,-0.855259,-11.782617,123.454544,-10.310134,0.121023,0.078063,-0.530363,-0.835449,0.282183,145.484344,-4.260742,-0.086599,0.967791,0.11867,0.204447,-0.512835,128.867905,28.292614,0.433918,0.874794,0.140592,-0.163356,14.78573,130.889206,35.357658,-0.147801,0.278383,0.519454,-0.794245,27.470552,115.018311,26.283068,-0.023451,0.265506,0.589998,-0.762141,20.002199,137.213364,19.222778,0.022518,0.967746,0.169417,0.185093,-6.662802,86.430336,13.996579,0.083054,0.978079,0.028258,0.18885,-5.969903,52.329338,1.819009,-0.04056,0.954526,0.028663,0.293962,-13.152401,5.740461,-2.280919,-0.069816,0.937275,-0.10745,0.324186,9.699072,86.242119,23.47924,0.033744,0.934991,-0.147065,0.320976,11.915747,51.214729,32.413448,-0.046826,0.884897,0.033611,0.462207,4.462846,6.05202,44.401176,-0.04056,0.954526,0.028663,0.293962,-4.645954,0.738732,-14.180056,-0.046826,0.884897,0.033611,0.462207,16.72127,1.404144,36.210037
3,0.025,-0.004415,0.965052,0.035669,0.259583,1.520054,86.336166,18.737165,-0.076285,0.946335,0.167632,0.265577,1.310389,94.070091,19.253212,0.017925,0.962888,0.025832,0.268062,-3.522097,113.3685,24.98283,0.039295,0.986889,0.019085,0.155377,-3.082869,134.574524,26.244036,0.01808,0.999335,-0.002595,0.031573,-1.450181,149.223587,25.176617,-0.003721,0.857242,0.14713,0.493433,-6.930327,129.23172,24.424637,0.263433,-0.642128,0.018646,-0.719671,-15.637281,131.587738,10.048105,-0.045014,0.110279,-0.50489,-0.854926,-11.751059,123.462463,-10.299269,0.120622,0.077776,-0.53022,-0.835624,0.284265,145.509262,-4.253362,-0.086531,0.967804,0.118691,0.204402,-0.509046,128.868729,28.291792,0.433981,0.874765,0.140472,-0.163446,14.790556,130.887848,35.355206,-0.14761,0.278377,0.519469,-0.794273,27.471621,115.014732,26.279242,-0.023239,0.265535,0.589681,-0.762383,20.004086,137.207764,19.214256,0.022539,0.96777,0.169426,0.184955,-6.661263,86.430695,13.9965,0.083015,0.978082,0.028254,0.188855,-5.971457,52.329964,1.817987,-0.039908,0.954567,0.028753,0.293911,-13.150363,5.740428,-2.280857,-0.069836,0.937283,-0.107465,0.324153,9.701369,86.241638,23.477831,0.033726,0.934889,-0.147095,0.321261,11.919328,51.214672,32.413387,-0.046799,0.884898,0.033556,0.462212,4.463442,6.052661,44.40189,-0.039908,0.954567,0.028753,0.293911,-4.65185,0.735097,-14.184147,-0.046799,0.884898,0.033556,0.462212,16.721483,1.402984,36.211208
4,0.033333,-0.004412,0.965066,0.035646,0.259534,1.522136,86.335297,18.735762,-0.076283,0.94637,0.167551,0.265501,1.312634,94.069244,19.251488,0.017945,0.962913,0.025925,0.267962,-3.518616,113.369408,24.978626,0.039354,0.986921,0.019203,0.155143,-3.079543,134.575195,26.24383,0.017997,0.999349,-0.00262,0.031176,-1.446354,149.224442,25.179565,-0.003753,0.857136,0.147265,0.493576,-6.927268,129.232666,24.424189,0.26366,-0.641734,0.018443,-0.719945,-15.629411,131.590744,10.045084,-0.045146,0.110378,-0.505451,-0.854575,-11.720326,123.469887,-10.299669,0.1206,0.077575,-0.530179,-0.835672,0.285652,145.533249,-4.24614,-0.086425,0.967838,0.118529,0.204381,-0.50519,128.869049,28.289959,0.434022,0.874751,0.140409,-0.163464,14.795319,130.886017,35.35202,-0.147312,0.27826,0.519492,-0.794354,27.474529,115.01123,26.276409,-0.02277,0.265512,0.589523,-0.762528,20.00528,137.201508,19.207726,0.022553,0.967767,0.169419,0.184974,-6.659663,86.429733,13.995932,0.083018,0.97812,0.028286,0.188651,-5.970666,52.328884,1.817703,-0.040292,0.954542,0.028655,0.293946,-13.150117,5.739575,-2.282681,-0.069833,0.937271,-0.107505,0.324175,9.703936,86.24086,23.475592,0.033741,0.934861,-0.147067,0.321353,11.920562,51.214504,32.413849,-0.046761,0.884859,0.033629,0.462284,4.462983,6.051832,44.398808,-0.040292,0.954542,0.028655,0.293946,-4.646889,0.735113,-14.182964,-0.046761,0.884859,0.033629,0.462284,16.722282,1.40358,36.209206
5,0.041667,-0.004433,0.965077,0.035681,0.259489,1.526046,86.333511,18.732542,-0.076315,0.946403,0.167491,0.265414,1.316121,94.067421,19.248716,0.01798,0.962943,0.025993,0.267845,-3.516121,113.37175,24.97471,0.039552,0.986949,0.019402,0.15489,-3.076198,134.577332,26.243015,0.01782,0.999366,-0.002662,0.030708,-1.438896,149.226563,25.184875,-0.003821,0.857085,0.147384,0.493629,-6.924498,129.235184,24.423491,0.264027,-0.641309,0.018147,-0.720196,-15.624857,131.593552,10.043353,-0.044997,0.110615,-0.50598,-0.854239,-11.691061,123.476456,-10.298143,0.120949,0.077563,-0.53022,-0.835597,0.285447,145.556259,-4.238314,-0.086326,0.967862,0.118528,0.20431,-0.501501,128.870819,28.287664,0.434066,0.874736,0.14049,-0.163357,14.800562,130.884872,35.347183,-0.146906,0.278075,0.519515,-0.794479,27.479628,115.008568,26.274017,-0.022329,0.265352,0.589591,-0.762543,20.006502,137.19606,19.200609,0.022629,0.967778,0.169355,0.184968,-6.656194,86.427711,13.993465,0.08299,0.978093,0.028292,0.188803,-5.973502,52.325558,1.818553,-0.040522,0.95455,0.028648,0.293891,-13.149712,5.735847,-2.282988,-0.069803,0.937281,-0.107555,0.324137,9.708285,86.239311,23.471619,0.033734,0.934836,-0.147081,0.321421,11.92205,51.213432,32.412426,-0.046723,0.884875,0.033634,0.462258,4.463813,6.051099,44.398247,-0.040522,0.95455,0.028648,0.293891,-4.645429,0.733292,-14.183319,-0.046723,0.884875,0.033634,0.462258,16.722298,1.402401,36.20768
6,0.05,-0.004302,0.965106,0.035536,0.259401,1.523513,86.334869,18.734095,-0.076326,0.946423,0.167383,0.265406,1.316165,94.068954,19.248648,0.018104,0.962944,0.026047,0.26783,-3.515317,113.374695,24.970419,0.039733,0.986958,0.019553,0.154767,-3.070946,134.579971,26.242334,0.017533,0.99938,-0.002681,0.030407,-1.429425,149.22908,25.189114,-0.003993,0.857035,0.147442,0.493696,-6.92042,129.238922,24.422029,0.26474,-0.640894,0.017399,-0.720323,-15.618497,131.593597,10.039907,-0.044591,0.111159,-0.50657,-0.85384,-11.659807,123.484932,-10.300119,0.12157,0.077904,-0.530322,-0.835411,0.279422,145.581085,-4.227877,-0.086239,0.967895,0.118446,0.204239,-0.497363,128.872574,28.285917,0.434383,0.87459,0.140238,-0.163519,14.806207,130.884735,35.342716,-0.146648,0.277962,0.519813,-0.794372,27.47069,114.998138,26.267191,-0.021852,0.265068,0.58976,-0.762525,20.008862,137.192383,19.194559,0.022518,0.967762,0.169425,0.185002,-6.659605,86.430672,13.996565,0.083042,0.978093,0.028278,0.188783,-5.967707,52.329861,1.818404,-0.040344,0.954571,0.028534,0.29386,-13.148973,5.740887,-2.28257,-0.069791,0.937305,-0.107493,0.32409,9.70663,86.239067,23.471624,0.033806,0.934999,-0.147127,0.320916,11.921538,51.212097,32.407898,-0.04681,0.884872,0.033583,0.462258,4.462046,6.051514,44.399521,-0.040344,0.954571,0.028534,0.29386,-4.647607,0.733479,-14.182946,-0.04681,0.884872,0.033583,0.462258,16.72113,1.402722,36.2099
7,0.058333,-0.004385,0.965125,0.035581,0.259324,1.529049,86.332687,18.730896,-0.076309,0.946454,0.167332,0.265332,1.320328,94.066711,19.245802,0.018026,0.962962,0.026106,0.267766,-3.51007,113.375381,24.966856,0.040056,0.986982,0.019593,0.154527,-3.069457,134.580643,26.240269,0.017317,0.9994,-0.002617,0.02989,-1.419467,149.228943,25.189131,-0.004069,0.856873,0.147655,0.493912,-6.918175,129.239014,24.420061,0.265182,-0.640616,0.017069,-0.720416,-15.608971,131.596146,10.033939,-0.04447,0.111449,-0.507121,-0.853481,-11.633905,123.488663,-10.30337,0.121819,0.078358,-0.530768,-0.835049,0.274615,145.6026,-4.221498,-0.086184,0.967918,0.118538,0.204098,-0.494559,128.873566,28.283108,0.434442,0.874577,0.139978,-0.163652,14.811288,130.883911,35.335487,-0.146486,0.277805,0.519888,-0.794407,27.471548,114.994202,26.259518,-0.021458,0.264836,0.590155,-0.762311,20.00881,137.190369,19.188467,0.02258,0.967771,0.169435,0.184938,-6.654819,86.427147,13.994636,0.083031,0.978114,0.028252,0.188681,-5.96794,52.326786,1.814927,-0.040439,0.954565,0.028578,0.293861,-13.149116,5.73751,-2.282787,-0.069759,0.937352,-0.107582,0.32393,9.712916,86.23822,23.467157,0.033902,0.935107,-0.147133,0.32059,11.925038,51.212322,32.40831,-0.046803,0.884881,0.033542,0.462245,4.461046,6.052521,44.400085,-0.040439,0.954565,0.028578,0.293861,-4.646604,0.732211,-14.183232,-0.046803,0.884881,0.033542,0.462245,16.719675,1.402554,36.210445
8,0.066667,-0.004353,0.965144,0.035588,0.259251,1.531414,86.331329,18.729078,-0.076249,0.946473,0.167258,0.26533,1.323182,94.065346,19.244232,0.018089,0.962959,0.02613,0.267769,-3.504903,113.378616,24.96413,0.040029,0.987004,0.019751,0.154373,-3.062017,134.58374,26.239262,0.017122,0.999413,-0.002601,0.029552,-1.413942,149.232559,25.192265,-0.004342,0.856722,0.147802,0.494129,-6.911297,129.242676,24.4186,0.265651,-0.640398,0.01664,-0.720447,-15.594753,131.595428,10.027332,-0.044385,0.111795,-0.507776,-0.853051,-11.606622,123.490891,-10.308586,0.122147,0.079007,-0.531169,-0.834684,0.264805,145.62439,-4.21407,-0.086029,0.967949,0.118411,0.20409,-0.487744,128.876205,28.281651,0.434517,0.874532,0.139843,-0.163803,14.819109,130.882492,35.332993,-0.146118,0.277436,0.519976,-0.794546,27.47423,114.990639,26.253601,-0.021093,0.264347,0.590949,-0.761876,20.005611,137.187012,19.185913,0.022647,0.96779,0.169379,0.184879,-6.653165,86.426353,13.994065,0.082998,0.978102,0.028281,0.188755,-5.972511,52.324833,1.817255,-0.040673,0.954547,0.028654,0.293878,-13.149812,5.73518,-2.283041,-0.069736,0.937325,-0.107584,0.324012,9.715993,86.236298,23.464092,0.03389,0.935077,-0.147175,0.32066,11.925697,51.21019,32.405045,-0.046813,0.884907,0.033549,0.462194,4.460702,6.051445,44.400188,-0.040673,0.954547,0.028654,0.293878,-4.64427,0.734159,-14.183114,-0.046813,0.884907,0.033549,0.462194,16.718519,1.401772,36.209175
9,0.075,-0.004351,0.965174,0.035598,0.259139,1.534961,86.331818,18.726185,-0.076223,0.946493,0.167165,0.265323,1.32678,94.065826,19.241518,0.018108,0.962952,0.026205,0.267784,-3.499026,113.379692,24.957932,0.040115,0.987013,0.020028,0.154259,-3.056222,134.58461,26.236349,0.016866,0.999427,-0.002643,0.029239,-1.407197,149.233902,25.197527,-0.004481,0.8566,0.147913,0.494306,-6.905431,129.24382,24.414734,0.266767,-0.640049,0.015772,-0.720364,-15.582887,131.595322,10.019645,-0.043926,0.112325,-0.508624,-0.852499,-11.573617,123.491028,-10.312204,0.122562,0.079761,-0.531375,-0.834421,0.246859,145.648376,-4.207773,-0.086028,0.967946,0.118375,0.204126,-0.482009,128.876785,28.277946,0.434653,0.874452,0.139777,-0.163931,14.824353,130.883102,35.330338,-0.145968,0.27733,0.520124,-0.794514,27.472378,114.987854,26.247019,-0.020913,0.264193,0.591314,-0.761651,20.008633,137.185623,19.181385,0.02263,0.967784,0.169395,0.184895,-6.650719,86.426857,13.993075,0.083012,0.978099,0.028258,0.188765,-5.968468,52.325691,1.815388,-0.040601,0.954578,0.028624,0.293792,-13.147452,5.736142,-2.283104,-0.069623,0.937361,-0.107643,0.323912,9.720641,86.236778,23.459295,0.033815,0.93501,-0.14719,0.320854,11.922257,51.210449,32.401363,-0.046834,0.884891,0.033503,0.462226,4.460863,6.051674,44.398617,-0.040601,0.954578,0.028624,0.293792,-4.644852,0.733557,-14.184621,-0.046834,0.884891,0.033503,0.462226,16.719278,1.401127,36.209
