Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.02253,0.950186,0.037365,0.308616,1.578332,86.223778,17.887402,-0.118294,0.921506,0.160565,0.333246,1.067516,93.948212,18.330156,0.005333,0.937779,0.027025,0.346137,-5.679404,113.054596,22.836239,0.050899,0.97601,0.021672,0.210579,-5.864398,134.270386,23.991669,0.019853,0.998139,-0.001071,0.057641,-3.760368,148.876999,23.20421,-0.060853,0.82366,0.111894,0.552595,-9.257004,128.842514,21.606865,0.482982,-0.453621,0.143273,-0.735139,-15.738124,129.240005,5.92619,0.191343,0.204903,-0.599866,-0.749376,-3.557488,114.802406,-5.835011,0.27241,0.177052,-0.639464,-0.696801,1.525139,140.10434,-3.827894,-0.090392,0.942301,0.113248,0.301784,-3.551072,128.62706,26.476713,0.413385,0.890167,0.162037,-0.102273,10.052127,130.358185,36.476852,-0.141863,0.312271,0.509207,-0.789348,24.233257,114.719261,29.444239,-0.010461,0.258657,0.620859,-0.739947,17.232391,136.536194,20.924944,0.018895,0.955406,0.172586,0.238864,-6.066852,86.036995,12.325653,0.094703,0.967087,0.017228,0.235535,-4.388422,52.003635,0.05518,-0.043896,0.940532,0.031904,0.335342,-12.671605,5.563221,-3.632445,-0.076181,0.916829,-0.096592,0.379857,9.223516,86.410561,23.44915,0.033761,0.907567,-0.135803,0.395905,11.624955,51.290001,31.959778,-0.05457,0.844439,0.034007,0.531779,3.637351,5.825901,42.358589,-0.043896,0.940532,0.031904,0.335342,-3.124993,0.721817,-14.785441,-0.05457,0.844439,0.034007,0.531779,17.112328,1.368159,36.233242
1,0.008333,-0.022523,0.950196,0.037294,0.308593,1.576804,86.22403,17.890499,-0.118409,0.921435,0.160513,0.333426,1.066434,93.948547,18.332253,0.005434,0.937693,0.02711,0.346364,-5.682968,113.048744,22.832056,0.050229,0.975974,0.021306,0.210946,-5.865479,134.264297,23.992321,0.020388,0.998085,-0.001021,0.058388,-3.777438,148.872467,23.19129,-0.061026,0.82353,0.112003,0.552747,-9.257717,128.837463,21.604631,0.482644,-0.45369,0.142898,-0.735392,-15.732387,129.232986,5.92124,0.190988,0.205162,-0.599914,-0.749357,-3.549767,114.811371,-5.857522,0.272313,0.177543,-0.639456,-0.696721,1.524392,140.113464,-3.830002,-0.090347,0.942227,0.113241,0.302029,-3.554153,128.620056,26.477167,0.413435,0.890182,0.162029,-0.101954,10.044311,130.348663,36.48418,-0.141783,0.312421,0.509188,-0.789315,24.226505,114.705124,29.463959,-0.010415,0.258808,0.621044,-0.73974,17.228874,136.521576,20.936737,0.018866,0.955456,0.172597,0.238658,-6.068656,86.036934,12.329138,0.094676,0.967129,0.017274,0.235372,-4.390647,52.003754,0.058092,-0.043916,0.94055,0.031938,0.335286,-12.670958,5.563,-3.631744,-0.076186,0.916809,-0.096548,0.379914,9.222263,86.411133,23.451862,0.033746,0.90752,-0.135826,0.396004,11.624741,51.290024,31.959938,-0.054573,0.844477,0.034067,0.531714,3.636407,5.826423,42.360382,-0.043916,0.94055,0.031938,0.335286,-3.125354,0.722695,-14.786082,-0.054573,0.844477,0.034067,0.531714,17.110729,1.37014,36.232533
2,0.016667,-0.022555,0.950192,0.037311,0.3086,1.576945,86.223816,17.889975,-0.118465,0.921405,0.160461,0.333514,1.066021,93.948296,18.331821,0.005447,0.937652,0.02715,0.346472,-5.683282,113.043022,22.826923,0.050428,0.975881,0.021315,0.211329,-5.865995,134.258453,23.988972,0.020431,0.998047,-0.001141,0.059023,-3.771348,148.865829,23.190557,-0.061088,0.823562,0.112098,0.552673,-9.257697,128.831863,21.600033,0.482483,-0.453626,0.142451,-0.735623,-15.734887,129.227112,5.917677,0.190766,0.205364,-0.599982,-0.749303,-3.543994,114.823296,-5.874283,0.272143,0.177967,-0.639432,-0.696701,1.521248,140.124161,-3.833415,-0.090171,0.942105,0.113109,0.302512,-3.555264,128.614014,26.473867,0.413853,0.889963,0.162296,-0.101745,10.034355,130.336121,36.494003,-0.141503,0.312382,0.50954,-0.789154,24.203051,114.679779,29.475084,-0.010307,0.258875,0.621469,-0.73936,17.221661,136.501602,20.947161,0.01885,0.955478,0.172609,0.238563,-6.06841,86.036247,12.32849,0.094698,0.967111,0.017245,0.235438,-4.390335,52.003323,0.056741,-0.043954,0.940534,0.031982,0.335323,-12.673086,5.562887,-3.631524,-0.076197,0.916815,-0.096567,0.379894,9.222301,86.411385,23.45146,0.033737,0.907499,-0.135815,0.396058,11.625144,51.290657,31.960985,-0.054552,0.844506,0.034121,0.531667,3.637342,5.826726,42.360371,-0.043954,0.940534,0.031982,0.335323,-3.126135,0.724216,-14.785411,-0.054552,0.844506,0.034121,0.531667,17.111034,1.3714,36.230453
3,0.025,-0.022546,0.950199,0.037248,0.308586,1.576034,86.222168,17.892433,-0.118557,0.921356,0.160403,0.333645,1.065553,93.946724,18.333414,0.00548,0.937587,0.027181,0.346644,-5.685363,113.036385,22.822876,0.050469,0.975787,0.021378,0.211745,-5.867413,134.25174,23.98658,0.020608,0.998004,-0.00132,0.059687,-3.770892,148.859024,23.191458,-0.061268,0.823495,0.112377,0.552696,-9.258517,128.825516,21.595955,0.482109,-0.453627,0.142114,-0.735933,-15.73409,129.221176,5.912945,0.190375,0.205511,-0.600046,-0.749311,-3.539009,114.833923,-5.894905,0.271951,0.178315,-0.639472,-0.696651,1.519106,140.134857,-3.836718,-0.089953,0.94198,0.113012,0.303003,-3.557882,128.606979,26.471865,0.414213,0.889848,0.162143,-0.101531,10.022965,130.320847,36.505291,-0.141159,0.312546,0.509759,-0.789009,24.180357,114.650154,29.495611,-0.010159,0.25889,0.621988,-0.738921,17.214382,136.474289,20.955883,0.018841,0.955505,0.172633,0.238439,-6.06948,86.034401,12.331176,0.094691,0.967143,0.017286,0.235306,-4.391941,52.00206,0.057746,-0.043922,0.940524,0.03205,0.335348,-12.673612,5.56162,-3.632936,-0.07618,0.916844,-0.096519,0.379839,9.221549,86.409943,23.453691,0.033784,0.907626,-0.135821,0.395759,11.62513,51.288349,31.959448,-0.054581,0.844473,0.03408,0.531719,3.636475,5.824882,42.360233,-0.043922,0.940524,0.03205,0.335348,-3.126223,0.724497,-14.787121,-0.054581,0.844473,0.03408,0.531719,17.110987,1.369063,36.232471
4,0.033333,-0.022534,0.950211,0.037224,0.308553,1.574678,86.219467,17.891817,-0.118572,0.921338,0.160337,0.333721,1.064509,93.944061,18.332512,0.005425,0.937543,0.027202,0.346761,-5.682852,113.024162,22.816378,0.050683,0.975725,0.0214,0.211978,-5.867546,134.239502,23.980089,0.020808,0.99798,-0.001357,0.06001,-3.764442,148.845978,23.187611,-0.061462,0.823394,0.112669,0.552767,-9.257448,128.812897,21.588596,0.481709,-0.453727,0.141594,-0.736233,-15.729579,129.209091,5.904172,0.18973,0.205709,-0.600172,-0.749319,-3.531951,114.842918,-5.926689,0.271453,0.178659,-0.639637,-0.696606,1.514502,140.146011,-3.841788,-0.090108,0.941879,0.112892,0.303314,-3.558013,128.594971,26.46594,0.414823,0.889599,0.1623,-0.100968,10.015495,130.313522,36.508507,-0.140386,0.312476,0.510101,-0.788953,24.15546,114.619896,29.514944,-0.009857,0.258844,0.622586,-0.738437,17.204445,136.443359,20.961893,0.018811,0.955498,0.172669,0.238444,-6.071244,86.031738,12.331111,0.094738,0.967097,0.017255,0.23548,-4.390963,52.000206,0.055792,-0.043869,0.940491,0.032045,0.335447,-12.676936,5.560508,-3.63463,-0.076181,0.916884,-0.096539,0.379736,9.2206,86.407196,23.452524,0.033773,0.907592,-0.135783,0.395854,11.624646,51.2859,31.959385,-0.054507,0.844457,0.034202,0.531745,3.637274,5.821368,42.356491,-0.043869,0.940491,0.032045,0.335447,-3.127777,0.722777,-14.787043,-0.054507,0.844457,0.034202,0.531745,17.11207,1.367386,36.228004
5,0.041667,-0.022493,0.950215,0.037142,0.308555,1.573885,86.217873,17.892603,-0.118606,0.921324,0.160304,0.333762,1.064711,93.942589,18.332296,0.005431,0.937524,0.027262,0.346808,-5.681073,113.015305,22.812349,0.050828,0.975641,0.021445,0.212325,-5.866484,134.230499,23.978521,0.020887,0.99794,-0.00148,0.060648,-3.758629,148.836472,23.189243,-0.06177,0.823285,0.112906,0.552846,-9.255988,128.804077,21.58605,0.481084,-0.453908,0.141105,-0.736625,-15.723843,129.19664,5.899776,0.188843,0.205755,-0.600336,-0.7494,-3.527359,114.852798,-5.95932,0.270861,0.17885,-0.639856,-0.696586,1.508488,140.158295,-3.845617,-0.089995,0.941757,0.11268,0.303805,-3.557048,128.585754,26.463949,0.415462,0.889398,0.161842,-0.100847,10.007033,130.300598,36.519863,-0.139758,0.312638,0.510461,-0.788768,24.124468,114.582481,29.535839,-0.009291,0.259012,0.623017,-0.738022,17.196318,136.406952,20.966116,0.018786,0.955516,0.172613,0.238413,-6.072039,86.030411,12.331898,0.094798,0.967083,0.017349,0.235504,-4.391356,51.99741,0.060733,-0.04386,0.940436,0.032046,0.335603,-12.680573,5.559108,-3.639822,-0.076191,0.916933,-0.096554,0.379613,9.21981,86.405334,23.453308,0.033805,0.907654,-0.135783,0.395707,11.625257,51.284374,31.961128,-0.054529,0.8445,0.034176,0.531674,3.636787,5.820063,42.358353,-0.04386,0.940436,0.032046,0.335603,-3.127819,0.721465,-14.789188,-0.054529,0.8445,0.034176,0.531674,17.110638,1.365743,36.228046
6,0.05,-0.022424,0.950212,0.037038,0.308582,1.571238,86.21579,17.893606,-0.118652,0.921296,0.160279,0.333836,1.063566,93.940666,18.332077,0.005464,0.937493,0.027278,0.346891,-5.683851,113.012817,22.809917,0.051023,0.975549,0.021417,0.212703,-5.868281,134.227951,23.977228,0.021026,0.997896,-0.001558,0.061316,-3.75371,148.833038,23.189474,-0.062181,0.823189,0.113089,0.552905,-9.257665,128.801865,21.583855,0.480786,-0.454028,0.140526,-0.736856,-15.721565,129.186813,5.895762,0.188133,0.205798,-0.600523,-0.749417,-3.522685,114.86393,-5.986191,0.270103,0.179052,-0.640028,-0.69667,1.500651,140.170288,-3.850368,-0.089694,0.941666,0.112553,0.304225,-3.559601,128.582947,26.462751,0.416391,0.88908,0.161343,-0.100613,9.997645,130.287613,36.529606,-0.139036,0.312811,0.511035,-0.788455,24.082773,114.534653,29.558823,-0.008491,0.259179,0.623243,-0.737782,17.187923,136.365479,20.972345,0.018732,0.955507,0.172649,0.238426,-6.074435,86.028976,12.332532,0.094817,0.967115,0.017363,0.235364,-4.389229,51.996719,0.059903,-0.043961,0.940435,0.032047,0.335593,-12.680369,5.558795,-3.641136,-0.076236,0.916893,-0.096507,0.379712,9.21691,86.402603,23.454681,0.033809,0.907626,-0.135785,0.395771,11.62571,51.281471,31.960878,-0.054655,0.844472,0.0342,0.531705,3.636152,5.817223,42.357533,-0.043961,0.940435,0.032047,0.335593,-3.126826,0.722219,-14.790291,-0.054655,0.844472,0.0342,0.531705,17.111599,1.36558,36.228798
7,0.058333,-0.022384,0.950206,0.036914,0.308619,1.56948,86.215347,17.895357,-0.118757,0.921265,0.16009,0.333973,1.062964,93.940399,18.332182,0.005704,0.937449,0.027614,0.346979,-5.679674,112.994469,22.795866,0.050898,0.975495,0.021199,0.213002,-5.859601,134.20871,23.980068,0.021143,0.997854,-0.001475,0.061961,-3.746518,148.81366,23.186163,-0.06219,0.823164,0.113691,0.552818,-9.249751,128.785278,21.581745,0.480243,-0.454249,0.140094,-0.737156,-15.71691,129.181,5.895257,0.187264,0.205715,-0.600747,-0.749477,-3.521564,114.876678,-6.012648,0.269444,0.17923,-0.640425,-0.696514,1.49003,140.18573,-3.854367,-0.089792,0.941475,0.112116,0.304945,-3.552633,128.561203,26.461515,0.417298,0.888757,0.16076,-0.100647,9.989144,130.270203,36.548443,-0.138002,0.312786,0.511551,-0.788312,24.040339,114.485023,29.582081,-0.007476,0.259465,0.623676,-0.737327,17.170235,136.317093,20.976023,0.018723,0.955453,0.172705,0.238607,-6.075796,86.028549,12.333733,0.094865,0.967073,0.017292,0.235524,-4.386654,51.997673,0.057827,-0.04406,0.940418,0.032009,0.335632,-12.683117,5.560371,-3.639102,-0.076267,0.916915,-0.096486,0.37966,9.214756,86.402145,23.456982,0.033833,0.907674,-0.135793,0.395656,11.626672,51.281059,31.962481,-0.054543,0.844484,0.034403,0.531684,3.636078,5.817187,42.359997,-0.04406,0.940418,0.032009,0.335632,-3.127755,0.723832,-14.78672,-0.054543,0.844484,0.034403,0.531684,17.111176,1.368723,36.228172
8,0.066667,-0.022419,0.95021,0.036927,0.3086,1.571879,86.214806,17.895166,-0.118885,0.921241,0.160091,0.333995,1.064791,93.939819,18.332014,0.005727,0.937436,0.027619,0.347013,-5.680759,112.986984,22.792383,0.050985,0.975427,0.021178,0.213295,-5.859884,134.201202,23.977114,0.021416,0.997811,-0.001423,0.062547,-3.743435,148.805725,23.18401,-0.062313,0.823133,0.11392,0.552803,-9.250087,128.777969,21.578403,0.479727,-0.454326,0.139761,-0.737507,-15.717262,129.174561,5.891951,0.186509,0.205615,-0.600944,-0.749535,-3.520895,114.887749,-6.035915,0.268716,0.179455,-0.640607,-0.696571,1.480712,140.198135,-3.859282,-0.089375,0.941366,0.111744,0.305542,-3.553333,128.553528,26.458582,0.418068,0.888459,0.160545,-0.100426,9.978595,130.250458,36.560757,-0.137,0.312673,0.512055,-0.788204,24.003119,114.437805,29.602942,-0.006309,0.259689,0.623957,-0.737021,17.155277,136.269073,20.981792,0.018739,0.955447,0.172717,0.238619,-6.073586,86.027435,12.333824,0.09482,0.96711,0.017274,0.235393,-4.385187,51.996899,0.05686,-0.0439,0.940456,0.032198,0.335528,-12.678499,5.558741,-3.636363,-0.076263,0.916864,-0.096473,0.379786,9.217343,86.402176,23.456509,0.033826,0.907633,-0.135814,0.395744,11.628231,51.280869,31.961355,-0.054601,0.84442,0.034343,0.531785,3.636432,5.817488,42.360069,-0.0439,0.940456,0.032198,0.335528,-3.126717,0.725627,-14.788525,-0.054601,0.84442,0.034343,0.531785,17.113205,1.368569,36.232262
9,0.075,-0.022419,0.950198,0.03688,0.308643,1.57349,86.214874,17.894184,-0.118983,0.921207,0.160085,0.334057,1.066606,93.939941,18.330326,0.005768,0.937411,0.027661,0.347076,-5.680645,112.980042,22.787153,0.051299,0.975347,0.021142,0.213589,-5.858851,134.194153,23.97414,0.02153,0.997777,-0.001351,0.063058,-3.732465,148.797318,23.182829,-0.062518,0.823117,0.114111,0.552765,-9.249009,128.771347,21.574396,0.479491,-0.454549,0.13898,-0.737671,-15.716762,129.16568,5.888121,0.185817,0.205838,-0.601053,-0.749559,-3.51972,114.903519,-6.068508,0.268194,0.17955,-0.640842,-0.69653,1.470248,140.212982,-3.862544,-0.088786,0.941165,0.111462,0.306433,-3.552918,128.546097,26.455311,0.418727,0.888086,0.161115,-0.100063,9.964074,130.223129,36.580772,-0.135869,0.312583,0.512583,-0.788093,23.967304,114.391327,29.623648,-0.005508,0.260049,0.623964,-0.736894,17.143475,136.221085,20.983271,0.018783,0.95542,0.172707,0.238731,-6.071475,86.027267,12.332164,0.094854,0.967096,0.017251,0.235438,-4.384835,51.996613,0.055301,-0.043997,0.940432,0.032151,0.335586,-12.681535,5.558982,-3.636935,-0.076245,0.916859,-0.096499,0.379794,9.218453,86.402481,23.456205,0.033816,0.907618,-0.135808,0.395781,11.627353,51.281334,31.962311,-0.054637,0.844456,0.034337,0.531723,3.636201,5.817726,42.360573,-0.043997,0.940432,0.032151,0.335586,-3.127547,0.725643,-14.787107,-0.054637,0.844456,0.034337,0.531723,17.112366,1.369185,36.231155
