Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.020719,0.921216,1.9e-05,0.3885,1.844199,86.618561,14.617952,-0.114378,0.915461,0.136755,0.360758,1.548087,94.36586,14.493402,-0.020701,0.931804,0.00467,0.362341,-4.825992,113.739761,17.966311,0.057689,0.96249,0.069282,0.2559,-5.717621,134.968643,17.83247,0.029218,0.991437,0.015238,0.126361,-3.662941,149.583633,18.594578,-0.09845,0.772239,0.14554,0.610551,-8.848895,129.298721,15.663214,-0.746907,0.036747,0.50927,-0.425939,-12.838509,129.734299,-0.827378,-0.623768,-0.593302,0.18127,0.475445,-2.189102,118.859276,-17.058893,0.180601,0.26991,-0.61489,-0.718639,4.801889,146.563934,-6.796414,-0.10562,0.932007,0.029644,0.34544,-3.321275,129.562836,20.73225,0.352478,0.932029,0.083622,0.009393,9.221503,132.556625,31.766848,-0.212546,0.460659,0.440005,-0.740955,25.940136,117.901421,30.84473,-0.055349,0.265703,0.60344,-0.749799,21.325399,138.671753,18.703699,0.056035,0.931237,0.132663,0.334751,-4.74928,86.257729,7.849453,0.101583,0.972365,-0.006413,0.210111,-5.312284,51.543224,-2.457709,-0.03094,0.941212,0.048063,0.332946,-14.787437,5.206424,-3.887418,-0.077848,0.906526,-0.106644,0.40097,8.437676,86.979385,21.386452,0.007829,0.918528,-0.150433,0.365534,10.45204,52.025414,30.650002,-0.029708,0.891532,0.010345,0.451865,4.567685,6.855565,43.45549,-0.03094,0.941212,0.048063,0.332946,-5.38513,0.675698,-15.290726,-0.029708,0.891532,0.010345,0.451865,16.370161,1.363749,35.118359
1,0.008333,-0.020738,0.921058,0.000138,0.388873,1.851938,86.620056,14.604786,-0.114098,0.915386,0.136872,0.360993,1.554891,94.36734,14.481698,-0.020749,0.931732,0.004783,0.362521,-4.810609,113.740517,17.961349,0.058443,0.96274,0.070027,0.254583,-5.705843,134.969269,17.831102,0.028887,0.991863,0.014487,0.123141,-3.636554,149.580994,18.616013,-0.098291,0.772325,0.145845,0.610395,-8.835307,129.29921,15.659595,-0.747084,0.036337,0.509481,-0.42541,-12.832424,129.744232,-0.828926,-0.623406,-0.593085,0.18175,0.476006,-2.191273,118.890533,-17.080114,0.180414,0.269682,-0.615333,-0.718393,4.804687,146.594025,-6.817842,-0.105633,0.931996,0.029696,0.345461,-3.30968,129.563339,20.730801,0.352492,0.932072,0.083237,0.007977,9.232512,132.556885,31.766132,-0.211511,0.459817,0.44031,-0.741592,25.95182,117.905869,30.791283,-0.054709,0.264959,0.604115,-0.749566,21.312294,138.669083,18.647221,0.056088,0.931103,0.132439,0.335205,-4.736041,86.259834,7.830904,0.101609,0.97235,-0.006498,0.210163,-5.303186,51.541458,-2.462982,-0.030942,0.941224,0.048137,0.3329,-14.782236,5.205247,-3.885924,-0.077836,0.906402,-0.106691,0.401241,8.439918,86.980278,21.37867,0.007742,0.918427,-0.150456,0.36578,10.44933,52.026886,30.645508,-0.029591,0.891514,0.010338,0.451908,4.568301,6.857568,43.454407,-0.030942,0.941224,0.048137,0.3329,-5.380808,0.67658,-15.290769,-0.029591,0.891514,0.010338,0.451908,16.370361,1.364016,35.117836
2,0.016667,-0.020759,0.920922,0.000183,0.389194,1.859079,86.619324,14.594041,-0.114028,0.915322,0.13703,0.361118,1.561508,94.366592,14.471372,-0.020602,0.931717,0.004874,0.362567,-4.805702,113.743401,17.957933,0.058989,0.963067,0.070522,0.253079,-5.696519,134.972382,17.833487,0.028724,0.99229,0.013891,0.119763,-3.616756,149.581879,18.631878,-0.098325,0.772308,0.146045,0.610363,-8.826962,129.303558,15.660121,-0.747023,0.035816,0.509789,-0.425193,-12.825185,129.751755,-0.828052,-0.623087,-0.59292,0.182187,0.476462,-2.196316,118.914536,-17.098276,0.180115,0.269479,-0.61566,-0.718264,4.801935,146.617981,-6.837405,-0.10554,0.932061,0.029769,0.345308,-3.301742,129.56514,20.731907,0.352402,0.932121,0.08317,0.006785,9.244707,132.555267,31.763321,-0.210283,0.458898,0.440611,-0.742332,25.967613,117.911621,30.740414,-0.053909,0.264199,0.604621,-0.749484,21.299788,138.663879,18.59012,0.056174,0.930957,0.132305,0.335647,-4.72417,86.259132,7.815556,0.101693,0.972134,-0.006784,0.211112,-5.295529,51.538883,-2.471791,-0.030959,0.941207,0.048169,0.332941,-14.786577,5.204659,-3.879335,-0.077883,0.906249,-0.106732,0.401567,8.442328,86.979515,21.372526,0.007747,0.918457,-0.150503,0.365685,10.45027,52.027275,30.644039,-0.02965,0.891547,0.010301,0.45184,4.568539,6.859279,43.457283,-0.030959,0.941207,0.048169,0.332941,-5.383904,0.677076,-15.283587,-0.02965,0.891547,0.010301,0.45184,16.369753,1.365533,35.119637
3,0.025,-0.020724,0.92077,0.000229,0.389556,1.861646,86.620262,14.582189,-0.114036,0.915214,0.137124,0.361353,1.564343,94.367554,14.460261,-0.020141,0.931681,0.005159,0.362683,-4.804566,113.740799,17.948082,0.059296,0.963408,0.071021,0.251566,-5.681519,134.970459,17.841915,0.028525,0.992705,0.013339,0.116384,-3.59803,149.578781,18.65213,-0.098214,0.772345,0.146239,0.610287,-8.815164,129.305573,15.66291,-0.746888,0.035294,0.510249,-0.424922,-12.817258,129.760178,-0.824142,-0.622711,-0.592728,0.182658,0.477012,-2.20762,118.938004,-17.116903,0.17982,0.269183,-0.615879,-0.71826,4.793996,146.640366,-6.855463,-0.105796,0.932195,0.030019,0.344847,-3.290922,129.559143,20.736166,0.352525,0.932113,0.082837,0.005437,9.264497,132.555374,31.755711,-0.209084,0.457888,0.44093,-0.743104,25.984257,117.911819,30.681648,-0.053475,0.263457,0.605946,-0.748706,21.284101,138.65834,18.526257,0.056182,0.930793,0.132124,0.336171,-4.716285,86.26107,7.798494,0.101783,0.972071,-0.006914,0.211352,-5.286873,51.537411,-2.477372,-0.030886,0.941187,0.048185,0.333002,-14.7883,5.205086,-3.877112,-0.077932,0.906219,-0.106772,0.401614,8.439577,86.979446,21.365883,0.007671,0.91835,-0.150524,0.365948,10.449078,52.028393,30.641508,-0.029669,0.891558,0.010247,0.451817,4.569608,6.860888,43.457493,-0.030886,0.941187,0.048185,0.333002,-5.384861,0.677212,-15.280613,-0.029669,0.891558,0.010247,0.451817,16.370346,1.366019,35.119919
4,0.033333,-0.020758,0.920653,0.000295,0.38983,1.867878,86.618385,14.5708,-0.113757,0.915203,0.137367,0.361377,1.569729,94.365654,14.449528,-0.02038,0.931674,0.004886,0.362692,-4.793578,113.742531,17.951254,0.060065,0.963692,0.072164,0.249965,-5.675766,134.971893,17.83058,0.028402,0.993143,0.012722,0.112689,-3.58021,149.576599,18.674126,-0.097729,0.772567,0.146243,0.610084,-8.807937,129.304749,15.655329,-0.746679,0.035056,0.510299,-0.425249,-12.821696,129.770401,-0.828585,-0.622588,-0.592647,0.183109,0.4771,-2.213578,118.94809,-17.122253,0.179233,0.26885,-0.616048,-0.718387,4.783849,146.657013,-6.875634,-0.105602,0.932265,0.030154,0.344704,-3.283937,129.563141,20.728605,0.352656,0.932119,0.082277,0.004267,9.27623,132.552078,31.744724,-0.208161,0.457242,0.441197,-0.743602,25.992393,117.907402,30.630436,-0.052364,0.263054,0.605956,-0.748918,21.275362,138.644775,18.471558,0.056209,0.930707,0.132027,0.336443,-4.705994,86.25914,7.783171,0.101836,0.972014,-0.007077,0.211584,-5.277815,51.533867,-2.487158,-0.030755,0.94118,0.048233,0.333029,-14.787045,5.202788,-3.875212,-0.077951,0.906114,-0.106796,0.40184,8.44175,86.977623,21.358427,0.007666,0.918343,-0.150556,0.365951,10.449409,52.027149,30.63662,-0.029551,0.891513,0.010227,0.451915,4.569199,6.860569,43.455524,-0.030755,0.94118,0.048233,0.333029,-5.384119,0.674944,-15.279153,-0.029551,0.891513,0.010227,0.451915,16.370472,1.363656,35.120049
5,0.041667,-0.020694,0.920563,0.000194,0.390045,1.869902,86.61721,14.561333,-0.113702,0.915162,0.137572,0.36142,1.573306,94.364525,14.438933,-0.020163,0.931686,0.004842,0.362673,-4.792016,113.742516,17.949318,0.060329,0.964116,0.072694,0.248106,-5.664968,134.972275,17.830276,0.028502,0.993586,0.012457,0.108721,-3.56731,149.576019,18.685123,-0.097721,0.772622,0.146335,0.609994,-8.7997,129.306656,15.654736,-0.74637,0.034597,0.510605,-0.425461,-12.817251,129.773804,-0.828211,-0.622311,-0.592566,0.18359,0.477377,-2.221639,118.956604,-17.133402,0.178743,0.268468,-0.61627,-0.718462,4.77086,146.669525,-6.894237,-0.105616,0.932384,0.030375,0.34436,-3.275367,129.562271,20.727793,0.352947,0.932055,0.081806,0.003064,9.292747,132.549805,31.735229,-0.20684,0.456504,0.441756,-0.744092,26.000183,117.89856,30.577353,-0.051077,0.261981,0.606251,-0.749144,21.274666,138.628098,18.412561,0.056099,0.930615,0.131951,0.336746,-4.70085,86.258377,7.77066,0.102061,0.972023,-0.00719,0.21143,-5.263835,51.530743,-2.492175,-0.030721,0.941101,0.048168,0.333263,-14.795932,5.204138,-3.872874,-0.077995,0.906036,-0.106766,0.402017,8.440654,86.976051,21.352005,0.007613,0.91829,-0.1506,0.366068,10.450271,52.025616,30.62993,-0.029644,0.891527,0.01016,0.451882,4.571461,6.860203,43.453613,-0.030721,0.941101,0.048168,0.333263,-5.387951,0.674221,-15.271825,-0.029644,0.891527,0.01016,0.451882,16.372763,1.362816,35.118484
6,0.05,-0.020588,0.920465,5.2e-05,0.390281,1.871116,86.615654,14.551825,-0.113701,0.915138,0.137765,0.361406,1.576925,94.363037,14.427963,-0.019793,0.931744,0.00491,0.362542,-4.794141,113.74823,17.947325,0.060564,0.964577,0.073135,0.24612,-5.65352,134.978577,17.836802,0.028676,0.994021,0.01217,0.104647,-3.553983,149.581573,18.699806,-0.097784,0.772729,0.146175,0.609887,-8.792521,129.315826,15.659976,-0.746163,0.034566,0.511044,-0.425299,-12.814079,129.777115,-0.822157,-0.622014,-0.592359,0.184261,0.477763,-2.23834,118.956627,-17.138062,0.178345,0.268339,-0.616693,-0.718246,4.754098,146.674789,-6.91308,-0.105106,0.932543,0.030167,0.344103,-3.266537,129.565918,20.731508,0.35306,0.932044,0.081488,0.001763,9.311215,132.540588,31.731411,-0.205923,0.455747,0.442051,-0.744635,26.015377,117.889595,30.52417,-0.049948,0.261842,0.60588,-0.749569,21.268745,138.613754,18.357882,0.056126,0.930517,0.131876,0.337042,-4.69623,86.257645,7.757816,0.102077,0.972006,-0.007279,0.211499,-5.259641,51.528793,-2.50089,-0.030606,0.941113,0.048198,0.333237,-14.794876,5.202618,-3.874438,-0.078038,0.905937,-0.106743,0.402237,8.438463,86.973656,21.345833,0.00755,0.918206,-0.150621,0.366271,10.449347,52.023361,30.62402,-0.029716,0.891522,0.010084,0.451888,4.572474,6.858465,43.450401,-0.030606,0.941113,0.048198,0.333237,-5.388566,0.672348,-15.274625,-0.029716,0.891522,0.010084,0.451888,16.374285,1.360104,35.116642
7,0.058333,-0.020548,0.920392,3.4e-05,0.390456,1.873687,86.616272,14.542588,-0.113722,0.915086,0.137805,0.361517,1.580187,94.363678,14.418655,-0.019405,0.93174,0.005087,0.362571,-4.790363,113.741341,17.93712,0.060815,0.965047,0.07351,0.244096,-5.637113,134.97226,17.839565,0.028615,0.994467,0.012148,0.100348,-3.534798,149.574478,18.708849,-0.097475,0.772961,0.146461,0.609573,-8.779379,129.312714,15.659126,-0.745948,0.034433,0.511539,-0.425093,-12.815964,129.78569,-0.819001,-0.62174,-0.592098,0.184772,0.478245,-2.262314,118.965302,-17.149269,0.178014,0.26797,-0.617161,-0.718064,4.737413,146.684006,-6.930762,-0.105289,0.932681,0.030082,0.343679,-3.253484,129.556412,20.731068,0.353147,0.932036,0.081213,0.000712,9.332879,132.538788,31.719032,-0.204862,0.454857,0.442103,-0.74544,26.034428,117.888115,30.472206,-0.049275,0.26191,0.606027,-0.749471,21.250023,138.600342,18.297148,0.056098,0.9304,0.13186,0.337375,-4.691112,86.25885,7.746089,0.102154,0.972027,-0.007385,0.21136,-5.249383,51.529484,-2.511148,-0.030559,0.941132,0.048111,0.3332,-14.794018,5.204967,-3.875075,-0.078087,0.905853,-0.106757,0.402412,8.438486,86.973694,21.339088,0.007532,0.918167,-0.150663,0.366351,10.450331,52.024151,30.619917,-0.029626,0.891521,0.010033,0.451898,4.572475,6.860423,43.449951,-0.030559,0.941132,0.048111,0.3332,-5.389281,0.671814,-15.275413,-0.029626,0.891521,0.010033,0.451898,16.373318,1.359558,35.116474
8,0.066667,-0.020553,0.920339,8.7e-05,0.390581,1.878501,86.617287,14.534362,-0.11364,0.915098,0.137909,0.361473,1.584625,94.364693,14.411114,-0.019238,0.93179,0.005103,0.362451,-4.784761,113.743744,17.935377,0.06118,0.965511,0.074063,0.241992,-5.625141,134.974945,17.841122,0.028733,0.994897,0.012004,0.095974,-3.518061,149.575775,18.722336,-0.097507,0.773154,0.146362,0.609347,-8.769682,129.31665,15.660683,-0.745683,0.034107,0.511936,-0.425107,-12.815401,129.784973,-0.815341,-0.621567,-0.591981,0.185144,0.478472,-2.278826,118.967987,-17.158888,0.178068,0.267751,-0.617447,-0.717886,4.72102,146.689377,-6.947731,-0.104874,0.932858,0.029918,0.343341,-3.242387,129.557938,20.731215,0.35323,0.932051,0.080685,-0.000436,9.354797,132.53009,31.709545,-0.203861,0.454189,0.442216,-0.746055,26.053738,117.879883,30.423086,-0.048297,0.2613,0.604999,-0.750577,21.24559,138.575928,18.240976,0.056121,0.930382,0.131769,0.337457,-4.684445,86.260185,7.736053,0.102181,0.972018,-0.007438,0.21139,-5.245627,51.529266,-2.515764,-0.030588,0.941113,0.048116,0.33325,-14.793653,5.205327,-3.875631,-0.078125,0.905776,-0.106774,0.402575,8.441446,86.97438,21.332668,0.007531,0.918156,-0.150723,0.366354,10.453601,52.025543,30.616055,-0.029643,0.891524,0.009992,0.451892,4.573701,6.863525,43.451164,-0.030588,0.941113,0.048116,0.33325,-5.387431,0.672622,-15.274927,-0.029643,0.891524,0.009992,0.451892,16.37442,1.361831,35.118057
9,0.075,-0.020556,0.920313,0.000185,0.390644,1.882717,86.618378,14.526447,-0.113501,0.91515,0.137945,0.361371,1.588222,94.365776,14.404556,-0.019168,0.931861,0.005151,0.362272,-4.775968,113.745323,17.932968,0.06178,0.965957,0.074614,0.239884,-5.614313,134.976608,17.841846,0.028701,0.995309,0.011932,0.091614,-3.495764,149.574966,18.736532,-0.097369,0.77345,0.146336,0.608999,-8.760253,129.318924,15.661883,-0.74543,0.033897,0.512254,-0.425184,-12.821274,129.787628,-0.810362,-0.621468,-0.59183,0.185512,0.478643,-2.298572,118.970169,-17.162537,0.178011,0.267495,-0.6177,-0.717778,4.70378,146.694977,-6.962402,-0.104761,0.933018,0.030003,0.342932,-3.230964,129.559006,20.730297,0.353063,0.931933,0.082752,-0.000883,9.376568,132.527573,31.697714,-0.201735,0.452691,0.442836,-0.747175,26.080742,117.88784,30.360867,-0.048037,0.260986,0.606445,-0.749535,21.233644,138.565567,18.170599,0.056113,0.930384,0.131705,0.337477,-4.679306,86.261963,7.727214,0.102218,0.972001,-0.007528,0.211444,-5.241358,51.529755,-2.52018,-0.030657,0.941118,0.048079,0.333234,-14.794501,5.206668,-3.873087,-0.078188,0.905692,-0.106827,0.402738,8.444741,86.974785,21.32568,0.007503,0.918079,-0.150779,0.366526,10.457747,52.027489,30.614668,-0.029521,0.891564,0.01,0.451822,4.575927,6.867024,43.454376,-0.030657,0.941118,0.048079,0.333234,-5.388081,0.673624,-15.272081,-0.029521,0.891564,0.01,0.451822,16.374115,1.363838,35.118668
