Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.031828,0.949502,0.018925,0.311569,0.788325,86.198715,17.465643,-0.121153,0.931335,0.146636,0.310539,0.228224,93.931404,17.590527,-0.010076,0.947711,0.011081,0.318779,-6.041519,112.293625,21.507668,0.08341,0.970439,0.028059,0.224731,-6.597419,133.53212,21.817432,-0.003587,0.992464,0.052276,0.11077,-3.575736,147.994049,21.467897,-0.107049,0.792858,0.152311,0.580274,-10.00806,127.949265,19.853296,0.449851,-0.448058,0.047333,-0.771127,-15.161532,128.068314,3.683136,0.172337,0.277888,-0.562806,-0.759162,-1.943865,117.473854,-10.745624,0.275732,0.245068,-0.594136,-0.714784,3.557494,142.127686,-4.832156,-0.092553,0.950064,0.066557,0.290487,-4.030193,128.039566,24.389421,0.400541,0.909064,0.108428,-0.037594,9.786696,130.368011,33.966389,-0.174143,0.395803,0.494795,-0.753785,24.835676,114.344955,30.512703,-0.025274,0.22169,0.647439,-0.728723,20.039108,135.859619,20.181986,0.038495,0.955487,0.166407,0.240565,-6.812669,85.738693,11.85939,0.086816,0.98672,0.016704,0.136265,-6.577271,51.635067,-0.328264,-0.04217,0.948609,0.048675,0.309827,-14.468588,5.057496,-3.007573,-0.078497,0.924126,-0.099598,0.360429,8.389318,86.65873,23.071894,0.012745,0.921934,-0.141835,0.36022,11.043478,51.606827,31.788054,-0.034871,0.882606,0.032649,0.46768,5.096475,6.208742,43.728275,-0.04217,0.948609,0.048675,0.309827,-5.512155,0.64254,-14.808282,-0.034871,0.882606,0.032649,0.46768,17.339935,1.370462,35.625492
1,0.008333,-0.031621,0.949502,0.018752,0.311599,0.784367,86.198814,17.466986,-0.121077,0.931345,0.147006,0.310363,0.228133,93.931808,17.590311,-0.010267,0.947759,0.01056,0.318646,-6.043847,112.294792,21.523849,0.083811,0.970397,0.028232,0.224739,-6.600355,133.533615,21.810131,-0.003601,0.992465,0.052247,0.110769,-3.568403,147.993576,21.468208,-0.107073,0.792856,0.152263,0.580285,-10.011341,127.948448,19.853121,0.449847,-0.448007,0.04751,-0.771149,-15.164198,128.065964,3.68275,0.172466,0.277651,-0.562693,-0.759303,-1.945212,117.466507,-10.741134,0.275643,0.244804,-0.59407,-0.714964,3.569369,142.118912,-4.837931,-0.092339,0.950086,0.066479,0.2905,-4.032261,128.043991,24.387547,0.400506,0.909101,0.108286,-0.037466,9.785728,130.366364,33.964413,-0.17395,0.395997,0.494705,-0.753787,24.836391,114.343193,30.518541,-0.025254,0.22172,0.647411,-0.72874,20.043364,135.850464,20.176231,0.038407,0.955498,0.16639,0.240548,-6.816521,85.741493,11.86037,0.086808,0.9867,0.016741,0.136406,-6.575531,51.636963,-0.324645,-0.042043,0.948644,0.04866,0.309742,-14.46521,5.059376,-3.008474,-0.078534,0.924044,-0.099542,0.360646,8.385256,86.656128,23.073601,0.012735,0.921873,-0.141809,0.360386,11.041387,51.603855,31.787651,-0.034946,0.882513,0.03258,0.467856,5.093941,6.205049,43.724892,-0.042043,0.948644,0.04866,0.309742,-5.512136,0.642712,-14.811098,-0.034946,0.882513,0.03258,0.467856,17.341002,1.366133,35.62793
2,0.016667,-0.03176,0.949489,0.018879,0.311617,0.790309,86.195244,17.465145,-0.120918,0.931392,0.146892,0.31034,0.23142,93.928024,17.589645,-0.010452,0.947771,0.010739,0.318598,-6.03404,112.295868,21.521708,0.083811,0.970429,0.028068,0.224626,-6.600428,133.534348,21.812742,-0.003436,0.992478,0.05233,0.110621,-3.56769,147.994034,21.465673,-0.107187,0.792953,0.152219,0.580143,-10.009,127.948036,19.854832,0.449698,-0.448011,0.04761,-0.771227,-15.166601,128.060562,3.685939,0.172493,0.277378,-0.562642,-0.759435,-1.948223,117.460373,-10.737966,0.275737,0.244525,-0.594022,-0.715063,3.577364,142.113098,-4.843839,-0.092255,0.950072,0.066471,0.290575,-4.029521,128.045364,24.388689,0.401034,0.908892,0.107893,-0.038021,9.787502,130.364914,33.967636,-0.174002,0.395973,0.495118,-0.753517,24.817451,114.326111,30.504137,-0.025261,0.221892,0.64834,-0.727861,20.041851,135.849854,20.169273,0.038378,0.955558,0.166383,0.240317,-6.810203,85.736183,11.858161,0.086882,0.986674,0.016708,0.136556,-6.570265,51.631344,-0.326011,-0.042096,0.948615,0.048754,0.309808,-14.466828,5.054864,-3.00884,-0.078483,0.924095,-0.099642,0.3605,8.390821,86.654297,23.07213,0.012734,0.921807,-0.141772,0.360571,11.042245,51.60289,31.791082,-0.034974,0.882517,0.032645,0.467842,5.093791,6.203082,43.724033,-0.042096,0.948615,0.048754,0.309808,-5.511428,0.641389,-14.810891,-0.034974,0.882517,0.032645,0.467842,17.341141,1.366241,35.626266
3,0.025,-0.031657,0.949473,0.018796,0.311681,0.78968,86.198486,17.46736,-0.120994,0.93137,0.14719,0.310234,0.232704,93.931419,17.591099,-0.010504,0.947806,0.010452,0.318503,-6.035324,112.285706,21.531586,0.083747,0.97045,0.028001,0.224564,-6.599857,133.524399,21.81041,-0.003318,0.992473,0.052488,0.110592,-3.568616,147.984344,21.460758,-0.106724,0.793022,0.152049,0.580178,-10.009284,127.937248,19.856405,0.449703,-0.447982,0.047736,-0.771233,-15.168868,128.058807,3.688215,0.172556,0.277099,-0.562637,-0.759526,-1.949866,117.454781,-10.732293,0.275637,0.244271,-0.593943,-0.715253,3.583767,142.107361,-4.849871,-0.092472,0.950067,0.066337,0.290553,-4.028911,128.036697,24.389038,0.400564,0.909099,0.108009,-0.037702,9.787193,130.364578,33.967281,-0.173964,0.396057,0.494595,-0.753824,24.834993,114.339783,30.516518,-0.025231,0.222451,0.647541,-0.728402,20.038813,135.845856,20.170113,0.03843,0.955552,0.166357,0.240354,-6.810196,85.740829,11.859401,0.086822,0.98668,0.016736,0.136548,-6.573872,51.635654,-0.323899,-0.042252,0.948613,0.048616,0.309815,-14.464469,5.058274,-3.008572,-0.078468,0.924107,-0.099605,0.360482,8.389557,86.656143,23.075317,0.01264,0.921643,-0.141774,0.36099,11.041121,51.604019,31.791384,-0.035092,0.882552,0.032636,0.467767,5.095361,6.204036,43.724979,-0.042252,0.948613,0.048616,0.309815,-5.507638,0.642475,-14.808663,-0.035092,0.882552,0.032636,0.467767,17.342428,1.368589,35.625954
4,0.033333,-0.031699,0.949468,0.01883,0.311692,0.792561,86.20163,17.468967,-0.121015,0.931378,0.146952,0.310315,0.234797,93.934509,17.593004,-0.010339,0.947799,0.010891,0.318513,-6.028796,112.283234,21.522369,0.083315,0.970528,0.027652,0.224433,-6.592632,133.521683,21.821095,-0.003089,0.992479,0.052599,0.110498,-3.571666,147.983429,21.458118,-0.106835,0.793055,0.152114,0.580096,-10.002221,127.936462,19.861818,0.44951,-0.448161,0.047805,-0.771237,-15.164238,128.055756,3.694391,0.172442,0.276815,-0.562635,-0.759658,-1.952677,117.449615,-10.731375,0.275684,0.244033,-0.593957,-0.715305,3.589502,142.102692,-4.854665,-0.092686,0.950045,0.066266,0.290574,-4.021896,128.031464,24.394606,0.40064,0.909041,0.108139,-0.037938,9.792445,130.366821,33.973564,-0.173694,0.395769,0.494727,-0.753951,24.836754,114.341377,30.510674,-0.025131,0.222655,0.648446,-0.727537,20.035313,135.850006,20.165916,0.038478,0.955551,0.166353,0.24035,-6.807137,85.743423,11.860815,0.086853,0.986638,0.016672,0.136836,-6.574233,51.638401,-0.322974,-0.042309,0.948613,0.04854,0.309818,-14.467833,5.061337,-3.004315,-0.078449,0.92401,-0.099594,0.360739,8.392259,86.659836,23.077122,0.012658,0.921701,-0.141775,0.360841,11.040442,51.607342,31.792706,-0.035013,0.882538,0.032696,0.467795,5.094987,6.207428,43.726738,-0.042309,0.948613,0.04854,0.309818,-5.51054,0.643978,-14.803473,-0.035013,0.882538,0.032696,0.467795,17.342073,1.372427,35.62748
5,0.041667,-0.031735,0.949465,0.018834,0.311696,0.796597,86.201492,17.470482,-0.120983,0.931371,0.147201,0.310231,0.238289,93.934319,17.594402,-0.010482,0.947815,0.010623,0.318472,-6.030877,112.29277,21.536377,0.083452,0.970528,0.027584,0.224388,-6.596828,133.531326,21.822393,-0.002894,0.992493,0.052559,0.110395,-3.571651,147.992172,21.458193,-0.107134,0.793016,0.152157,0.580083,-10.00601,127.944603,19.866743,0.44978,-0.448157,0.04776,-0.771085,-15.166352,128.056793,3.698732,0.17264,0.276642,-0.562583,-0.759714,-1.95443,117.447212,-10.724171,0.275684,0.243742,-0.594048,-0.715329,3.59481,142.097137,-4.859767,-0.09241,0.950089,0.066371,0.290492,-4.025334,128.042938,24.398996,0.400746,0.909003,0.108047,-0.037971,9.79236,130.368683,33.975452,-0.173544,0.395882,0.494809,-0.753873,24.832773,114.339615,30.512411,-0.025063,0.222671,0.648491,-0.727495,20.039436,135.848114,20.161797,0.038454,0.955579,0.166366,0.240234,-6.803004,85.742676,11.862249,0.086906,0.986707,0.01674,0.136297,-6.569693,51.63784,-0.322066,-0.042099,0.948618,0.048664,0.309812,-14.468783,5.061862,-3.006092,-0.07841,0.924071,-0.099634,0.360578,8.396198,86.660301,23.078716,0.012725,0.92186,-0.141792,0.360427,11.042193,51.607941,31.795511,-0.035015,0.882599,0.032751,0.467676,5.095718,6.20864,43.731369,-0.042099,0.948618,0.048664,0.309812,-5.513448,0.645892,-14.807251,-0.035015,0.882599,0.032751,0.467676,17.340895,1.375025,35.628407
6,0.05,-0.031686,0.949451,0.018815,0.311746,0.795416,86.201141,17.47159,-0.120959,0.931379,0.147273,0.310181,0.237913,93.934036,17.595428,-0.010503,0.947838,0.010534,0.318406,-6.03088,112.291443,21.540539,0.083556,0.970543,0.027577,0.224284,-6.596486,133.530075,21.822714,-0.002866,0.992514,0.052532,0.110221,-3.568551,147.990341,21.458576,-0.107201,0.793008,0.152147,0.580085,-10.006017,127.943024,19.868559,0.450032,-0.448129,0.047764,-0.770954,-15.165822,128.053253,3.700359,0.17279,0.276491,-0.562626,-0.759702,-1.952805,117.439354,-10.718356,0.275743,0.243421,-0.594125,-0.715351,3.598386,142.092163,-4.864648,-0.092399,0.950102,0.066314,0.290468,-4.024719,128.042099,24.399979,0.400719,0.909029,0.107907,-0.03803,9.793514,130.368134,33.975594,-0.173487,0.395948,0.49476,-0.753883,24.8347,114.339737,30.512768,-0.024964,0.222787,0.648467,-0.727484,20.041653,135.845581,20.158009,0.038468,0.955543,0.16635,0.240388,-6.803655,85.743118,11.862573,0.086896,0.98669,0.016715,0.136425,-6.569613,51.637985,-0.320879,-0.042341,0.948613,0.048508,0.309818,-14.467677,5.061755,-3.003506,-0.078493,0.924079,-0.099602,0.36055,8.394486,86.659172,23.080605,0.012754,0.92177,-0.141773,0.360663,11.047153,51.607288,31.797272,-0.034831,0.882587,0.032751,0.467712,5.095689,6.207559,43.728996,-0.042341,0.948613,0.048508,0.309818,-5.510127,0.643782,-14.802236,-0.034831,0.882587,0.032751,0.467712,17.339787,1.371362,35.625942
7,0.058333,-0.031676,0.949444,0.018803,0.311767,0.798743,86.19902,17.471712,-0.121033,0.931332,0.14744,0.310215,0.241437,93.931931,17.595413,-0.010452,0.947817,0.010381,0.318473,-6.032235,112.287102,21.545401,0.083483,0.970583,0.027416,0.224159,-6.593727,133.525909,21.822081,-0.002684,0.99254,0.05267,0.109927,-3.567083,147.986298,21.452345,-0.107117,0.793027,0.152146,0.580074,-10.004072,127.939034,19.868868,0.450276,-0.448203,0.047674,-0.770774,-15.164908,128.051346,3.701012,0.172934,0.276417,-0.562592,-0.759722,-1.954459,117.434586,-10.717949,0.275789,0.243282,-0.594205,-0.715314,3.600669,142.087158,-4.870932,-0.092454,0.950111,0.066195,0.290447,-4.023399,128.038101,24.40111,0.400848,0.908997,0.107633,-0.038209,9.794905,130.367172,33.975883,-0.173423,0.396075,0.494849,-0.753773,24.830858,114.334488,30.510128,-0.024874,0.222708,0.648424,-0.727549,20.047115,135.840302,20.152273,0.038476,0.955554,0.166351,0.240339,-6.800098,85.741112,11.862373,0.086898,0.986739,0.01677,0.136062,-6.56723,51.636028,-0.321255,-0.042153,0.948631,0.048619,0.309772,-14.465806,5.060011,-3.006192,-0.078508,0.923966,-0.099505,0.360863,8.397584,86.656937,23.081049,0.012738,0.921709,-0.141797,0.36081,11.050926,51.603844,31.792646,-0.035035,0.882579,0.032798,0.467708,5.09814,6.20473,43.726044,-0.042153,0.948631,0.048619,0.309772,-5.511016,0.643284,-14.807485,-0.035035,0.882579,0.032798,0.467708,17.34428,1.372617,35.623638
8,0.066667,-0.031751,0.949454,0.018849,0.311726,0.802233,86.19735,17.472134,-0.121132,0.931304,0.147485,0.310238,0.243605,93.930161,17.596182,-0.010366,0.947803,0.010353,0.31852,-6.035053,112.286079,21.546837,0.083664,0.970572,0.027374,0.224144,-6.592723,133.524994,21.823496,-0.002744,0.992555,0.052609,0.109817,-3.560737,147.984268,21.453682,-0.107202,0.793024,0.152071,0.580082,-10.003895,127.938736,19.869946,0.450367,-0.448143,0.04772,-0.770753,-15.163779,128.047348,3.701757,0.173052,0.276341,-0.562673,-0.759662,-1.951139,117.428421,-10.713617,0.276031,0.243139,-0.594229,-0.71525,3.601606,142.084427,-4.874438,-0.092459,0.950137,0.066156,0.29037,-4.023636,128.036713,24.402761,0.401083,0.908889,0.107722,-0.038063,9.796168,130.366577,33.975185,-0.173189,0.396134,0.494989,-0.753704,24.824242,114.325783,30.512819,-0.024884,0.2228,0.64847,-0.727481,20.048264,135.836624,20.146933,0.038493,0.955534,0.166348,0.24042,-6.797001,85.73835,11.863415,0.08692,0.986745,0.016791,0.136003,-6.564369,51.633286,-0.320289,-0.04237,0.948609,0.048547,0.309822,-14.464823,5.057687,-3.006902,-0.078479,0.923986,-0.099527,0.360813,8.401467,86.656357,23.080854,0.01281,0.921783,-0.141792,0.360621,11.052773,51.603245,31.793005,-0.035301,0.882539,0.032573,0.46778,5.096409,6.204149,43.724693,-0.04237,0.948609,0.048547,0.309822,-5.506821,0.641097,-14.805813,-0.035301,0.882539,0.032573,0.46778,17.345394,1.370023,35.627789
9,0.075,-0.031784,0.949456,0.018931,0.311713,0.803777,86.197235,17.472822,-0.12115,0.931278,0.147665,0.310225,0.244281,93.929962,17.597918,-0.010343,0.947799,0.010163,0.318538,-6.036826,112.282982,21.554752,0.083553,0.970599,0.0273,0.224077,-6.590968,133.522079,21.824083,-0.002642,0.992568,0.052668,0.109673,-3.561782,147.981857,21.451166,-0.107199,0.79297,0.152153,0.580136,-10.002993,127.935722,19.872318,0.45051,-0.4482,0.047645,-0.770641,-15.160805,128.046494,3.703484,0.173187,0.276329,-0.562662,-0.759645,-1.95013,117.426384,-10.71281,0.276073,0.243335,-0.594227,-0.715169,3.60392,142.084427,-4.877915,-0.092504,0.950154,0.066085,0.290317,-4.022901,128.034256,24.40534,0.400687,0.909035,0.108053,-0.037804,9.797658,130.366455,33.976101,-0.172958,0.396106,0.494724,-0.753946,24.840733,114.338387,30.519945,-0.024813,0.222939,0.6483,-0.727592,20.052008,135.835648,20.144999,0.038527,0.9555,0.16632,0.240568,-6.795572,85.738121,11.864268,0.086954,0.986671,0.016739,0.136528,-6.563904,51.632584,-0.3181,-0.042177,0.948624,0.048759,0.309767,-14.466813,5.057388,-3.004528,-0.078533,0.923989,-0.099511,0.360797,8.403126,86.656342,23.081375,0.012864,0.921762,-0.141831,0.360657,11.05858,51.603603,31.793755,-0.03512,0.882551,0.032731,0.467759,5.095661,6.20569,43.72665,-0.042177,0.948624,0.048759,0.309767,-5.511595,0.644826,-14.807055,-0.03512,0.882551,0.032731,0.467759,17.343241,1.373081,35.626717
