Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.006959,0.876349,-0.013201,0.481445,-4.352938,83.87075,15.403522,-0.061501,0.896219,0.05667,0.435657,-4.160364,91.598381,15.276448,-0.022104,0.905127,-0.016605,0.424241,-7.058288,109.500298,16.147762,0.159946,0.934481,-0.066164,0.311104,-7.590067,129.98082,15.146476,0.059567,0.984003,-0.014209,0.167296,-1.563491,143.297943,13.289626,0.019396,0.869343,-0.037491,0.492403,-10.509362,123.798248,12.898167,0.423949,-0.386818,0.465227,-0.673945,-19.99132,123.739311,-2.912039,0.515479,-0.243885,0.153079,-0.807074,-13.681468,101.24234,-5.901769,0.540354,-0.303149,0.063669,-0.782346,9.121855,87.614357,-12.349023,-0.050947,0.892327,-0.062992,0.44406,-5.741333,124.20192,18.622606,0.575237,0.812891,-0.09114,-0.001947,5.327997,126.909515,33.114414,0.482408,0.798313,0.303343,-0.194836,13.294456,104.871727,35.509739,0.511233,0.689931,0.496435,-0.127237,24.471561,88.981956,20.796333,0.011147,0.853436,0.145382,0.500387,-9.409473,83.865906,7.44606,0.083721,0.926628,-0.055058,0.36238,-4.994713,50.442165,-1.605763,-0.058458,0.968446,-0.006588,0.24218,-13.773187,6.342313,0.255566,-0.127667,0.887342,-0.024076,0.442431,0.703599,83.875595,23.360985,0.035015,0.88327,-0.162247,0.438502,7.868987,50.145935,28.795963,-0.026555,0.821364,-0.023615,0.569296,-1.318375,7.622063,40.312706,-0.058458,0.968446,-0.006588,0.24218,-6.454184,0.476411,-11.974779,-0.026555,0.821364,-0.023615,0.569296,12.027697,1.388232,35.776226
1,0.008333,0.008153,0.874668,-0.014769,0.484429,-4.650012,83.771744,15.504154,-0.060035,0.894823,0.053066,0.439172,-4.42912,91.498413,15.365483,-0.02035,0.90342,-0.020313,0.427792,-7.232925,109.465179,16.134228,0.164002,0.932622,-0.069075,0.313925,-7.630625,129.943161,15.024265,0.058851,0.983789,-0.014144,0.168805,-1.465101,143.194092,13.150186,0.019836,0.865531,-0.039828,0.498875,-10.569617,123.767029,12.783887,0.418048,-0.383628,0.467821,-0.677649,-19.814373,123.667465,-3.165975,0.514008,-0.236133,0.149532,-0.810973,-13.502752,101.176872,-6.199636,0.542949,-0.293518,0.058883,-0.784593,9.629233,87.872734,-12.485224,-0.049044,0.891765,-0.06481,0.445139,-5.845629,124.171028,18.544699,0.574724,0.813212,-0.091483,-0.003204,5.195321,126.847366,33.063934,0.478076,0.798052,0.306409,-0.201667,13.18926,104.815086,35.418156,0.50507,0.690697,0.500057,-0.133365,24.456783,89.203964,20.408083,0.009251,0.850274,0.150852,0.504176,-9.651868,83.771301,7.512208,0.083969,0.925768,-0.057294,0.364171,-4.89109,50.457977,-1.768402,-0.057763,0.968466,-0.007616,0.242238,-13.765841,6.384474,0.253379,-0.131922,0.88639,-0.018274,0.443369,0.351844,83.772186,23.496099,0.035198,0.882376,-0.1633,0.439894,7.95007,50.102478,28.710491,-0.027436,0.821188,-0.023721,0.569503,-1.310997,7.61061,40.286179,-0.057763,0.968466,-0.007616,0.242238,-6.454844,0.484947,-11.965574,-0.027436,0.821188,-0.023721,0.569503,12.045738,1.389424,35.763748
2,0.016667,0.009067,0.873422,-0.015796,0.486624,-4.921081,83.671654,15.597001,-0.058916,0.893583,0.049656,0.442237,-4.679781,91.397598,15.4519,-0.018479,0.901839,-0.023782,0.431021,-7.398911,109.404633,16.119493,0.167396,0.930818,-0.072378,0.316731,-7.662059,129.879318,14.912883,0.058207,0.983462,-0.014049,0.170932,-1.371845,143.066818,13.005896,0.019638,0.861533,-0.041811,0.505596,-10.622462,123.711052,12.679061,0.412712,-0.38121,0.469782,-0.68092,-19.618605,123.555443,-3.411892,0.51305,-0.228811,0.145244,-0.81445,-13.306469,101.073311,-6.50658,0.546072,-0.28407,0.053273,-0.786303,10.128221,88.124657,-12.650943,-0.046928,0.891128,-0.066781,0.446351,-5.938766,124.112679,18.472845,0.574234,0.81338,-0.092978,-0.004711,5.069853,126.753662,33.023071,0.472477,0.798378,0.309119,-0.209291,13.08972,104.728745,35.357872,0.500563,0.690147,0.503105,-0.141487,24.47965,89.449135,20.047712,0.00744,0.847365,0.156702,0.507308,-9.882444,83.676041,7.579854,0.084192,0.925184,-0.059698,0.365214,-4.772511,50.486217,-1.954108,-0.056707,0.968594,-0.008851,0.241931,-13.745883,6.441405,0.249582,-0.13539,0.884612,-0.012689,0.446061,0.040282,83.667267,23.614147,0.035001,0.880272,-0.163976,0.443855,8.006831,50.050224,28.614202,-0.028413,0.820293,-0.023362,0.570759,-1.317221,7.577035,40.207882,-0.056707,0.968594,-0.008851,0.241931,-6.456746,0.499051,-11.961678,-0.028413,0.820293,-0.023362,0.570759,12.066257,1.381979,35.728855
3,0.025,0.009863,0.872243,-0.016741,0.488686,-5.194253,83.555763,15.693562,-0.057471,0.892379,0.046382,0.445202,-4.934742,91.280998,15.542303,-0.016571,0.900275,-0.027252,0.434151,-7.559726,109.327591,16.119011,0.171431,0.92891,-0.075797,0.319364,-7.686376,129.797745,14.817391,0.057242,0.983219,-0.014179,0.172633,-1.254851,142.912491,12.880381,0.019899,0.857681,-0.044271,0.511886,-10.669067,123.637787,12.590322,0.406409,-0.37879,0.471643,-0.684765,-19.428843,123.431488,-3.62995,0.511271,-0.221653,0.140335,-0.8184,-13.112611,100.963768,-6.819478,0.549256,-0.274103,0.047918,-0.787965,10.641834,88.393082,-12.860413,-0.044857,0.890438,-0.06911,0.447583,-6.02478,124.036942,18.415911,0.573765,0.813607,-0.093811,-0.006069,4.950218,126.6502,32.996506,0.466695,0.798297,0.312945,-0.216758,12.994775,104.630959,35.299664,0.494306,0.689874,0.507725,-0.148155,24.510771,89.711487,19.677193,0.005331,0.844394,0.163251,0.510215,-10.117404,83.563705,7.652897,0.084655,0.92428,-0.062539,0.366918,-4.6165,50.518311,-2.161049,-0.0554,0.968736,-0.010349,0.24161,-13.724442,6.511778,0.2459,-0.139079,0.882773,-0.008015,0.448669,-0.271102,83.547821,23.734226,0.03614,0.877847,-0.163934,0.448557,8.049514,49.994701,28.584749,-0.029198,0.8185,-0.022001,0.573342,-1.42457,7.527551,40.07848,-0.0554,0.968736,-0.010349,0.24161,-6.460953,0.517458,-11.955238,-0.029198,0.8185,-0.022001,0.573342,12.00523,1.379789,35.673553
4,0.033333,0.012178,0.870597,-0.018884,0.491484,-5.528101,83.395149,15.846123,-0.05596,0.89127,0.04137,0.448101,-5.220661,91.118416,15.684469,-0.014295,0.898918,-0.030267,0.436836,-7.720521,109.211906,16.115505,0.174625,0.927267,-0.079228,0.321567,-7.70526,129.677841,14.743179,0.056653,0.982963,-0.014503,0.174253,-1.155727,142.727921,12.765206,0.019873,0.85377,-0.04634,0.518203,-10.714227,123.52977,12.518575,0.400333,-0.377021,0.472664,-0.688605,-19.234119,123.269943,-3.828217,0.509457,-0.21507,0.134777,-0.822213,-12.900341,100.825539,-7.144648,0.552549,-0.26373,0.041489,-0.789566,11.153141,88.65551,-13.118011,-0.043228,0.889869,-0.071196,0.448548,-6.103794,123.918808,18.371679,0.573238,0.813731,-0.095826,-0.007535,4.844646,126.51461,32.975349,0.460297,0.798371,0.316448,-0.224924,12.916738,104.505005,35.274357,0.486833,0.689537,0.513027,-0.155997,24.55835,89.982841,19.33477,0.002469,0.842051,0.171635,0.511356,-10.398587,83.420059,7.773481,0.085364,0.923731,-0.065715,0.36758,-4.416192,50.569118,-2.404851,-0.053894,0.968878,-0.012649,0.241269,-13.687715,6.610105,0.23464,-0.143642,0.880227,-0.002592,0.452284,-0.657616,83.370232,23.918764,0.03703,0.875375,-0.163106,0.453591,8.087885,49.903156,28.613785,-0.031018,0.816747,-0.019857,0.575819,-1.488755,7.417503,39.953106,-0.053894,0.968878,-0.012649,0.241269,-6.45406,0.540516,-11.946997,-0.031018,0.816747,-0.019857,0.575819,12.001156,1.352298,35.617954
5,0.041667,0.013273,0.869807,-0.020284,0.492797,-5.809562,83.218124,15.964306,-0.054462,0.890387,0.038089,0.450326,-5.476495,90.940109,15.792635,-0.012255,0.897673,-0.033414,0.439223,-7.877172,109.064278,16.135962,0.177978,0.925572,-0.08283,0.323697,-7.726385,129.5242,14.684641,0.056048,0.98269,-0.014993,0.175937,-1.053817,142.505096,12.663132,0.019065,0.849594,-0.048054,0.524897,-10.761245,123.38636,12.46699,0.394445,-0.376052,0.472817,-0.692418,-19.024843,123.053566,-4.009533,0.507761,-0.208468,0.127672,-0.826087,-12.663445,100.641891,-7.490336,0.555706,-0.254557,0.033177,-0.790753,11.705108,88.944664,-13.434453,-0.041759,0.889404,-0.073345,0.449263,-6.181205,123.769508,18.344292,0.572295,0.8143,-0.096608,-0.007802,4.748152,126.353905,32.964264,0.453618,0.798244,0.320554,-0.232987,12.870964,104.363647,35.269657,0.479174,0.688642,0.518566,-0.165088,24.644644,90.260986,19.009232,-1e-06,0.839032,0.180414,0.513299,-10.655151,83.247322,7.876709,0.086926,0.922445,-0.069796,0.369687,-4.189675,50.611729,-2.69153,-0.05222,0.96865,-0.015451,0.242387,-13.72931,6.726724,0.210997,-0.146955,0.876818,0.001384,0.457813,-0.963973,83.188919,24.051901,0.037371,0.871339,-0.161573,0.461807,8.076262,49.788742,28.664286,-0.033675,0.814157,-0.016912,0.57942,-1.570532,7.260573,39.782612,-0.05222,0.96865,-0.015451,0.242387,-6.491584,0.569466,-11.924138,-0.033675,0.814157,-0.016912,0.57942,12.004375,1.312119,35.552277
6,0.05,0.014284,0.868866,-0.02198,0.494353,-6.099822,83.002853,16.096863,-0.052169,0.889619,0.034282,0.452418,-5.739911,90.723297,15.91075,-0.010614,0.896564,-0.036391,0.44129,-8.004769,108.869301,16.162958,0.181081,0.924,-0.085335,0.325808,-7.736374,129.322235,14.632322,0.055276,0.982432,-0.016033,0.177526,-0.956461,142.244797,12.594249,0.019322,0.846463,-0.05005,0.529738,-10.793553,123.192146,12.423936,0.388148,-0.374747,0.471696,-0.697431,-18.868519,122.817596,-4.144958,0.505439,-0.202568,0.119974,-0.830123,-12.411057,100.466537,-7.832445,0.558777,-0.245663,0.023276,-0.791755,12.263629,89.256248,-13.799906,-0.040684,0.888684,-0.075493,0.450429,-6.240106,123.573776,18.321962,0.570901,0.815108,-0.097996,-0.008216,4.653855,126.16066,32.967892,0.446533,0.798241,0.324257,-0.241406,12.851405,104.199707,35.288071,0.471117,0.686761,0.524684,-0.176397,24.754133,90.536972,18.71129,-0.002699,0.837062,0.189412,0.513267,-10.915928,83.031982,7.991675,0.087624,0.921913,-0.073452,0.37014,-3.970724,50.629234,-2.980924,-0.050856,0.96885,-0.017378,0.241745,-13.688726,6.802323,0.194853,-0.150232,0.873247,0.004507,0.463518,-1.283716,82.973724,24.202051,0.037869,0.866994,-0.159002,0.470751,8.021301,49.642822,28.788958,-0.036913,0.811276,-0.012681,0.583359,-1.670898,7.043833,39.592205,-0.050856,0.96885,-0.017378,0.241745,-6.486682,0.580944,-11.9288,-0.036913,0.811276,-0.012681,0.583359,12.004738,1.252288,35.469952
7,0.058333,0.015428,0.868014,-0.023924,0.495723,-6.38839,82.761093,16.243761,-0.05022,0.888987,0.030697,0.454134,-5.997946,90.479645,16.040936,-0.008802,0.895652,-0.039147,0.442942,-8.141345,108.646225,16.20492,0.183779,0.922495,-0.08944,0.327459,-7.753421,129.092072,14.606604,0.054634,0.982144,-0.016513,0.179263,-0.865144,141.946625,12.502965,0.018023,0.842705,-0.051217,0.535631,-10.835824,122.97155,12.406731,0.381746,-0.374438,0.470031,-0.702237,-18.681097,122.52005,-4.270241,0.502569,-0.196348,0.111077,-0.834586,-12.13893,100.235809,-8.20459,0.560644,-0.236862,0.011142,-0.793379,12.834057,89.593826,-14.212576,-0.039994,0.888504,-0.077284,0.450543,-6.303652,123.347923,18.321457,0.569341,0.816085,-0.098969,-0.007852,4.588555,125.942001,32.967419,0.438803,0.79792,0.328968,-0.25011,12.870209,104.016098,35.320137,0.463313,0.683971,0.531346,-0.187608,24.90683,90.85125,18.416565,-0.005423,0.836246,0.198799,0.51102,-11.178274,82.790001,8.123051,0.0881,0.921353,-0.07728,0.370642,-3.768995,50.643219,-3.290062,-0.049648,0.969035,-0.019362,0.241104,-13.653117,6.875777,0.179572,-0.152877,0.868681,0.007488,0.471132,-1.598506,82.732193,24.364473,0.038109,0.862116,-0.15603,0.480581,7.919484,49.459766,28.938898,-0.040387,0.808063,-0.007046,0.587667,-1.786891,6.778169,39.397881,-0.049648,0.969035,-0.019362,0.241104,-6.485161,0.59019,-11.931156,-0.040387,0.808063,-0.007046,0.587667,12.001891,1.18075,35.385857
8,0.066667,0.015801,0.867471,-0.026314,0.496541,-6.657463,82.484459,16.396055,-0.048074,0.888564,0.02724,0.455413,-6.2435,90.200966,16.164421,-0.007181,0.894932,-0.041629,0.444199,-8.260187,108.382462,16.248945,0.187177,0.921035,-0.091464,0.329079,-7.765248,128.821152,14.589744,0.053716,0.981938,-0.017845,0.180538,-0.768375,141.616272,12.482192,0.016589,0.838989,-0.05173,0.54143,-10.87146,122.709381,12.399019,0.375445,-0.374755,0.467619,-0.707059,-18.48826,122.189865,-4.381566,0.499032,-0.189825,0.100669,-0.839524,-11.850684,99.984756,-8.593734,0.561473,-0.227533,-0.002657,-0.795594,13.421544,90.00338,-14.670568,-0.039967,0.888058,-0.07905,0.451117,-6.355543,123.081207,18.326456,0.566472,0.818069,-0.099158,-0.006414,4.517656,125.704727,32.981293,0.431293,0.796826,0.334439,-0.259239,12.953809,103.842834,35.380356,0.453574,0.681012,0.539449,-0.198717,25.091124,91.204651,18.12673,-0.007575,0.836009,0.208174,0.507638,-11.431827,82.496552,8.266165,0.088221,0.920884,-0.081134,0.370953,-3.611726,50.618088,-3.615834,-0.049447,0.96911,-0.020548,0.240747,-13.632968,6.907516,0.16354,-0.154722,0.864179,0.009241,0.478717,-1.883099,82.472374,24.525944,0.038107,0.857063,-0.152382,0.490683,7.760687,49.241604,29.139576,-0.04418,0.804776,1.1e-05,0.591933,-1.908935,6.458714,39.211609,-0.049447,0.96911,-0.020548,0.240747,-6.478491,0.587844,-11.937416,-0.04418,0.804776,1.1e-05,0.591933,12.000846,1.094281,35.30024
9,0.075,0.015976,0.866706,-0.027917,0.497782,-6.905585,82.181534,16.543442,-0.045434,0.88808,0.024405,0.456787,-6.476621,89.896614,16.292278,-0.006315,0.894188,-0.0445,0.44543,-8.360871,108.094498,16.325933,0.189616,0.919664,-0.094162,0.330753,-7.779352,128.523514,14.578157,0.053014,0.981662,-0.018695,0.182154,-0.692535,141.264038,12.440538,0.014432,0.835297,-0.051398,0.547201,-10.903442,122.414551,12.405125,0.369141,-0.375802,0.46413,-0.712103,-18.291071,121.822037,-4.475205,0.494994,-0.182978,0.089025,-0.844733,-11.537397,99.715927,-9.0111,0.561131,-0.21994,-0.018133,-0.797765,14.038507,90.470551,-15.173815,-0.040413,0.888047,-0.07974,0.450977,-6.403687,122.794579,18.34432,0.563919,0.819623,-0.10091,-0.005582,4.472856,125.443779,32.992058,0.421763,0.796477,0.339746,-0.268912,13.045439,103.642418,35.457405,0.446915,0.675384,0.546869,-0.212266,25.333155,91.612396,17.873344,-0.009435,0.836484,0.216898,0.50315,-11.656575,82.18058,8.399862,0.088009,0.920211,-0.084964,0.371815,-3.486378,50.56324,-3.935603,-0.048896,0.969173,-0.020488,0.240611,-13.61919,6.906566,0.156277,-0.156221,0.859146,0.01035,0.487192,-2.154594,82.182487,24.687021,0.03782,0.853184,-0.149455,0.498307,7.567959,48.985794,29.379898,-0.049262,0.802934,0.007941,0.593976,-2.039605,6.121436,39.160709,-0.048896,0.969173,-0.020488,0.240611,-6.474714,0.58385,-11.948999,-0.049262,0.802934,0.007941,0.593976,11.981441,1.031624,35.279728
