Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.010922,0.89027,0.027016,0.454501,-4.293426,75.129959,30.594231,0.005771,0.90287,0.032453,0.428648,-4.332943,82.847908,31.042873,-0.02465,0.90662,0.019294,0.420784,-4.647209,100.868965,32.19059,0.174508,0.926752,-0.056172,0.327905,-5.897077,121.340652,32.4827,0.070648,0.974019,-0.099211,0.190928,0.477125,134.559875,31.165409,-0.050996,0.760105,0.117951,0.636968,-8.623825,115.211952,29.874002,0.24479,-0.479466,0.019944,-0.842492,-12.003878,116.55291,11.800522,0.043723,0.165483,-0.566311,-0.806223,0.70271,110.231934,-6.999865,0.17452,0.30035,-0.64185,-0.683639,9.194662,136.159851,-0.925793,-0.151294,0.921715,0.098485,0.343298,-3.813985,115.424278,35.573708,0.184817,0.965515,-0.072607,-0.168378,9.432295,119.319366,47.790001,-0.209965,0.474637,0.33955,-0.784436,30.04306,110.336723,40.763252,-0.104043,0.154375,0.599725,-0.77825,22.286289,128.144882,26.116831,0.01492,0.83502,0.337677,0.434158,-9.824158,75.544838,22.970013,0.16412,0.931731,-0.022171,0.323187,-0.458544,48.613186,2.831903,-0.055874,0.955369,0.004724,0.290044,-14.867004,6.078219,-0.082922,-0.180598,0.84047,0.191716,0.473539,1.237307,74.71508,38.218449,0.166803,0.855342,-0.179883,0.4563,18.172785,44.650234,32.93956,-0.033531,0.795282,0.051602,0.603108,-2.056712,5.063379,39.93755,-0.055874,0.955369,0.004724,0.290044,-6.365828,0.574502,-11.701748,-0.033531,0.795282,0.051602,0.603108,12.169002,0.714253,35.903667
1,0.008333,0.010856,0.89029,0.027097,0.454458,-4.288969,75.126205,30.589792,0.00576,0.902904,0.032494,0.428575,-4.32994,82.844101,31.039083,-0.024764,0.906654,0.019321,0.420705,-4.645086,100.86396,32.187935,0.174386,0.926799,-0.056082,0.327854,-5.899632,121.335373,32.47916,0.070597,0.974027,-0.099261,0.190878,0.470514,134.556625,31.162632,-0.051056,0.760186,0.117917,0.636872,-8.625406,115.20591,29.871256,0.244876,-0.479555,0.019755,-0.84242,-12.00973,116.543831,11.798347,0.043716,0.165473,-0.566249,-0.806269,0.69317,110.227455,-7.006073,0.17438,0.300371,-0.64167,-0.683834,9.188964,136.153122,-0.931849,-0.151327,0.921725,0.098467,0.343261,-3.81465,115.419647,35.570133,0.184754,0.965485,-0.072945,-0.168474,9.432186,119.316269,47.785343,-0.209943,0.474671,0.339477,-0.784453,30.042515,110.333717,40.757195,-0.103684,0.154548,0.59959,-0.778368,22.285259,128.138275,26.108778,0.014888,0.835082,0.337711,0.434013,-9.820457,75.540649,22.966101,0.164157,0.931728,-0.02222,0.323174,-0.455462,48.610512,2.825673,-0.056157,0.955297,0.004584,0.290229,-14.868402,6.076839,-0.085882,-0.180515,0.840535,0.191743,0.473445,1.24252,74.711761,38.213486,0.166735,0.855444,-0.179975,0.456096,18.173525,44.645519,32.928204,-0.034017,0.795406,0.051156,0.602956,-2.052742,5.059606,39.9408,-0.056157,0.955297,0.004584,0.290229,-6.35985,0.572305,-11.698921,-0.034017,0.795406,0.051156,0.602956,12.172772,0.70861,35.908245
2,0.016667,0.010794,0.890314,0.027033,0.454416,-4.284936,75.122208,30.588835,0.005852,0.902925,0.032642,0.428516,-4.326281,82.840179,31.036816,-0.025041,0.906673,0.019127,0.420655,-4.640711,100.863243,32.192127,0.174458,0.926797,-0.055897,0.327854,-5.902176,121.334396,32.47142,0.070521,0.974049,-0.09935,0.19075,0.468232,134.556076,31.160513,-0.051067,0.760276,0.118082,0.636733,-8.626095,115.202477,29.867352,0.244829,-0.47963,0.019847,-0.842389,-12.016913,116.543159,11.79586,0.043648,0.16541,-0.566207,-0.806315,0.682433,110.223366,-7.00982,0.174232,0.30037,-0.641514,-0.684019,9.182036,136.147888,-0.935731,-0.151309,0.921746,0.098596,0.343175,-3.814923,115.421204,35.565693,0.186506,0.965965,-0.063275,-0.167702,9.434303,119.31601,47.778893,-0.206289,0.47262,0.34241,-0.785386,30.026218,110.328613,40.703114,-0.103423,0.154595,0.599627,-0.778365,22.282034,128.132004,26.099964,0.014877,0.835121,0.337787,0.433879,-9.817179,75.535049,22.965601,0.164142,0.93174,-0.022285,0.323142,-0.452404,48.608452,2.820341,-0.055849,0.955382,0.004762,0.290007,-14.866075,6.074593,-0.084884,-0.18041,0.84059,0.191805,0.473363,1.247305,74.709358,38.21207,0.166702,0.855437,-0.180084,0.456079,18.17382,44.642155,32.9179,-0.034074,0.795397,0.051123,0.602967,-2.053982,5.058765,39.940365,-0.055849,0.955382,0.004762,0.290007,-6.366018,0.571601,-11.704878,-0.034074,0.795397,0.051123,0.602967,12.1719,0.707995,35.908844
3,0.025,0.010705,0.890329,0.027038,0.454388,-4.280286,75.118019,30.586506,0.005858,0.902955,0.032613,0.428457,-4.322885,82.836014,31.033936,-0.025275,0.906696,0.019167,0.42059,-4.636614,100.859497,32.188442,0.174284,0.926813,-0.055896,0.3279,-5.907446,121.330109,32.465275,0.070451,0.974021,-0.099391,0.190898,0.458622,134.553741,31.153053,-0.051045,0.760293,0.118064,0.636718,-8.628888,115.196594,29.862352,0.244875,-0.479716,0.019734,-0.84233,-12.020467,116.537415,11.791023,0.043561,0.165411,-0.566175,-0.806342,0.675187,110.220131,-7.017983,0.174038,0.300345,-0.641403,-0.684182,9.176782,136.143143,-0.940779,-0.151308,0.921757,0.098744,0.343104,-3.817072,115.418266,35.560028,0.18647,0.965947,-0.063504,-0.16776,9.433945,119.311485,47.771786,-0.206342,0.472734,0.342154,-0.785415,30.025566,110.323906,40.695419,-0.103768,0.154702,0.599325,-0.77853,22.278027,128.120575,26.085478,0.014859,0.835162,0.337837,0.433763,-9.813032,75.529396,22.963562,0.164185,0.931758,-0.022314,0.323067,-0.448507,48.605152,2.815041,-0.056268,0.955308,0.004623,0.290172,-14.866677,6.072661,-0.08786,-0.180384,0.840654,0.191872,0.473231,1.25246,74.706635,38.20945,0.166769,0.855397,-0.180196,0.456085,18.178696,44.64056,32.90799,-0.033045,0.795151,0.051492,0.603317,-2.058387,5.062837,39.935581,-0.056268,0.955308,0.004623,0.290172,-6.358214,0.570171,-11.701933,-0.033045,0.795151,0.051492,0.603317,12.165128,0.702403,35.906162
4,0.033333,0.010576,0.890346,0.027058,0.454356,-4.274212,75.116318,30.584162,0.005859,0.902964,0.032616,0.428436,-4.31871,82.834335,31.030958,-0.025354,0.9067,0.01919,0.420576,-4.632353,100.854347,32.185364,0.174136,0.926858,-0.055662,0.327891,-5.90652,121.324768,32.461708,0.070372,0.974027,-0.099508,0.190831,0.45373,134.551666,31.154161,-0.05103,0.760376,0.118199,0.636596,-8.627028,115.190735,29.859013,0.244924,-0.479786,0.01965,-0.842278,-12.024431,116.534439,11.788986,0.043515,0.16539,-0.566167,-0.806354,0.668256,110.21862,-7.022527,0.173957,0.300277,-0.64133,-0.684302,9.170521,136.140488,-0.944821,-0.151384,0.921768,0.098849,0.343011,-3.8151,115.41333,35.556564,0.186395,0.965941,-0.063579,-0.167845,9.437433,119.308212,47.766148,-0.206372,0.472659,0.342038,-0.785503,30.029034,110.323242,40.686382,-0.103946,0.154499,0.599203,-0.77864,22.273918,128.117432,26.076132,0.01503,0.835284,0.337626,0.433686,-9.807568,75.525688,22.961552,0.163541,0.93224,-0.021997,0.322022,-0.461309,48.59185,2.817364,-0.056419,0.955651,0.005591,0.288994,-14.821365,6.039131,-0.07704,-0.180307,0.840707,0.191857,0.473173,1.259143,74.706947,38.206776,0.166679,0.855434,-0.180264,0.456022,18.180252,44.638523,32.902237,-0.033909,0.795416,0.051186,0.602946,-2.052225,5.060306,39.940346,-0.056419,0.955651,0.005591,0.288994,-6.338123,0.562524,-11.721757,-0.033909,0.795416,0.051186,0.602946,12.172538,0.708093,35.906437
5,0.041667,0.010412,0.890378,0.027063,0.454297,-4.268335,75.116821,30.581833,0.005531,0.903039,0.032369,0.428302,-4.315089,82.8349,31.027544,-0.025044,0.906784,0.019616,0.420393,-4.635337,100.84906,32.168476,0.173855,0.927003,-0.055938,0.327582,-5.905261,121.319427,32.466282,0.070447,0.974058,-0.099521,0.190641,0.449228,134.547836,31.146109,-0.05105,0.760405,0.118224,0.636555,-8.62814,115.188614,29.858511,0.244797,-0.479895,0.019688,-0.842252,-12.027377,116.532089,11.788819,0.043422,0.165308,-0.566188,-0.806361,0.660314,110.2164,-7.026096,0.173964,0.300301,-0.641232,-0.684381,9.162722,136.138245,-0.949177,-0.151489,0.921774,0.098834,0.34295,-3.813679,115.404427,35.55418,0.186501,0.965936,-0.06338,-0.167834,9.43921,119.303345,47.762081,-0.206339,0.472589,0.342124,-0.785516,30.029118,110.315216,40.681423,-0.103336,0.154794,0.598153,-0.77947,22.275433,128.107376,26.077213,0.014997,0.835332,0.337644,0.43358,-9.802757,75.52346,22.95985,0.163576,0.932099,-0.022129,0.322405,-0.456589,48.590405,2.814588,-0.05677,0.955594,0.005398,0.289118,-14.822039,6.039217,-0.075619,-0.180217,0.840807,0.191781,0.47306,1.266087,74.71019,38.203812,0.166733,0.855529,-0.180255,0.455827,18.179136,44.637466,32.89798,-0.032484,0.795154,0.051774,0.603319,-2.055409,5.06058,39.937611,-0.05677,0.955594,0.005398,0.289118,-6.332281,0.560924,-11.71479,-0.032484,0.795154,0.051774,0.603319,12.165392,0.696821,35.902218
6,0.05,0.010227,0.890421,0.027116,0.454215,-4.263102,75.116386,30.579412,0.005473,0.903073,0.032376,0.42823,-4.312736,82.834473,31.024561,-0.025008,0.906818,0.019604,0.420323,-4.634877,100.848282,32.164825,0.173824,0.927022,-0.055684,0.327589,-5.903248,121.318748,32.462898,0.07027,0.974058,-0.099637,0.190646,0.448296,134.549225,31.149235,-0.050928,0.760495,0.118171,0.636467,-8.626984,115.188148,29.855532,0.244879,-0.479937,0.019696,-0.842204,-12.030823,116.533257,11.78682,0.043397,0.16525,-0.566213,-0.806357,0.654951,110.214958,-7.028519,0.173804,0.300283,-0.641148,-0.684508,9.156546,136.136459,-0.95381,-0.151499,0.921796,0.098978,0.342845,-3.811622,115.40358,35.550453,0.186534,0.965925,-0.063128,-0.167956,9.443813,119.301521,47.755917,-0.206214,0.472348,0.34219,-0.785665,30.031225,110.313606,40.667706,-0.103684,0.154402,0.598622,-0.779142,22.267475,128.108047,26.065796,0.014984,0.835412,0.337657,0.433418,-9.799012,75.52034,22.958366,0.163564,0.932284,-0.022063,0.321881,-0.455616,48.58786,2.81104,-0.056154,0.955687,0.005749,0.288923,-14.81986,6.036073,-0.076352,-0.180204,0.840924,0.191671,0.472902,1.272809,74.712433,38.200455,0.166757,0.855569,-0.180274,0.455736,18.180862,44.636459,32.897079,-0.032924,0.795215,0.051504,0.603238,-2.055438,5.060914,39.939217,-0.056154,0.955687,0.005749,0.288923,-6.340981,0.561119,-11.725019,-0.032924,0.795215,0.051504,0.603238,12.16645,0.698613,35.906063
7,0.058333,0.01033,0.890438,0.027038,0.454183,-4.267539,75.114265,30.575539,0.00554,0.903118,0.032335,0.428138,-4.315191,82.832382,31.02034,-0.024946,0.906871,0.019661,0.420209,-4.634415,100.847435,32.160412,0.174493,0.926957,-0.055429,0.32746,-5.901426,121.317932,32.461834,0.069902,0.974143,-0.099863,0.190228,0.464753,134.542587,31.160492,-0.050952,0.760572,0.118214,0.636365,-8.626217,115.187881,29.854261,0.244859,-0.47999,0.019701,-0.842179,-12.034745,116.53273,11.786421,0.043362,0.165194,-0.566234,-0.806356,0.648612,110.214104,-7.030434,0.173858,0.300186,-0.641226,-0.684464,9.150042,136.136414,-0.957111,-0.151492,0.921797,0.099018,0.342835,-3.809378,115.402176,35.547977,0.186683,0.965878,-0.063108,-0.168068,9.446385,119.2994,47.7533,-0.206141,0.47198,0.342616,-0.785719,30.029392,110.304962,40.660603,-0.102376,0.154551,0.598538,-0.779349,22.263908,128.109116,26.076286,0.014885,0.835326,0.33778,0.433491,-9.803951,75.519264,22.954914,0.16381,0.931989,-0.022319,0.322591,-0.449237,48.592381,2.80537,-0.055997,0.955576,0.005424,0.289326,-14.838606,6.048858,-0.07866,-0.180311,0.840975,0.191634,0.472784,1.268873,74.709259,38.196163,0.166788,0.855597,-0.180282,0.455669,18.181057,44.634991,32.89632,-0.032004,0.795165,0.051901,0.603319,-2.057251,5.060616,39.939247,-0.055997,0.955576,0.005424,0.289326,-6.352252,0.564219,-11.717322,-0.032004,0.795165,0.051901,0.603319,12.160595,0.691327,35.899422
8,0.066667,0.010256,0.890462,0.027056,0.454138,-4.264548,75.116966,30.570921,0.00549,0.903156,0.032398,0.428053,-4.313323,82.835098,31.015455,-0.024976,0.906914,0.019698,0.420114,-4.634996,100.848099,32.156712,0.173847,0.927127,-0.055758,0.327267,-5.903717,121.318481,32.459103,0.07028,0.974137,-0.099709,0.190202,0.448129,134.54837,31.141106,-0.050868,0.760572,0.118269,0.636361,-8.628523,115.188286,29.851891,0.244995,-0.480024,0.019724,-0.842119,-12.037527,116.536781,11.784406,0.043396,0.165177,-0.566274,-0.806329,0.644226,110.213806,-7.032071,0.173828,0.300163,-0.641227,-0.684481,9.143173,136.136658,-0.961093,-0.151382,0.921845,0.099,0.342759,-3.810509,115.402809,35.544605,0.186845,0.965805,-0.063296,-0.168237,9.448402,119.297073,47.747456,-0.206191,0.47195,0.342725,-0.785677,30.025881,110.293915,40.649773,-0.102579,0.154086,0.598497,-0.779446,22.262461,128.102692,26.069206,0.014937,0.835327,0.337729,0.433525,-9.801762,75.520859,22.950823,0.16379,0.932065,-0.022287,0.322382,-0.450803,48.59169,2.802585,-0.056529,0.955495,0.005137,0.289495,-14.838227,6.047431,-0.080337,-0.18034,0.841065,0.191483,0.472675,1.272667,74.713074,38.191021,0.166795,0.855623,-0.180269,0.455623,18.181215,44.635479,32.898441,-0.032059,0.795205,0.051793,0.603274,-2.056725,5.060873,39.941166,-0.056529,0.955495,0.005137,0.289495,-6.342422,0.560323,-11.710944,-0.032059,0.795205,0.051793,0.603274,12.160508,0.690013,35.900883
9,0.075,0.010296,0.890508,0.027004,0.454049,-4.265154,75.118118,30.567472,0.005565,0.903192,0.032408,0.427975,-4.312973,82.836273,31.011587,-0.02496,0.906949,0.019646,0.420041,-4.63224,100.847389,32.154255,0.174552,0.927018,-0.055405,0.327262,-5.899439,121.317886,32.455112,0.069812,0.9742,-0.099922,0.189936,0.467481,134.54216,31.153381,-0.050825,0.760662,0.118377,0.636237,-8.625103,115.187668,29.848856,0.245038,-0.480026,0.019742,-0.842105,-12.040105,116.539192,11.782728,0.04336,0.165118,-0.566354,-0.806287,0.641551,110.214546,-7.033256,0.173751,0.300127,-0.641353,-0.684398,9.136595,136.139328,-0.96436,-0.151334,0.921838,0.099017,0.342796,-3.806164,115.402313,35.540783,0.186921,0.965792,-0.062993,-0.168337,9.45236,119.294571,47.744705,-0.206128,0.471712,0.342957,-0.785735,30.026918,110.290161,40.640137,-0.102327,0.153978,0.598544,-0.779464,22.260349,128.104858,26.068634,0.014857,0.835367,0.337689,0.433484,-9.803872,75.522217,22.948473,0.163781,0.932094,-0.022234,0.322307,-0.450493,48.590961,2.804135,-0.056636,0.955508,0.005088,0.289433,-14.835927,6.046233,-0.081782,-0.180381,0.841062,0.191418,0.472691,1.273563,74.71402,38.186474,0.16675,0.855621,-0.180278,0.455639,18.18255,44.635723,32.899315,-0.032586,0.79543,0.051549,0.60297,-2.052572,5.060091,39.944355,-0.056636,0.955508,0.005088,0.289433,-6.34054,0.558718,-11.712502,-0.032586,0.79543,0.051549,0.60297,12.16435,0.692906,35.898998
