hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_hook_left_main_001,0.225617058,0.415086481,0.307634799,0.271494952,0.202383465,0.161337622,0.062878713,0.063907779,0.047818328,0.497482696,0.685606104,0.629169082
p02_hook_left_main_002,0.22229558,0.424628599,0.286657008,0.255853502,0.200973585,0.164147025,0.062285868,0.064347349,0.047929381,0.459123869,0.690760565,0.621269556
p02_hook_left_main_003,0.215426734,0.418607746,0.256101575,0.251277011,0.192984882,0.157444959,0.063101324,0.064137811,0.048047273,0.485716368,0.606852858,0.570511911
p02_hook_left_main_004,0.190107925,0.377594289,0.222563944,0.214372704,0.179204622,0.156549135,0.068387184,0.061677337,0.047875576,0.459551303,0.513104083,0.497038249
p02_hook_left_main_005,0.205303749,0.424057531,0.253657437,0.265825535,0.179242517,0.185548203,0.059904889,0.06053801,0.047929727,0.49739934,0.623042707,0.585349697
p02_hook_left_main_006,0.197843846,0.416464237,0.24176066,0.256100098,0.179397517,0.137910858,0.06236111,0.063434729,0.047795515,0.501741307,0.537202135,0.526563886
p02_hook_left_main_007,0.196026365,0.404135103,0.236272405,0.255868014,0.165651799,0.143547462,0.062257553,0.063374468,0.047738783,0.497254784,0.519985703,0.513166428
p02_hook_left_main_008,0.193438166,0.403071518,0.243803527,0.266742143,0.184279545,0.129844897,0.062584568,0.065981862,0.047761596,0.485725039,0.549181816,0.530144783
p02_hook_left_main_009,0.122188416,0.333114125,0.169066093,0.195899276,0.12925429,0.099647672,0.061656291,0.061616219,0.047627901,0.470340189,0.263161519,0.32531512
p02_hook_left_main_010,0.196800874,0.407139934,0.242393985,0.259722762,0.1830677,0.134206483,0.061653743,0.061765393,0.047907469,0.499792494,0.539398058,0.527516389
p02_hook_left_main_011,0.21981228,0.407704666,0.249069498,0.251560216,0.185950649,0.140540888,0.062877389,0.064360403,0.048005169,0.490679564,0.566044214,0.543434819
p02_hook_left_main_012,0.239482505,0.445144761,0.300867479,0.305039985,0.206925145,0.146942157,0.063206054,0.066783213,0.048097779,0.514390202,0.700709306,0.644813575
