hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p07_hook_right_main_001,0.237647074,0.414523129,0.245236783,0.332895317,0.251700807,0.264034687,0.049439643,0.047843944,0.047744735,0.599777515,0.761046634,0.712665898,0.752180934,0.030634012
p07_hook_right_main_002,0.252395211,0.481286446,0.297826661,0.342305556,0.296928472,0.278649827,0.050539946,0.056583626,0.04861853,0.639964906,0.870940493,0.801647817,0.783920901,
p07_hook_right_main_003,0.269722183,0.421781975,0.231620321,0.284236074,0.256442422,0.312655396,0.049814227,0.047987762,0.04765789,0.573010072,0.797889627,0.73042576,0.753286888,
p07_hook_right_main_004,0.223267429,0.413132265,0.244277897,0.316381119,0.175648916,0.289066382,0.049378167,0.047858636,0.047672552,0.526055141,0.760384794,0.690085898,,
p07_hook_right_main_005,0.205354635,0.423287291,0.250184667,0.317542918,0.196542132,0.244894185,0.049357942,0.047967065,0.047698323,0.527014331,0.737515367,0.674365056,,
p07_hook_right_main_006,0.250738408,0.474321289,0.290234751,0.325447566,0.267683496,0.289648303,0.048597486,0.047792882,0.050259443,0.610848893,0.860817999,0.785827268,,
p07_hook_right_main_007,0.255040782,0.476431729,0.309479766,0.340204894,0.288651898,0.269410749,0.050249618,0.058443645,0.048725391,0.617268398,0.881870975,0.802490202,,
p07_hook_right_main_008,0.268610753,0.466147887,0.306740166,0.342914559,0.2962416,0.292638409,0.048600023,0.049324661,0.051330049,0.663701299,0.876344446,0.812551502,,
p07_hook_right_main_009,0.26266063,0.466723028,0.286240071,0.312516194,0.327784357,0.285684207,0.050539854,0.055118126,0.051273635,0.638136786,0.866297322,0.797849161,,
p07_hook_right_main_010,0.252728567,0.4516954,0.311091463,0.312553574,0.29576347,0.263434441,0.048454326,0.049480358,0.052711864,0.602010173,0.86632484,0.78703044,,
p07_hook_right_main_011,0.209116786,0.383485692,0.210508197,0.314060456,0.186182562,0.24225406,0.048967878,0.047723351,0.047697655,0.48853519,0.709348727,0.643104666,,
p07_hook_right_main_012,0.226259802,0.376420989,0.228739566,0.313630563,0.143480371,0.241521658,0.049091694,0.0477578,0.047635303,0.479481462,0.693162041,0.629057867,,
p07_hook_right_main_013,0.243172544,0.386279753,0.222010099,0.316055048,0.161503737,0.26085055,0.049132383,0.047784107,0.047636196,0.49152789,0.727597092,0.656776332,,
p07_hook_right_main_014,0.271289326,0.467402155,0.260053158,0.315023671,0.258402254,0.292087655,0.048884328,0.047711174,0.047940397,0.572532275,0.862330554,0.77539107,,
p07_hook_right_main_015,0.273818955,0.460530054,0.268792057,0.317100097,0.296208415,0.273376649,0.048792896,0.047718807,0.048783948,0.598278802,0.863347688,0.783827022,,
p07_hook_right_main_016,0.243534919,0.466884299,0.315091448,0.340488043,0.279793105,0.290291293,0.048422157,0.048005914,0.050934973,0.651745894,0.863839389,0.80021134,,
p07_hook_right_main_017,0.283554551,0.460245751,0.316869116,0.333849711,0.28324881,0.274158799,0.048873138,0.050600381,0.050461381,0.647794497,0.865025949,0.799856513,,
p07_hook_right_main_018,0.255151927,0.488596762,0.302395345,0.322248997,0.319071588,0.277315042,0.050743149,0.06710231,0.048964339,0.626193709,0.882756894,0.805787938,,
p07_hook_right_main_019,0.237062616,0.382465574,0.226147001,0.317640322,0.152021055,0.257540231,0.049120548,0.047750423,0.047637946,0.515890094,0.689713615,0.637566559,,
p07_hook_right_main_020,0.231062514,0.452262633,0.303068799,0.311086916,0.29594328,0.25163108,0.048768882,0.051067872,0.052040221,0.600627503,0.832635255,0.763032929,,
p07_hook_right_main_021,0.239464086,0.444443325,0.31621355,0.323181714,0.300331169,0.251607678,0.048722129,0.050719981,0.051222026,0.626080441,0.838441698,0.774733321,,
p07_hook_right_main_022,0.221164094,0.39041368,0.240025088,0.307273671,0.164190062,0.255393763,0.049132334,0.047813324,0.047622189,0.485539569,0.731600928,0.657782521,,
p07_hook_right_main_023,0.244626625,0.445133843,0.328823827,0.322305256,0.2813156,0.254249912,0.048123963,0.048006421,0.048758526,0.609753216,0.858798485,0.784084904,,
p07_hook_right_main_024,0.25082203,0.449828275,0.324496804,0.333067848,0.266023353,0.263441193,0.048331899,0.048933965,0.049389926,0.613908905,0.859573631,0.785874213,,
