uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p11_uppercut_left_main_001,0.293865754,0.394260189,0.20536334,0.257548672,0.197779323,0.224473491,0.05220095,0.047779457,0.047625431,0.421581607,0.747162791,0.649488436,0.693752141,
p11_uppercut_left_main_002,0.284182282,0.422147229,0.22406749,0.298908873,0.17833251,0.254327982,0.052315239,0.0485629,0.047630704,0.453120345,0.78616264,0.686249951,0.716532035,-0.010272673
p11_uppercut_left_main_003,0.262278423,0.371546893,0.21781663,0.292232709,0.155792944,0.227853709,0.051170127,0.048099342,0.04762293,0.450770457,0.692766274,0.620167529,0.726804707,
p11_uppercut_left_main_004,0.303007605,0.414173675,0.227280472,0.249911379,0.190089007,0.249689779,0.051699372,0.047932375,0.047623791,0.422098654,0.790641671,0.680078766,,
p11_uppercut_left_main_005,0.313756459,0.437456254,0.233160745,0.258164851,0.204428644,0.248769594,0.05310574,0.047864698,0.047625402,0.4509328,0.806242944,0.699649901,,
p11_uppercut_left_main_006,0.288423383,0.435794418,0.213770632,0.252290663,0.204185298,0.258903368,0.051962782,0.047827434,0.047628398,0.451919158,0.779140976,0.680974431,,
p11_uppercut_left_main_007,0.285373241,0.40807666,0.248151219,0.323984051,0.180268738,0.26099569,0.052896372,0.048871477,0.047640536,0.469464159,0.823157336,0.717049383,,
p11_uppercut_left_main_008,0.290516455,0.428763963,0.248411444,0.261885591,0.21085652,0.253588111,0.050987916,0.047732436,0.047621619,0.444735775,0.828066009,0.713066938,,
p11_uppercut_left_main_009,0.259820728,0.390684757,0.22961353,0.302739344,0.184641499,0.230620677,0.052187359,0.048418046,0.047626197,0.445834426,0.761419274,0.666743819,,
p11_uppercut_left_main_010,0.288030043,0.429528752,0.21285782,0.260032833,0.214899998,0.240786951,0.051705987,0.047814526,0.047624271,0.435098057,0.792917479,0.685571653,,
p11_uppercut_left_main_011,0.313118684,0.443239781,0.220208436,0.265564456,0.214132918,0.251084617,0.051826634,0.047881833,0.04762269,0.459964734,0.80702231,0.702905037,,
p11_uppercut_left_main_012,0.26789518,0.43100384,0.218885562,0.25366772,0.225016941,0.252543126,0.051162441,0.047695109,0.047619838,0.441655995,0.797719269,0.690900286,,
p11_uppercut_left_main_013,0.303436361,0.446094492,0.232799244,0.260708833,0.224582676,0.230156248,0.051776081,0.04790539,0.047636951,0.439278515,0.822401491,0.707464599,,
p11_uppercut_left_main_014,0.255225562,0.397666682,0.228650975,0.283745511,0.189401832,0.209386466,0.051533556,0.048279781,0.047623787,0.413450502,0.75879888,0.655194367,,
p11_uppercut_left_main_015,0.33359991,0.445235558,0.241267025,0.265322259,0.230489205,0.230851367,0.050966007,0.047832662,0.047626208,0.45182759,0.844283095,0.726546443,,
p11_uppercut_left_main_016,0.262657973,0.42189654,0.249627001,0.296837188,0.207654065,0.22377003,0.052109465,0.04855966,0.047635555,0.440998049,0.813910612,0.702036843,,
p11_uppercut_left_main_017,0.249423582,0.38868892,0.22518757,0.317964273,0.174827469,0.23353946,0.052355856,0.04841299,0.047624337,0.466965933,0.737365125,0.656245367,,
p11_uppercut_left_main_018,0.325520727,0.445040379,0.226426908,0.270600968,0.228537376,0.277049863,0.050976448,0.047719832,0.047620845,0.473127221,0.853524173,0.739405088,,
p11_uppercut_left_main_019,0.24896915,0.406545895,0.239224167,0.309598899,0.184766753,0.222063231,0.051427664,0.048294342,0.047629602,0.426022725,0.790130207,0.680897962,,
p11_uppercut_left_main_020,0.232162318,0.409644927,0.242880637,0.311247528,0.189219768,0.228320929,0.051369951,0.048298777,0.04762858,0.442235985,0.783752578,0.681297601,,
p11_uppercut_left_main_021,0.316105837,0.43390846,0.253001566,0.260160886,0.22149795,0.243416987,0.051688453,0.047805653,0.047629691,0.463929832,0.826234878,0.717543365,,
p11_uppercut_left_main_022,0.274524781,0.41366659,0.245446544,0.305495231,0.19566494,0.248253081,0.052136101,0.048758161,0.047644451,0.452420248,0.820957431,0.710396277,,
p11_uppercut_left_main_023,0.27574898,0.420246396,0.249087,0.298745,0.19766723,0.251624302,0.052309892,0.048672858,0.047650271,0.447994872,0.831519854,0.716462359,,
p11_uppercut_left_main_024,0.264710337,0.417430843,0.245441287,0.300557623,0.209404563,0.249043332,0.052058281,0.048725616,0.0476442,0.457959911,0.820837932,0.711974526,,
p11_uppercut_left_main_025,0.260239193,0.459929504,0.241881181,0.252158606,0.227295024,0.252077639,0.051181847,0.047693568,0.047621195,0.436876493,0.835177188,0.71568698,,
p11_uppercut_left_main_026,0.269919913,0.442905305,0.245008535,0.2713928,0.208696014,0.272758787,0.051161677,0.047953622,0.047623579,0.483244235,0.807883919,0.710492014,,
p11_uppercut_left_main_027,0.231456166,0.434569334,0.243701344,0.269782326,0.209758471,0.247972549,0.051245303,0.047927975,0.047624149,0.429107231,0.810736066,0.696247416,,
p11_uppercut_left_main_028,0.272433471,0.4440278,0.239303752,0.254660061,0.221628788,0.243127761,0.051115042,0.047674714,0.04762014,0.427788883,0.82793474,0.707890983,,
p11_uppercut_left_main_029,0.246880571,0.405515976,0.234074559,0.294654734,0.190853445,0.224100543,0.051504883,0.04824424,0.047625201,0.438897232,0.766165062,0.667984713,,
p11_uppercut_left_main_030,0.261301244,0.426383428,0.244851811,0.32082784,0.201889886,0.24263598,0.051823682,0.048384536,0.047635151,0.463744944,0.824039576,0.715951187,,
p11_uppercut_left_post_001,0.317710307,0.465137126,0.230984282,0.247673097,0.21061412,0.264908823,0.051403794,0.047700333,0.047620162,0.456859069,0.826552135,0.715644215,,
p11_uppercut_left_post_002,0.293720056,0.426070671,0.238531041,0.282090942,0.19312289,0.247857792,0.051637519,0.047955877,0.047634939,0.445453228,0.811431534,0.701638042,,
p11_uppercut_left_post_003,0.307054132,0.456486174,0.23370907,0.258747663,0.226883225,0.241529912,0.052285296,0.047882258,0.04762847,0.437453896,0.841411659,0.72022433,,
p11_uppercut_left_post_004,0.298226304,0.437545458,0.254104937,0.302321486,0.207667417,0.24147212,0.052305263,0.04860606,0.047650458,0.451295203,0.856098914,0.734657801,,
p11_uppercut_left_post_005,0.323325291,0.44976271,0.244428531,0.262534502,0.224469011,0.222545421,0.051257104,0.047827473,0.047624927,0.445728804,0.832867926,0.716726189,,
p11_uppercut_left_post_006,0.278446706,0.45638392,0.249281864,0.253007019,0.23221343,0.251590303,0.051375673,0.047731387,0.047620519,0.445661454,0.846194322,0.726034462,,
p11_uppercut_left_post_007,0.297292537,0.447963281,0.248893188,0.257519008,0.21454497,0.236363119,0.05165151,0.047915298,0.04763055,0.451060358,0.81640955,0.706804792,,
p11_uppercut_left_post_008,0.320479595,0.446605274,0.270150849,0.254767901,0.224361101,0.238519163,0.052577192,0.048185655,0.047638283,0.442507571,0.865330238,0.738483438,,
p11_uppercut_left_post_009,0.300483586,0.447506476,0.248450209,0.270563736,0.21963479,0.222829361,0.052109721,0.047919303,0.047627606,0.431005377,0.842912303,0.719340225,,
p11_uppercut_left_post_010,0.284804554,0.439348546,0.252131458,0.301323651,0.206671057,0.198705115,0.050471545,0.047745245,0.047620435,0.491742616,0.768920094,0.685766851,,
