straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p16_straight_main_001,0.32980835,0.417142754,0.23756397,0.292533691,0.274935649,0.238269667,0.051105466,0.047917708,0.047625477,0.558414864,0.800910167,0.728161576,0.732464057,-0.04611601
p16_straight_main_002,0.335268262,0.420580811,0.24060269,0.339532356,0.287030034,0.23035815,0.052489809,0.047987277,0.047625502,0.63947555,0.778899046,0.737071997,0.608622238,
p16_straight_main_003,0.320008588,0.383362753,0.21185774,0.210047779,0.245736131,0.191759551,0.051634112,0.047782461,0.047620779,0.57684685,0.581115507,0.57983491,0.654738248,
p16_straight_main_004,0.346347406,0.448983523,0.268381595,0.356540731,0.336060746,0.266777616,0.050359129,0.055772417,0.049377743,0.647393033,0.907139255,0.829215388,,
p16_straight_main_005,0.347169375,0.449611236,0.264473798,0.354044637,0.310483072,0.26283628,0.049139516,0.052353939,0.048813987,0.643790617,0.881780134,0.810383279,,
p16_straight_main_006,0.301610563,0.408035849,0.22708688,0.333089489,0.165958788,0.241403957,0.049807982,0.047725625,0.04824231,0.51543515,0.765284693,0.69032983,,
p16_straight_main_007,0.36886719,0.439523767,0.281069123,0.362271642,0.325477128,0.272160185,0.05163457,0.049518351,0.051570265,0.690215562,0.889283905,0.829563402,,
p16_straight_main_008,0.357988401,0.458385139,0.246971112,0.370980146,0.278068341,0.232057903,0.049227821,0.04831117,0.051080407,0.619406044,0.856148042,0.785125443,,
p16_straight_main_009,0.336796208,0.410656953,0.251288163,0.341478611,0.268378788,0.276503831,0.050730295,0.047942289,0.047657582,0.67044685,0.784686872,0.750414865,,
p16_straight_main_010,0.342677346,0.424277756,0.298153529,0.332993131,0.271378124,0.223811375,0.052543699,0.048364127,0.047731454,0.619562892,0.829867161,0.76677588,,
p16_straight_main_011,0.339209536,0.471492437,0.284425774,0.362417962,0.297533795,0.241569176,0.050154812,0.049953244,0.050796371,0.645219945,0.882409332,0.811252516,,
p16_straight_main_012,0.349055657,0.450781187,0.233071838,0.334347052,0.288004625,0.255832299,0.048997653,0.048530596,0.047780528,0.641783912,0.810888673,0.760157245,,
p16_straight_main_013,0.339570536,0.486051198,0.266311084,0.358046073,0.291818856,0.228311314,0.051015058,0.05412326,0.049162301,0.638296419,0.853030583,0.788610333,,
p16_straight_main_014,0.319084266,0.391756822,0.224198641,0.309562701,0.17940163,0.213125019,0.05191429,0.047813899,0.047624721,0.53092098,0.695686066,0.64625654,,
p16_straight_main_015,0.331670938,0.429718086,0.245365523,0.304282557,0.268768959,0.20901823,0.052680079,0.047934292,0.04769056,0.599766772,0.750830684,0.70551151,,
p16_straight_main_016,0.3417641,0.424168061,0.258508697,0.277861265,0.273598282,0.22211808,0.051793114,0.047943166,0.047665372,0.606882518,0.752468598,0.708792774,,
p16_straight_main_017,0.304022531,0.419970324,0.259202123,0.3002065,0.253466425,0.209494231,0.052403554,0.047937433,0.047626091,0.589457763,0.73951798,0.694499915,,
p16_straight_main_018,0.305710418,0.428508169,0.255796134,0.329058326,0.203898237,0.206501747,0.050202571,0.047831332,0.047813644,0.559920208,0.746543332,0.690556395,,
p16_straight_main_019,0.365158992,0.467198662,0.249497065,0.371153188,0.304531477,0.246273927,0.04970387,0.052684246,0.05095677,0.64596902,0.875588821,0.806702881,,
p16_straight_main_020,0.378469906,0.486529444,0.254296341,0.366507006,0.325120082,0.247096697,0.05076788,0.053832956,0.049964699,0.681892756,0.876790606,0.818321251,,
p16_straight_main_021,0.299236938,0.446659578,0.255997968,0.298107094,0.245537706,0.180121555,0.049046597,0.047711658,0.047652645,0.588242422,0.716152561,0.67777952,,
p16_straight_main_022,0.360253222,0.456239453,0.237951689,0.348943055,0.288114665,0.252414361,0.048691752,0.049390424,0.05052054,0.613115485,0.862182056,0.787462085,,
p16_straight_main_023,0.362746331,0.477239844,0.239811383,0.343569102,0.300340644,0.249740043,0.049614765,0.052390641,0.048221183,0.615289646,0.875218878,0.797240108,,
p16_straight_main_024,0.320797702,0.421650175,0.250591624,0.315413906,0.180443539,0.152245863,0.049720534,0.047812988,0.047626567,0.546277094,0.675316981,0.636605014,,
p16_straight_main_025,0.280812067,0.428134103,0.261305721,0.312734093,0.262749967,0.152263906,0.048885009,0.047771113,0.047632496,0.585744683,0.711470211,0.673752553,,
p16_straight_main_026,0.317700885,0.395355206,0.234662394,0.333949136,0.26107786,0.198715285,0.051391475,0.047808435,0.04763302,0.61842907,0.712764726,0.684464029,,
p16_straight_main_027,0.304464584,0.433016224,0.254220056,0.292085966,0.183732036,0.140785675,0.04935611,0.047787121,0.047636716,0.528730152,0.667012002,0.625527447,,
p16_straight_main_028,0.323093688,0.40288867,0.239269737,0.287982386,0.305834042,0.211687784,0.049552411,0.047931754,0.048326573,0.604564886,0.746752522,0.704096231,,
p16_straight_main_029,0.32662512,0.440812449,0.25837102,0.310783134,0.272844961,0.230003216,0.050614737,0.047932428,0.047675744,0.617771883,0.78528012,0.735027649,,
p16_straight_main_030,0.309443031,0.434619423,0.297316716,0.326171767,0.221524047,0.19998311,0.050418565,0.047876307,0.047636646,0.600202988,0.763383217,0.714429148,,
p16_straight_post_001,0.334008851,0.43347536,0.248064796,0.267985797,0.234228393,0.147207745,0.049108309,0.047717052,0.047756033,0.584861699,0.654186416,0.633389001,,
p16_straight_post_002,0.345451072,0.474399052,0.282865001,0.332176206,0.32223337,0.272993859,0.050657757,0.048330337,0.048130309,0.694588812,0.868084608,0.816035869,,
p16_straight_post_003,0.290816784,0.422035667,0.242271225,0.297063319,0.173245565,0.157954965,0.049655654,0.04777098,0.047620864,0.537778726,0.64044644,0.609646126,,
p16_straight_post_004,0.33851651,0.481074038,0.24919068,0.322844652,0.284741311,0.244675827,0.04928684,0.04944275,0.048164669,0.583623789,0.869259675,0.783568909,,
p16_straight_post_005,0.221790532,0.355643606,0.18389635,0.188909801,0.157964037,0.159781519,0.049365072,0.047749754,0.047619258,0.600615129,0.325069558,0.407733229,,
p16_straight_post_006,0.326025333,0.4184454,0.237854321,0.314400017,0.247362664,0.20011389,0.051205444,0.047867211,0.047621867,0.611552228,0.709557795,0.680156125,,
p16_straight_post_007,0.184180003,0.300045856,0.098758426,0.123607824,0.174895799,0.065243363,0.050922851,0.048022405,0.047619073,0.605908874,0.032659389,0.204634234,,
p16_straight_post_008,0.322122696,0.456211372,0.277026179,0.288699225,0.240873062,0.179339192,0.050081826,0.047832112,0.047772707,0.564511443,0.76682377,0.706130072,,
p16_straight_post_009,0.29077294,0.411073537,0.245478097,0.285002894,0.152636426,0.164056154,0.049302796,0.047704957,0.047622472,0.533815852,0.617705737,0.592538772,,
p16_straight_post_010,0.315302746,0.473711444,0.255957884,0.302627087,0.195160105,0.156919284,0.049319169,0.04815509,0.047709318,0.575214927,0.685465096,0.652390045,,
p16_straight_pre_001,0.325508727,0.41897229,0.24569647,0.300428117,0.200114059,0.163028042,0.048700133,0.04783655,0.047623517,0.502902612,0.729606348,0.661595227,,
p16_straight_pre_002,0.285054038,0.420217507,0.252435435,0.30282262,0.183581647,0.166195913,0.050171734,0.04788047,0.047695405,0.507653154,0.705562821,0.646189921,,
p16_straight_pre_003,0.320300813,0.422987783,0.247902142,0.299709437,0.179827507,0.177897523,0.050771145,0.04793568,0.047623619,0.540663524,0.686522783,0.642765005,,
