hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_hook_left_main_001,0.306442818,0.493849423,0.297102755,0.296484689,0.31588941,0.137426793,0.070842435,0.069206171,0.047707568,0.551337478,0.797374015,0.723563054,0.722181204,-0.010188476
p17_hook_left_main_002,0.295742175,0.474230903,0.306709151,0.291840155,0.319275596,0.140016036,0.070035501,0.074357293,0.047917786,0.539714072,0.800331259,0.722146103,0.70941958,
p17_hook_left_main_003,0.300997,0.47770722,0.303030569,0.304239027,0.316894988,0.141493554,0.070171753,0.072133302,0.047956335,0.53191625,0.820985391,0.734264649,0.719608057,
p17_hook_left_main_004,0.308646435,0.492409864,0.303036605,0.294841936,0.317653903,0.185183219,0.070065757,0.07603332,0.04776997,0.584103379,0.810469498,0.742559663,,
p17_hook_left_main_005,0.295810737,0.495919246,0.30929595,0.293956915,0.31179754,0.161123262,0.070531849,0.070301428,0.047718175,0.568437199,0.802854736,0.732529475,,
p17_hook_left_main_006,0.297924556,0.492381558,0.323461925,0.284747185,0.300866453,0.190123706,0.069060433,0.070291534,0.047997649,0.575986947,0.819223472,0.746252514,,
p17_hook_left_main_007,0.316404855,0.488632086,0.314081216,0.283614833,0.309137109,0.155393368,0.069830937,0.070636019,0.048021978,0.56838186,0.796153336,0.727821893,,
p17_hook_left_main_008,0.305311553,0.486705418,0.320408718,0.277284114,0.315262343,0.144744691,0.070511591,0.071058697,0.048258044,0.569024126,0.783896089,0.7194345,,
p17_hook_left_main_009,0.299550507,0.478611761,0.33003495,0.288836847,0.307563856,0.141944861,0.069130759,0.070742297,0.04768216,0.565637558,0.792782473,0.724638999,,
p17_hook_left_main_010,0.302324487,0.491850279,0.319638597,0.317820268,0.323510831,0.139102702,0.071142278,0.077784862,0.048353622,0.561337479,0.826757739,0.747131661,,
p17_hook_left_main_011,0.312873511,0.495460858,0.318078115,0.282370021,0.308331489,0.137117177,0.071068601,0.067115751,0.047978759,0.559120102,0.792231595,0.722298147,,
