jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_jap_main_001,0.351039765,0.485826941,0.295244657,0.286660425,0.227894212,0.186608517,0.047693237,0.049530236,0.047748924,0.519582603,0.841819855,0.745148679,0.717634014,0.010045026
p17_jap_main_002,0.329858073,0.4790803,0.288534456,0.270412589,0.215146302,0.180501435,0.04767858,0.0494048,0.047686143,0.499291323,0.806081018,0.71404411,0.708502268,
p17_jap_main_003,0.33259527,0.471987195,0.283803129,0.269896455,0.222531526,0.172011186,0.047666062,0.048770853,0.047640381,0.486708384,0.811786751,0.714263241,0.698457242,
p17_jap_main_004,0.326340338,0.470355362,0.275366888,0.267099109,0.211488123,0.174145588,0.047666902,0.049321855,0.04762463,0.486147331,0.787660183,0.697206327,,
p17_jap_main_005,0.347082922,0.478573372,0.285866301,0.279866958,0.227638964,0.165651425,0.047662717,0.049785598,0.047685293,0.480843645,0.837956371,0.730822553,,
p17_jap_main_006,0.337475842,0.480604482,0.300799386,0.287598017,0.223553246,0.174249165,0.047716959,0.053184006,0.047652686,0.524062599,0.813835237,0.726903446,,
p17_jap_main_007,0.323603606,0.473583535,0.271766664,0.261503551,0.209457016,0.164327558,0.047676067,0.050362648,0.047629542,0.478343631,0.773304963,0.684816563,,
p17_jap_main_008,0.340590428,0.470842974,0.281440038,0.267296354,0.21368204,0.163350287,0.047669214,0.049108982,0.047623285,0.493765744,0.785720815,0.698134294,,
p17_jap_main_009,0.346660888,0.480652897,0.286170752,0.273804996,0.216311564,0.161564287,0.047670007,0.05005529,0.047626041,0.502188401,0.796174827,0.707978899,,
p17_jap_main_010,0.349264182,0.477064274,0.286381506,0.276403452,0.226682456,0.163387097,0.047676089,0.051000433,0.047632987,0.493974467,0.817810931,0.720659992,,
p17_jap_main_011,0.318094501,0.457220182,0.301449031,0.285208393,0.230330088,0.171177961,0.0476813,0.049555602,0.04765935,0.502449327,0.82111665,0.725516454,,
p17_jap_main_012,0.339324357,0.459697587,0.306048864,0.283094404,0.236594469,0.149250131,0.047767913,0.049302212,0.047622887,0.497805519,0.824763657,0.726676215,,
p17_jap_main_013,0.329024267,0.447244352,0.305702323,0.300214422,0.231346533,0.150484814,0.051532072,0.054400615,0.0476411,0.506830561,0.807531665,0.717321334,,
p17_jap_main_014,0.344134396,0.456965527,0.304016642,0.295048713,0.192922756,0.156553401,0.050085308,0.052489081,0.047640935,0.520413182,0.77285786,0.697124456,,
p17_jap_main_015,0.340494424,0.470604629,0.314233366,0.301077891,0.203765695,0.139599434,0.050403687,0.05395652,0.047626369,0.509676039,0.796168914,0.710221052,,
p17_jap_main_016,0.338566496,0.454800518,0.306782709,0.300832213,0.199479992,0.157368162,0.050726315,0.05267097,0.047649616,0.521576432,0.782906057,0.70450717,,
p17_jap_main_017,0.324221601,0.455525422,0.27791216,0.268340685,0.175398447,0.165094458,0.049049785,0.049292938,0.047623708,0.495320097,0.729280005,0.659092033,,
p17_jap_main_018,0.343582807,0.48521621,0.296455657,0.271819479,0.215441814,0.196714666,0.047660716,0.049406986,0.047629733,0.527499229,0.815511128,0.729107558,,
p17_jap_main_019,0.338894616,0.48849849,0.303272325,0.286213912,0.226231937,0.187663037,0.047661221,0.049975977,0.047679219,0.533295694,0.831341855,0.741928007,,
p17_jap_main_020,0.330092888,0.481044988,0.30120171,0.267284778,0.222098504,0.185128261,0.047658576,0.049596861,0.047644592,0.514725008,0.814538875,0.724594715,,
p17_jap_main_021,0.340570726,0.502942872,0.308113564,0.274013269,0.228026398,0.185714676,0.047658654,0.049268485,0.047641891,0.525297351,0.839960391,0.745561479,,
p17_jap_main_022,0.329309655,0.493452427,0.30184223,0.266847342,0.224024176,0.183649884,0.047677086,0.049606853,0.047689145,0.510966119,0.82414545,0.730191651,,
p17_jap_main_023,0.321875707,0.486828997,0.300904443,0.292572162,0.213519663,0.189977808,0.047695717,0.050105841,0.047623626,0.542634161,0.805970984,0.726969937,,
p17_jap_main_024,0.313468721,0.485369104,0.301622807,0.268935452,0.217815658,0.175458478,0.047674226,0.050634899,0.047637207,0.504214574,0.806448696,0.715778459,,
p17_jap_main_025,0.323340848,0.472010434,0.285797137,0.256618103,0.212361392,0.190371245,0.047693042,0.049568373,0.047620209,0.49598294,0.794740178,0.705113007,,
p17_jap_main_026,0.326441646,0.492349931,0.296556849,0.262911117,0.224316364,0.19702822,0.047653451,0.049343499,0.047623372,0.511964588,0.825765239,0.731625044,,
p17_jap_main_027,0.331431361,0.470212308,0.297254174,0.27026429,0.217503223,0.187371665,0.047667932,0.050440691,0.047626044,0.520056091,0.799769875,0.71585574,,
p17_jap_main_028,0.331093045,0.490452026,0.298245835,0.272641006,0.210496154,0.186286266,0.047649515,0.049711977,0.047621811,0.524456712,0.801516143,0.718398314,,
p17_jap_main_029,0.334019324,0.454847262,0.295668354,0.268583875,0.213714822,0.181128558,0.04766315,0.049229786,0.047622079,0.496376,0.805222574,0.712568601,,
p17_jap_main_030,0.346279818,0.497111975,0.304317297,0.270650512,0.221429535,0.21531296,0.047663665,0.049519906,0.047619478,0.53794684,0.84215289,0.750891075,,
p17_jap_post_001,0.352535498,0.475707291,0.291947095,0.278356032,0.173930151,0.144913341,0.047742821,0.049320691,0.047623609,0.51410276,0.74058614,0.672641126,,
p17_jap_post_002,0.345827485,0.453858465,0.298187168,0.273482372,0.212852309,0.178835909,0.047658306,0.049846608,0.04763466,0.498904199,0.812728612,0.718581288,,
p17_jap_post_003,0.326706901,0.44669868,0.300419947,0.268322182,0.20566684,0.1852952,0.047673931,0.048936945,0.047620581,0.4928193,0.80274071,0.709764287,,
p17_jap_post_004,0.360136634,0.462342953,0.295460467,0.278522789,0.224974271,0.183268515,0.04768504,0.049645116,0.047691307,0.49570654,0.844348573,0.739755963,,
p17_jap_post_005,0.336432954,0.449264191,0.281452133,0.253773151,0.205047953,0.197423108,0.047681202,0.049517545,0.047619103,0.498956253,0.779421049,0.695281611,,
p17_jap_post_006,0.334930241,0.46018164,0.283771556,0.270706335,0.205465304,0.190635265,0.047873051,0.049307045,0.047619766,0.503213644,0.792539251,0.705741569,,
p17_jap_post_007,0.351752454,0.494850929,0.299943799,0.262497991,0.214061744,0.182986144,0.047678173,0.049089858,0.047619577,0.518121112,0.81360176,0.724957566,,
p17_jap_post_008,0.347174658,0.484625155,0.302617427,0.265767915,0.215333122,0.176925585,0.04771548,0.049569739,0.047623039,0.505469084,0.819585801,0.725350786,,
p17_jap_post_009,0.341536344,0.495103125,0.283610609,0.263083477,0.211343364,0.17614,0.047716549,0.04856229,0.047621535,0.506479789,0.795265864,0.708630042,,
p17_jap_post_010,0.321775508,0.457040628,0.280768959,0.257532668,0.201395351,0.180237791,0.047840186,0.048117205,0.047619139,0.491618005,0.766904343,0.684318441,,
p17_jap_pre_001,0.306362061,0.488260156,0.281753259,0.274579705,0.255091738,0.176934761,0.047686337,0.048663979,0.047619485,0.479836603,0.852046972,0.740383861,,
p17_jap_pre_002,0.299973694,0.481065115,0.259384694,0.253163535,0.257805822,0.169440666,0.047734065,0.049627874,0.047622061,0.446167339,0.828955247,0.714118875,,
p17_jap_pre_003,0.317428028,0.490127564,0.269402706,0.259213309,0.180338432,0.155470909,0.04975817,0.048792442,0.047620449,0.478282343,0.738955171,0.660753323,,
p17_jap_pre_004,0.324909565,0.468819276,0.259754851,0.242825652,0.247989433,0.177365214,0.049069821,0.049035629,0.04767563,0.432877309,0.837294494,0.715969339,,
p17_jap_pre_005,0.332769393,0.470116627,0.254589621,0.239000652,0.250918632,0.173437637,0.049529368,0.04859255,0.047632249,0.422186133,0.84260659,0.716480453,,
p17_jap_pre_006,0.301130846,0.474373895,0.257697911,0.244534618,0.181972521,0.141320378,0.048208189,0.049256554,0.047623146,0.432031858,0.732990755,0.642703085,,
p17_jap_pre_007,0.333198643,0.469344254,0.263783518,0.248075133,0.24666373,0.173589454,0.048737902,0.048552522,0.047655349,0.442242892,0.836983494,0.718561313,,
p17_jap_pre_008,0.293638512,0.472390963,0.269010627,0.252698734,0.187247783,0.141209486,0.048387361,0.049057962,0.047621054,0.43407504,0.749930232,0.655173675,,
p17_jap_pre_009,0.323020895,0.47050026,0.258268431,0.244042761,0.233293516,0.167305048,0.048080422,0.048520925,0.047639137,0.432138922,0.815744738,0.700662993,,
p17_jap_pre_010,0.328065414,0.469149886,0.261303981,0.241010257,0.250209515,0.178244724,0.049148214,0.048583879,0.047650927,0.430090152,0.84391208,0.719765501,,
AVG,0.332161565,0.474095753,0.288318,0.269498064,0.217456092,0.174162195,0.048146075,0.049784003,0.047638882,0.494394277,0.805220038,0.71197231,,
