uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_uppercut_right_main_001,0.296503265,0.432890809,0.252678513,0.252115272,0.18467721,0.176791601,0.047747891,0.047646183,0.047624051,0.484369486,0.691402583,0.629292654,0.715481107,
p17_uppercut_right_main_002,0.30591671,0.491946552,0.305688211,0.287018518,0.247803099,0.206700037,0.048131559,0.050336028,0.047668887,0.53266933,0.855285357,0.758500549,0.701333326,-0.002236552
p17_uppercut_right_main_003,0.304701933,0.497787349,0.315247748,0.292232507,0.232434894,0.196711173,0.048233179,0.050005266,0.047647807,0.540409266,0.839432294,0.749725385,0.703569879,
p17_uppercut_right_main_004,0.281829129,0.394994714,0.221664556,0.282377354,0.20740084,0.164636978,0.047978854,0.047646239,0.047620547,0.475407309,0.684801811,0.621983461,,
p17_uppercut_right_main_005,0.332839743,0.488964507,0.329202815,0.300579999,0.255288069,0.18500928,0.048520718,0.049264801,0.047658786,0.57570873,0.846494655,0.765258878,,
p17_uppercut_right_main_006,0.30321757,0.494798679,0.321376022,0.301100954,0.249825233,0.179532326,0.048296674,0.049722352,0.047667946,0.547805549,0.844603297,0.755563972,,
p17_uppercut_right_main_007,0.293019745,0.496633895,0.292647384,0.283556011,0.242657215,0.198153412,0.047924604,0.049354432,0.047662672,0.505900785,0.848514782,0.745730583,,
p17_uppercut_right_main_008,0.289348928,0.495089832,0.29789785,0.304089319,0.23293423,0.183240815,0.04819067,0.049713332,0.047729387,0.50990704,0.842999063,0.743071456,,
p17_uppercut_right_main_009,0.30510125,0.468152167,0.329347991,0.30845788,0.23929384,0.176766961,0.048950103,0.049433042,0.047676382,0.542513621,0.836816968,0.748525964,,
p17_uppercut_right_main_010,0.310929808,0.475374852,0.334107747,0.302238367,0.233835736,0.180197954,0.048365279,0.050175695,0.047669739,0.538733521,0.844924346,0.753067098,,
p17_uppercut_right_main_011,0.258654546,0.481761707,0.29936282,0.297204991,0.22636621,0.185621402,0.048175199,0.050137509,0.047703768,0.472383773,0.847570017,0.735014144,,
p17_uppercut_right_main_012,0.28910343,0.482696432,0.322747391,0.299768128,0.247691485,0.212056615,0.048431345,0.05256254,0.047669047,0.547914426,0.857946753,0.764937055,,
p17_uppercut_right_main_013,0.272951912,0.464597573,0.296698273,0.290673694,0.211559544,0.205996586,0.048083049,0.048644188,0.047640574,0.494793653,0.823617588,0.724970407,,
p17_uppercut_right_main_014,0.293140373,0.488306114,0.307067159,0.29255072,0.245715492,0.200948247,0.04830153,0.050165746,0.047645116,0.534090529,0.844454469,0.751345287,,
p17_uppercut_right_main_015,0.274288572,0.463563253,0.300003412,0.294485603,0.215747542,0.202018236,0.048324031,0.048880585,0.047688997,0.487964247,0.83433696,0.730425146,,
p17_uppercut_right_main_016,0.278257433,0.457352231,0.294623603,0.306513695,0.220613263,0.188527669,0.048466058,0.049517722,0.04771623,0.476891099,0.840288065,0.731268975,,
p17_uppercut_right_main_017,0.287474493,0.493072244,0.319383603,0.299837312,0.219869961,0.192315577,0.048776412,0.049522764,0.047650503,0.524703196,0.83849296,0.744356031,,
p17_uppercut_right_main_018,0.277293577,0.46724377,0.290902865,0.285828727,0.224312054,0.186575177,0.048174506,0.049064423,0.047668332,0.467923525,0.834062762,0.724220991,,
p17_uppercut_right_main_019,0.299898155,0.46328278,0.295732581,0.293722821,0.218971983,0.187410864,0.048310064,0.049886108,0.04768919,0.470879976,0.84713124,0.734255861,,
p17_uppercut_right_main_020,0.288504704,0.476864217,0.290597027,0.297300988,0.227270181,0.190657868,0.048147805,0.04992947,0.047630063,0.499759809,0.831526661,0.731996606,,
p17_uppercut_right_main_021,0.257659326,0.424832467,0.247280254,0.276701247,0.202080098,0.198562577,0.047818699,0.047640875,0.047620714,0.473295362,0.739543094,0.659668774,,
p17_uppercut_right_main_022,0.294121788,0.446531314,0.285282178,0.290641544,0.228473396,0.187877209,0.047864005,0.049457611,0.047723143,0.469869544,0.835195356,0.725597612,,
p17_uppercut_right_main_023,0.252790064,0.42523371,0.233822153,0.261112386,0.195952342,0.19840847,0.047815182,0.047651969,0.047620084,0.44730023,0.724488309,0.641331885,,
p17_uppercut_right_main_024,0.324278068,0.481879172,0.291137121,0.30345478,0.224595763,0.18897391,0.048586862,0.050466599,0.047656584,0.522978685,0.8301078,0.737969065,,
p17_uppercut_right_main_025,0.314566809,0.477177995,0.30749331,0.296451929,0.222633303,0.183088467,0.048093072,0.05026329,0.047652816,0.509479143,0.837701551,0.739234829,,
p17_uppercut_right_main_026,0.272176616,0.432097843,0.244913325,0.276920451,0.205506489,0.201803685,0.04768744,0.047646502,0.047620445,0.466780752,0.756939612,0.669891954,,
p17_uppercut_right_main_027,0.257333932,0.423254814,0.223711274,0.27137111,0.187185283,0.182012257,0.047974713,0.047662797,0.047620106,0.45989187,0.691421492,0.621962606,,
p17_uppercut_right_main_028,0.28062571,0.453663496,0.258252514,0.276166292,0.194765124,0.212313028,0.047778836,0.047661743,0.047625131,0.509981426,0.745936586,0.675150038,,
p17_uppercut_right_main_029,0.29211249,0.487086529,0.291547569,0.293190438,0.249422613,0.21093652,0.047893848,0.04947453,0.04764855,0.533087118,0.845371447,0.751686148,,
p17_uppercut_right_main_030,0.280418892,0.418833112,0.234127746,0.255053165,0.163704284,0.163109775,0.047715294,0.047641583,0.047620064,0.455749749,0.659578391,0.598429798,,
p17_uppercut_right_post_001,0.297997462,0.442309579,0.236365661,0.247959598,0.175577661,0.165327756,0.047801273,0.047643538,0.047624267,0.457663969,0.686671293,0.617969096,,
p17_uppercut_right_post_002,0.309765285,0.478643532,0.282004747,0.280782537,0.229115408,0.212838628,0.047959892,0.049126365,0.047651307,0.500772462,0.842745221,0.740153393,,
p17_uppercut_right_post_003,0.253147886,0.417161807,0.231417353,0.25755173,0.194742562,0.209905833,0.047934025,0.047656912,0.047621249,0.451767813,0.72409765,0.642398699,,
p17_uppercut_right_post_004,0.285848548,0.439296953,0.245626472,0.280659943,0.193761224,0.206718039,0.047807753,0.047647428,0.047620348,0.493412951,0.735388843,0.662796076,,
p17_uppercut_right_post_005,0.317337475,0.458965596,0.283442449,0.288717222,0.216213523,0.190127268,0.048235178,0.047763264,0.047654306,0.47861976,0.833550521,0.727071293,,
p17_uppercut_right_post_006,0.293408831,0.419621998,0.250674483,0.264703019,0.208042197,0.196141115,0.04788134,0.047648465,0.047620078,0.480187028,0.733827134,0.657735102,,
p17_uppercut_right_post_007,0.305589473,0.460124455,0.281269112,0.260669171,0.23157278,0.197312311,0.048005192,0.047667047,0.047637634,0.472188485,0.828177174,0.721380567,,
p17_uppercut_right_post_008,0.323486458,0.482746214,0.284172615,0.309702136,0.229948769,0.190618294,0.048422362,0.04893661,0.047692008,0.510380815,0.849895625,0.748041182,,
p17_uppercut_right_post_009,0.330869314,0.485631247,0.281156292,0.304978939,0.235052796,0.181280866,0.048507768,0.04880592,0.047716968,0.505516896,0.846372048,0.744115502,,
p17_uppercut_right_post_010,0.337514271,0.478372302,0.305274867,0.301027382,0.236390698,0.182444779,0.048422215,0.049423309,0.047674452,0.525198794,0.848732452,0.751672355,,
p17_uppercut_right_pre_001,0.218637493,0.405117759,0.251675786,0.257806544,0.185974652,0.130775305,0.049019643,0.047680913,0.047632831,0.455559928,0.624656727,0.573927687,,
p17_uppercut_right_pre_002,0.329798209,0.47617278,0.285591286,0.272527737,0.25170076,0.196594538,0.048923962,0.050661089,0.047688281,0.504521295,0.84610573,0.743630399,,
p17_uppercut_right_pre_003,0.309053345,0.462378457,0.3044227,0.285716049,0.246998041,0.179914674,0.048770601,0.050767103,0.047768849,0.492577799,0.85155739,0.743863513,,
p17_uppercut_right_pre_004,0.275496264,0.472179999,0.292069419,0.278606957,0.245591776,0.166599161,0.048229489,0.048942502,0.047653999,0.473412051,0.827143134,0.721023809,,
p17_uppercut_right_pre_005,0.260488724,0.430755883,0.240189729,0.267328071,0.211115352,0.197517146,0.079798422,0.052950793,0.047622529,0.472195089,0.696721453,0.629363544,,
p17_uppercut_right_pre_006,0.307025642,0.467848219,0.291656069,0.281074385,0.242643867,0.168337873,0.048154368,0.049445127,0.047682093,0.476695016,0.839108448,0.730384418,,
p17_uppercut_right_pre_007,0.269755418,0.407845408,0.225976665,0.27056903,0.206995389,0.181336521,0.048024339,0.047643841,0.047631902,0.440562318,0.717479743,0.634404515,,
p17_uppercut_right_pre_008,0.344097237,0.484841152,0.323249514,0.29055196,0.24957938,0.171316229,0.048401283,0.049322813,0.047682218,0.542241325,0.848717763,0.756774831,,
p17_uppercut_right_pre_009,0.347173544,0.476606333,0.305871453,0.290491655,0.234359512,0.191538609,0.04806081,0.048969922,0.047644373,0.537332788,0.839431894,0.748802162,,
p17_uppercut_right_pre_010,0.342583294,0.478129985,0.311229943,0.288937318,0.249283538,0.183498793,0.048287873,0.049065256,0.047668426,0.541466924,0.844405476,0.75352391,,
AVG,0.294562663,0.461414276,0.282957633,0.285061552,0.222664933,0.188541968,0.048828105,0.049098883,0.047658476,0.497828325,0.80131544,0.710269305,,
