Column,pre,main,post
LShoulder,0.2643463253090844,0.27010275450288534,0.26756569473206543
LUArm,0.1252547370119661,0.12214048034416435,0.12437227156909711
LFArm,0.17179831625226466,0.18472478317967694,0.17220896553945506
LHand,0.0973783913795909,0.10419941505867078,0.0993625219869782
RShoulder,0.28245758031855905,0.2791415706018619,0.278140401127434
RUArm,0.1352251277342458,0.14004932832375777,0.13522667437304525
RFArm,0.18888084942283476,0.19454111956058076,0.1799341845885195
RHand,0.11622938319431438,0.12361106374194335,0.11338818487347808
LThigh,0.16740764029183716,0.1681256365149046,0.16822604878608574
LShin,0.2634230320002086,0.2714591067219899,0.2644567255014463
LFoot,0.25304710070600966,0.267415387890111,0.265488033952382
LToe,0.15163068141953917,0.15772012041144962,0.15831936510963604
RThigh,0.16626052052040158,0.16658927194737694,0.16664244863592423
RShin,0.239343961645442,0.2546353686955346,0.2486065167677109
RFoot,0.278026092241242,0.28062273775793595,0.28248028044857426
RToe,0.15320957851919587,0.15144784063065844,0.1533700819771941
Hip,0.9071001985640575,0.9060154176467511,0.9076282452588391
Ab,0.30473707043484954,0.30316331962364595,0.304921128408001
Chest,0.3044523338918149,0.30249406485397906,0.3041405337402176
Neck,0.27991269508559435,0.2813460892945692,0.28086423708580427
Head,0.27568824711005774,0.2781424372286124,0.27727852224996075
Acceleration,0.05242160263463723,0.05226574122009174,0.05234920547240752
Velocity,0.04992995547193788,0.050343337390758996,0.05017840125908482
Position,0.04792519746049992,0.04799335670181431,0.0479449263283649
Joint Angle,0.5042246545566086,0.5271280624860879,0.5127899179279232
rotation,0.7371619989814255,0.7450993311252936,0.738084010771198
Overall,0.3925435982209628,0.396546343913554,0.3930144685497814
