File,Column,Pre_Avg,Main_Avg,Post_Avg
hook_left_p02_Global_hook_left_001_similarity_matrix,LShoulder,0.20594691,0.224787647,0.219923955
hook_left_p02_Global_hook_left_001_similarity_matrix,LUArm,0.090179567,0.003664866,0.003752226
hook_left_p02_Global_hook_left_001_similarity_matrix,LFArm,0.169222406,0.089187399,0.082408506
hook_left_p02_Global_hook_left_001_similarity_matrix,LHand,0.105711576,0.095046533,0.075177134
hook_left_p02_Global_hook_left_001_similarity_matrix,RShoulder,0.304230045,0.300532239,0.279856095
hook_left_p02_Global_hook_left_001_similarity_matrix,RUArm,0.13627391,0.130120995,0.118715453
hook_left_p02_Global_hook_left_001_similarity_matrix,RFArm,0.250487443,0.244405246,0.229349277
hook_left_p02_Global_hook_left_001_similarity_matrix,RHand,0.145085068,0.15887473,0.142042402
hook_left_p02_Global_hook_left_001_similarity_matrix,LThigh,0.147512536,0.146085153,0.131197989
hook_left_p02_Global_hook_left_001_similarity_matrix,LShin,0.262451927,0.287699948,0.271995257
hook_left_p02_Global_hook_left_001_similarity_matrix,LFoot,0.213638081,0.223445443,0.214629906
hook_left_p02_Global_hook_left_001_similarity_matrix,LToe,0.097871413,0.112983285,0.100546102
hook_left_p02_Global_hook_left_001_similarity_matrix,RThigh,0.14863442,0.144225124,0.128355307
hook_left_p02_Global_hook_left_001_similarity_matrix,RShin,0.255798261,0.240343874,0.235936139
hook_left_p02_Global_hook_left_001_similarity_matrix,RFoot,0.198909143,0.236772926,0.174030961
hook_left_p02_Global_hook_left_001_similarity_matrix,RToe,0.096665752,0.093182114,0.068292147
hook_left_p02_Global_hook_left_001_similarity_matrix,Hip,0.876913237,0.872606406,0.864691904
hook_left_p02_Global_hook_left_001_similarity_matrix,Ab,0.281759403,0.279819354,0.271339154
hook_left_p02_Global_hook_left_001_similarity_matrix,Chest,0.294936907,0.285903859,0.275148097
hook_left_p02_Global_hook_left_001_similarity_matrix,Neck,0.211049182,0.206525013,0.171366942
hook_left_p02_Global_hook_left_001_similarity_matrix,Head,0.183688977,0.174500667,0.135704701
hook_left_p02_Global_hook_left_001_similarity_matrix,Acceleration,0.056336765,0.050457229,0.050074154
hook_left_p02_Global_hook_left_001_similarity_matrix,Velocity,0.049663873,0.048790637,0.048277794
hook_left_p02_Global_hook_left_001_similarity_matrix,Position,0.047631403,0.047644935,0.047635074
