Column,pre,main,post
LShoulder,0.3628372138145321,0.3404252050441935,0.3503326773378642
LUArm,0.16823196289976197,0.17462907342690964,0.1771565563154525
LFArm,0.2525298968911618,0.3158475185516184,0.3334565030874676
LHand,0.04267940603887823,0.13093345834085746,0.13762066787411706
RShoulder,0.32351206945935335,0.3371051638538158,0.37242780449257584
RUArm,0.16876269178715547,0.17116584753752276,0.17778465350417277
RFArm,0.27866824463781237,0.26323385612452316,0.33540678566115867
RHand,0.1513269821529861,0.14285128264832028,0.16556187941853434
LThigh,0.19829663641597198,0.18915758963337262,0.19372003652993625
LShin,0.34543336202943403,0.3226880896220292,0.3084597711398664
LFoot,0.3089840771209297,0.29003881999512654,0.28167116786986646
LToe,0.1865155733717087,0.1613025482840816,0.16133873874175014
RThigh,0.18713947447406945,0.1798920348035981,0.18799281740063548
RShin,0.2814150123738675,0.2908948883406054,0.24609256537464338
RFoot,0.28791209363908876,0.3095854419083524,0.3350397622978778
RToe,0.15253227591556587,0.16988223384282228,0.17153014676185968
Hip,0.933296838798932,0.9194987780128937,0.944837785228601
Ab,0.326782679241754,0.3181481064106607,0.3437280083445498
Chest,0.3301777248647907,0.3211423668415154,0.34581454600494854
Neck,0.3042653053227771,0.3103624646120428,0.3169832890774585
Head,0.29251264712722147,0.292846695932764,0.29839067826661225
Acceleration,0.06193073047650216,0.05852901755892599,0.055520910665627796
Velocity,0.05339147864685434,0.05462735274797554,0.05295322034341009
Position,0.048373979863718164,0.04856838312507941,0.04854955562754265
Joint Angle,0.6373583010360976,0.6533613045702567,0.6824528553534697
rotation,0.8442364103998988,0.8535908996495877,0.891693341526179
Overall,0.4463051951318085,0.4510796413873335,0.4701214485768608
