Column,pre,main,post
LShoulder,0.24225290061210408,0.24535632998509133,0.2602211646093413
LUArm,0.17567516995360802,0.18230674864030594,0.17980312117358416
LFArm,0.16410594051201738,0.2625289449995351,0.22266224931182615
LHand,0.10428805274567503,0.16123153020753603,0.17308214048962162
RShoulder,0.268283320662963,0.2920930775330738,0.2762968665446893
RUArm,0.09580094463664451,0.13521286532091323,0.12431589693182232
RFArm,0.17008101826712435,0.2156266636543177,0.18989522743519255
RHand,0.09577816215769189,0.1379532374909206,0.1305382675572922
LThigh,0.14442643086479715,0.1698874648268386,0.1683754230109464
LShin,0.25229893207312537,0.2977432714063782,0.3202390422829554
LFoot,0.18041191758029132,0.20072598552978704,0.22954885440351372
LToe,0.13018436975985398,0.14595533309084152,0.1410874931231862
RThigh,0.15972772286256093,0.1780656664160495,0.17482929900285868
RShin,0.22985949973507522,0.28097264901100316,0.3005045940367691
RFoot,0.3226381573635407,0.34414154845592493,0.32908353927348327
RToe,0.1870137018512747,0.19325227735537326,0.18555592908485627
Hip,0.9374181959288602,0.9607707036047066,0.9534165681420645
Ab,0.33945946972845675,0.3620586951277758,0.3560756298196311
Chest,0.341185088866685,0.3620057379189367,0.35499286843309547
Neck,0.17093846566672882,0.20563111932034034,0.21042722905074068
Head,0.18372436950784926,0.20763557740364372,0.20840916521872624
Acceleration,0.047836949543470744,0.04784056955013432,0.04793292080974139
Velocity,0.048095037287440676,0.04816956430195851,0.04904221953961181
Position,0.04762154834641312,0.047621542305392096,0.0476359146476381
Joint Angle,0.3923993980418666,0.500344452395578,0.5161957700130116
rotation,0.7375135209572343,0.8351638258169278,0.8138759312897308
Overall,0.3925675346518237,0.44139268406115995,0.4307559229686845
