Column,pre,main,post
LShoulder,0.2818240742589168,0.3239823848565082,0.32351583103222314
LUArm,0.17120143756782247,0.15733002280638403,0.1709132846908036
LFArm,0.31111750005722183,0.28786436685065886,0.30434439633738586
LHand,0.1119377623314833,0.13493278278826001,0.12166608777255913
RShoulder,0.30720842632354944,0.3391932868353999,0.3315017678122584
RUArm,0.1603828941051724,0.16468164652060216,0.16590039206015333
RFArm,0.3207064453403079,0.25711318116191983,0.27283258918927683
RHand,0.14390933508232884,0.13174700440148934,0.1462443269413538
LThigh,0.1817297124156688,0.18119489726597252,0.18289603568075785
LShin,0.2816733124348204,0.26307273961691685,0.253093717585488
LFoot,0.309546664680028,0.250317661026863,0.25058098258338307
LToe,0.16024379741001343,0.14484667335640652,0.14446062385267408
RThigh,0.1798919217823378,0.17883289730986643,0.187265111836665
RShin,0.22232392017971794,0.23680212939670858,0.25327361303471163
RFoot,0.3325745271714939,0.29658501563764206,0.33691633191300274
RToe,0.1779048772540434,0.15659983202484193,0.17820431366527295
Hip,0.9272360216557989,0.9174206120203249,0.9404494093237084
Ab,0.32631199859351484,0.31859497786121466,0.3411401668105775
Chest,0.3274955147882296,0.3176365936998418,0.33962352459584205
Neck,0.30847046685464996,0.31453520137109653,0.3423321710124608
Head,0.2981585336432871,0.3045902646680815,0.3326245904368158
Acceleration,0.05753480575594101,0.05576887567582701,0.05901797165370579
Velocity,0.05094491870656098,0.05097013407778037,0.051511180809285774
Position,0.04813926217641526,0.048448372489746136,0.04828605993549549
Joint Angle,0.6085984713704309,0.5766259017503644,0.5952926113020595
rotation,0.8471874974147278,0.8305830713279964,0.8623055454869452
Overall,0.4476633797955715,0.43951572190887134,0.4552958027112203
