Column,pre,main,post
LShoulder,0.2728729688980086,0.2977792572461594,0.307147048759569
LUArm,0.16716769872502774,0.16450422115894792,0.17161832611904587
LFArm,0.254180009931938,0.2544988800052091,0.24511152203973316
LHand,0.10783486950081307,0.11135153835903,0.12049000407639324
RShoulder,0.27908261004163537,0.28643548005274044,0.29009409461068086
RUArm,0.15862860542333307,0.1518017939195227,0.16270048297037115
RFArm,0.265011094831964,0.26616778366463806,0.2808945544151381
RHand,0.15316300132664237,0.14185070911159425,0.14312221694508667
LThigh,0.18120471806807328,0.18048867987486664,0.18258803632623366
LShin,0.26473962309433946,0.27106725018991135,0.28544096840979244
LFoot,0.2837374011748984,0.28989222871186315,0.282246482824832
LToe,0.1423370264721167,0.14792500352418742,0.15393907998202366
RThigh,0.18075550853258668,0.18045683352695355,0.17943980717093344
RShin,0.21814295008959678,0.2544493259845524,0.2584987618655028
RFoot,0.3521396551395465,0.32741376973677755,0.32414267983375894
RToe,0.18724216908992578,0.18492219849126196,0.18613443270575125
Hip,0.9347652865316659,0.9237968088430857,0.9233476252416659
Ab,0.3319583908435688,0.3209400250322279,0.3233648389746915
Chest,0.3216276523066234,0.3115541847627338,0.3144973265618005
Neck,0.32841726402029614,0.33383102447432983,0.3408059422189188
Head,0.3223607517799275,0.3363313804463861,0.3441276533053602
Acceleration,0.05088732453546748,0.048898448824195015,0.048668222311423495
Velocity,0.04842800684855651,0.04851090960004569,0.04835090244560001
Position,0.04763891448675842,0.04765262451478127,0.04766972483274405
Joint Angle,0.5934446080575629,0.6185873192001756,0.6313099990831399
rotation,0.8196681951247833,0.819772107819142,0.8307007969484752
Overall,0.43365355480577084,0.4337123661669617,0.4391852608906097
