Column,pre,main,post
LShoulder,0.2740854786122392,0.2766288433717404,0.2529075145170599
LUArm,0.08811700992332076,0.11317190834101233,0.11851810989319397
LFArm,0.15437079907959778,0.17171961733943644,0.14616849522377154
LHand,0.07419741553755209,0.1082351639547158,0.07129466953332811
RShoulder,0.2449596837420974,0.26209321962096976,0.2649240543792386
RUArm,0.15142504287563352,0.14720758656173602,0.13365511502472927
RFArm,0.20708539702386292,0.20979830893515858,0.20256142463777174
RHand,0.13847388349369907,0.1381537556002085,0.12289788270536754
LThigh,0.17668076685273726,0.1702661206329388,0.16081540852217227
LShin,0.27522977348941674,0.26590239817588174,0.24526414513063055
LFoot,0.3144211927078501,0.31544830473927277,0.2807623633237487
LToe,0.17583170911793863,0.16112568168001645,0.1473089740517323
RThigh,0.16342326445049174,0.16681996276972774,0.1601855702255042
RShin,0.24342515866069658,0.27526864171187004,0.27252197512244536
RFoot,0.1869739551683926,0.20271185628860336,0.24093972072275088
RToe,0.11823475647845297,0.1418801206999265,0.13740079227317464
Hip,0.9123268180324573,0.9040013559687238,0.8898375987242462
Ab,0.308069236002647,0.30174848480856775,0.2805315441765458
Chest,0.3058747916558129,0.30109421654619745,0.281434737673511
Neck,0.34696515388172233,0.3402078488351307,0.32617820238854084
Head,0.35067967556827073,0.33759528803511274,0.3210084963598041
Acceleration,0.05072930517228087,0.050998545555696835,0.04989366458296949
Velocity,0.04924535087221111,0.049279131833920325,0.04858149288994518
Position,0.04792793594820837,0.048500939830470886,0.04826259557628697
Joint Angle,0.508972891752725,0.5295388485062278,0.530732410865334
rotation,0.7448055280698755,0.7578275232235071,0.7042596336830105
Overall,0.39636673200904204,0.403164231526989,0.37626111462964873
