uppercut_right|p25_Global|uppercut_right_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p25_uppercut_right_post_001,0.27965171008205764,0.12530513142890648,0.22988904687270928,0.12271339692596281,0.30533842778493697,0.1504418657410593,0.15305577199187254,0.09693649363884706,0.18606490195104025,0.2075805586061374,0.3122740109367763,0.18758437430834599,0.1891251518538682,0.2356757690357319,0.3483064273459949,0.18871904864137368,0.9679501626946061,0.36914532618422,0.3724806584545147,0.28103661709479927,0.26425324265385497,0.06252762221524938,0.05478319933012991,0.04784972528168668,0.4800897688793486,0.8287102181807727,0.4382799717312297
p25_uppercut_right_post_002,0.26469441466776794,0.13895627374123493,0.3239425460588745,0.18029731212086483,0.32267538420589575,0.15600251217636824,0.17485620971253665,0.1448170390088354,0.1849125343681633,0.20500509226360997,0.3417640560381316,0.18993712136949972,0.1880341307432843,0.23253470436392107,0.36929045473185085,0.18897992539736347,0.9605629357227734,0.36151667414106503,0.36219323744800447,0.292418627336679,0.278765774594978,0.05779295767639857,0.05632994364688,0.04783131993012631,0.5150574232795174,0.8843417711464642,0.46608654553829526
p25_uppercut_right_post_003,0.23127199375369897,0.1300927715563703,0.2479916099039116,0.13952967800906138,0.3468140766133323,0.17431131240506986,0.16322089892659503,0.12127943457229888,0.18734280309677373,0.2219529253926082,0.3076491926202767,0.18183797221446954,0.18943168560359414,0.2582577136217452,0.3627965882357388,0.18145766402632207,0.9701504232559511,0.37396445330755346,0.3719956891268035,0.3184506422984658,0.3090568550070614,0.05692249147860187,0.052864048120929506,0.047853841885748045,0.5358181244089061,0.851233894910022,0.449543868397885
p25_uppercut_right_post_004,0.22600420479168432,0.10056752214810875,0.1801198657393332,0.09837678577418174,0.27796997630416154,0.14362404500741574,0.11638636063097194,0.06927221916477463,0.18631366279575315,0.22381427161477646,0.32305649557359234,0.19105437622890206,0.18602095290987064,0.2728514166960774,0.3444810711534008,0.16034989383322235,0.963664690542376,0.3667255773086492,0.36092253325467005,0.2973487055527656,0.2786918820427172,0.055952116644857317,0.05031109625006446,0.04765991227757817,0.5084201219729096,0.7735264681433598,0.410593190210469
p25_uppercut_right_post_005,0.2626333859802417,0.15463451263647113,0.26315641583637817,0.16399895800300318,0.32499066019536704,0.17025845134428313,0.17473637480193802,0.12044236719379793,0.18099091931974798,0.21351293384821246,0.3106423275121205,0.17259157493848928,0.17639862731696385,0.2369482591523361,0.29039780229115947,0.16592274142975202,0.9553510806080874,0.35592652574096845,0.3519382799310132,0.28177716006008807,0.27568603011186055,0.06298549763513353,0.05400257097119223,0.047639441066196234,0.5047767902041331,0.821378389595337,0.43450891533076663
p25_uppercut_right_post_006,0.22985429921695463,0.12720166342416156,0.25102375296497736,0.15772356941352936,0.3080501015472514,0.1725278407869259,0.197324830790475,0.1361236621679386,0.18953115848278504,0.24606105968909797,0.3147188022214673,0.19588044075475503,0.1874396373714332,0.2819874211946252,0.30304705974371204,0.16735444178795186,0.9649307528196468,0.3696875462408978,0.3656914256326978,0.3390603524041811,0.32535884894679334,0.06518198201416354,0.050957377052728084,0.04776000442628165,0.5245266782692518,0.8568641328388118,0.45231206863254675
p25_uppercut_right_post_007,0.22240624592583663,0.11780874880409405,0.24207964068816407,0.14505786796473366,0.32261656184817555,0.17130138810507248,0.1824111788588544,0.13352195614260512,0.18413362415638818,0.2357924488011586,0.3090075693789682,0.19173447907631785,0.18094808221035183,0.26629118186173456,0.2980335141362612,0.15827937651849694,0.9651424132475629,0.3642572434910612,0.3631196612071813,0.3532532433084626,0.3353947943569412,0.055533075182481885,0.04995906790119003,0.04781207861223399,0.5216556530715402,0.8440364286407556,0.4459242536264948
p25_uppercut_right_post_008,0.25726575906660637,0.13628740070573372,0.271105817841654,0.1475733385326436,0.34161746490814815,0.17396872955681314,0.15572376608141475,0.11598168263393316,0.18646279445727496,0.21422328364541135,0.33036306736312826,0.18890991712106883,0.1818440955497836,0.22750343566551806,0.3244131428289886,0.17424502266540562,0.9599257438101425,0.3603469398891009,0.36472075253389735,0.30971753824931575,0.2995568411298704,0.05966508654255444,0.059115506770647155,0.04768313465425433,0.5074814341582597,0.8454644119494432,0.4465737733018488
p25_uppercut_right_post_009,0.25502650295994467,0.10871805117631447,0.153812663323536,0.06773846090804302,0.30623487281165107,0.11106863473036206,0.06932110333843924,0.03903486158819423,0.18869845698517088,0.20924377144875322,0.34056672145156874,0.19114168970341788,0.1644109761085492,0.2247159361223754,0.3052931540593506,0.15873959679759875,0.9554006031669185,0.36221860380184917,0.3563959857614611,0.31238226065635716,0.29059617834632534,0.059892946744749063,0.04851715101582964,0.047650919047613136,0.4924205580687994,0.7348010435999137,0.3912259813237634
p25_uppercut_right_post_010,0.2568488670568422,0.11393294191980027,0.2518194082249129,0.138881875976832,0.30327214498606836,0.15346912601353685,0.15209645066012337,0.10229315761019679,0.19486544072181444,0.21843788393017366,0.34521933211381445,0.1943549826904463,0.18764145067438504,0.23581922573347164,0.3491363040429346,0.1790035325541142,0.9517898248408253,0.35797067688954576,0.34923065671179765,0.3033658348987696,0.29222310140590196,0.06125852416688916,0.05682198718693778,0.04767403240436048,0.49097237459140297,0.8396058129042933,0.4436399226543269
