subject_id,motion,record_id,feature,condition,value
p02,Global,hook_left_p02_Global_002_similarity_matrix,Acceleration,Pre,0.07182468746246132
p02,Global,hook_right_p02_Global_001_similarity_matrix,Acceleration,Pre,0.056613127354613026
p02,Global,jap_p02_Global_similarity_matrix,Acceleration,Pre,0.04825346646730448
p02,Global,straight_p02_Global_003_similarity_matrix,Acceleration,Pre,0.049147965375369404
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Acceleration,Pre,0.049043608483657644
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Acceleration,Pre,0.05247178861787914
p02,Global,hook_left_p02_Global_002_similarity_matrix,Acceleration,Main,0.0665604446697527
p02,Global,hook_right_p02_Global_001_similarity_matrix,Acceleration,Main,0.05624156137676253
p02,Global,jap_p02_Global_similarity_matrix,Acceleration,Main,0.04811901643508205
p02,Global,straight_p02_Global_003_similarity_matrix,Acceleration,Main,0.048802490107362116
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Acceleration,Main,0.052210451807957754
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Acceleration,Main,0.05276844249250938
p02,Global,hook_left_p02_Global_002_similarity_matrix,Acceleration,Post,0.06595787330807859
p02,Global,hook_right_p02_Global_001_similarity_matrix,Acceleration,Post,0.056480069777381195
p02,Global,jap_p02_Global_similarity_matrix,Acceleration,Post,0.04864410175872118
p02,Global,straight_p02_Global_003_similarity_matrix,Acceleration,Post,0.048782781992426735
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Acceleration,Post,0.052950780677401055
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Acceleration,Post,0.0534863184059741
p02,Global,hook_left_p02_Global_002_similarity_matrix,Core,Pre,0.38399364504051914
p02,Global,hook_right_p02_Global_001_similarity_matrix,Core,Pre,0.28262514902936736
p02,Global,jap_p02_Global_similarity_matrix,Core,Pre,0.3532378942794927
p02,Global,straight_p02_Global_003_similarity_matrix,Core,Pre,0.2719146520395277
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Core,Pre,0.4484820458603533
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Core,Pre,0.39898316037449677
p02,Global,hook_left_p02_Global_002_similarity_matrix,Core,Main,0.40145928422705157
p02,Global,hook_right_p02_Global_001_similarity_matrix,Core,Main,0.31422135406221813
p02,Global,jap_p02_Global_similarity_matrix,Core,Main,0.327307634613196
p02,Global,straight_p02_Global_003_similarity_matrix,Core,Main,0.30491618255341424
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Core,Main,0.4106829470991723
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Core,Main,0.3412926097633188
p02,Global,hook_left_p02_Global_002_similarity_matrix,Core,Post,0.39011163872464893
p02,Global,hook_right_p02_Global_001_similarity_matrix,Core,Post,0.3317719967862762
p02,Global,jap_p02_Global_similarity_matrix,Core,Post,0.3434737142578866
p02,Global,straight_p02_Global_003_similarity_matrix,Core,Post,0.31800925823610016
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Core,Post,0.4066930193487107
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Core,Post,0.2767103901871114
p02,Global,hook_left_p02_Global_002_similarity_matrix,Head,Pre,0.20671050020597298
p02,Global,hook_right_p02_Global_001_similarity_matrix,Head,Pre,0.12010645424876272
p02,Global,jap_p02_Global_similarity_matrix,Head,Pre,0.18898678767608967
p02,Global,straight_p02_Global_003_similarity_matrix,Head,Pre,0.2118501745551972
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Head,Pre,0.20305429483736667
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Head,Pre,0.1534622034935444
p02,Global,hook_left_p02_Global_002_similarity_matrix,Head,Main,0.199031983921692
p02,Global,hook_right_p02_Global_001_similarity_matrix,Head,Main,0.16582158391557186
p02,Global,jap_p02_Global_similarity_matrix,Head,Main,0.18257410074652972
p02,Global,straight_p02_Global_003_similarity_matrix,Head,Main,0.17713313178480217
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Head,Main,0.18691980588912366
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Head,Main,0.1291981725178732
p02,Global,hook_left_p02_Global_002_similarity_matrix,Head,Post,0.15648362334422877
p02,Global,hook_right_p02_Global_001_similarity_matrix,Head,Post,0.19820471822803404
p02,Global,jap_p02_Global_similarity_matrix,Head,Post,0.17766650581130286
p02,Global,straight_p02_Global_003_similarity_matrix,Head,Post,0.17107434527804433
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Head,Post,0.1673343592760085
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Head,Post,0.07506041589289084
p02,Global,hook_left_p02_Global_002_similarity_matrix,Joint Angle,Pre,0.3794581061437009
p02,Global,hook_right_p02_Global_001_similarity_matrix,Joint Angle,Pre,0.5413027925330962
p02,Global,jap_p02_Global_similarity_matrix,Joint Angle,Pre,0.3884943404497867
p02,Global,straight_p02_Global_003_similarity_matrix,Joint Angle,Pre,0.5701434260995877
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Joint Angle,Pre,0.5402764852844157
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Joint Angle,Pre,0.5731135061207213
p02,Global,hook_left_p02_Global_002_similarity_matrix,Joint Angle,Main,0.41841603646841413
p02,Global,hook_right_p02_Global_001_similarity_matrix,Joint Angle,Main,0.5200383911929727
p02,Global,jap_p02_Global_similarity_matrix,Joint Angle,Main,0.4374345341004305
p02,Global,straight_p02_Global_003_similarity_matrix,Joint Angle,Main,0.5515626229807714
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Joint Angle,Main,0.5384253994332805
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Joint Angle,Main,0.5410350649111441
p02,Global,hook_left_p02_Global_002_similarity_matrix,Joint Angle,Post,0.4116065787211373
p02,Global,hook_right_p02_Global_001_similarity_matrix,Joint Angle,Post,0.5373039121261504
p02,Global,jap_p02_Global_similarity_matrix,Joint Angle,Post,0.4028303901896034
p02,Global,straight_p02_Global_003_similarity_matrix,Joint Angle,Post,0.5542333916083512
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Joint Angle,Post,0.5498267940438222
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Joint Angle,Post,0.47695877481468074
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Arm,Pre,0.17462116137576733
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Arm,Pre,0.10032721105143712
p02,Global,jap_p02_Global_similarity_matrix,Left_Arm,Pre,0.22817004248375355
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Arm,Pre,0.19904962432973053
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Arm,Pre,0.11206843127560648
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Arm,Pre,0.10714379580763822
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Arm,Main,0.13282020631359248
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Arm,Main,0.11667567891315674
p02,Global,jap_p02_Global_similarity_matrix,Left_Arm,Main,0.24502297208473117
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Arm,Main,0.14944097011772695
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Arm,Main,0.11532457396361592
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Arm,Main,0.08413452396641215
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Arm,Post,0.12411566020797529
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Arm,Post,0.1315240833517442
p02,Global,jap_p02_Global_similarity_matrix,Left_Arm,Post,0.23293826923104782
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Arm,Post,0.13758626085958323
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Arm,Post,0.13136921088878756
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Arm,Post,0.052840825073613415
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Leg,Pre,0.2496519525339434
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Leg,Pre,0.20693140191414208
p02,Global,jap_p02_Global_similarity_matrix,Left_Leg,Pre,0.23490817638117928
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Leg,Pre,0.25871614413267896
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Leg,Pre,0.29209821857223184
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Leg,Pre,0.2591181344326655
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Leg,Main,0.2619120303878478
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Leg,Main,0.23837997004558653
p02,Global,jap_p02_Global_similarity_matrix,Left_Leg,Main,0.24709473848367583
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Leg,Main,0.264108869176698
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Leg,Main,0.2667640772159198
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Leg,Main,0.22801011590157422
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Leg,Post,0.24508571286567413
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Leg,Post,0.24697069193867405
p02,Global,jap_p02_Global_similarity_matrix,Left_Leg,Post,0.2621219054614158
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Leg,Post,0.2614517504953521
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Leg,Post,0.2427147845758582
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Leg,Post,0.17237030676058504
p02,Global,hook_left_p02_Global_002_similarity_matrix,Overall,Pre,0.172675852222607
p02,Global,hook_right_p02_Global_001_similarity_matrix,Overall,Pre,0.21546512194977194
p02,Global,jap_p02_Global_similarity_matrix,Overall,Pre,0.16152892541161634
p02,Global,straight_p02_Global_003_similarity_matrix,Overall,Pre,0.22251785134851607
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Overall,Pre,0.21243624102421182
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Overall,Pre,0.2245074895876326
p02,Global,hook_left_p02_Global_002_similarity_matrix,Overall,Main,0.18362244716511197
p02,Global,hook_right_p02_Global_001_similarity_matrix,Overall,Main,0.20833652036136152
p02,Global,jap_p02_Global_similarity_matrix,Overall,Main,0.17779394719866454
p02,Global,straight_p02_Global_003_similarity_matrix,Overall,Main,0.21639710433427142
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Overall,Main,0.21304150022030682
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Overall,Main,0.2139117975725871
p02,Global,hook_left_p02_Global_002_similarity_matrix,Overall,Post,0.18072897640187216
p02,Global,hook_right_p02_Global_001_similarity_matrix,Overall,Post,0.2143077556489406
p02,Global,jap_p02_Global_similarity_matrix,Overall,Post,0.16656516219548148
p02,Global,straight_p02_Global_003_similarity_matrix,Overall,Post,0.21716447466864014
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Overall,Post,0.21703389660140804
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Overall,Post,0.19279420402003977
p02,Global,hook_left_p02_Global_002_similarity_matrix,Position,Pre,0.04763377237135287
p02,Global,hook_right_p02_Global_001_similarity_matrix,Position,Pre,0.04762251488362891
p02,Global,jap_p02_Global_similarity_matrix,Position,Pre,0.047620364033861266
p02,Global,straight_p02_Global_003_similarity_matrix,Position,Pre,0.04765476747228582
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Position,Pre,0.047671885317219026
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Position,Pre,0.047634579762537224
p02,Global,hook_left_p02_Global_002_similarity_matrix,Position,Main,0.04763303498059472
p02,Global,hook_right_p02_Global_001_similarity_matrix,Position,Main,0.04762695155363552
p02,Global,jap_p02_Global_similarity_matrix,Position,Main,0.047620850251140705
p02,Global,straight_p02_Global_003_similarity_matrix,Position,Main,0.04778371218501053
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Position,Main,0.04766565074232572
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Position,Main,0.04763240848807274
p02,Global,hook_left_p02_Global_002_similarity_matrix,Position,Post,0.047625148063981895
p02,Global,hook_right_p02_Global_001_similarity_matrix,Position,Post,0.047629496643011124
p02,Global,jap_p02_Global_similarity_matrix,Position,Post,0.04762090035070406
p02,Global,straight_p02_Global_003_similarity_matrix,Position,Post,0.04767827386830192
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Position,Post,0.04764194062328968
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Position,Post,0.04762113704223107
p02,Global,hook_left_p02_Global_002_similarity_matrix,Right_Arm,Pre,0.17407602468668493
p02,Global,hook_right_p02_Global_001_similarity_matrix,Right_Arm,Pre,0.1443371072673272
p02,Global,jap_p02_Global_similarity_matrix,Right_Arm,Pre,0.2996662914082964
p02,Global,straight_p02_Global_003_similarity_matrix,Right_Arm,Pre,0.2200032898944745
