subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Acceleration,0.071824687,0.066560445,0.065957873,-0.005264243,-0.005866814,-0.000602571
p02,Global,hook_right_p02_Global_001_similarity_matrix,Acceleration,0.056613127,0.056241561,0.05648007,-0.000371566,-0.000133058,0.000238508
p02,Global,jap_p02_Global_similarity_matrix,Acceleration,0.048253466,0.048119016,0.048644102,-0.00013445,0.000390635,0.000525085
p02,Global,straight_p02_Global_003_similarity_matrix,Acceleration,0.049147965,0.04880249,0.048782782,-0.000345475,-0.000365183,-1.97E-05
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Acceleration,0.049043608,0.052210452,0.052950781,0.003166843,0.003907172,0.000740329
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Acceleration,0.052471789,0.052768442,0.053486318,0.000296654,0.00101453,0.000717876
p04,Global,hook_left_p04_Global_002_similarity_matrix,Acceleration,0.070154717,0.068868481,0.071129641,-0.001286236,0.000974924,0.00226116
p04,Global,hook_right_p04_Global_001_similarity_matrix,Acceleration,0.057453186,0.058389524,0.058802209,0.000936339,0.001349023,0.000412684
p04,Global,jap_p04_Global_similarity_matrix,Acceleration,0.048294004,0.048463631,0.049067295,0.000169627,0.000773291,0.000603664
p04,Global,straight_p04_Global_003_similarity_matrix,Acceleration,0.048818011,0.048902066,0.048739881,8.41E-05,-7.81E-05,-0.000162185
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Acceleration,0.05125027,0.049718679,0.049799024,-0.001531591,-0.001451246,8.03E-05
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Acceleration,0.053177483,0.05621542,0.055112118,0.003037937,0.001934635,-0.001103302
p05,Global,hook_left_p05_Global_002_similarity_matrix,Acceleration,0.069574269,0.067168299,0.067867491,-0.00240597,-0.001706778,0.000699192
p05,Global,hook_right_p05_Global_001_similarity_matrix,Acceleration,0.058728737,0.058151681,0.05713843,-0.000577056,-0.001590307,-0.001013251
p05,Global,jap_p05_Global_similarity_matrix,Acceleration,0.047785756,0.047831501,0.047836712,4.57E-05,5.10E-05,5.21E-06
p05,Global,straight_p05_Global_003_similarity_matrix,Acceleration,0.048268028,0.048552203,0.048552269,0.000284175,0.000284241,6.57E-08
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Acceleration,0.049885597,0.049547414,0.049741944,-0.000338183,-0.000143653,0.00019453
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Acceleration,0.051996714,0.052730195,0.053088934,0.000733481,0.00109222,0.000358739
p06,Global,hook_left_p06_Global_002_similarity_matrix,Acceleration,0.069210523,0.069804896,0.070768427,0.000594372,0.001557904,0.000963531
p06,Global,hook_right_p06_Global_001_similarity_matrix,Acceleration,0.060384332,0.059366218,0.06076364,-0.001018115,0.000379308,0.001397423
p06,Global,jap_p06_Global_similarity_matrix,Acceleration,0.048815346,0.047975378,0.049348003,-0.000839968,0.000532657,0.001372625
p06,Global,straight_p06_Global_003_similarity_matrix,Acceleration,0.058267542,0.048586097,0.048711174,-0.009681445,-0.009556368,0.000125077
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Acceleration,0.049951517,0.051237363,0.050861639,0.001285846,0.000910122,-0.000375724
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Acceleration,0.060517501,0.055571411,0.055482119,-0.00494609,-0.005035382,-8.93E-05
p07,Global,hook_left_p07_Global_002_similarity_matrix,Acceleration,0.070624583,0.071394824,0.071875613,0.000770242,0.00125103,0.000480789
p07,Global,hook_right_p07_Global_001_similarity_matrix,Acceleration,0.062165505,0.062423675,0.061132089,0.000258169,-0.001033417,-0.001291586
p07,Global,jap_p07_Global_similarity_matrix,Acceleration,0.047784798,0.047876509,0.047939283,9.17E-05,0.000154486,6.28E-05
p07,Global,straight_p07_Global_003_similarity_matrix,Acceleration,0.048367331,0.049432521,0.048530162,0.00106519,0.000162831,-0.000902359
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Acceleration,0.049024399,0.052210452,0.052950781,0.003186053,0.003926382,0.000740329
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Acceleration,0.054102654,0.052701121,0.072155086,-0.001401533,0.018052432,0.019453965
p08,Global,hook_left_p08_Global_002_similarity_matrix,Acceleration,0.067044992,0.069050705,0.069513391,0.002005713,0.002468399,0.000462686
p08,Global,hook_right_p08_Global_001_similarity_matrix,Acceleration,0.057226947,0.061198106,0.060886579,0.003971159,0.003659632,-0.000311527
p08,Global,jap_p08_Global_similarity_matrix,Acceleration,0.047887409,0.048877587,0.047951461,0.000990178,6.41E-05,-0.000926126
p08,Global,straight_p08_Global_003_similarity_matrix,Acceleration,0.048980112,0.049822345,0.055787667,0.000842233,0.006807556,0.005965322
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Acceleration,0.049237685,0.050273322,0.050003312,0.001035637,0.000765627,-0.00027001
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Acceleration,0.057451856,0.056449818,0.055568658,-0.001002038,-0.001883198,-0.00088116
p09,Global,hook_left_p09_Global_002_similarity_matrix,Acceleration,0.06800917,0.070049139,0.069187481,0.002039968,0.001178311,-0.000861657
p09,Global,hook_right_p09_Global_001_similarity_matrix,Acceleration,0.06076664,0.060849244,0.061241567,8.26E-05,0.000474927,0.000392322
p09,Global,jap_p09_Global_similarity_matrix,Acceleration,0.048924699,0.048349071,0.048431189,-0.000575628,-0.000493511,8.21E-05
p09,Global,straight_p09_Global_003_similarity_matrix,Acceleration,0.048425421,0.04855725,0.049318014,0.00013183,0.000892593,0.000760763
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Acceleration,0.049874181,0.049771942,0.049567686,-0.000102239,-0.000306495,-0.000204256
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Acceleration,0.057618322,0.056859953,0.056492181,-0.000758369,-0.001126141,-0.000367771
p10,Global,hook_left_p10_Global_002_similarity_matrix,Acceleration,0.088515389,0.071974249,0.070775988,-0.01654114,-0.017739401,-0.001198262
p10,Global,hook_right_p10_Global_001_similarity_matrix,Acceleration,0.063756291,0.0628365,0.063293986,-0.000919791,-0.000462305,0.000457485
p10,Global,jap_p10_Global_similarity_matrix,Acceleration,0.047799697,0.053616086,0.048639556,0.005816389,0.000839859,-0.004976529
p10,Global,straight_p10_Global_003_similarity_matrix,Acceleration,0.054420858,0.052087727,0.055490648,-0.00233313,0.001069791,0.003402921
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Acceleration,0.051856044,0.04989267,0.049599673,-0.001963373,-0.002256371,-0.000292997
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Acceleration,0.058450503,0.062583046,0.062865695,0.004132543,0.004415192,0.000282649
p11,Global,hook_left_p11_Global_002_similarity_matrix,Acceleration,0.067930719,0.068286986,0.067607504,0.000356267,-0.000323214,-0.000679481
p11,Global,hook_right_p11_Global_001_similarity_matrix,Acceleration,0.055207991,0.052504625,0.053408313,-0.002703366,-0.001799677,0.000903689
p11,Global,jap_p11_Global_similarity_matrix,Acceleration,0.04789671,0.048304578,0.048350733,0.000407868,0.000454023,4.62E-05
p11,Global,straight_p11_Global_003_similarity_matrix,Acceleration,0.048595212,0.048704659,0.048475363,0.000109447,-0.000119849,-0.000229296
p11,Global,uppercut_left_p11_Global_003_similarity_matrix,Acceleration,0.049934508,0.05009502,0.050517247,0.000160511,0.000582739,0.000422228
p11,Global,uppercut_right_p11_Global_002_similarity_matrix,Acceleration,0.05228902,0.052322241,0.052579719,3.32E-05,0.000290699,0.000257478
p12,Global,hook_left_p12_Global_002_similarity_matrix,Acceleration,0.071218027,0.070113596,0.071739968,-0.001104431,0.000521941,0.001626372
p12,Global,hook_right_p12_Global_001_similarity_matrix,Acceleration,0.057167911,0.057603183,0.058962413,0.000435272,0.001794503,0.00135923
p12,Global,jap_p12_Global_similarity_matrix,Acceleration,0.047784562,0.051459067,0.05010667,0.003674504,0.002322108,-0.001352396
p12,Global,straight_p12_Global_003_similarity_matrix,Acceleration,0.04860244,0.050075353,0.048992345,0.001472912,0.000389904,-0.001083008
p12,Global,uppercut_left_p12_Global_003_similarity_matrix,Acceleration,0.049988768,0.052188957,0.05091966,0.002200188,0.000930891,-0.001269297
p12,Global,uppercut_right_p12_Global_002_similarity_matrix,Acceleration,0.05547274,0.05301501,0.054200393,-0.00245773,-0.001272347,0.001185383
p13,Global,hook_left_p13_Global_002_similarity_matrix,Acceleration,0.068054957,0.068784437,0.070755654,0.00072948,0.002700697,0.001971217
p13,Global,hook_right_p13_Global_001_similarity_matrix,Acceleration,0.053617199,0.055078607,0.053571415,0.001461408,-4.58E-05,-0.001507192
p13,Global,jap_p13_Global_similarity_matrix,Acceleration,0.047783645,0.047866131,0.047895095,8.25E-05,0.00011145,2.90E-05
p13,Global,straight_p13_Global_003_similarity_matrix,Acceleration,0.048548983,0.04840714,0.048222315,-0.000141843,-0.000326668,-0.000184825
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Acceleration,0.049986493,0.050083554,0.05049533,9.71E-05,0.000508837,0.000411776
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Acceleration,0.051895173,0.052623908,0.051683079,0.000728735,-0.000212094,-0.000940829
p14,Global,hook_left_p14_Global_002_similarity_matrix,Acceleration,0.07369555,0.072761994,0.072179831,-0.000933556,-0.001515719,-0.000582163
