subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Core,0.383993645,0.401459284,0.390111639,0.017465639,0.006117994,-0.011347646
p02,Global,hook_right_p02_Global_001_similarity_matrix,Core,0.282625149,0.314221354,0.331771997,0.031596205,0.049146848,0.017550643
p02,Global,jap_p02_Global_similarity_matrix,Core,0.353237894,0.327307635,0.343473714,-0.02593026,-0.00976418,0.01616608
p02,Global,straight_p02_Global_003_similarity_matrix,Core,0.271914652,0.304916183,0.318009258,0.033001531,0.046094606,0.013093076
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Core,0.448482046,0.410682947,0.406693019,-0.037799099,-0.041789027,-0.003989928
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Core,0.39898316,0.34129261,0.27671039,-0.057690551,-0.12227277,-0.06458222
p04,Global,hook_left_p04_Global_002_similarity_matrix,Core,0.409044094,0.444732483,0.444056913,0.03568839,0.035012819,-0.00067557
p04,Global,hook_right_p04_Global_001_similarity_matrix,Core,0.347522913,0.353903417,0.331627613,0.006380504,-0.0158953,-0.022275804
p04,Global,jap_p04_Global_similarity_matrix,Core,0.37371626,0.496540709,0.478082944,0.12282445,0.104366684,-0.018457765
p04,Global,straight_p04_Global_003_similarity_matrix,Core,0.430408854,0.44347529,0.451461432,0.013066436,0.021052578,0.007986142
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Core,0.299025596,0.457977546,0.455064236,0.158951951,0.156038641,-0.00291331
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Core,0.42458454,0.429340393,0.406357985,0.004755853,-0.018226555,-0.022982408
p05,Global,hook_left_p05_Global_002_similarity_matrix,Core,0.348696583,0.41590508,0.405949919,0.067208498,0.057253337,-0.009955161
p05,Global,hook_right_p05_Global_001_similarity_matrix,Core,0.457909827,0.453922447,0.424191832,-0.003987379,-0.033717995,-0.029730616
p05,Global,jap_p05_Global_similarity_matrix,Core,0.474235903,0.491986913,0.485563574,0.01775101,0.011327671,-0.006423339
p05,Global,straight_p05_Global_003_similarity_matrix,Core,0.456333365,0.46922573,0.473937836,0.012892364,0.017604471,0.004712107
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Core,0.386822525,0.43496985,0.421622222,0.048147325,0.034799697,-0.013347628
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Core,0.419742522,0.40296521,0.416233043,-0.016777311,-0.003509479,0.013267833
p06,Global,hook_left_p06_Global_002_similarity_matrix,Core,0.443160671,0.437357721,0.436105407,-0.00580295,-0.007055265,-0.001252314
p06,Global,hook_right_p06_Global_001_similarity_matrix,Core,0.353974173,0.398172549,0.393072069,0.044198376,0.039097897,-0.00510048
p06,Global,jap_p06_Global_similarity_matrix,Core,0.491197007,0.484082319,0.49643014,-0.007114688,0.005233133,0.012347821
p06,Global,straight_p06_Global_003_similarity_matrix,Core,0.440975308,0.453806582,0.425766406,0.012831274,-0.015208902,-0.028040176
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Core,0.446978374,0.450260674,0.460678811,0.0032823,0.013700437,0.010418137
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Core,0.446658442,0.409646384,0.381754121,-0.037012059,-0.064904321,-0.027892263
p07,Global,hook_left_p07_Global_002_similarity_matrix,Core,0.376752966,0.370885786,0.343646766,-0.00586718,-0.0331062,-0.02723902
p07,Global,hook_right_p07_Global_001_similarity_matrix,Core,0.431406858,0.423228688,0.391958564,-0.008178169,-0.039448294,-0.031270125
p07,Global,jap_p07_Global_similarity_matrix,Core,0.351756641,0.454109539,0.438354377,0.102352898,0.086597736,-0.015755162
p07,Global,straight_p07_Global_003_similarity_matrix,Core,0.421996069,0.427810381,0.405987138,0.005814312,-0.016008931,-0.021823243
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Core,0.448482024,0.410682947,0.406693019,-0.037799077,-0.041789005,-0.003989928
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Core,0.392608032,0.344783949,0.391131815,-0.047824084,-0.001476217,0.046347867
p08,Global,hook_left_p08_Global_002_similarity_matrix,Core,0.39554529,0.380837123,0.387083418,-0.014708168,-0.008461872,0.006246296
p08,Global,hook_right_p08_Global_001_similarity_matrix,Core,0.345992462,0.359372833,0.358745813,0.013380371,0.01275335,-0.000627021
p08,Global,jap_p08_Global_similarity_matrix,Core,0.438143814,0.487980045,0.457958582,0.049836231,0.019814767,-0.030021464
p08,Global,straight_p08_Global_003_similarity_matrix,Core,0.355431792,0.359672915,0.369472887,0.004241123,0.014041096,0.009799973
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Core,0.393046885,0.39430287,0.391987528,0.001255986,-0.001059357,-0.002315343
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Core,0.414036625,0.412637406,0.406183689,-0.001399219,-0.007852936,-0.006453718
p09,Global,hook_left_p09_Global_002_similarity_matrix,Core,0.449834827,0.451156736,0.437127797,0.001321909,-0.01270703,-0.01402894
p09,Global,hook_right_p09_Global_001_similarity_matrix,Core,0.4551438,0.431920114,0.411251703,-0.023223686,-0.043892098,-0.020668411
p09,Global,jap_p09_Global_similarity_matrix,Core,0.427667207,0.494918873,0.487439573,0.067251666,0.059772365,-0.007479301
p09,Global,straight_p09_Global_003_similarity_matrix,Core,0.460489296,0.472615066,0.46246757,0.01212577,0.001978275,-0.010147496
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Core,0.468287569,0.462029182,0.441481579,-0.006258387,-0.02680599,-0.020547603
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Core,0.430665406,0.435228073,0.425719869,0.004562667,-0.004945537,-0.009508204
p10,Global,hook_left_p10_Global_002_similarity_matrix,Core,0.418386291,0.451957451,0.44604392,0.03357116,0.02765763,-0.005913531
p10,Global,hook_right_p10_Global_001_similarity_matrix,Core,0.389098422,0.401745735,0.404650931,0.012647313,0.015552509,0.002905195
p10,Global,jap_p10_Global_similarity_matrix,Core,0.479848924,0.493292144,0.492835971,0.01344322,0.012987047,-0.000456173
p10,Global,straight_p10_Global_003_similarity_matrix,Core,0.449213219,0.436253856,0.46057333,-0.012959363,0.01136011,0.024319474
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Core,0.455918551,0.449588776,0.457834694,-0.006329775,0.001916143,0.008245918
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Core,0.432459485,0.44863314,0.463411532,0.016173656,0.030952047,0.014778391
p11,Global,hook_left_p11_Global_002_similarity_matrix,Core,0.403408157,0.458381032,0.450596714,0.054972875,0.047188558,-0.007784317
p11,Global,hook_right_p11_Global_001_similarity_matrix,Core,0.421005752,0.347009062,0.37386108,-0.073996691,-0.047144672,0.026852018
p11,Global,jap_p11_Global_similarity_matrix,Core,0.454950761,0.498398482,0.496332443,0.043447721,0.041381682,-0.002066039
p11,Global,straight_p11_Global_003_similarity_matrix,Core,0.446647287,0.441339073,0.434920009,-0.005308213,-0.011727278,-0.006419064
p11,Global,uppercut_left_p11_Global_003_similarity_matrix,Core,0.445701249,0.457552826,0.475601256,0.011851577,0.029900007,0.01804843
p11,Global,uppercut_right_p11_Global_002_similarity_matrix,Core,0.477769785,0.446283395,0.461916034,-0.03148639,-0.015853751,0.015632639
p12,Global,hook_left_p12_Global_002_similarity_matrix,Core,0.444206052,0.432332999,0.439652982,-0.011873052,-0.004553069,0.007319983
p12,Global,hook_right_p12_Global_001_similarity_matrix,Core,0.390727874,0.363436538,0.388544249,-0.027291336,-0.002183625,0.025107712
p12,Global,jap_p12_Global_similarity_matrix,Core,0.500669843,0.501934736,0.502781044,0.001264893,0.002111201,0.000846308
p12,Global,straight_p12_Global_003_similarity_matrix,Core,0.426236507,0.425788451,0.412975131,-0.000448056,-0.013261376,-0.012813321
