subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Head,0.2067105,0.199031984,0.156483623,-0.007678516,-0.050226877,-0.042548361
p02,Global,hook_right_p02_Global_001_similarity_matrix,Head,0.120106454,0.165821584,0.198204718,0.04571513,0.078098264,0.032383134
p02,Global,jap_p02_Global_similarity_matrix,Head,0.188986788,0.182574101,0.177666506,-0.006412687,-0.011320282,-0.004907595
p02,Global,straight_p02_Global_003_similarity_matrix,Head,0.211850175,0.177133132,0.171074345,-0.034717043,-0.040775829,-0.006058787
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Head,0.203054295,0.186919806,0.167334359,-0.016134489,-0.035719936,-0.019585447
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Head,0.153462203,0.129198173,0.075060416,-0.024264031,-0.078401788,-0.054137757
p04,Global,hook_left_p04_Global_002_similarity_matrix,Head,0.235159675,0.215610403,0.225737796,-0.019549272,-0.009421878,0.010127394
p04,Global,hook_right_p04_Global_001_similarity_matrix,Head,0.132469695,0.143272689,0.139740409,0.010802994,0.007270714,-0.00353228
p04,Global,jap_p04_Global_similarity_matrix,Head,0.165380949,0.253902163,0.261632373,0.088521214,0.096251424,0.00773021
p04,Global,straight_p04_Global_003_similarity_matrix,Head,0.193082606,0.195612177,0.198851077,0.002529571,0.005768471,0.0032389
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Head,0.199538967,0.217715696,0.214546646,0.018176728,0.015007679,-0.00316905
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Head,0.254805509,0.195776875,0.19362495,-0.059028634,-0.061180559,-0.002151925
p05,Global,hook_left_p05_Global_002_similarity_matrix,Head,0.15614653,0.225309871,0.220901064,0.069163341,0.064754534,-0.004408807
p05,Global,hook_right_p05_Global_001_similarity_matrix,Head,0.211300006,0.226636013,0.230061392,0.015336008,0.018761386,0.003425378
p05,Global,jap_p05_Global_similarity_matrix,Head,0.199954911,0.235891607,0.238403187,0.035936696,0.038448277,0.002511581
p05,Global,straight_p05_Global_003_similarity_matrix,Head,0.254050534,0.244613685,0.24764155,-0.009436849,-0.006408984,0.003027865
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Head,0.170902983,0.199670631,0.192924919,0.028767648,0.022021937,-0.006745711
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Head,0.196609437,0.189838378,0.189387885,-0.00677106,-0.007221552,-0.000450493
p06,Global,hook_left_p06_Global_002_similarity_matrix,Head,0.294351671,0.31926249,0.277457631,0.024910819,-0.01689404,-0.041804859
p06,Global,hook_right_p06_Global_001_similarity_matrix,Head,0.279595697,0.291789988,0.255997355,0.012194291,-0.023598342,-0.035792632
p06,Global,jap_p06_Global_similarity_matrix,Head,0.249546645,0.296706288,0.299954006,0.047159643,0.050407361,0.003247718
p06,Global,straight_p06_Global_003_similarity_matrix,Head,0.317391252,0.322046531,0.299102062,0.004655279,-0.018289189,-0.022944468
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Head,0.301266741,0.346882575,0.336493936,0.045615834,0.035227196,-0.010388639
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Head,0.344695166,0.305275981,0.270941873,-0.039419184,-0.073753292,-0.034334108
p07,Global,hook_left_p07_Global_002_similarity_matrix,Head,0.200946587,0.228714915,0.235802152,0.027768328,0.034855565,0.007087237
p07,Global,hook_right_p07_Global_001_similarity_matrix,Head,0.193515143,0.214571165,0.218535774,0.021056022,0.025020631,0.003964609
p07,Global,jap_p07_Global_similarity_matrix,Head,0.19590477,0.205280813,0.232652218,0.009376044,0.036747449,0.027371405
p07,Global,straight_p07_Global_003_similarity_matrix,Head,0.257471989,0.256770561,0.257975792,-0.000701428,0.000503803,0.001205232
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Head,0.203055126,0.186919806,0.167334359,-0.01613532,-0.035720766,-0.019585447
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Head,0.271310451,0.219469413,0.266653549,-0.051841039,-0.004656902,0.047184137
p08,Global,hook_left_p08_Global_002_similarity_matrix,Head,0.332945347,0.304294708,0.294838465,-0.028650639,-0.038106882,-0.009456243
p08,Global,hook_right_p08_Global_001_similarity_matrix,Head,0.25940791,0.275738562,0.276574633,0.016330652,0.017166722,0.000836071
p08,Global,jap_p08_Global_similarity_matrix,Head,0.23252919,0.273214528,0.255783242,0.040685338,0.023254052,-0.017431286
p08,Global,straight_p08_Global_003_similarity_matrix,Head,0.287069801,0.300782699,0.295476804,0.013712898,0.008407003,-0.005305895
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Head,0.324182369,0.343118035,0.336062717,0.018935666,0.011880349,-0.007055317
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Head,0.33482566,0.332430384,0.33480828,-0.002395275,-1.74E-05,0.002377896
p09,Global,hook_left_p09_Global_002_similarity_matrix,Head,0.293577825,0.342723346,0.354511772,0.04914552,0.060933946,0.011788426
p09,Global,hook_right_p09_Global_001_similarity_matrix,Head,0.335384331,0.302289775,0.285779403,-0.033094557,-0.049604928,-0.016510372
p09,Global,jap_p09_Global_similarity_matrix,Head,0.243824184,0.299416352,0.303153406,0.055592168,0.059329222,0.003737054
p09,Global,straight_p09_Global_003_similarity_matrix,Head,0.353746994,0.336308689,0.340327633,-0.017438305,-0.013419361,0.004018944
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Head,0.326532621,0.339507935,0.325978673,0.012975314,-0.000553948,-0.013529262
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Head,0.338553351,0.284824433,0.276717303,-0.053728918,-0.061836048,-0.00810713
p10,Global,hook_left_p10_Global_002_similarity_matrix,Head,0.318326205,0.293073474,0.285086122,-0.02525273,-0.033240083,-0.007987353
p10,Global,hook_right_p10_Global_001_similarity_matrix,Head,0.240145147,0.270509085,0.262045916,0.030363938,0.02190077,-0.008463168
p10,Global,jap_p10_Global_similarity_matrix,Head,0.366503269,0.352571088,0.341088452,-0.013932181,-0.025414817,-0.011482636
p10,Global,straight_p10_Global_003_similarity_matrix,Head,0.299222826,0.304931908,0.336553266,0.005709082,0.03733044,0.031621358
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Head,0.354911912,0.35457258,0.354040082,-0.000339332,-0.00087183,-0.000532498
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Head,0.337401457,0.332051673,0.352546865,-0.005349784,0.015145409,0.020495192
p11,Global,hook_left_p11_Global_002_similarity_matrix,Head,0.309807654,0.362523367,0.359066089,0.052715713,0.049258435,-0.003457278
p11,Global,hook_right_p11_Global_001_similarity_matrix,Head,0.301576443,0.274370327,0.256465385,-0.027206116,-0.045111058,-0.017904942
p11,Global,jap_p11_Global_similarity_matrix,Head,0.292329992,0.345391532,0.3446442,0.053061539,0.052314207,-0.000747332
p11,Global,straight_p11_Global_003_similarity_matrix,Head,0.364133701,0.351862586,0.351622149,-0.012271114,-0.012511551,-0.000240437
p11,Global,uppercut_left_p11_Global_003_similarity_matrix,Head,0.288094667,0.29418599,0.314509804,0.006091324,0.026415137,0.020323813
p11,Global,uppercut_right_p11_Global_002_similarity_matrix,Head,0.31190454,0.320186839,0.313554102,0.008282299,0.001649562,-0.006632737
p12,Global,hook_left_p12_Global_002_similarity_matrix,Head,0.356737067,0.343690032,0.365178507,-0.013047035,0.00844144,0.021488475
p12,Global,hook_right_p12_Global_001_similarity_matrix,Head,0.306131145,0.264867991,0.284261931,-0.041263154,-0.021869215,0.01939394
p12,Global,jap_p12_Global_similarity_matrix,Head,0.345148763,0.307145772,0.329269803,-0.03800299,-0.01587896,0.022124031
p12,Global,straight_p12_Global_003_similarity_matrix,Head,0.263346072,0.3069498,0.330504326,0.043603728,0.067158254,0.023554526
p12,Global,uppercut_left_p12_Global_003_similarity_matrix,Head,0.370185151,0.362397462,0.359878029,-0.007787689,-0.010307122,-0.002519433
p12,Global,uppercut_right_p12_Global_002_similarity_matrix,Head,0.324978566,0.339259558,0.33477645,0.014280993,0.009797885,-0.004483108
p13,Global,hook_left_p13_Global_002_similarity_matrix,Head,0.368701791,0.358760431,0.348464042,-0.00994136,-0.020237749,-0.010296389
p13,Global,hook_right_p13_Global_001_similarity_matrix,Head,0.195189104,0.206472001,0.191728998,0.011282897,-0.003460106,-0.014743003
p13,Global,jap_p13_Global_similarity_matrix,Head,0.359713272,0.358447774,0.356676853,-0.001265498,-0.003036419,-0.001770921
p13,Global,straight_p13_Global_003_similarity_matrix,Head,0.327221026,0.301778517,0.286456861,-0.025442509,-0.040764165,-0.015321656
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Head,0.335352575,0.295373331,0.294222801,-0.039979244,-0.041129774,-0.001150531
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Head,0.220831639,0.230635376,0.209457132,0.009803737,-0.011374507,-0.021178244
p14,Global,hook_left_p14_Global_002_similarity_matrix,Head,0.345326425,0.325444169,0.331521236,-0.019882255,-0.013805188,0.006077067
p14,Global,hook_right_p14_Global_001_similarity_matrix,Head,0.233642038,0.253185298,0.223537903,0.01954326,-0.010104135,-0.029647395
p14,Global,jap_p14_Global_similarity_matrix,Head,0.363053513,0.321466888,0.330448016,-0.041586625,-0.032605497,0.008981128
p14,Global,straight_p14_Global_003_similarity_matrix,Head,0.244663996,0.278661804,0.265625406,0.033997808,0.020961411,-0.013036397
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Head,0.310350246,0.342034636,0.336386422,0.031684391,0.026036176,-0.005648214
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Head,0.333147209,0.298382383,0.290120337,-0.034764826,-0.043026873,-0.008262046
p15,Global,hook_left_p15_Global_002_similarity_matrix,Head,0.335142955,0.357264208,0.357927162,0.022121253,0.022784207,0.000662954
p15,Global,hook_right_p15_Global_001_similarity_matrix,Head,0.311441432,0.300067271,0.283264808,-0.011374161,-0.028176624,-0.016802462
p15,Global,jap_p15_Global_similarity_matrix,Head,0.303243456,0.3053334,0.309245024,0.002089945,0.006001569,0.003911624
p15,Global,straight_p15_Global_003_similarity_matrix,Head,0.334662034,0.340645291,0.339302251,0.005983257,0.004640217,-0.00134304
p15,Global,uppercut_left_p15_Global_003_similarity_matrix,Head,0.340035927,0.340171888,0.345800073,0.000135961,0.005764146,0.005628185
p15,Global,uppercut_right_p15_Global_002_similarity_matrix,Head,0.345806036,0.339394566,0.324284453,-0.006411471,-0.021521583,-0.015110112
p16,Global,hook_left_p16_Global_002_similarity_matrix,Head,0.357056717,0.342333031,0.330131297,-0.014723686,-0.026925419,-0.012201734
p16,Global,hook_right_p16_Global_001_similarity_matrix,Head,0.280855302,0.271293732,0.262767116,-0.00956157,-0.018088187,-0.008526617
p16,Global,jap_p16_Global_similarity_matrix,Head,0.268932588,0.337922941,0.336061418,0.068990353,0.06712883,-0.001861523
