subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Joint Angle,0.379458106,0.418416036,0.411606579,0.03895793,0.032148473,-0.006809458
p02,Global,hook_right_p02_Global_001_similarity_matrix,Joint Angle,0.541302793,0.520038391,0.537303912,-0.021264401,-0.00399888,0.017265521
p02,Global,jap_p02_Global_similarity_matrix,Joint Angle,0.38849434,0.437434534,0.40283039,0.048940194,0.01433605,-0.034604144
p02,Global,straight_p02_Global_003_similarity_matrix,Joint Angle,0.570143426,0.551562623,0.554233392,-0.018580803,-0.015910034,0.002670769
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Joint Angle,0.540276485,0.538425399,0.549826794,-0.001851086,0.009550309,0.011401395
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Joint Angle,0.573113506,0.541035065,0.476958775,-0.032078441,-0.096154731,-0.06407629
p04,Global,hook_left_p04_Global_002_similarity_matrix,Joint Angle,0.376592871,0.373598811,0.377398501,-0.00299406,0.00080563,0.00379969
p04,Global,hook_right_p04_Global_001_similarity_matrix,Joint Angle,0.42338627,0.444956923,0.455385834,0.021570653,0.031999564,0.010428911
p04,Global,jap_p04_Global_similarity_matrix,Joint Angle,0.50034866,0.491199784,0.544528487,-0.009148876,0.044179827,0.053328703
p04,Global,straight_p04_Global_003_similarity_matrix,Joint Angle,0.423807066,0.425939519,0.437005798,0.002132453,0.013198732,0.011066278
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Joint Angle,0.427240799,0.519043698,0.489779071,0.091802899,0.062538273,-0.029264627
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Joint Angle,0.506590526,0.479859115,0.466681536,-0.026731411,-0.039908989,-0.013177578
p05,Global,hook_left_p05_Global_002_similarity_matrix,Joint Angle,0.405598715,0.439415134,0.417920615,0.033816419,0.0123219,-0.02149452
p05,Global,hook_right_p05_Global_001_similarity_matrix,Joint Angle,0.566872442,0.538268495,0.501133366,-0.028603947,-0.065739076,-0.037135129
p05,Global,jap_p05_Global_similarity_matrix,Joint Angle,0.376147706,0.482841476,0.498993847,0.10669377,0.122846141,0.016152371
p05,Global,straight_p05_Global_003_similarity_matrix,Joint Angle,0.550964136,0.624709539,0.646809234,0.073745403,0.095845099,0.022099695
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Joint Angle,0.4904097,0.506079541,0.487578942,0.015669841,-0.002830759,-0.0185006
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Joint Angle,0.53352622,0.47520944,0.462699269,-0.058316781,-0.070826952,-0.012510171
p06,Global,hook_left_p06_Global_002_similarity_matrix,Joint Angle,0.429665533,0.444048095,0.404745833,0.014382562,-0.0249197,-0.039302263
p06,Global,hook_right_p06_Global_001_similarity_matrix,Joint Angle,0.391283434,0.433814854,0.374556331,0.04253142,-0.016727103,-0.059258522
p06,Global,jap_p06_Global_similarity_matrix,Joint Angle,0.346767686,0.485555817,0.491307635,0.138788131,0.144539949,0.005751818
p06,Global,straight_p06_Global_003_similarity_matrix,Joint Angle,0.478984713,0.479669169,0.40003967,0.000684456,-0.078945043,-0.079629499
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Joint Angle,0.50858778,0.549595626,0.541299313,0.041007846,0.032711533,-0.008296313
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Joint Angle,0.543993407,0.511313232,0.479743825,-0.032680175,-0.064249583,-0.031569407
p07,Global,hook_left_p07_Global_002_similarity_matrix,Joint Angle,0.426608524,0.43637197,0.407180613,0.009763446,-0.019427911,-0.029191357
p07,Global,hook_right_p07_Global_001_similarity_matrix,Joint Angle,0.555708828,0.558611537,0.549156632,0.002902709,-0.006552196,-0.009454905
p07,Global,jap_p07_Global_similarity_matrix,Joint Angle,0.398494899,0.536332257,0.537714049,0.137837358,0.13921915,0.001381792
p07,Global,straight_p07_Global_003_similarity_matrix,Joint Angle,0.562670763,0.612691396,0.611571065,0.050020633,0.048900301,-0.001120332
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Joint Angle,0.531072348,0.538425399,0.549826794,0.007353052,0.018754446,0.011401395
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Joint Angle,0.468961311,0.432547818,0.443836905,-0.036413492,-0.025124406,0.011289087
p08,Global,hook_left_p08_Global_002_similarity_matrix,Joint Angle,0.472491547,0.40302212,0.413516738,-0.069469427,-0.058974809,0.010494617
p08,Global,hook_right_p08_Global_001_similarity_matrix,Joint Angle,0.523433268,0.494690385,0.506696948,-0.028742882,-0.01673632,0.012006562
p08,Global,jap_p08_Global_similarity_matrix,Joint Angle,0.314387647,0.551741754,0.559013429,0.237354107,0.244625781,0.007271674
p08,Global,straight_p08_Global_003_similarity_matrix,Joint Angle,0.479190153,0.418933981,0.380168951,-0.060256172,-0.099021202,-0.03876503
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Joint Angle,0.493258524,0.552988897,0.522740982,0.059730373,0.029482458,-0.030247914
