subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Arm,0.174621161,0.132820206,0.12411566,-0.041800955,-0.050505501,-0.008704546
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Arm,0.100327211,0.116675679,0.131524083,0.016348468,0.031196872,0.014848404
p02,Global,jap_p02_Global_similarity_matrix,Left_Arm,0.228170042,0.245022972,0.232938269,0.01685293,0.004768227,-0.012084703
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Arm,0.199049624,0.14944097,0.137586261,-0.049608654,-0.061463363,-0.011854709
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Arm,0.112068431,0.115324574,0.131369211,0.003256143,0.01930078,0.016044637
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Arm,0.107143796,0.084134524,0.052840825,-0.023009272,-0.054302971,-0.031293699
p04,Global,hook_left_p04_Global_002_similarity_matrix,Left_Arm,0.184139299,0.228168686,0.226064508,0.044029387,0.041925209,-0.002104178
p04,Global,hook_right_p04_Global_001_similarity_matrix,Left_Arm,0.16768243,0.181511808,0.164285124,0.013829378,-0.003397305,-0.017226683
p04,Global,jap_p04_Global_similarity_matrix,Left_Arm,0.090232186,0.243075581,0.231214643,0.152843395,0.140982457,-0.011860938
p04,Global,straight_p04_Global_003_similarity_matrix,Left_Arm,0.140274564,0.262213939,0.255378791,0.121939376,0.115104227,-0.006835148
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Left_Arm,0.099626296,0.235340262,0.218629561,0.135713966,0.119003265,-0.016710701
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Left_Arm,0.190246328,0.172838054,0.168769487,-0.017408275,-0.021476841,-0.004068567
p05,Global,hook_left_p05_Global_002_similarity_matrix,Left_Arm,0.190217086,0.227568729,0.219151367,0.037351643,0.028934281,-0.008417362
p05,Global,hook_right_p05_Global_001_similarity_matrix,Left_Arm,0.253705752,0.205334691,0.191443594,-0.048371061,-0.062262158,-0.013891097
p05,Global,jap_p05_Global_similarity_matrix,Left_Arm,0.194343385,0.244860351,0.235031006,0.050516966,0.040687621,-0.009829346
p05,Global,straight_p05_Global_003_similarity_matrix,Left_Arm,0.298636123,0.321645025,0.335006227,0.023008902,0.036370104,0.013361202
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Left_Arm,0.18624946,0.247466064,0.22368763,0.061216604,0.03743817,-0.023778434
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Left_Arm,0.264202975,0.235498305,0.261568182,-0.028704669,-0.002634792,0.026069877
p06,Global,hook_left_p06_Global_002_similarity_matrix,Left_Arm,0.179682126,0.172480821,0.142004984,-0.007201306,-0.037677142,-0.030475836
p06,Global,hook_right_p06_Global_001_similarity_matrix,Left_Arm,0.107323866,0.178798708,0.156826651,0.071474842,0.049502785,-0.021972057
p06,Global,jap_p06_Global_similarity_matrix,Left_Arm,0.19289823,0.177718458,0.162578025,-0.015179772,-0.030320206,-0.015140433
p06,Global,straight_p06_Global_003_similarity_matrix,Left_Arm,0.177327513,0.173883196,0.175357532,-0.003444317,-0.001969982,0.001474336
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Left_Arm,0.19430722,0.178491074,0.137507866,-0.015816146,-0.056799354,-0.040983208
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Left_Arm,0.178223293,0.145604405,0.13453377,-0.032618888,-0.043689524,-0.011070636
p07,Global,hook_left_p07_Global_002_similarity_matrix,Left_Arm,0.265601129,0.264058692,0.21484987,-0.001542437,-0.05075126,-0.049208823
p07,Global,hook_right_p07_Global_001_similarity_matrix,Left_Arm,0.248260593,0.238794137,0.238933986,-0.009466456,-0.009326607,0.000139849
p07,Global,jap_p07_Global_similarity_matrix,Left_Arm,0.231000597,0.256357878,0.256458768,0.025357281,0.025458171,0.00010089
p07,Global,straight_p07_Global_003_similarity_matrix,Left_Arm,0.282787778,0.234423976,0.305800006,-0.048363802,0.023012228,0.07137603
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Left_Arm,0.112068563,0.115324574,0.131369211,0.003256011,0.019300648,0.016044637
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Left_Arm,0.157077826,0.128930381,0.158865615,-0.028147445,0.001787789,0.029935234
p08,Global,hook_left_p08_Global_002_similarity_matrix,Left_Arm,0.239582291,0.208866488,0.194781472,-0.030715803,-0.044800819,-0.014085016
p08,Global,hook_right_p08_Global_001_similarity_matrix,Left_Arm,0.203838023,0.211312853,0.217915958,0.00747483,0.014077935,0.006603105
p08,Global,jap_p08_Global_similarity_matrix,Left_Arm,0.232438927,0.215981294,0.20220289,-0.016457633,-0.030236037,-0.013778404
p08,Global,straight_p08_Global_003_similarity_matrix,Left_Arm,0.194786444,0.194419454,0.095331877,-0.00036699,-0.099454567,-0.099087577
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Left_Arm,0.213055982,0.233753034,0.22714387,0.020697052,0.014087888,-0.006609164
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Left_Arm,0.240042713,0.239468197,0.217136551,-0.000574515,-0.022906162,-0.022331646
