subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Left_Leg,0.249651953,0.26191203,0.245085713,0.012260078,-0.00456624,-0.016826318
p02,Global,hook_right_p02_Global_001_similarity_matrix,Left_Leg,0.206931402,0.23837997,0.246970692,0.031448568,0.04003929,0.008590722
p02,Global,jap_p02_Global_similarity_matrix,Left_Leg,0.234908176,0.247094738,0.262121905,0.012186562,0.027213729,0.015027167
p02,Global,straight_p02_Global_003_similarity_matrix,Left_Leg,0.258716144,0.264108869,0.26145175,0.005392725,0.002735606,-0.002657119
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Left_Leg,0.292098219,0.266764077,0.242714785,-0.025334141,-0.049383434,-0.024049293
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Left_Leg,0.259118134,0.228010116,0.172370307,-0.031108019,-0.086747828,-0.055639809
p04,Global,hook_left_p04_Global_002_similarity_matrix,Left_Leg,0.253215905,0.253745474,0.262963677,0.000529569,0.009747772,0.009218203
p04,Global,hook_right_p04_Global_001_similarity_matrix,Left_Leg,0.238663397,0.230175042,0.219345897,-0.008488355,-0.0193175,-0.010829145
p04,Global,jap_p04_Global_similarity_matrix,Left_Leg,0.173859295,0.263322738,0.261771119,0.089463443,0.087911825,-0.001551619
p04,Global,straight_p04_Global_003_similarity_matrix,Left_Leg,0.240604885,0.257502348,0.249121998,0.016897462,0.008517113,-0.00838035
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Left_Leg,0.246997154,0.30067495,0.298726507,0.053677795,0.051729353,-0.001948443
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Left_Leg,0.262922449,0.277887165,0.271434348,0.014964717,0.0085119,-0.006452817
p05,Global,hook_left_p05_Global_002_similarity_matrix,Left_Leg,0.14272361,0.266139865,0.231177238,0.123416255,0.088453628,-0.034962627
p05,Global,hook_right_p05_Global_001_similarity_matrix,Left_Leg,0.258701463,0.294175809,0.28511676,0.035474346,0.026415298,-0.009059049
p05,Global,jap_p05_Global_similarity_matrix,Left_Leg,0.209867312,0.246983189,0.262855483,0.037115877,0.052988171,0.015872294
p05,Global,straight_p05_Global_003_similarity_matrix,Left_Leg,0.291410802,0.301290119,0.303461634,0.009879317,0.012050832,0.002171515
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Left_Leg,0.191333519,0.250049229,0.22083478,0.058715711,0.029501262,-0.029214449
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Left_Leg,0.234142093,0.246802405,0.243100775,0.012660312,0.008958682,-0.00370163
p06,Global,hook_left_p06_Global_002_similarity_matrix,Left_Leg,0.271605669,0.284647136,0.258971514,0.013041467,-0.012634155,-0.025675623
p06,Global,hook_right_p06_Global_001_similarity_matrix,Left_Leg,0.205898298,0.241732504,0.217490357,0.035834206,0.011592059,-0.024242147
p06,Global,jap_p06_Global_similarity_matrix,Left_Leg,0.221003229,0.269667323,0.289373138,0.048664094,0.06836991,0.019705816
p06,Global,straight_p06_Global_003_similarity_matrix,Left_Leg,0.283343031,0.309466418,0.285894397,0.026123387,0.002551366,-0.02357202
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Left_Leg,0.253705351,0.300067577,0.292518704,0.046362226,0.038813353,-0.007548873
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Left_Leg,0.32446683,0.269591525,0.24270065,-0.054875305,-0.081766181,-0.026890875
p07,Global,hook_left_p07_Global_002_similarity_matrix,Left_Leg,0.250739137,0.309199621,0.279341663,0.058460484,0.028602526,-0.029857958
p07,Global,hook_right_p07_Global_001_similarity_matrix,Left_Leg,0.3196984,0.322633776,0.313880451,0.002935375,-0.005817949,-0.008753324
p07,Global,jap_p07_Global_similarity_matrix,Left_Leg,0.232798551,0.287181567,0.295480511,0.054383016,0.06268196,0.008298944
p07,Global,straight_p07_Global_003_similarity_matrix,Left_Leg,0.299729068,0.29003182,0.316214758,-0.009697248,0.01648569,0.026182938
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Left_Leg,0.297010335,0.266764077,0.242714785,-0.030246258,-0.054295551,-0.024049293
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Left_Leg,0.256681391,0.138390565,0.213890437,-0.118290826,-0.042790955,0.075499872
p08,Global,hook_left_p08_Global_002_similarity_matrix,Left_Leg,0.252787559,0.273869582,0.285557995,0.021082023,0.032770435,0.011688413
p08,Global,hook_right_p08_Global_001_similarity_matrix,Left_Leg,0.227362024,0.230698395,0.23212264,0.003336371,0.004760616,0.001424245
p08,Global,jap_p08_Global_similarity_matrix,Left_Leg,0.236593062,0.316092518,0.292015636,0.079499456,0.055422574,-0.024076882
p08,Global,straight_p08_Global_003_similarity_matrix,Left_Leg,0.183514181,0.234807322,0.240434873,0.051293141,0.056920692,0.005627551
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Left_Leg,0.238749604,0.290134634,0.28495956,0.05138503,0.046209955,-0.005175075
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Left_Leg,0.280169393,0.259585837,0.263078096,-0.020583557,-0.017091298,0.003492259
p09,Global,hook_left_p09_Global_002_similarity_matrix,Left_Leg,0.211084085,0.291787385,0.293008371,0.0807033,0.081924286,0.001220986
p09,Global,hook_right_p09_Global_001_similarity_matrix,Left_Leg,0.319337578,0.294127639,0.282904662,-0.025209939,-0.036432916,-0.011222977
p09,Global,jap_p09_Global_similarity_matrix,Left_Leg,0.217715135,0.277304714,0.269788835,0.059589579,0.0520737,-0.007515879
p09,Global,straight_p09_Global_003_similarity_matrix,Left_Leg,0.28527115,0.327857117,0.30858829,0.042585968,0.02331714,-0.019268828
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Left_Leg,0.306915094,0.306071762,0.286816652,-0.000843332,-0.020098441,-0.019255109
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Left_Leg,0.305814931,0.311633581,0.305877173,0.00581865,6.22E-05,-0.005756409
p10,Global,hook_left_p10_Global_002_similarity_matrix,Left_Leg,0.256592696,0.291555635,0.279453964,0.034962939,0.022861268,-0.012101671
p10,Global,hook_right_p10_Global_001_similarity_matrix,Left_Leg,0.296249091,0.310648275,0.27400302,0.014399184,-0.022246071,-0.036645255
p10,Global,jap_p10_Global_similarity_matrix,Left_Leg,0.293026309,0.302120582,0.310898489,0.009094273,0.017872179,0.008777906
p10,Global,straight_p10_Global_003_similarity_matrix,Left_Leg,0.306906419,0.259460614,0.259695461,-0.047445805,-0.047210958,0.000234847
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Left_Leg,0.301234443,0.32242653,0.32405956,0.021192087,0.022825117,0.00163303
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Left_Leg,0.293473233,0.316234198,0.311129356,0.022760966,0.017656124,-0.005104842
p11,Global,hook_left_p11_Global_002_similarity_matrix,Left_Leg,0.213721227,0.286648741,0.286178704,0.072927514,0.072457477,-0.000470037
p11,Global,hook_right_p11_Global_001_similarity_matrix,Left_Leg,0.327386907,0.295615119,0.294914651,-0.031771788,-0.032472256,-0.000700468
p11,Global,jap_p11_Global_similarity_matrix,Left_Leg,0.211289223,0.307728809,0.292089978,0.096439586,0.080800755,-0.015638831
p11,Global,straight_p11_Global_003_similarity_matrix,Left_Leg,0.291124333,0.297444444,0.261980984,0.006320111,-0.029143349,-0.035463461
