subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Overall,0.172675852,0.183622447,0.180728976,0.010946595,0.008053124,-0.002893471
p02,Global,hook_right_p02_Global_001_similarity_matrix,Overall,0.215465122,0.20833652,0.214307756,-0.007128602,-0.001157366,0.005971235
p02,Global,jap_p02_Global_similarity_matrix,Overall,0.161528925,0.177793947,0.166565162,0.016265022,0.005036237,-0.011228785
p02,Global,straight_p02_Global_003_similarity_matrix,Overall,0.222517851,0.216397104,0.217164475,-0.006120747,-0.005353377,0.00076737
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Overall,0.212436241,0.2130415,0.217033897,0.000605259,0.004597656,0.003992396
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Overall,0.22450749,0.213911798,0.192794204,-0.010595692,-0.031713286,-0.021117594
p04,Global,hook_left_p04_Global_002_similarity_matrix,Overall,0.172412318,0.170539619,0.173219878,-0.001872699,0.000807559,0.002680258
p04,Global,hook_right_p04_Global_001_similarity_matrix,Overall,0.176727287,0.184059128,0.187590312,0.007331841,0.010863025,0.003531184
p04,Global,jap_p04_Global_similarity_matrix,Overall,0.198856482,0.196043394,0.213930131,-0.002813089,0.015073649,0.017886738
p04,Global,straight_p04_Global_003_similarity_matrix,Overall,0.173686354,0.174743084,0.178346501,0.00105673,0.004660147,0.003603417
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Overall,0.175512305,0.205655055,0.195909865,0.03014275,0.02039756,-0.00974519
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Overall,0.202837603,0.195496719,0.190688865,-0.007340885,-0.012148738,-0.004807853
p05,Global,hook_left_p05_Global_002_similarity_matrix,Overall,0.181244264,0.190830232,0.184124217,0.009585969,0.002879954,-0.006706015
p05,Global,hook_right_p05_Global_001_similarity_matrix,Overall,0.225360025,0.215532258,0.202288645,-0.009827767,-0.02307138,-0.013243613
p05,Global,jap_p05_Global_similarity_matrix,Overall,0.157443167,0.192951985,0.198524481,0.035508818,0.041081314,0.005572496
p05,Global,straight_p05_Global_003_similarity_matrix,Overall,0.215966244,0.241476124,0.248681588,0.02550988,0.032715344,0.007205463
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Overall,0.196201161,0.201230305,0.19509617,0.005029143,-0.001104991,-0.006134134
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Overall,0.211378712,0.192115032,0.188255395,-0.01926368,-0.023123317,-0.003859636
p06,Global,hook_left_p06_Global_002_similarity_matrix,Overall,0.187958082,0.1939232,0.181360549,0.005965118,-0.006597533,-0.012562651
p06,Global,hook_right_p06_Global_001_similarity_matrix,Overall,0.166708708,0.180791024,0.161688594,0.014082316,-0.005020115,-0.01910243
p06,Global,jap_p06_Global_similarity_matrix,Overall,0.148350504,0.194121874,0.196419116,0.045771369,0.048068612,0.002297243
p06,Global,straight_p06_Global_003_similarity_matrix,Overall,0.195742066,0.193189062,0.16586725,-0.002553004,-0.029874816,-0.027321812
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Overall,0.20244726,0.216467039,0.213490516,0.01401978,0.011043257,-0.002976523
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Overall,0.218963867,0.205740065,0.194766061,-0.013223802,-0.024197806,-0.010974004
p07,Global,hook_left_p07_Global_002_similarity_matrix,Overall,0.189204322,0.193186512,0.183185835,0.003982189,-0.006018487,-0.010000676
p07,Global,hook_right_p07_Global_001_similarity_matrix,Overall,0.222295417,0.223761798,0.219604232,0.001466381,-0.002691185,-0.004157567
p07,Global,jap_p07_Global_similarity_matrix,Overall,0.164801213,0.211265078,0.212012818,0.046463865,0.047211606,0.00074774
p07,Global,straight_p07_Global_003_similarity_matrix,Overall,0.21982946,0.237571439,0.236593668,0.017741978,0.016764207,-0.000977771
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Overall,0.209361502,0.2130415,0.217033897,0.003679998,0.007672395,0.003992396
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Overall,0.190496235,0.177900876,0.192816878,-0.012595359,0.002320643,0.014916002
p08,Global,hook_left_p08_Global_002_similarity_matrix,Overall,0.202355041,0.180205674,0.183898711,-0.022149366,-0.01845633,0.003693037
p08,Global,hook_right_p08_Global_001_similarity_matrix,Overall,0.209851503,0.20167384,0.205695506,-0.008177663,-0.004155998,0.004021665
p08,Global,jap_p08_Global_similarity_matrix,Overall,0.136804559,0.216903086,0.218832311,0.080098526,0.082027751,0.001929225
p08,Global,straight_p08_Global_003_similarity_matrix,Overall,0.193921924,0.174153681,0.16399366,-0.019768243,-0.029928264,-0.010160021
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Overall,0.196774156,0.217100206,0.206933192,0.02032605,0.010159036,-0.010167014
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Overall,0.215331735,0.216483714,0.208525334,0.001151978,-0.006806401,-0.00795838
p09,Global,hook_left_p09_Global_002_similarity_matrix,Overall,0.18623286,0.215366365,0.217548422,0.029133505,0.031315562,0.002182057
p09,Global,hook_right_p09_Global_001_similarity_matrix,Overall,0.251058861,0.249027318,0.228845446,-0.002031543,-0.022213415,-0.020181872
p09,Global,jap_p09_Global_similarity_matrix,Overall,0.175589,0.224387695,0.224043326,0.048798695,0.048454325,-0.000344369
p09,Global,straight_p09_Global_003_similarity_matrix,Overall,0.250411444,0.266869265,0.255498775,0.016457821,0.00508733,-0.01137049
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Overall,0.239152598,0.235689491,0.225393547,-0.003463106,-0.013759051,-0.010295944
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Overall,0.234054468,0.217824382,0.212719432,-0.016230086,-0.021335035,-0.00510495
p10,Global,hook_left_p10_Global_002_similarity_matrix,Overall,0.202386141,0.210443291,0.206452291,0.00805715,0.00406615,-0.003991
p10,Global,hook_right_p10_Global_001_similarity_matrix,Overall,0.219440287,0.227281344,0.219867723,0.007841057,0.000427436,-0.007413621
p10,Global,jap_p10_Global_similarity_matrix,Overall,0.234391618,0.219287814,0.218354861,-0.015103804,-0.016036757,-0.000932953
p10,Global,straight_p10_Global_003_similarity_matrix,Overall,0.231697105,0.223063159,0.24185258,-0.008633946,0.010155475,0.018789421
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Overall,0.24068769,0.24982207,0.258797557,0.00913438,0.018109867,0.008975487
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Overall,0.25254945,0.240851947,0.243679237,-0.011697503,-0.008870213,0.00282729
p11,Global,hook_left_p11_Global_002_similarity_matrix,Overall,0.182164697,0.206167426,0.204370861,0.024002729,0.022206164,-0.001796565
p11,Global,hook_right_p11_Global_001_similarity_matrix,Overall,0.247216903,0.211833817,0.21545828,-0.035383085,-0.031758623,0.003624462
p11,Global,jap_p11_Global_similarity_matrix,Overall,0.153358527,0.21265113,0.19901101,0.059292603,0.045652483,-0.01364012
