subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Position,0.047633772,0.047633035,0.047625148,-7.37E-07,-8.62E-06,-7.89E-06
p02,Global,hook_right_p02_Global_001_similarity_matrix,Position,0.047622515,0.047626952,0.047629497,4.44E-06,6.98E-06,2.55E-06
p02,Global,jap_p02_Global_similarity_matrix,Position,0.047620364,0.04762085,0.0476209,4.86E-07,5.36E-07,5.01E-08
p02,Global,straight_p02_Global_003_similarity_matrix,Position,0.047654767,0.047783712,0.047678274,0.000128945,2.35E-05,-0.000105438
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Position,0.047671885,0.047665651,0.047641941,-6.23E-06,-2.99E-05,-2.37E-05
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Position,0.04763458,0.047632408,0.047621137,-2.17E-06,-1.34E-05,-1.13E-05
p04,Global,hook_left_p04_Global_002_similarity_matrix,Position,0.047652085,0.047717812,0.047805694,6.57E-05,0.000153609,8.79E-05
p04,Global,hook_right_p04_Global_001_similarity_matrix,Position,0.047619378,0.047620343,0.047620001,9.65E-07,6.24E-07,-3.42E-07
p04,Global,jap_p04_Global_similarity_matrix,Position,0.047619159,0.047636222,0.047621283,1.71E-05,2.12E-06,-1.49E-05
p04,Global,straight_p04_Global_003_similarity_matrix,Position,0.049221667,0.049314145,0.049918153,9.25E-05,0.000696486,0.000604008
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Position,0.04762095,0.047642643,0.047632592,2.17E-05,1.16E-05,-1.01E-05
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Position,0.04767459,0.047696035,0.047638916,2.14E-05,-3.57E-05,-5.71E-05
p05,Global,hook_left_p05_Global_002_similarity_matrix,Position,0.047621122,0.04766287,0.047638371,4.17E-05,1.72E-05,-2.45E-05
p05,Global,hook_right_p05_Global_001_similarity_matrix,Position,0.047759562,0.047994162,0.047703356,0.0002346,-5.62E-05,-0.000290807
p05,Global,jap_p05_Global_similarity_matrix,Position,0.047628047,0.047622412,0.047662731,-5.63E-06,3.47E-05,4.03E-05
p05,Global,straight_p05_Global_003_similarity_matrix,Position,0.047690373,0.048090467,0.048490536,0.000400094,0.000800163,0.000400069
