subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Right_Arm,0.174076025,0.160586366,0.138752102,-0.013489659,-0.035323923,-0.021834264
p02,Global,hook_right_p02_Global_001_similarity_matrix,Right_Arm,0.144337107,0.130842501,0.131412035,-0.013494607,-0.012925072,0.000569535
p02,Global,jap_p02_Global_similarity_matrix,Right_Arm,0.299666291,0.277165592,0.230382457,-0.022500699,-0.069283834,-0.046783135
p02,Global,straight_p02_Global_003_similarity_matrix,Right_Arm,0.22000329,0.238606381,0.227394657,0.018603091,0.007391367,-0.011211724
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Right_Arm,0.303661376,0.282171112,0.237915908,-0.021490264,-0.065745468,-0.044255204
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Right_Arm,0.232378558,0.190161865,0.124469769,-0.042216693,-0.107908789,-0.065692096
p04,Global,hook_left_p04_Global_002_similarity_matrix,Right_Arm,0.183096519,0.182832402,0.204098178,-0.000264117,0.021001659,0.021265776
p04,Global,hook_right_p04_Global_001_similarity_matrix,Right_Arm,0.102485218,0.112680254,0.106614647,0.010195036,0.004129429,-0.006065608
p04,Global,jap_p04_Global_similarity_matrix,Right_Arm,0.126415795,0.230896361,0.217771766,0.104480566,0.091355971,-0.013124595
p04,Global,straight_p04_Global_003_similarity_matrix,Right_Arm,0.21054746,0.229232902,0.222614503,0.018685442,0.012067043,-0.006618399
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Right_Arm,0.160985155,0.230037393,0.226981461,0.069052238,0.065996306,-0.003055932
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Right_Arm,0.167018741,0.168714858,0.156273745,0.001696117,-0.010744996,-0.012441113
p05,Global,hook_left_p05_Global_002_similarity_matrix,Right_Arm,0.167501799,0.201076216,0.196857267,0.033574417,0.029355468,-0.004218949
p05,Global,hook_right_p05_Global_001_similarity_matrix,Right_Arm,0.220468543,0.214684901,0.188956192,-0.005783642,-0.031512351,-0.025728709
p05,Global,jap_p05_Global_similarity_matrix,Right_Arm,0.199669664,0.247171119,0.223972276,0.047501455,0.024302611,-0.023198844
p05,Global,straight_p05_Global_003_similarity_matrix,Right_Arm,0.264342115,0.324553081,0.337551589,0.060210966,0.073209474,0.012998508
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Right_Arm,0.260373117,0.257583874,0.263000138,-0.002789243,0.002627021,0.005416264
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Right_Arm,0.250368184,0.237182478,0.234145404,-0.013185705,-0.016222779,-0.003037074
p06,Global,hook_left_p06_Global_002_similarity_matrix,Right_Arm,0.184566124,0.199373411,0.181195171,0.014807287,-0.003370953,-0.018178241
p06,Global,hook_right_p06_Global_001_similarity_matrix,Right_Arm,0.124082847,0.14603135,0.138334007,0.021948503,0.01425116,-0.007697343
p06,Global,jap_p06_Global_similarity_matrix,Right_Arm,0.2383377,0.216104977,0.193110324,-0.022232723,-0.045227376,-0.022994652
p06,Global,straight_p06_Global_003_similarity_matrix,Right_Arm,0.240158884,0.242001286,0.088607397,0.001842402,-0.151551487,-0.153393889
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Right_Arm,0.225976111,0.245866988,0.263727994,0.019890876,0.037751883,0.017861006
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Right_Arm,0.166640048,0.147510609,0.129394039,-0.019129439,-0.037246009,-0.01811657
p07,Global,hook_left_p07_Global_002_similarity_matrix,Right_Arm,0.212585393,0.212910976,0.208006413,0.000325583,-0.004578979,-0.004904563
p07,Global,hook_right_p07_Global_001_similarity_matrix,Right_Arm,0.164414706,0.170809799,0.152121562,0.006395093,-0.012293144,-0.018688237
p07,Global,jap_p07_Global_similarity_matrix,Right_Arm,0.26724004,0.279216682,0.257368482,0.011976643,-0.009871557,-0.0218482
p07,Global,straight_p07_Global_003_similarity_matrix,Right_Arm,0.315595552,0.321012163,0.316774787,0.005416611,0.001179235,-0.004237376
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Right_Arm,0.303122016,0.282171112,0.237915908,-0.020950905,-0.065206108,-0.044255204
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Right_Arm,0.140345123,0.10456114,0.152192593,-0.035783983,0.01184747,0.047631453
p08,Global,hook_left_p08_Global_002_similarity_matrix,Right_Arm,0.197548787,0.206533368,0.204723891,0.008984581,0.007175104,-0.001809477
p08,Global,hook_right_p08_Global_001_similarity_matrix,Right_Arm,0.196382281,0.172346801,0.179786929,-0.02403548,-0.016595352,0.007440128
p08,Global,jap_p08_Global_similarity_matrix,Right_Arm,0.225976806,0.286168146,0.273006022,0.06019134,0.047029215,-0.013162124
p08,Global,straight_p08_Global_003_similarity_matrix,Right_Arm,0.313231081,0.304144798,0.30444713,-0.009086283,-0.008783952,0.000302331
