subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Right_Leg,0.223031483,0.227286938,0.192294549,0.004255455,-0.030736934,-0.034992389
p02,Global,hook_right_p02_Global_001_similarity_matrix,Right_Leg,0.156499828,0.177822012,0.205889804,0.021322184,0.049389976,0.028067792
p02,Global,jap_p02_Global_similarity_matrix,Right_Leg,0.252819957,0.259276205,0.265704281,0.006456248,0.012884324,0.006428076
p02,Global,straight_p02_Global_003_similarity_matrix,Right_Leg,0.200090118,0.170822612,0.18457634,-0.029267506,-0.015513778,0.013753728
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Right_Leg,0.258238847,0.27751273,0.273887437,0.019273882,0.01564859,-0.003625292
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Right_Leg,0.229341692,0.201007699,0.144148107,-0.028333993,-0.085193584,-0.056859591
p04,Global,hook_left_p04_Global_002_similarity_matrix,Right_Leg,0.315725702,0.273203093,0.29479499,-0.042522609,-0.020930712,0.021591897
p04,Global,hook_right_p04_Global_001_similarity_matrix,Right_Leg,0.179110388,0.194130689,0.184695331,0.015020301,0.005584943,-0.009435358
p04,Global,jap_p04_Global_similarity_matrix,Right_Leg,0.207610604,0.310376746,0.315703562,0.102766142,0.108092959,0.005326816
p04,Global,straight_p04_Global_003_similarity_matrix,Right_Leg,0.260111178,0.250719561,0.251706795,-0.009391617,-0.008404383,0.000987234
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Right_Leg,0.277850484,0.324028896,0.303689396,0.046178413,0.025838912,-0.020339501
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Right_Leg,0.266818911,0.286123487,0.269387621,0.019304576,0.002568709,-0.016735867
p05,Global,hook_left_p05_Global_002_similarity_matrix,Right_Leg,0.241609929,0.310433236,0.295837683,0.068823307,0.054227754,-0.014595553
p05,Global,hook_right_p05_Global_001_similarity_matrix,Right_Leg,0.246917656,0.272266926,0.253994504,0.025349271,0.007076848,-0.018272423
p05,Global,jap_p05_Global_similarity_matrix,Right_Leg,0.273665537,0.31919494,0.328503725,0.045529404,0.054838188,0.009308784
p05,Global,straight_p05_Global_003_similarity_matrix,Right_Leg,0.228774787,0.248433431,0.244636502,0.019658644,0.015861715,-0.003796929
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Right_Leg,0.24345593,0.270296228,0.239086297,0.026840298,-0.004369633,-0.031209931
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Right_Leg,0.247301469,0.25269203,0.22217619,0.005390562,-0.025125279,-0.030515841
p06,Global,hook_left_p06_Global_002_similarity_matrix,Right_Leg,0.285763488,0.298723697,0.295888313,0.012960209,0.010124825,-0.002835384
p06,Global,hook_right_p06_Global_001_similarity_matrix,Right_Leg,0.137316284,0.112868725,0.114332317,-0.024447559,-0.022983967,0.001463592
p06,Global,jap_p06_Global_similarity_matrix,Right_Leg,0.249464271,0.26127626,0.296114386,0.011811988,0.046650114,0.034838126
p06,Global,straight_p06_Global_003_similarity_matrix,Right_Leg,0.187595038,0.226543246,0.226253677,0.038948208,0.038658639,-0.000289569
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Right_Leg,0.257138299,0.312568937,0.308886787,0.055430639,0.051748488,-0.00368215
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Right_Leg,0.271608276,0.232964094,0.204971231,-0.038644182,-0.066637045,-0.027992863
p07,Global,hook_left_p07_Global_002_similarity_matrix,Right_Leg,0.276319422,0.280739601,0.271534666,0.00442018,-0.004784756,-0.009204935
p07,Global,hook_right_p07_Global_001_similarity_matrix,Right_Leg,0.226110856,0.267516014,0.234885151,0.041405158,0.008774295,-0.032630864
p07,Global,jap_p07_Global_similarity_matrix,Right_Leg,0.248196981,0.30037788,0.329024836,0.052180899,0.080827855,0.028646956
p07,Global,straight_p07_Global_003_similarity_matrix,Right_Leg,0.240124722,0.272895612,0.27416174,0.03277089,0.034037018,0.001266128
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Right_Leg,0.265991996,0.27751273,0.273887437,0.011520733,0.007895441,-0.003625292
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Right_Leg,0.164860531,0.121135619,0.175880865,-0.043724912,0.011020334,0.054745246
p08,Global,hook_left_p08_Global_002_similarity_matrix,Right_Leg,0.31681011,0.308908885,0.320465963,-0.007901226,0.003655853,0.011557079
p08,Global,hook_right_p08_Global_001_similarity_matrix,Right_Leg,0.256310405,0.21362274,0.20432052,-0.042687665,-0.051989885,-0.00930222
p08,Global,jap_p08_Global_similarity_matrix,Right_Leg,0.233909758,0.325046432,0.315058909,0.091136674,0.081149152,-0.009987522
p08,Global,straight_p08_Global_003_similarity_matrix,Right_Leg,0.296193218,0.268124586,0.283591479,-0.028068632,-0.012601739,0.015466893
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Right_Leg,0.325816,0.304725843,0.315154478,-0.021090157,-0.010661522,0.010428635
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Right_Leg,0.271921837,0.304897826,0.3110494,0.032975989,0.039127563,0.006151574
p09,Global,hook_left_p09_Global_002_similarity_matrix,Right_Leg,0.336427614,0.338377509,0.325960635,0.001949895,-0.010466979,-0.012416874
p09,Global,hook_right_p09_Global_001_similarity_matrix,Right_Leg,0.28657077,0.274434956,0.257319188,-0.012135813,-0.029251581,-0.017115768
p09,Global,jap_p09_Global_similarity_matrix,Right_Leg,0.277374319,0.340651758,0.337799303,0.063277439,0.060424984,-0.002852454
p09,Global,straight_p09_Global_003_similarity_matrix,Right_Leg,0.264479977,0.292995345,0.27833689,0.028515368,0.013856913,-0.014658455
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Right_Leg,0.307305182,0.307434407,0.296442235,0.000129225,-0.010862947,-0.010992173
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Right_Leg,0.283681161,0.29314066,0.308972611,0.009459499,0.02529145,0.015831951
