subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,Velocity,0.066744763,0.06589086,0.064622477,-0.000853903,-0.002122286,-0.001268383
p02,Global,hook_right_p02_Global_001_similarity_matrix,Velocity,0.048479446,0.048729609,0.049139285,0.000250163,0.000659839,0.000409677
p02,Global,jap_p02_Global_similarity_matrix,Velocity,0.047838969,0.047828291,0.048220995,-1.07E-05,0.000382025,0.000392704
p02,Global,straight_p02_Global_003_similarity_matrix,Velocity,0.048262163,0.0488262,0.04847725,0.000564037,0.000215088,-0.00034895
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,Velocity,0.047988629,0.048488649,0.048324115,0.00050002,0.000335486,-0.000164534
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,Velocity,0.047937174,0.047931885,0.047937519,-5.29E-06,3.45E-07,5.63E-06
p04,Global,hook_left_p04_Global_002_similarity_matrix,Velocity,0.070489368,0.069151566,0.071131491,-0.001337802,0.000642123,0.001979925
p04,Global,hook_right_p04_Global_001_similarity_matrix,Velocity,0.049342406,0.048830936,0.048582894,-0.00051147,-0.000759512,-0.000248042
p04,Global,jap_p04_Global_similarity_matrix,Velocity,0.047926783,0.048466766,0.048194612,0.000539983,0.000267829,-0.000272154
p04,Global,straight_p04_Global_003_similarity_matrix,Velocity,0.048433984,0.049387667,0.049293824,0.000953683,0.00085984,-9.38E-05
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,Velocity,0.048045846,0.048202788,0.048151499,0.000156941,0.000105652,-5.13E-05
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,Velocity,0.048744802,0.050415622,0.050272942,0.00167082,0.00152814,-0.00014268
p05,Global,hook_left_p05_Global_002_similarity_matrix,Velocity,0.068559807,0.065907264,0.066584547,-0.002652543,-0.00197526,0.000677283
p05,Global,hook_right_p05_Global_001_similarity_matrix,Velocity,0.050478896,0.050176598,0.04859414,-0.000302298,-0.001884756,-0.001582458
p05,Global,jap_p05_Global_similarity_matrix,Velocity,0.048396039,0.048182977,0.048742884,-0.000213062,0.000346845,0.000559907
p05,Global,straight_p05_Global_003_similarity_matrix,Velocity,0.048666568,0.05116663,0.050683259,0.002500062,0.002016691,-0.000483371
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,Velocity,0.048308186,0.048063959,0.047967625,-0.000244227,-0.000340561,-9.63E-05
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,Velocity,0.048613201,0.048405461,0.048977983,-0.00020774,0.000364782,0.000572522
p06,Global,hook_left_p06_Global_002_similarity_matrix,Velocity,0.064998189,0.067916609,0.068567386,0.00291842,0.003569197,0.000650777
p06,Global,hook_right_p06_Global_001_similarity_matrix,Velocity,0.048458358,0.049192,0.049745809,0.000733642,0.001287451,0.000553809
p06,Global,jap_p06_Global_similarity_matrix,Velocity,0.04946848,0.048834426,0.048601712,-0.000634054,-0.000866769,-0.000232714
p06,Global,straight_p06_Global_003_similarity_matrix,Velocity,0.049973941,0.051311919,0.048850905,0.001337978,-0.001123036,-0.002461014
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,Velocity,0.048802482,0.048568129,0.048310597,-0.000234353,-0.000491885,-0.000257532
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,Velocity,0.052380691,0.050335552,0.049072238,-0.002045139,-0.003308453,-0.001263314
p07,Global,hook_left_p07_Global_002_similarity_matrix,Velocity,0.07037986,0.07179274,0.070501281,0.00141288,0.000121421,-0.00129146
p07,Global,hook_right_p07_Global_001_similarity_matrix,Velocity,0.049011918,0.050250184,0.048523974,0.001238266,-0.000487944,-0.001726209
p07,Global,jap_p07_Global_similarity_matrix,Velocity,0.048123941,0.049586468,0.050385123,0.001462527,0.002261181,0.000798654
p07,Global,straight_p07_Global_003_similarity_matrix,Velocity,0.048450287,0.050590399,0.049679776,0.002140112,0.00122949,-0.000910622
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,Velocity,0.047987759,0.048488649,0.048324115,0.000500891,0.000336356,-0.000164534
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,Velocity,0.048424741,0.048453689,0.062458644,2.89E-05,0.014033904,0.014004955
p08,Global,hook_left_p08_Global_002_similarity_matrix,Velocity,0.067528583,0.068544197,0.068666005,0.001015614,0.001137422,0.000121808
p08,Global,hook_right_p08_Global_001_similarity_matrix,Velocity,0.048894295,0.049133029,0.04950299,0.000238734,0.000608695,0.000369961
p08,Global,jap_p08_Global_similarity_matrix,Velocity,0.048138622,0.050089916,0.049532043,0.001951294,0.001393421,-0.000557873
p08,Global,straight_p08_Global_003_similarity_matrix,Velocity,0.053595508,0.053704717,0.056024362,0.00010921,0.002428855,0.002319645
p08,Global,uppercut_left_p08_Global_003_similarity_matrix,Velocity,0.047826259,0.048038399,0.04805528,0.00021214,0.000229021,1.69E-05
p08,Global,uppercut_right_p08_Global_002_similarity_matrix,Velocity,0.049757319,0.048962746,0.049318451,-0.000794573,-0.000438868,0.000355705
p09,Global,hook_left_p09_Global_002_similarity_matrix,Velocity,0.068977613,0.071643896,0.070066374,0.002666284,0.001088761,-0.001577523
p09,Global,hook_right_p09_Global_001_similarity_matrix,Velocity,0.05081599,0.050459942,0.049266145,-0.000356047,-0.001549845,-0.001193797
p09,Global,jap_p09_Global_similarity_matrix,Velocity,0.048312221,0.049085562,0.048700348,0.000773341,0.000388127,-0.000385215
p09,Global,straight_p09_Global_003_similarity_matrix,Velocity,0.048273563,0.04973761,0.048113148,0.001464047,-0.000160415,-0.001624462
p09,Global,uppercut_left_p09_Global_003_similarity_matrix,Velocity,0.04816949,0.048076863,0.048032482,-9.26E-05,-0.000137008,-4.44E-05
p09,Global,uppercut_right_p09_Global_002_similarity_matrix,Velocity,0.05149392,0.050855802,0.050274169,-0.000638118,-0.001219751,-0.000581633
p10,Global,hook_left_p10_Global_002_similarity_matrix,Velocity,0.074376524,0.071261138,0.070498876,-0.003115386,-0.003877647,-0.000762261
p10,Global,hook_right_p10_Global_001_similarity_matrix,Velocity,0.049989859,0.050298756,0.050051081,0.000308897,6.12E-05,-0.000247675
p10,Global,jap_p10_Global_similarity_matrix,Velocity,0.048399422,0.050675208,0.051163017,0.002275786,0.002763594,0.000487808
p10,Global,straight_p10_Global_003_similarity_matrix,Velocity,0.050415614,0.050180941,0.051589292,-0.000234673,0.001173678,0.001408351
p10,Global,uppercut_left_p10_Global_003_similarity_matrix,Velocity,0.048501393,0.048732709,0.048592997,0.000231316,9.16E-05,-0.000139712
p10,Global,uppercut_right_p10_Global_002_similarity_matrix,Velocity,0.050350074,0.050841052,0.053106128,0.000490979,0.002756055,0.002265076
p11,Global,hook_left_p11_Global_002_similarity_matrix,Velocity,0.066987161,0.066878647,0.065650931,-0.000108514,-0.00133623,-0.001227716
p11,Global,hook_right_p11_Global_001_similarity_matrix,Velocity,0.049433314,0.048450538,0.048585397,-0.000982776,-0.000847917,0.000134859
p11,Global,jap_p11_Global_similarity_matrix,Velocity,0.050972837,0.052926136,0.051093455,0.001953299,0.000120618,-0.001832681
p11,Global,straight_p11_Global_003_similarity_matrix,Velocity,0.054105277,0.05745872,0.051397534,0.003353443,-0.002707744,-0.006061186
p11,Global,uppercut_left_p11_Global_003_similarity_matrix,Velocity,0.048348213,0.048440424,0.048880183,9.22E-05,0.00053197,0.000439759
p11,Global,uppercut_right_p11_Global_002_similarity_matrix,Velocity,0.049031754,0.048756361,0.049131438,-0.000275393,9.97E-05,0.000375077
p12,Global,hook_left_p12_Global_002_similarity_matrix,Velocity,0.069995166,0.069993394,0.073907747,-1.77E-06,0.003912581,0.003914353
p12,Global,hook_right_p12_Global_001_similarity_matrix,Velocity,0.048943005,0.048654751,0.050194511,-0.000288254,0.001251505,0.001539759
p12,Global,jap_p12_Global_similarity_matrix,Velocity,0.0489798,0.051533876,0.050833963,0.002554076,0.001854162,-0.000699913
p12,Global,straight_p12_Global_003_similarity_matrix,Velocity,0.052599123,0.053956272,0.052478181,0.001357149,-0.000120942,-0.001478091
p12,Global,uppercut_left_p12_Global_003_similarity_matrix,Velocity,0.048315712,0.049141663,0.049148042,0.000825952,0.00083233,6.38E-06
p12,Global,uppercut_right_p12_Global_002_similarity_matrix,Velocity,0.04985954,0.049196668,0.051194506,-0.000662872,0.001334966,0.001997838
p13,Global,hook_left_p13_Global_002_similarity_matrix,Velocity,0.067417397,0.067652124,0.068359446,0.000234727,0.000942048,0.000707322
p13,Global,hook_right_p13_Global_001_similarity_matrix,Velocity,0.048198102,0.048463032,0.04810612,0.00026493,-9.20E-05,-0.000356912
p13,Global,jap_p13_Global_similarity_matrix,Velocity,0.048466255,0.048837563,0.049170609,0.000371308,0.000704354,0.000333046
p13,Global,straight_p13_Global_003_similarity_matrix,Velocity,0.050802189,0.049960113,0.04819153,-0.000842076,-0.002610659,-0.001768583
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Velocity,0.048244365,0.048100312,0.048010573,-0.000144052,-0.000233792,-8.97E-05
