subject_id,motion,record_id,feature,Pre,Main,Post,Delta_MinusPre,Delta_PostMinusPre,Delta_PostMinusMain
p02,Global,hook_left_p02_Global_002_similarity_matrix,rotation,0.644528859,0.571766919,0.468228059,-0.07276194,-0.176300799,-0.10353886
p02,Global,hook_right_p02_Global_001_similarity_matrix,rotation,0.205738431,0.324906652,0.388446863,0.119168221,0.182708432,0.063540212
p02,Global,jap_p02_Global_similarity_matrix,rotation,0.841088118,0.79088182,0.792265088,-0.050206299,-0.04882303,0.001383268
p02,Global,straight_p02_Global_003_similarity_matrix,rotation,0.512547992,0.455158857,0.444255356,-0.057389135,-0.068292637,-0.010903502
p02,Global,uppercut_left_p02_Global_003_similarity_matrix,rotation,0.696930278,0.643227574,0.560891902,-0.053702704,-0.136038376,-0.082335672
p02,Global,uppercut_right_p02_Global_002_similarity_matrix,rotation,0.472919727,0.336454158,0.12831336,-0.136465569,-0.344606367,-0.208140798
p04,Global,hook_left_p04_Global_002_similarity_matrix,rotation,0.781477098,0.797032197,0.842318035,0.015555099,0.060840937,0.045285838
p04,Global,hook_right_p04_Global_001_similarity_matrix,rotation,0.430130539,0.447884118,0.380819827,0.017753579,-0.049310712,-0.067064292
p04,Global,jap_p04_Global_similarity_matrix,rotation,0.310530702,0.876874662,0.796032377,0.56634396,0.485501676,-0.080842285
p04,Global,straight_p04_Global_003_similarity_matrix,rotation,0.68323028,0.829035084,0.80325723,0.145804804,0.12002695,-0.025777855
p04,Global,uppercut_left_p04_Global_003_similarity_matrix,rotation,0.561673339,0.847528193,0.833404669,0.285854855,0.27173133,-0.014123525
p04,Global,uppercut_right_p04_Global_002_similarity_matrix,rotation,0.656961411,0.668719226,0.631089316,0.011757814,-0.025872096,-0.03762991
p05,Global,hook_left_p05_Global_002_similarity_matrix,rotation,0.476737905,0.785046056,0.734697225,0.308308151,0.25795932,-0.050348831
p05,Global,hook_right_p05_Global_001_similarity_matrix,rotation,0.676355421,0.717052604,0.678249698,0.040697183,0.001894277,-0.038802906
p05,Global,jap_p05_Global_similarity_matrix,rotation,0.777175559,0.87700682,0.850035831,0.099831261,0.072860272,-0.026970989
p05,Global,straight_p05_Global_003_similarity_matrix,rotation,0.831656478,0.865220113,0.872102843,0.033563635,0.040446366,0.006882731
p05,Global,uppercut_left_p05_Global_003_similarity_matrix,rotation,0.600434909,0.767702437,0.699025997,0.167267528,0.098591088,-0.06867644
p05,Global,uppercut_right_p05_Global_002_similarity_matrix,rotation,0.701672866,0.71930435,0.729802968,0.017631484,0.028130102,0.010498619
p06,Global,hook_left_p06_Global_002_similarity_matrix,rotation,0.769202484,0.794072115,0.732616453,0.02486963,-0.036586031,-0.061455661
p06,Global,hook_right_p06_Global_001_similarity_matrix,rotation,0.435159743,0.52572027,0.510683661,0.090560527,0.075523918,-0.01503661
p06,Global,jap_p06_Global_similarity_matrix,rotation,0.866081049,0.775135027,0.793490234,-0.090946022,-0.072590815,0.018355207
p06,Global,straight_p06_Global_003_similarity_matrix,rotation,0.724449613,0.800183535,0.694676361,0.075733922,-0.029773252,-0.105507174
p06,Global,uppercut_left_p06_Global_003_similarity_matrix,rotation,0.740162045,0.827210248,0.802270663,0.087048203,0.062108618,-0.024939585
p06,Global,uppercut_right_p06_Global_002_similarity_matrix,rotation,0.722354782,0.577033759,0.495662361,-0.145321023,-0.226692421,-0.081371398
p07,Global,hook_left_p07_Global_002_similarity_matrix,rotation,0.756786347,0.821385008,0.748951966,0.06459866,-0.007834381,-0.072433041
p07,Global,hook_right_p07_Global_001_similarity_matrix,rotation,0.651843023,0.693217691,0.634546017,0.041374668,-0.017297006,-0.058671674
p07,Global,jap_p07_Global_similarity_matrix,rotation,0.792885413,0.853938086,0.874774498,0.061052673,0.081889085,0.020836412
p07,Global,straight_p07_Global_003_similarity_matrix,rotation,0.855413742,0.790384472,0.874080778,-0.065029271,0.018667036,0.083696307
p07,Global,uppercut_left_p07_Global_003_similarity_matrix,rotation,0.717265235,0.643227574,0.560891902,-0.074037661,-0.156373333,-0.082335672
p07,Global,uppercut_right_p07_Global_002_similarity_matrix,rotation,0.524679159,0.280142879,0.494581257,-0.244536281,-0.030097902,0.214438378
p08,Global,hook_left_p08_Global_002_similarity_matrix,rotation,0.798181853,0.833373616,0.827865502,0.035191763,0.029683649,-0.005508114
p08,Global,hook_right_p08_Global_001_similarity_matrix,rotation,0.603792102,0.587524055,0.582228611,-0.016268047,-0.021563491,-0.005295444
