hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_hook_right_main_001,0.251834945,0.495457472,0.269917253,0.26489071,0.323405989,0.235937895,0.050908323,0.051480762,0.051669221,0.531982117,0.867248995,0.867248995,0.84501241
p22_hook_right_main_002,0.243074084,0.495672559,0.266554451,0.2544515,0.26194426,0.219095338,0.050619226,0.050238905,0.04889046,0.470381602,0.838361353,0.838361353,0.758971046
p22_hook_right_main_003,0.213946522,0.432459451,0.264779929,0.263033301,0.319794725,0.251598472,0.05038275,0.047969335,0.047764295,0.547067828,0.815221786,0.815221786,0.830029256
p22_hook_right_main_004,0.224123073,0.482717143,0.270011501,0.25170086,0.318684213,0.21994166,0.050708079,0.050246391,0.047978503,0.586790516,0.766982874,0.766982874,
p22_hook_right_main_005,0.226375275,0.486350575,0.271441268,0.259381964,0.329257928,0.256535588,0.05146076,0.050906722,0.049527765,0.548125339,0.85639806,0.85639806,
p22_hook_right_main_006,0.220930335,0.491196325,0.252165144,0.24428935,0.30698042,0.232179896,0.051523374,0.049830042,0.047850209,0.536716478,0.793173353,0.793173353,
p22_hook_right_main_007,0.210041388,0.473582064,0.264151841,0.244622152,0.296721439,0.235086792,0.051257784,0.052481887,0.048670579,0.503790428,0.815890288,0.815890288,
p22_hook_right_main_008,0.230556259,0.469789455,0.236396832,0.218388586,0.30714245,0.212153851,0.052545907,0.052489298,0.04765959,0.523413403,0.742886866,0.742886866,
p22_hook_right_main_009,0.251641732,0.475185161,0.257815313,0.250806168,0.30865444,0.238789887,0.053096542,0.054000176,0.048125532,0.505673443,0.848059665,0.848059665,
p22_hook_right_main_010,0.256286391,0.499908502,0.273136204,0.253344671,0.329644894,0.251482525,0.051513564,0.052488826,0.050752747,0.527463833,0.889554627,0.889554627,
p22_hook_right_main_011,0.245464513,0.490959082,0.287616825,0.269899862,0.342302351,0.251640766,0.051023083,0.051235946,0.05027539,0.560908053,0.890652291,0.890652291,
p22_hook_right_main_012,0.263667278,0.499796754,0.27234124,0.252822445,0.354567799,0.276099403,0.051872259,0.052312101,0.048310817,0.550543669,0.919705679,0.919705679,
p22_hook_right_main_013,0.234746287,0.497699633,0.275663327,0.273431044,0.319609975,0.23964943,0.050895101,0.050450782,0.049237971,0.536687368,0.873060679,0.873060679,
p22_hook_right_main_014,0.248406673,0.496111784,0.273487831,0.245866906,0.315658048,0.234087035,0.050882423,0.051834863,0.049258261,0.534097706,0.844355082,0.844355082,
p22_hook_right_main_015,0.287793527,0.461850327,0.303670612,0.285986117,0.340167873,0.247921797,0.052550689,0.05600386,0.049385826,0.586803224,0.896024281,0.896024281,
p22_hook_right_main_016,0.23802919,0.497428017,0.280262127,0.258245614,0.313790528,0.233759839,0.05071781,0.049933628,0.049495377,0.527564767,0.861895451,0.861895451,
p22_hook_right_main_017,0.231265474,0.46950188,0.268286641,0.256007274,0.296103449,0.226273377,0.05187478,0.05119056,0.048012965,0.517436266,0.824085696,0.824085696,
p22_hook_right_main_018,0.216992557,0.495491999,0.28093129,0.267583215,0.22199581,0.232432344,0.051600511,0.05171874,0.048191676,0.495412616,0.807433675,0.807433675,
p22_hook_right_main_019,0.21519844,0.497117088,0.27668969,0.251578282,0.228033505,0.238080256,0.05162397,0.051221881,0.0492939,0.46502733,0.823173886,0.823173886,
p22_hook_right_main_020,0.236017941,0.4449161,0.241922524,0.250327862,0.341787113,0.236165338,0.052903318,0.054629634,0.048496426,0.521884297,0.823382045,0.823382045,
p22_hook_right_main_021,0.244449093,0.448811131,0.255084728,0.274371887,0.329050649,0.244908035,0.052784334,0.053922923,0.048378962,0.561516035,0.824648882,0.824648882,
p22_hook_right_main_022,0.219425592,0.466349114,0.278395846,0.256406245,0.326321759,0.244588507,0.05098711,0.051162806,0.048289862,0.538031515,0.846749211,0.846749211,
p22_hook_right_main_023,0.235670204,0.492822887,0.291173101,0.283800475,0.335291407,0.238824812,0.051897621,0.051286418,0.05005493,0.570528879,0.875370824,0.875370824,
p22_hook_right_main_024,0.265282952,0.496718276,0.268444733,0.268248164,0.33400704,0.260774349,0.051214149,0.052671973,0.050435007,0.542550308,0.90153244,0.90153244,
p22_hook_right_main_025,0.218354059,0.483537753,0.277397405,0.257953296,0.325741013,0.226776565,0.051925798,0.052621946,0.047893153,0.540806425,0.83439141,0.83439141,
p22_hook_right_main_026,0.214403222,0.495903837,0.29272922,0.278687065,0.22687967,0.239651314,0.052115992,0.052829795,0.048059559,0.503268997,0.827745491,0.827745491,
p22_hook_right_main_027,0.223676112,0.454456846,0.300943707,0.272623285,0.338972744,0.288544268,0.053132057,0.056387314,0.047646686,0.566442417,0.902153642,0.902153642,
