uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_left_main_001,0.302889925,0.470571481,0.258852117,0.23423959,0.295599631,0.254135651,0.049529895,0.050185915,0.04775068,0.545566762,0.833042027,0.833042027,0.813652901
p22_uppercut_left_main_002,0.311776857,0.4777593,0.230680214,0.249663987,0.317646704,0.312605679,0.051585801,0.052220156,0.04774611,0.613641146,0.82912052,0.82912052,0.760694067
p22_uppercut_left_main_003,0.273661269,0.380363183,0.216829431,0.21545352,0.249459805,0.253883393,0.049279213,0.049809972,0.047674011,0.451363037,0.755836282,0.755836282,0.800385398
p22_uppercut_left_main_004,0.277784958,0.487469701,0.263309627,0.267393808,0.293186083,0.298188569,0.051209465,0.05214008,0.047779082,0.582251071,0.859265359,0.859265359,
p22_uppercut_left_main_005,0.219420097,0.370567365,0.218650257,0.213445081,0.239953513,0.246366015,0.049689592,0.049959465,0.04764366,0.459638686,0.693816622,0.693816622,
p22_uppercut_left_main_006,0.261240622,0.476602853,0.25463025,0.259811839,0.293437109,0.311833825,0.050800467,0.052860594,0.0479335,0.545657836,0.876987166,0.876987166,
p22_uppercut_left_main_007,0.245393698,0.478731195,0.241878727,0.253311708,0.28836578,0.289102004,0.051357525,0.052692107,0.047774307,0.540784465,0.828565229,0.828565229,
p22_uppercut_left_main_008,0.285730064,0.473993826,0.249325665,0.222015811,0.285825828,0.302772401,0.049477623,0.050532377,0.048165518,0.521051519,0.859917156,0.859917156,
p22_uppercut_left_main_009,0.292332751,0.493721635,0.258261667,0.263511297,0.323542953,0.341803084,0.051133302,0.052607607,0.047833218,0.595893034,0.918264536,0.918264536,
p22_uppercut_left_main_010,0.286705074,0.497086864,0.256578113,0.268806411,0.320658488,0.343246942,0.051298609,0.053243659,0.048396617,0.592979727,0.920133768,0.920133768,
p22_uppercut_left_main_011,0.281883189,0.494824225,0.278149091,0.279559484,0.320411895,0.335894466,0.051396742,0.052722242,0.048365644,0.619550857,0.915165593,0.915165593,
