uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_right_main_001,0.232188443,0.382467696,0.239869852,0.258507799,0.188949261,0.195395787,0.051554379,0.047872492,0.047642047,0.503177313,0.62927681,0.62927681,0.675483734
p22_uppercut_right_main_002,0.235062901,0.45186619,0.223252773,0.219600944,0.194446094,0.18130949,0.051539049,0.047842457,0.047621718,0.488811998,0.621996958,0.621996958,0.69478924
p22_uppercut_right_main_003,0.204068647,0.410053676,0.232592126,0.17856615,0.182776391,0.206037364,0.050243913,0.047725688,0.047621536,0.549813007,0.505385442,0.505385442,0.570057548
p22_uppercut_right_main_004,0.251182113,0.443252369,0.28281286,0.254135051,0.211785049,0.206118026,0.050754464,0.049105303,0.047641379,0.529528929,0.713844907,0.713844907,
p22_uppercut_right_main_005,0.251124444,0.400102122,0.237879889,0.243714382,0.196810459,0.185679477,0.051510738,0.047859391,0.047622261,0.508566631,0.625274743,0.625274743,
p22_uppercut_right_main_006,0.272064244,0.423866175,0.262248833,0.251097337,0.261172772,0.22409721,0.051090741,0.048369039,0.047634753,0.485445344,0.803343241,0.803343241,
p22_uppercut_right_main_007,0.234125055,0.477808574,0.239208387,0.245449969,0.254614982,0.212620568,0.053466552,0.047854713,0.04785343,0.513160065,0.735562157,0.735562157,
p22_uppercut_right_main_008,0.248559776,0.408443749,0.268759067,0.26802885,0.280974181,0.201048162,0.051963171,0.048040021,0.047676022,0.489551143,0.796742392,0.796742392,
p22_uppercut_right_main_009,0.162664354,0.328218821,0.197146757,0.139619289,0.184833481,0.19636658,0.0538335,0.048410322,0.047619793,0.580972662,0.311574236,0.311574236,
p22_uppercut_right_main_010,0.198759735,0.441055665,0.229951581,0.235508712,0.203390585,0.167188622,0.051838906,0.047875848,0.047623988,0.473680052,0.62316174,0.62316174,
p22_uppercut_right_main_011,0.243627057,0.449038445,0.257839539,0.240304666,0.2080312,0.193250883,0.051385011,0.047903969,0.04762891,0.533062389,0.658901041,0.658901041,
