jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_jap_main_001,0.353156418,0.456068615,0.342340615,0.244179724,0.263983509,0.220154519,0.047755151,0.047704004,0.047620731,0.553211572,0.868368316,0.773821293,0.818155301
p22_jap_main_002,0.340085223,0.430610416,0.303177093,0.280705422,0.24372584,0.175622607,0.047834757,0.047772741,0.047619277,0.503322759,0.835844293,0.736087832,0.773330319
p22_jap_main_003,0.344578436,0.434286055,0.320336946,0.284900975,0.251403775,0.186717637,0.04776446,0.047996819,0.047620358,0.538143682,0.843998037,0.75224173,0.781661733
p22_jap_main_004,0.336603331,0.464748482,0.330894175,0.279035483,0.262692847,0.207872613,0.047985374,0.048338242,0.04762117,0.556911724,0.871371312,0.777033436,
p22_jap_main_005,0.325894336,0.481647699,0.328523295,0.295809967,0.277672531,0.30588693,0.04858233,0.052592241,0.047758329,0.623766966,0.924956464,0.834599614,
p22_jap_main_006,0.348762659,0.486893423,0.31571359,0.289590203,0.28731205,0.311767301,0.048407557,0.052788341,0.047728451,0.630860523,0.928267465,0.839045382,
p22_jap_main_007,0.305883248,0.478626057,0.320634563,0.302028647,0.264733671,0.259808123,0.047850902,0.048619177,0.047627047,0.596859819,0.884972088,0.798538407,
p22_jap_main_008,0.330592526,0.466885212,0.309548291,0.295042745,0.276498785,0.263939439,0.048094455,0.051330054,0.047658298,0.5771132,0.906844591,0.807925174,
p22_jap_main_009,0.300822791,0.496235516,0.335745999,0.305346628,0.268986373,0.270524197,0.047923427,0.049307326,0.047667924,0.613490054,0.906103665,0.818319582,
p22_jap_main_010,0.343441137,0.489983646,0.324960359,0.305943926,0.282331545,0.344150325,0.048310196,0.053114673,0.047708389,0.672948742,0.936857195,0.857684659,
p22_jap_main_011,0.33093846,0.490658339,0.330544829,0.311769284,0.285813053,0.309278416,0.04807569,0.049422449,0.047764449,0.659992872,0.927501254,0.84724874,
p22_jap_main_012,0.341383725,0.493527688,0.322710494,0.310463637,0.281344909,0.323122762,0.04833539,0.053016148,0.047671796,0.665634649,0.926165109,0.848005971,
p22_jap_main_013,0.332691093,0.453078086,0.337744859,0.244889884,0.258280962,0.210121495,0.047838382,0.047856361,0.047619781,0.547612491,0.845116915,0.755865588,
p22_jap_main_014,0.321967168,0.484207331,0.337401618,0.300280128,0.2656915,0.278251251,0.04786304,0.049539469,0.047627707,0.615025927,0.90991915,0.821451183,
p22_jap_main_015,0.319919147,0.489354326,0.33375087,0.322601409,0.291073194,0.294926973,0.048438636,0.053228588,0.047792752,0.662508705,0.921068771,0.843500751,
p22_jap_main_016,0.323172398,0.500734869,0.334174935,0.295990663,0.272087809,0.273959765,0.047871444,0.048965018,0.047639585,0.640422299,0.890785013,0.815676199,
p22_jap_main_017,0.320364016,0.496824851,0.32916321,0.318020503,0.296531168,0.30320559,0.048213173,0.051979316,0.047905094,0.656859976,0.935049872,0.851592903,
p22_jap_main_018,0.296269918,0.494759279,0.295405733,0.311618793,0.287609105,0.341292085,0.048203623,0.050091112,0.047643265,0.646187911,0.924521337,0.841021309,
p22_jap_main_019,0.287616641,0.481503581,0.329294009,0.305311843,0.277651423,0.27735333,0.047817511,0.049180748,0.047640242,0.611648713,0.904168559,0.816412606,
p22_jap_main_020,0.297610315,0.481440176,0.339565182,0.296234908,0.275376128,0.280403105,0.048032891,0.049987406,0.047623113,0.623423357,0.89947363,0.816658548,
p22_jap_main_021,0.280344879,0.495378806,0.318235041,0.29673505,0.284187065,0.285168993,0.047894236,0.049774744,0.047623738,0.605351062,0.907418249,0.816798093,
p22_jap_main_022,0.301462079,0.49611723,0.29401501,0.315399178,0.291135295,0.340751922,0.047883371,0.049873496,0.047632182,0.663347962,0.917650381,0.841359655,
p22_jap_main_023,0.289471434,0.452651677,0.341773125,0.294642306,0.269932815,0.231819297,0.047849745,0.047894943,0.047619397,0.567498732,0.886172348,0.790570264,
p22_jap_main_024,0.287263602,0.496692501,0.343617827,0.317945841,0.277632298,0.30276367,0.048060607,0.049904218,0.047641158,0.673505362,0.901833143,0.833334809,
p22_jap_main_025,0.285120757,0.476856217,0.345801476,0.329890842,0.26687621,0.268392705,0.048098813,0.049756396,0.047662234,0.621845687,0.909425765,0.823151741,
p22_jap_main_026,0.287135458,0.494341724,0.322123398,0.315300168,0.283433676,0.305427311,0.048265722,0.051594984,0.047670854,0.627754652,0.926168242,0.836644165,
p22_jap_main_027,0.280757529,0.500353342,0.332875761,0.315430345,0.272433403,0.304540006,0.048062666,0.04978697,0.047624305,0.656027981,0.900039612,0.826836123,
p22_jap_main_028,0.301408877,0.500271863,0.305605837,0.316818423,0.289645454,0.321805019,0.04830226,0.051112755,0.047634737,0.669429817,0.904168901,0.833747176,
p22_jap_main_029,0.287952327,0.493904016,0.354679697,0.323821575,0.270413811,0.270769047,0.047814124,0.049025804,0.047624289,0.657497697,0.894204956,0.823192778,
p22_jap_main_030,0.327524455,0.502801174,0.316978402,0.315241255,0.290231318,0.350768006,0.048132774,0.050306581,0.04772898,0.680679984,0.945841907,0.86629333,
p22_jap_post_001,0.296394555,0.438224259,0.361773987,0.291862707,0.257670382,0.214833281,0.04787567,0.047869834,0.047621906,0.567796013,0.870840841,0.779927392,
p22_jap_post_002,0.291408987,0.473990768,0.318029356,0.290747326,0.259070529,0.219995432,0.047691036,0.047715816,0.04762051,0.568949514,0.848330146,0.764515956,
p22_jap_post_003,0.327853295,0.500059552,0.300632824,0.285416101,0.281779491,0.302426079,0.047811659,0.048953416,0.047621746,0.632426566,0.895899051,0.816857305,
p22_jap_post_004,0.330432082,0.479874946,0.301371774,0.269460063,0.278993894,0.249421637,0.047812469,0.047720952,0.047620022,0.557474545,0.891713781,0.79144201,
p22_jap_post_005,0.314355527,0.483412276,0.308623315,0.275805198,0.270857042,0.246368048,0.047743793,0.047776498,0.047619553,0.558353278,0.886996341,0.788403422,
p22_jap_post_006,0.280361949,0.492942955,0.320577291,0.2847021,0.268295999,0.227698814,0.047709912,0.047714795,0.047620605,0.562002719,0.870976341,0.778284255,
p22_jap_post_007,0.305379139,0.497637537,0.316155254,0.316322859,0.272529482,0.339522861,0.048065084,0.049932719,0.047627532,0.682356881,0.904317618,0.837729397,
p22_jap_post_008,0.320109571,0.458692351,0.310337866,0.276380897,0.262658635,0.259421941,0.047801761,0.047766865,0.047620281,0.626612153,0.82225825,0.763564421,
p22_jap_post_009,0.287346002,0.470944341,0.256107699,0.273288769,0.262446737,0.245173719,0.047797621,0.048307034,0.047619183,0.533780057,0.830988442,0.741825927,
p22_jap_post_010,0.287806232,0.438261525,0.240591858,0.250919447,0.248724692,0.191209057,0.047778577,0.047697326,0.047619093,0.506544515,0.741128209,0.670753101,
p22_jap_pre_001,0.321591787,0.490515641,0.347177359,0.26255393,0.255381247,0.316522933,0.047948097,0.048274242,0.047713115,0.621701684,0.909545543,0.823192385,
p22_jap_pre_002,0.325505332,0.486866599,0.340145163,0.265212003,0.256185418,0.313145659,0.048019685,0.048889643,0.047639128,0.616824477,0.905632516,0.818990104,
