straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_straight_main_001,0.213069575,0.379558891,0.22484389,0.247789552,0.223833963,0.25675805,0.047753235,0.047808569,0.047624709,0.508108093,0.688343824,0.634273104,0.660837544
p22_straight_main_002,0.24452163,0.472290893,0.277120782,0.263780246,0.35446025,0.280568653,0.055105389,0.056147407,0.051337159,0.516314116,0.93761793,0.811226786,0.725526727
p22_straight_main_003,0.217196368,0.408700651,0.22899284,0.224355286,0.230838539,0.2717445,0.047745914,0.047886253,0.047624179,0.440476304,0.773049802,0.673277753,0.686568034
p22_straight_main_004,0.187417888,0.343640822,0.188704324,0.232784267,0.177672078,0.237397677,0.048026155,0.048019558,0.04761998,0.391219622,0.656343974,0.576806668,
p22_straight_main_005,0.174342104,0.373115064,0.198604152,0.229816756,0.200774293,0.255207155,0.048012241,0.047968176,0.047620419,0.396959412,0.704104513,0.611960983,
p22_straight_main_006,0.243357757,0.469346122,0.266819949,0.232587202,0.321792052,0.288484823,0.047937197,0.054736881,0.051528996,0.495092093,0.901295738,0.779434645,
p22_straight_main_007,0.123767699,0.338169604,0.187924174,0.242976464,0.167123514,0.223882796,0.047851712,0.047774274,0.047619683,0.41460375,0.576527589,0.527950437,
p22_straight_main_008,0.241722697,0.462219353,0.278044613,0.249376767,0.338386628,0.263300752,0.048371156,0.054840679,0.052494918,0.557017778,0.855349872,0.765850243,
p22_straight_main_009,0.209606897,0.435927204,0.176120295,0.232779292,0.240411319,0.240293938,0.048073976,0.047871491,0.052696583,0.434067837,0.743089693,0.650383136,
p22_straight_main_010,0.183378623,0.344146029,0.182128138,0.228728074,0.18213452,0.240062414,0.047983642,0.048034722,0.047620562,0.385639455,0.657301849,0.575803131,
p22_straight_main_011,0.22824033,0.426512548,0.243122702,0.229121376,0.243458889,0.294571837,0.047732905,0.047976133,0.047623973,0.460763054,0.822406775,0.713913659,
p22_straight_main_012,0.256702537,0.481630385,0.257676898,0.245475023,0.345275723,0.292952495,0.04799118,0.054213286,0.049988301,0.547995143,0.897561614,0.792691672,
p22_straight_main_013,0.230431019,0.479643475,0.289014301,0.254318601,0.341981701,0.287238741,0.047993607,0.052533296,0.053070229,0.557973427,0.900010272,0.797399219,
p22_straight_main_014,0.114434063,0.330110937,0.188552913,0.224096159,0.160921242,0.201488141,0.048019052,0.047770151,0.04761943,0.420175596,0.515593355,0.486968028,
p22_straight_main_015,0.211158445,0.410817028,0.213950777,0.223077478,0.227336994,0.277114444,0.04772228,0.047915711,0.047626379,0.438733588,0.759958546,0.663591059,
p22_straight_main_016,0.13992421,0.326678333,0.183353106,0.239809931,0.173762776,0.228450922,0.04799563,0.047811517,0.047623091,0.409585753,0.588084379,0.534534791,
p22_straight_main_017,0.197077921,0.409372567,0.207100395,0.226782172,0.209067443,0.257335445,0.047735542,0.047921298,0.04762193,0.42219458,0.727766872,0.636095184,
p22_straight_main_018,0.160305229,0.384692718,0.19296998,0.231482203,0.17195765,0.237283128,0.047973686,0.047834151,0.047619717,0.417316652,0.630876438,0.566808502,
p22_straight_main_019,0.2454845,0.452139342,0.270715086,0.240092898,0.347691406,0.289587369,0.047953198,0.054372555,0.050266676,0.530014299,0.900514507,0.789364445,
p22_straight_main_020,0.211155614,0.391605171,0.214091675,0.228130297,0.22620804,0.258394224,0.047736019,0.047928339,0.047625074,0.420604544,0.754096331,0.654048795,
p22_straight_main_021,0.172851987,0.358773855,0.211652798,0.229704213,0.193671268,0.263081528,0.047991939,0.047729246,0.04762065,0.4097453,0.698398888,0.611802812,
p22_straight_main_022,0.174377482,0.368289802,0.210094488,0.236356603,0.182869638,0.256455993,0.047941194,0.047810356,0.047620104,0.397391926,0.705968399,0.613395457,
p22_straight_main_023,0.237750874,0.473333849,0.234726668,0.238311449,0.333948663,0.275099618,0.047857705,0.047969101,0.048148551,0.51482154,0.867350552,0.761591848,
p22_straight_main_024,0.235370525,0.467673544,0.268479519,0.248765942,0.332854152,0.295453807,0.0480178,0.052923133,0.048590651,0.534415087,0.89930301,0.789836633,
p22_straight_main_025,0.214541815,0.429452981,0.206414363,0.229723179,0.224313525,0.261302797,0.047746064,0.048002509,0.048248648,0.418972496,0.780716614,0.672193379,
p22_straight_main_026,0.197977579,0.447577925,0.222764625,0.228668248,0.218258674,0.254941982,0.047728682,0.047819113,0.04762696,0.445251119,0.750302398,0.658787015,
p22_straight_main_027,0.201401952,0.417665155,0.183757861,0.23749597,0.231167771,0.258309726,0.048079079,0.047974468,0.047646072,0.440657062,0.733570021,0.645696133,
p22_straight_main_028,0.216607253,0.389897724,0.235644702,0.23340283,0.235992053,0.268095089,0.047771669,0.048165139,0.047623551,0.452979427,0.769743706,0.674714422,
p22_straight_main_029,0.154659413,0.354988348,0.202928717,0.243556927,0.177111646,0.232121846,0.048029859,0.047669137,0.047619863,0.423201496,0.629781626,0.567807587,
p22_straight_main_030,0.190925387,0.357629225,0.186934399,0.22689274,0.196806473,0.23980505,0.048035302,0.04798595,0.047620185,0.407493584,0.663815301,0.586918786,
p22_straight_post_001,0.229271211,0.430270153,0.254802322,0.234856103,0.239453851,0.305949463,0.04778447,0.048016908,0.047690817,0.489347614,0.822524614,0.722571514,
p22_straight_post_002,0.236026326,0.462788689,0.311817728,0.248850956,0.341551115,0.291342547,0.048220884,0.048260933,0.050800175,0.55169347,0.928225781,0.815266088,
p22_straight_post_003,0.241053785,0.465346524,0.320809661,0.255535828,0.32437728,0.274206834,0.048233866,0.048266646,0.050505276,0.539564827,0.925639167,0.809816865,
p22_straight_post_004,0.24109125,0.472852499,0.299047935,0.292462911,0.348758157,0.293830043,0.049232116,0.065104184,0.054302995,0.577539591,0.927950288,0.822827079,
p22_straight_post_005,0.239658196,0.468798513,0.293906462,0.260858562,0.333733185,0.252839541,0.048762478,0.059834987,0.050381573,0.568124627,0.856890882,0.770261005,
p22_straight_post_006,0.06096733,0.274941305,0.161359064,0.091327043,0.100242024,0.162741246,0.04780866,0.04769303,0.047619048,0.513574708,0.104616272,0.227303803,
p22_straight_post_007,0.173770642,0.385834013,0.233421751,0.28755301,0.22597947,0.24989786,0.047795947,0.048062172,0.047622052,0.491767682,0.730228899,0.658690534,
p22_straight_post_008,0.218917029,0.461515245,0.282167123,0.270853859,0.34283671,0.264247222,0.048161536,0.048186167,0.056587045,0.543720703,0.888576661,0.785119874,
p22_straight_post_009,0.242936206,0.477058643,0.317853107,0.312596927,0.361458155,0.293563243,0.04893112,0.064779772,0.055675872,0.631009974,0.928032193,0.838925528,
p22_straight_post_010,0.222247847,0.458533732,0.331613075,0.307822336,0.327719983,0.254332723,0.048806485,0.048132794,0.054374757,0.605437056,0.889791233,0.80448498,
p22_straight_pre_001,0.199840243,0.429630779,0.229049649,0.259127226,0.218490794,0.259254889,0.047729915,0.047888683,0.047623086,0.499581733,0.725763464,0.657908945,
p22_straight_pre_002,0.237057657,0.46472843,0.274800558,0.242615182,0.278303524,0.258962997,0.047813449,0.048218316,0.051548175,0.488374269,0.856137905,0.745808814,
p22_straight_pre_003,0.253490428,0.470122114,0.305801126,0.314290397,0.365668379,0.275497237,0.05105983,0.063051691,0.054144302,0.597344491,0.937847218,0.8356964,
p22_straight_pre_004,0.209628875,0.437413397,0.197655453,0.245448449,0.178937434,0.260331441,0.047919223,0.048025125,0.047621456,0.45980349,0.695419754,0.624734875,
p22_straight_pre_005,0.240360377,0.470697697,0.296283816,0.260944843,0.356747111,0.262931611,0.048235656,0.048027292,0.058146203,0.540946937,0.91998251,0.806271838,
p22_straight_pre_006,0.175919398,0.366784251,0.177180076,0.245825599,0.188505842,0.224335803,0.048078276,0.047930871,0.04762092,0.436143413,0.618269301,0.563631534,
p22_straight_pre_007,0.158376474,0.345503587,0.181232026,0.245933151,0.177359745,0.209762779,0.04810542,0.047978823,0.047620056,0.441390825,0.572176536,0.532940823,
p22_straight_pre_008,0.183775769,0.429855011,0.20328358,0.259053577,0.236393017,0.232721681,0.048059397,0.047964165,0.051063411,0.479694628,0.714162017,0.6438218,
p22_straight_pre_009,0.196493266,0.369007031,0.212478678,0.240725118,0.208439917,0.263764353,0.047979384,0.047763496,0.047620455,0.439070434,0.71532845,0.632451045,
p22_straight_pre_010,0.232389241,0.468207573,0.303539883,0.278881522,0.365458057,0.278988057,0.048171223,0.057191356,0.05200817,0.569836847,0.930661726,0.822414262,
AVG,0.204460618,0.415909775,0.236427044,0.244716015,0.254649933,0.25912573,0.048236047,0.0502358,0.049588261,0.481475029,0.763541385,0.678921478,
