uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_right_main_001,0.188573304,0.417137478,0.220173869,0.280146298,0.154719368,0.19864738,0.04809359,0.047702025,0.047621193,0.52901966,0.574814249,0.561075872,0.601117186
p22_uppercut_right_main_002,0.211083608,0.405478186,0.213138737,0.252057181,0.166941755,0.175904868,0.047820656,0.047868287,0.047623673,0.464704129,0.601655424,0.560570035,0.631354664
p22_uppercut_right_main_003,0.204120828,0.394832459,0.230247618,0.193529555,0.163085857,0.190351094,0.047732509,0.04770995,0.047620927,0.514322963,0.51952117,0.517961708,0.545610486
p22_uppercut_right_main_004,0.239817018,0.426263108,0.262817451,0.278208299,0.202056853,0.209898528,0.04773889,0.047800346,0.047620247,0.514762578,0.723388318,0.660800596,
p22_uppercut_right_main_005,0.221831711,0.403427473,0.209536885,0.259973085,0.191865026,0.183604746,0.048191925,0.047788574,0.047622161,0.515049872,0.589195252,0.566951638,
p22_uppercut_right_main_006,0.264865117,0.411998906,0.257699716,0.262257124,0.252758379,0.212391351,0.047779198,0.047835605,0.047622943,0.476699801,0.796250869,0.700385548,
p22_uppercut_right_main_007,0.206980437,0.458687228,0.219934971,0.257246986,0.24864633,0.221389682,0.048914867,0.049042524,0.047913637,0.503518656,0.714476742,0.651189316,
p22_uppercut_right_main_008,0.234170106,0.409076533,0.259797238,0.284612131,0.261746959,0.203246438,0.04802806,0.047774439,0.04763638,0.491930685,0.787926484,0.699127744,
p22_uppercut_right_main_009,0.187187224,0.33233698,0.194826599,0.129297928,0.179400028,0.194131702,0.047895894,0.047882182,0.04761946,0.519882886,0.38111146,0.422742888,
p22_uppercut_right_main_010,0.159011588,0.413660294,0.210434599,0.258018002,0.167109593,0.191507613,0.048325265,0.047924134,0.047621177,0.496447632,0.557971762,0.539514523,
p22_uppercut_right_main_011,0.186208657,0.430071507,0.224188944,0.267229143,0.172081588,0.189538587,0.048276207,0.047676291,0.047622483,0.546530537,0.570915401,0.563599941,
p22_uppercut_right_main_012,0.21850708,0.41526698,0.256241368,0.284514512,0.25977708,0.189398093,0.048266155,0.047884342,0.047689265,0.533479207,0.714717525,0.66034603,
p22_uppercut_right_main_013,0.204107857,0.421733358,0.203811405,0.262212426,0.197337235,0.175727092,0.048225816,0.047818243,0.04762099,0.489181489,0.605360113,0.570506526,
p22_uppercut_right_main_014,0.156615443,0.401080742,0.202672994,0.251560115,0.153354843,0.164737229,0.048309346,0.047949136,0.047625541,0.455246119,0.535672079,0.511544291,
p22_uppercut_right_main_015,0.193548914,0.432974645,0.173444138,0.23336387,0.171312209,0.159072542,0.048436519,0.047883962,0.04762183,0.452045948,0.546611461,0.518241807,
p22_uppercut_right_main_016,0.215015119,0.428764948,0.248264634,0.272776815,0.211087513,0.208664314,0.047727028,0.047824034,0.047626531,0.469760863,0.746883863,0.663746963,
