Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.008447,0.913755,0.033509,0.404793,17.957369,86.80056,102.279831,-0.028785,0.917385,0.134305,0.373548,17.631987,94.426498,102.695679,0.004345,0.929944,0.031295,0.366342,14.793134,112.265327,106.865242,0.099103,0.953313,-0.09778,0.267976,14.480643,133.270081,108.157265,0.030608,0.973539,-0.182287,0.134376,18.884575,146.712738,104.669914,-0.046931,0.860066,0.120076,0.493626,11.283478,127.308044,105.675484,-0.335707,0.701344,-0.045173,0.627198,1.823512,128.011917,89.661942,-0.002722,-0.198855,-0.454638,-0.86819,2.100554,115.983963,70.295387,-0.024533,-0.070383,-0.516751,-0.852885,16.271324,138.056,60.723793,-0.079751,0.961923,0.168126,0.200195,16.735872,127.076912,110.751747,0.409597,0.857204,0.18629,-0.250456,33.619583,128.679672,118.419304,0.075701,0.264868,0.512408,-0.813359,45.908539,114.797089,105.150261,0.005488,0.011314,0.694989,-0.718911,37.070072,135.759521,91.717842,0.040665,0.904058,0.181397,0.384864,11.691527,86.909554,95.378334,0.104451,0.94927,0.00869,0.296482,14.0458,53.754139,82.581551,0.004653,0.919676,0.001315,0.392649,5.252552,9.229016,79.010826,-0.136898,0.877954,-0.05486,0.455462,24.223209,86.691566,109.18132,-0.022562,0.855429,-0.161185,0.491683,31.005001,52.62381,117.053864,0.016048,0.882902,-0.009333,0.469191,25.546366,9.510347,130.618164,0.004653,0.919676,0.001315,0.392649,15.30612,3.152592,69.30249,0.016048,0.882902,-0.009333,0.469191,36.902531,3.014067,122.802498
1,0.008333,-0.008539,0.913664,0.033978,0.404959,17.886543,86.785553,102.125847,-0.029367,0.917412,0.134241,0.37346,17.556902,94.410988,102.547607,0.004412,0.930029,0.031036,0.366147,14.700182,112.245323,106.706276,0.099251,0.953375,-0.097731,0.267719,14.394564,133.250732,107.989273,0.030898,0.973716,-0.181424,0.134193,18.800764,146.692902,104.502953,-0.047533,0.860488,0.119301,0.493019,11.194534,127.288582,105.511475,-0.338726,0.700861,-0.045713,0.626075,1.714421,127.955521,89.50827,-0.000886,-0.196407,-0.455719,-0.868184,2.020156,115.825378,70.205986,-0.023404,-0.06914,-0.517584,-0.852513,16.179869,137.913437,60.713341,-0.079379,0.962037,0.167395,0.200409,16.649052,127.058014,110.585487,0.410303,0.857549,0.182995,-0.250546,33.53178,128.651917,118.257057,0.075933,0.26547,0.512334,-0.813188,45.792301,114.698387,105.036209,0.006322,0.011636,0.695471,-0.718432,36.963242,135.655502,91.569054,0.039952,0.903963,0.181998,0.384878,11.623229,86.896637,95.222092,0.103766,0.949609,0.007504,0.295666,14.040345,53.752708,82.407295,0.002934,0.919925,-0.001007,0.392083,5.270459,9.21287,78.965012,-0.137797,0.87716,-0.054958,0.456707,24.149857,86.674469,109.029602,-0.02369,0.854559,-0.161847,0.492923,30.971989,52.625061,116.946541,0.016325,0.882831,-0.010103,0.469298,25.551414,9.535819,130.602768,0.002934,0.919925,-0.001007,0.392083,15.320055,3.095487,69.278305,0.016325,0.882831,-0.010103,0.469298,36.901539,3.017163,122.796944
2,0.016667,-0.008358,0.913603,0.034627,0.405044,17.817009,86.764511,101.974228,-0.030033,0.91744,0.134152,0.373371,17.485844,94.389313,102.406136,0.004196,0.930104,0.030444,0.366008,14.608276,112.221977,106.55249,0.099357,0.953398,-0.097491,0.267686,14.303534,133.228989,107.809052,0.031119,0.973831,-0.180725,0.134249,18.710733,146.672684,104.329773,-0.047782,0.861063,0.118121,0.492275,11.10261,127.263794,105.339767,-0.341788,0.700264,-0.046778,0.624999,1.596079,127.896797,89.350853,0.000917,-0.193879,-0.456864,-0.868151,1.935456,115.649948,70.122971,-0.02209,-0.06818,-0.518676,-0.851962,16.086733,137.764862,60.710735,-0.079199,0.962013,0.166624,0.201235,16.558674,127.039513,110.412392,0.412481,0.856803,0.182481,-0.249898,33.430107,128.627533,118.109985,0.077572,0.265283,0.513332,-0.812464,45.623692,114.591614,104.914474,0.00704,0.012145,0.696333,-0.717582,36.844746,135.546814,91.41893,0.039387,0.903723,0.182743,0.385146,11.554926,86.883652,95.069489,0.103066,0.949867,0.006045,0.295118,14.033043,53.755878,82.224594,-0.001375,0.920542,-0.004852,0.390611,5.281716,9.201053,78.932327,-0.138699,0.876551,-0.05402,0.457715,24.07909,86.645378,108.878967,-0.024761,0.853727,-0.163556,0.493747,30.978172,52.606453,116.774284,0.016776,0.882817,-0.011059,0.469287,25.550068,9.572572,130.601028,-0.001375,0.920542,-0.004852,0.390611,15.330333,3.032049,69.277397,0.016776,0.882817,-0.011059,0.469287,36.888908,3.024837,122.803139
3,0.025,-0.008442,0.91365,0.035438,0.404866,17.752352,86.746307,101.811409,-0.030763,0.917471,0.134004,0.373288,17.415079,94.370216,102.254166,0.004067,0.930137,0.030215,0.365946,14.515172,112.202324,106.385574,0.0996,0.953402,-0.097454,0.267595,14.208965,133.209961,107.631218,0.031389,0.973976,-0.179949,0.134176,18.621941,146.652374,104.154358,-0.048233,0.861592,0.116904,0.491596,11.008179,127.243233,105.165466,-0.344275,0.699713,-0.048909,0.624087,1.47841,127.835571,89.18885,0.002081,-0.191592,-0.457954,-0.868082,1.843659,115.459297,70.044495,-0.020978,-0.067197,-0.519599,-0.851505,15.985453,137.608078,60.715981,-0.078789,0.962066,0.165392,0.202156,16.46493,127.022026,110.237488,0.415412,0.855476,0.183881,-0.24856,33.324947,128.599075,117.962288,0.079914,0.264472,0.514833,-0.811551,45.438301,114.478531,104.78318,0.007768,0.012773,0.696804,-0.717106,36.721958,135.434891,91.271126,0.038686,0.903732,0.183408,0.38488,11.487605,86.87001,94.909164,0.102366,0.950122,0.004577,0.294566,14.025572,53.755688,82.041298,-0.003482,0.920827,-0.006693,0.389899,5.292776,9.186342,78.899811,-0.139673,0.875994,-0.054322,0.458448,24.017099,86.622604,108.713654,-0.025689,0.853066,-0.164304,0.494594,30.958799,52.605335,116.664757,0.017098,0.882742,-0.011855,0.469397,25.555021,9.598064,130.583496,-0.003482,0.920827,-0.006693,0.389899,15.341488,2.993208,69.260445,0.017098,0.882742,-0.011855,0.469397,36.887138,3.02677,122.795677
4,0.033333,-0.008456,0.913583,0.035847,0.40498,17.67872,86.731789,101.660492,-0.031653,0.917494,0.13366,0.373281,17.338667,94.355247,102.10881,0.004103,0.930183,0.029847,0.365857,14.414494,112.181389,106.214645,0.099228,0.953513,-0.097137,0.267455,14.115485,133.189957,107.446457,0.032024,0.974043,-0.179427,0.134242,18.51553,146.637802,103.974243,-0.048579,0.862225,0.115379,0.490811,10.912219,127.222649,104.985306,-0.34772,0.698959,-0.050352,0.622906,1.35495,127.771469,89.02356,0.003778,-0.189044,-0.459248,-0.867951,1.761746,115.258881,69.968864,-0.020285,-0.066098,-0.520615,-0.850987,15.8853,137.439774,60.725479,-0.078796,0.962,0.16439,0.20328,16.369944,127.002991,110.056351,0.426195,0.848323,0.199394,-0.24279,33.212955,128.580719,117.818047,0.088282,0.258535,0.522331,-0.807797,45.041767,114.30191,104.551292,0.008369,0.013383,0.697451,-0.716458,36.597645,135.323746,91.122871,0.038093,0.903517,0.184168,0.385082,11.415703,86.858421,94.756729,0.101635,0.950171,0.002966,0.294681,14.015889,53.760754,81.858459,-0.005177,0.921037,-0.008312,0.389352,5.30266,9.176723,78.874901,-0.140768,0.875403,-0.054216,0.459255,23.941738,86.605164,108.564247,-0.026546,0.852491,-0.165106,0.495273,30.946165,52.608944,116.550293,0.017362,0.882652,-0.01285,0.469531,25.561205,9.62978,130.562836,-0.005177,0.921037,-0.008312,0.389352,15.35145,2.960722,69.250336,0.017362,0.882652,-0.01285,0.469531,36.886375,3.030818,122.788307
5,0.041667,-0.008468,0.913583,0.036359,0.404935,17.605978,86.720039,101.505257,-0.032414,0.917508,0.133466,0.373249,17.262611,94.342926,101.960663,0.003936,0.930211,0.029305,0.365833,14.31608,112.16481,106.048515,0.099187,0.953537,-0.096702,0.26754,14.018922,133.174774,107.256569,0.032451,0.974075,-0.179021,0.134446,18.415304,146.626846,103.796051,-0.04932,0.862779,0.113853,0.49012,10.815007,127.204964,104.802361,-0.351191,0.698155,-0.051859,0.621735,1.235213,127.698181,88.85231,0.005463,-0.186433,-0.460838,-0.867664,1.686184,115.047775,69.889816,-0.019305,-0.06461,-0.521209,-0.850761,15.777954,137.273514,60.735321,-0.078535,0.962005,0.163202,0.204312,16.273006,126.990578,109.873329,0.41867,0.855019,0.179543,-0.247834,33.101891,128.561707,117.666924,0.081767,0.265465,0.515795,-0.810431,45.107765,114.26767,104.57679,0.008966,0.014204,0.697752,-0.716142,36.467339,135.214859,90.976692,0.037412,0.903498,0.18473,0.384924,11.342287,86.850296,94.60218,0.100919,0.95047,0.001552,0.293972,13.999695,53.763725,81.687141,-0.006782,0.921207,-0.009448,0.388899,5.307657,9.165901,78.85157,-0.142081,0.874696,-0.055141,0.460087,23.869669,86.589775,108.408333,-0.027201,0.852219,-0.165222,0.495666,30.91535,52.627228,116.500641,0.017756,0.882609,-0.01355,0.469577,25.569439,9.654781,130.548691,-0.006782,0.921207,-0.009448,0.388899,15.359838,2.938465,69.237946,0.017756,0.882609,-0.01355,0.469577,36.886494,3.033746,122.78112
6,0.05,-0.008635,0.913675,0.036968,0.404668,17.544865,86.70565,101.349876,-0.033416,0.917531,0.132988,0.373276,17.19553,94.327812,101.812851,0.003694,0.930178,0.028956,0.365947,14.221213,112.153313,105.870964,0.099351,0.953503,-0.096431,0.267697,13.919828,133.164215,107.061623,0.032723,0.974107,-0.178713,0.134561,18.319538,146.617599,103.610519,-0.04988,0.863537,0.112243,0.489098,10.717635,127.19178,104.611549,-0.353969,0.69718,-0.054563,0.621022,1.102676,127.63195,88.681114,0.006802,-0.184061,-0.462119,-0.86748,1.602579,114.833961,69.819145,-0.018458,-0.063236,-0.52257,-0.850048,15.678445,137.105423,60.745728,-0.078515,0.961869,0.162383,0.20561,16.174425,126.982605,109.684036,0.430125,0.847114,0.198985,-0.240407,32.983624,128.55101,117.520546,0.0914,0.258552,0.523558,-0.80665,44.711479,114.117744,104.33152,0.00904,0.015267,0.69783,-0.716044,36.339523,135.107178,90.833061,0.036751,0.903488,0.185383,0.384696,11.27719,86.837471,94.450447,0.100306,0.950654,-3.5e-05,0.293591,13.9921,53.764641,81.512177,-0.008151,0.921332,-0.010348,0.388554,5.308934,9.155366,78.83387,-0.143198,0.874347,-0.055497,0.46036,23.812538,86.57383,108.249321,-0.027767,0.85209,-0.16595,0.495614,30.911503,52.636784,116.40184,0.018018,0.882563,-0.014698,0.469618,25.577106,9.689114,130.529816,-0.008151,0.921332,-0.010348,0.388554,15.365251,2.919992,69.229713,0.018018,0.882563,-0.014698,0.469618,36.88459,3.036828,122.775009
7,0.058333,-0.008621,0.913685,0.03719,0.404627,17.471855,86.69648,101.197098,-0.03426,0.917526,0.13287,0.373253,17.12138,94.318405,101.663269,0.003348,0.930189,0.028397,0.365966,14.120727,112.13932,105.704903,0.099162,0.953522,-0.096054,0.267836,13.814356,133.151672,106.86834,0.033388,0.974092,-0.178438,0.134867,18.207088,146.609726,103.426506,-0.05082,0.863981,0.110924,0.488517,10.613674,127.175316,104.425858,-0.357351,0.696261,-0.056569,0.619936,0.981106,127.558006,88.504585,0.008583,-0.181425,-0.463757,-0.867145,1.529244,114.613487,69.744225,-0.017273,-0.061397,-0.523404,-0.849694,15.573385,136.937134,60.755493,-0.078569,0.961813,0.161508,0.20654,16.070286,126.973984,109.498856,0.432635,0.846335,0.198278,-0.23923,32.864895,128.545258,117.366013,0.092737,0.258664,0.524633,-0.805763,44.519775,114.012054,104.222145,0.009227,0.016287,0.698236,-0.715623,36.209335,135.005997,90.687508,0.035972,0.903563,0.18585,0.38437,11.203557,86.830185,94.298264,0.099631,0.9508,-0.001498,0.293345,13.976829,53.765667,81.351158,-0.009213,0.921426,-0.011055,0.388289,5.311623,9.144327,78.819778,-0.144437,0.874067,-0.055767,0.460473,23.740154,86.562775,108.095932,-0.028366,0.851912,-0.166613,0.495663,30.904066,52.653252,116.305923,0.018305,0.882481,-0.015985,0.46972,25.585014,9.728721,130.509781,-0.009213,0.921426,-0.011055,0.388289,15.371187,2.90259,69.22316,0.018305,0.882481,-0.015985,0.46972,36.882744,3.041478,122.770844
8,0.066667,-0.008723,0.913801,0.037526,0.404331,17.410067,86.688705,101.042389,-0.035286,0.917552,0.132509,0.373222,17.056231,94.310219,101.512733,0.00305,0.930175,0.028089,0.366027,14.02653,112.127876,105.52713,0.099074,0.953526,-0.095976,0.267882,13.713163,133.141037,106.673904,0.03379,0.974119,-0.178167,0.134936,18.103228,146.600372,103.233681,-0.051714,0.864528,0.109679,0.487737,10.514762,127.16172,104.23571,-0.360953,0.695309,-0.058282,0.618758,0.857225,127.4888,88.328323,0.010844,-0.178568,-0.465374,-0.866847,1.456784,114.400314,69.669701,-0.015621,-0.059551,-0.524601,-0.849119,15.47543,136.774643,60.762047,-0.078572,0.961629,0.160447,0.208216,15.970741,126.966179,109.309616,0.434712,0.845625,0.197672,-0.238475,32.739456,128.535202,117.232262,0.093835,0.259131,0.525462,-0.804945,44.328617,113.922455,104.118492,0.008771,0.017268,0.698628,-0.715223,36.078705,134.906677,90.543983,0.035298,0.903661,0.186231,0.384018,11.137341,86.822983,94.147591,0.098952,0.950932,-0.002917,0.293136,13.959561,53.765125,81.194031,-0.010642,0.921566,-0.011673,0.387901,5.314134,9.132075,78.805542,-0.145538,0.87423,-0.056408,0.459738,23.682795,86.554436,107.93718,-0.028673,0.852237,-0.16727,0.494865,30.89888,52.672779,116.216255,0.018589,0.882343,-0.017233,0.469924,25.587019,9.769818,130.487839,-0.010642,0.921566,-0.011673,0.387901,15.378976,2.890265,69.214508,0.018589,0.882343,-0.017233,0.469924,36.87706,3.048643,122.76709
9,0.075,-0.009345,0.913789,0.037404,0.404355,17.34296,86.686241,100.89917,-0.035944,0.917538,0.132292,0.37327,16.981174,94.307716,101.363945,0.002547,0.930134,0.027746,0.366161,13.933356,112.117264,105.359825,0.098722,0.953485,-0.095826,0.268212,13.605422,133.131363,106.48539,0.034315,0.974039,-0.178042,0.135546,17.986753,146.594315,103.048203,-0.052626,0.864953,0.108424,0.487166,10.411813,127.147423,104.052231,-0.376022,0.691296,-0.048952,0.615078,0.737092,127.419235,88.154243,0.020862,-0.172877,-0.471586,-0.864457,1.636009,114.193222,69.604935,-0.013203,-0.057613,-0.526066,-0.848387,15.385157,136.619461,60.764557,-0.078764,0.961521,0.160021,0.208966,15.86637,126.96067,109.127998,0.437195,0.8448,0.196994,-0.237418,32.622318,128.535049,117.076561,0.094736,0.259251,0.526529,-0.804103,44.1357,113.826141,104.003609,0.008417,0.01827,0.698747,-0.715086,35.948513,134.818359,90.405914,0.034559,0.903831,0.186568,0.38352,11.070811,86.809006,94.003639,0.098361,0.951186,-0.004202,0.292495,13.942732,53.756428,81.047554,-0.011525,0.921566,-0.01191,0.387867,5.312146,9.113601,78.791893,-0.14638,0.874079,-0.056978,0.459687,23.61511,86.563477,107.794716,-0.029419,0.852205,-0.167642,0.49475,30.863613,52.70393,116.135681,0.018941,0.882241,-0.018639,0.470047,25.594505,9.816262,130.468933,-0.011525,0.921566,-0.01191,0.387867,15.385252,2.875567,69.207085,0.018941,0.882241,-0.018639,0.470047,36.873539,3.056517,122.7658
