Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.004154,0.902305,0.00611,0.431035,18.325737,87.409348,102.003189,-0.052951,0.904349,0.082035,0.415475,18.228172,95.052711,102.060112,0.013111,0.910155,-0.028334,0.41309,15.072763,113.933037,104.069092,0.081816,0.913907,-0.192657,0.347797,16.067762,134.938782,103.211548,0.096441,0.881581,-0.392989,0.243051,21.291424,147.359451,97.670654,-0.069538,0.859046,0.01827,0.506824,12.7273,128.940796,101.022377,-0.40365,0.687577,-0.127401,0.589977,3.856875,127.061821,84.76799,0.109289,-0.175726,-0.435024,-0.876316,4.358745,110.978951,68.615555,0.100329,-0.049424,-0.460272,-0.880705,19.870808,131.04361,57.44548,-0.067084,0.948317,0.078405,0.30008,17.634274,128.937393,106.632378,0.395574,0.905462,0.001181,-0.153815,32.7271,130.429672,117.421234,0.078918,0.40398,0.461668,-0.78577,47.312439,114.105545,111.049202,0.027782,0.110925,0.724941,-0.679253,40.645996,131.942978,91.972664,0.048423,0.904613,0.155413,0.393926,12.467832,87.388573,94.75145,0.103211,0.941339,0.010269,0.321126,13.708547,53.658997,83.377899,-0.015749,0.916963,-0.025386,0.397852,5.162648,9.113163,79.480003,-0.133765,0.877222,-0.051334,0.458207,24.183643,87.430122,109.254944,-0.022233,0.851577,-0.146785,0.502769,30.866882,53.275288,116.828812,0.021162,0.872453,-0.013036,0.488066,25.871325,9.756702,129.227798,-0.015749,0.916963,-0.025386,0.397852,15.429097,2.58879,70.2995,0.021162,0.872453,-0.013036,0.488066,37.471329,3.097837,121.92379
1,0.008333,-0.004292,0.90266,0.006446,0.430285,18.475775,87.375946,102.27301,-0.052116,0.904688,0.082868,0.414675,18.37414,95.019226,102.33374,0.013396,0.910567,-0.02777,0.412211,15.234323,113.909927,104.389084,0.081147,0.914513,-0.19238,0.346512,16.229628,134.916687,103.557137,0.095957,0.8824,-0.391899,0.242028,21.424091,147.345352,98.006729,-0.069464,0.859667,0.018797,0.505761,12.884435,128.921875,101.366493,-0.403352,0.688136,-0.126959,0.589625,3.973563,127.052841,85.133102,0.109361,-0.177178,-0.434729,-0.876162,4.445529,110.982979,68.96682,0.100746,-0.050294,-0.460567,-0.880454,19.944305,131.02121,57.727177,-0.067381,0.948793,0.079233,0.298285,17.802113,128.91069,106.967102,0.395305,0.905224,0.000826,-0.155891,32.93343,130.410706,117.700836,0.079773,0.402136,0.461531,-0.78671,47.49913,114.099518,111.251236,0.029326,0.10923,0.724771,-0.679644,40.745529,131.944107,92.211449,0.049839,0.904603,0.156466,0.393356,12.60584,87.355431,95.030998,0.104353,0.941098,0.011759,0.321413,13.778524,53.65913,83.552055,-0.01497,0.917143,-0.02595,0.397432,5.180852,9.137869,79.490601,-0.132871,0.877144,-0.049683,0.458799,24.345707,87.396461,109.515022,-0.019738,0.85114,-0.146459,0.503707,31.024105,53.212757,116.961838,0.019451,0.872149,-0.011282,0.488723,25.836695,9.675926,129.217148,-0.01497,0.917143,-0.02595,0.397432,15.426991,2.590121,70.304047,0.019451,0.872149,-0.011282,0.488723,37.4786,3.081585,121.92128
2,0.016667,-0.004785,0.902978,0.006809,0.429605,18.633642,87.344398,102.546135,-0.051326,0.905023,0.083868,0.413841,18.52286,94.987534,102.608696,0.01376,0.910997,-0.027305,0.411278,15.394545,113.887611,104.715622,0.08101,0.915209,-0.191615,0.345127,16.394897,134.89502,103.906776,0.095282,0.883428,-0.390786,0.240339,21.568562,147.335526,98.363457,-0.069369,0.860166,0.019194,0.50491,13.043366,128.903915,101.715729,-0.402673,0.688863,-0.126715,0.589292,4.099981,127.043495,85.499237,0.109297,-0.178636,-0.434279,-0.876096,4.529101,110.990059,69.31546,0.101449,-0.051347,-0.461001,-0.880085,20.022058,130.998367,58.008968,-0.067508,0.94934,0.079976,0.29631,17.972342,128.88446,107.306374,0.395159,0.904877,0.000341,-0.158262,33.146729,130.387985,117.978645,0.080565,0.400222,0.461531,-0.787605,47.683739,114.085686,111.442398,0.031008,0.107652,0.724743,-0.679851,40.847054,131.944397,92.444023,0.051159,0.904775,0.157512,0.392371,12.752899,87.318367,95.312912,0.105629,0.941027,0.01336,0.321143,13.858193,53.65498,83.731178,-0.014317,0.917267,-0.026478,0.397133,5.198439,9.16177,79.497894,-0.131883,0.876826,-0.048089,0.459859,24.514385,87.370422,109.779343,-0.017286,0.850662,-0.145987,0.504741,31.176546,53.156998,117.103149,0.017833,0.871865,-0.00968,0.489326,25.806284,9.599346,129.204773,-0.014317,0.917267,-0.026478,0.397133,15.428334,2.593086,70.308197,0.017833,0.871865,-0.00968,0.489326,37.4869,3.064851,121.916939
3,0.025,-0.005458,0.903145,0.006805,0.429246,18.772034,87.327042,102.830521,-0.050243,0.905214,0.085212,0.413283,18.65202,94.970078,102.888657,0.014209,0.91129,-0.027155,0.410623,15.541528,113.865303,105.061432,0.080809,0.915827,-0.191087,0.343827,16.555939,134.872528,104.265381,0.094654,0.884516,-0.389491,0.238682,21.709908,147.321838,98.72348,-0.06893,0.86057,0.019764,0.504259,13.196999,128.88533,102.075005,-0.402654,0.6895,-0.126311,0.588647,4.226884,127.04818,85.870621,0.109717,-0.180264,-0.433941,-0.875878,4.620643,110.998199,69.682503,0.102135,-0.052306,-0.461266,-0.87981,20.098402,130.971954,58.290436,-0.067618,0.950032,0.08068,0.293866,18.133812,128.858521,107.658707,0.394716,0.904666,-0.000319,-0.160559,33.361351,130.367218,118.254265,0.081533,0.398269,0.461304,-0.788627,47.880939,114.082214,111.636673,0.032668,0.105502,0.724861,-0.679985,40.948967,131.944321,92.67627,0.052418,0.905004,0.158496,0.391278,12.885666,87.289597,95.601921,0.106765,0.941121,0.015215,0.320408,13.924104,53.65765,83.923065,-0.013585,0.91738,-0.027244,0.396846,5.219306,9.191245,79.504585,-0.131088,0.876583,-0.045999,0.460763,24.658403,87.364487,110.05912,-0.015019,0.850072,-0.145554,0.505931,31.334141,53.122158,117.234016,0.016789,0.871708,-0.008611,0.489663,25.791634,9.546354,129.191757,-0.013585,0.91738,-0.027244,0.396846,15.431134,2.594855,70.314629,0.016789,0.871708,-0.008611,0.489663,37.496471,3.051418,121.90741
4,0.033333,-0.006155,0.903308,0.006904,0.428892,18.914751,87.307938,103.115723,-0.049301,0.905512,0.086184,0.412541,18.784472,94.950829,103.170708,0.014692,0.911705,-0.026815,0.409706,15.692207,113.84964,105.395554,0.080989,0.916557,-0.190467,0.342178,16.718513,134.857056,104.61985,0.094256,0.885775,-0.388071,0.23647,21.859104,147.314209,99.08316,-0.068723,0.860993,0.020254,0.503546,13.351411,128.874329,102.429756,-0.40314,0.689996,-0.125532,0.587899,4.353494,127.051392,86.239204,0.110539,-0.18173,-0.43389,-0.875497,4.724978,111.00222,70.049759,0.103096,-0.053328,-0.461848,-0.879331,20.173983,130.944855,58.572186,-0.067577,0.950656,0.081265,0.29169,18.299236,128.838425,108.003639,0.39432,0.904413,-0.000998,-0.162936,33.574413,130.347443,118.530342,0.082531,0.396358,0.461069,-0.789623,48.073151,114.078209,111.828804,0.034568,0.103888,0.724937,-0.680057,41.047794,131.941681,92.905075,0.053572,0.905285,0.159301,0.390143,13.022876,87.259476,95.891685,0.107997,0.941267,0.017227,0.319462,13.995373,53.654449,84.129959,-0.012752,0.917489,-0.027943,0.396573,5.240736,9.218079,79.512253,-0.130223,0.875801,-0.044004,0.462685,24.806625,87.356392,110.33976,-0.012835,0.849845,-0.145057,0.506514,31.480536,53.085159,117.377045,0.015688,0.871734,-0.007425,0.489671,25.78393,9.490642,129.193329,-0.012752,0.917489,-0.027943,0.396573,15.433887,2.594539,70.321091,0.015688,0.871734,-0.007425,0.489671,37.508785,3.039005,121.902702
5,0.041667,-0.006967,0.903423,0.007004,0.428636,19.053381,87.293541,103.400337,-0.048308,0.905796,0.087115,0.411839,18.911259,94.936249,103.451416,0.01523,0.912118,-0.026328,0.408798,15.83995,113.837029,105.727364,0.081125,0.917312,-0.189597,0.340602,16.877726,134.844849,104.9786,0.093764,0.886995,-0.386694,0.234343,22.002186,147.313675,99.453239,-0.068288,0.861484,0.020379,0.50276,13.502659,128.867233,102.786842,-0.402968,0.690551,-0.125335,0.587408,4.473079,127.058723,86.612297,0.111075,-0.183362,-0.433439,-0.875312,4.811909,111.012856,70.418861,0.104071,-0.054374,-0.462315,-0.878907,20.252308,130.917175,58.851822,-0.067338,0.95135,0.082132,0.289229,18.461323,128.820602,108.351006,0.394062,0.904109,-0.001344,-0.16523,33.790916,130.320999,118.799553,0.08338,0.394397,0.460923,-0.7906,48.264606,114.06517,112.011887,0.035895,0.101968,0.724833,-0.680391,41.148109,131.938141,93.129662,0.054766,0.905572,0.160078,0.388991,13.157598,87.232162,96.179581,0.109134,0.941014,0.019054,0.319717,14.060421,53.654045,84.335747,-0.01197,0.917659,-0.028632,0.396154,5.264501,9.246182,79.52626,-0.129422,0.875899,-0.041909,0.462919,24.949165,87.354919,110.621094,-0.010658,0.849771,-0.145089,0.506681,31.642368,53.056072,117.503784,0.015201,0.871915,-0.006557,0.489378,25.773535,9.457747,129.221313,-0.01197,0.917659,-0.028632,0.396154,15.436564,2.596229,70.330811,0.015201,0.871915,-0.006557,0.489378,37.504456,3.033698,121.916107
6,0.05,-0.007457,0.903624,0.007193,0.428202,19.195448,87.27652,103.68248,-0.047583,0.906074,0.087955,0.411131,19.045336,94.919075,103.73304,0.015906,0.912517,-0.025666,0.407923,15.987247,113.8209,106.052628,0.081188,0.918065,-0.188908,0.338938,17.03894,134.8293,105.339882,0.093243,0.888345,-0.384981,0.232247,22.146399,147.307617,99.820198,-0.067766,0.861927,0.020746,0.502056,13.655435,128.858093,103.143631,-0.402963,0.691017,-0.125313,0.586867,4.596876,127.071548,86.982849,0.111434,-0.185195,-0.433062,-0.875067,4.906586,111.02095,70.793518,0.104687,-0.055599,-0.46241,-0.878708,20.3274,130.885864,59.133904,-0.067441,0.95198,0.082758,0.286944,18.624432,128.797791,108.698441,0.393858,0.903716,-0.00207,-0.167838,34.002529,130.303726,119.074677,0.084236,0.392174,0.460977,-0.791583,48.443943,114.057648,112.195541,0.038451,0.101006,0.725293,-0.679904,41.235432,131.950348,93.36454,0.055793,0.905918,0.160621,0.387815,13.292869,87.208313,96.467339,0.110707,0.941268,0.020968,0.318306,14.129665,53.6507,84.560707,-0.010984,0.917714,-0.0291,0.396023,5.249393,9.28131,79.555122,-0.128485,0.875488,-0.040227,0.464105,25.098028,87.344727,110.897621,-0.008552,0.850247,-0.144683,0.506038,31.781078,53.018806,117.654121,0.014724,0.872182,-0.005122,0.488934,25.776886,9.406093,129.248886,-0.010984,0.917714,-0.0291,0.396023,15.404871,2.608387,70.357979,0.014724,0.872182,-0.005122,0.488934,37.514839,3.023335,121.9188
7,0.058333,-0.007913,0.903842,0.007579,0.427725,19.33844,87.259216,103.954208,-0.046778,0.906274,0.089008,0.410557,19.179531,94.901581,104.007187,0.016447,0.91282,-0.025118,0.407258,16.133612,113.804482,106.378723,0.081066,0.918808,-0.188211,0.337338,17.196159,134.813309,105.695557,0.09295,0.889735,-0.383056,0.230219,22.282331,147.302292,100.180367,-0.067344,0.862385,0.020995,0.501315,13.806179,128.84726,103.495277,-0.403244,0.691544,-0.124673,0.586189,4.717844,127.077171,87.349411,0.111795,-0.186739,-0.432722,-0.874861,5.001647,111.028992,71.157211,0.104822,-0.057113,-0.462849,-0.878363,20.403133,130.854187,59.421211,-0.067327,0.952695,0.083633,0.284331,18.782995,128.775955,109.042946,0.393609,0.903389,-0.002516,-0.170157,34.217209,130.278458,119.336021,0.08509,0.390105,0.460835,-0.792596,48.631809,114.044807,112.371826,0.039909,0.09908,0.725271,-0.680127,41.32901,131.947876,93.587418,0.056875,0.906211,0.160933,0.386843,13.428384,87.186302,96.745239,0.111971,0.941159,0.023154,0.318035,14.191648,53.644501,84.7892,-0.009753,0.917673,-0.02963,0.39611,5.266947,9.309515,79.562683,-0.127517,0.875407,-0.038796,0.464647,25.248497,87.33213,111.163177,-0.006498,0.851069,-0.144371,0.504773,31.916193,52.980495,117.803123,0.014583,0.872482,-0.003567,0.488416,25.784462,9.356743,129.289139,-0.009753,0.917673,-0.02963,0.39611,15.407091,2.609493,70.368317,0.014583,0.872482,-0.003567,0.488416,37.525208,3.01381,121.929024
8,0.066667,-0.008259,0.903877,0.007598,0.427644,19.463127,87.250114,104.229332,-0.045586,0.906474,0.089888,0.410057,19.299324,94.892387,104.280327,0.016731,0.913137,-0.024612,0.406565,16.283249,113.789024,106.702515,0.081078,0.919546,-0.187139,0.335917,17.347536,134.798508,106.042801,0.092671,0.891013,-0.381326,0.228251,22.413982,147.302658,100.543808,-0.066828,0.862845,0.021391,0.500575,13.95349,128.835541,103.840469,-0.403561,0.691823,-0.124536,0.58567,4.834959,127.087662,87.709221,0.111732,-0.188607,-0.432452,-0.874602,5.102679,111.030983,71.525177,0.104383,-0.059014,-0.462922,-0.878251,20.476645,130.823959,59.7057,-0.067152,0.953298,0.084374,0.282125,18.938574,128.756958,109.380615,0.393347,0.903001,-0.003066,-0.172797,34.420197,130.253845,119.603073,0.085909,0.388196,0.460756,-0.793491,48.80294,114.03334,112.543037,0.041501,0.097412,0.725322,-0.680218,41.416229,131.946533,93.801857,0.057911,0.906445,0.161045,0.386094,13.551884,87.171509,97.021393,0.112979,0.941315,0.025537,0.317032,14.24182,53.640759,85.029984,-0.008569,0.917801,-0.030185,0.395798,5.295868,9.336985,79.579994,-0.126867,0.87628,-0.037326,0.463297,25.374371,87.32872,111.437263,-0.004135,0.852567,-0.144122,0.502337,32.061737,52.957355,117.954163,0.014698,0.872771,-0.002377,0.487903,25.790846,9.324792,129.331024,-0.008569,0.917801,-0.030185,0.395798,15.412876,2.609567,70.38015,0.014698,0.872771,-0.002377,0.487903,37.529297,3.009477,121.943558
9,0.075,-0.008446,0.904006,0.007953,0.427362,19.597258,87.234848,104.493866,-0.044686,0.906603,0.090881,0.409651,19.428562,94.876991,104.548599,0.017164,0.913366,-0.02412,0.406062,16.428734,113.774323,107.021477,0.081333,0.920219,-0.186208,0.334527,17.500898,134.784195,106.387497,0.092227,0.892473,-0.379283,0.22612,22.555374,147.300003,100.904045,-0.066475,0.863234,0.021969,0.499926,14.102067,128.825424,104.18116,-0.403051,0.692481,-0.125044,0.585136,4.957627,127.098175,88.062355,0.11094,-0.190563,-0.431716,-0.874643,5.178049,111.034966,71.884087,0.103344,-0.060533,-0.462529,-0.878478,20.547077,130.790573,59.992226,-0.067107,0.953824,0.085311,0.280068,19.093033,128.737747,109.715881,0.392833,0.902707,-0.003529,-0.17547,34.61792,130.231018,119.873032,0.086663,0.386376,0.460475,-0.79446,48.976624,114.032867,112.713501,0.042902,0.095554,0.725059,-0.680674,41.501186,131.947891,94.015617,0.059163,0.90656,0.160913,0.385687,13.681568,87.155861,97.289589,0.113903,0.941643,0.028074,0.315511,14.281878,53.632534,85.272621,-0.007407,0.917828,-0.030633,0.395725,5.322647,9.360224,79.593536,-0.12568,0.876824,-0.035654,0.462723,25.512949,87.313835,111.698151,-0.002289,0.853441,-0.144142,0.500856,32.187664,52.912415,118.067741,0.01443,0.873007,-0.000871,0.487493,25.792181,9.27929,129.372864,-0.007407,0.917828,-0.030633,0.395725,15.422152,2.608506,70.392265,0.01443,0.873007,-0.000871,0.487493,37.536179,3.004396,121.959808
