hook_left|p25_Global|hook_left_002,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p25_hook_left_post_001,0.23690402032935026,0.1362773666756987,0.214203182998748,0.16932802626303606,0.21608097606889093,0.23499053106389506,0.1527345399196635,0.14179359264496605,0.20437979919599597,0.2720087171714406,0.3357617998768598,0.1912767345837249,0.19566293820200342,0.3127858743382953,0.3051928474779416,0.1761544855268719,0.9458304757123495,0.3527893431475464,0.34547441966405906,0.31265749503549645,0.2881242745201962,0.07231666162832778,0.062203368402315655,0.048200485203101634,0.44454867834541467,0.8725865551413798,0.4603935201722407
p25_hook_left_post_002,0.2924327881949119,0.1551451021801355,0.13759904063168082,0.12409469245650355,0.2346662797248274,0.2490531763126694,0.11603468928603564,0.08525547921082509,0.18936194817971844,0.2187773608544863,0.3486690769734027,0.17833919292532946,0.18792495127762976,0.3075714321994745,0.31169562071400503,0.19680933841030318,0.947122997881775,0.3525789990106965,0.3543251449106289,0.29828447030055594,0.2793958765076131,0.07646894715053708,0.06993564803223049,0.047704986682464444,0.4551080984329229,0.8111978772214608,0.4294514319519626
p25_hook_left_post_003,0.26410810196181594,0.1722526392176086,0.17899102652932702,0.15185797312146956,0.2114912364509211,0.20822643304007232,0.14621901758452296,0.12812890157446657,0.15644846794471717,0.1870726948216073,0.3298732881732568,0.14841792750461236,0.15444581043897831,0.27131948075219636,0.28702506580555043,0.17616188708117964,0.9070756353584845,0.31653282498590973,0.3173179428481374,0.2762687457343797,0.26443039497939047,0.07718170606369072,0.0680004297532363,0.04763650782050767,0.4694122250918313,0.7339030787130463,0.39076979326677697
p25_hook_left_post_004,0.26755329180568765,0.16156796324576858,0.1511840924085731,0.13436135765684826,0.22240359357632783,0.2441670523475057,0.14176432847672837,0.10997845716761594,0.18975084025773759,0.23947506599561943,0.3520289047590607,0.18412266900440288,0.18548337759712386,0.2972727732476677,0.31410550979615526,0.19528114128495783,0.9504656545463858,0.35538496432097033,0.35465541573380005,0.29936079281925465,0.28997032551680435,0.06983295683728884,0.06801287073740613,0.0477308649468159,0.4503757167062603,0.8375727425901457,0.4426518037684808
p25_hook_left_post_005,0.2790501240108874,0.15819218186161466,0.19467208770497374,0.1692757392295739,0.23272400239636556,0.2521893645559639,0.16396211203550032,0.14333810058167668,0.18655605369173422,0.2162194564067467,0.370731600230693,0.18336166695298392,0.1837455249216806,0.29588727398689485,0.3110921545816961,0.19585662567090928,0.9650138361421139,0.3705339686701715,0.3691060207196162,0.28488711831818964,0.2779444932704183,0.07340087091825313,0.07193418509243701,0.04766396376376453,0.466308398407003,0.8558294718202761,0.45174671779202036
p25_hook_left_post_006,0.2877985891551928,0.14842551190950362,0.17906716369158143,0.1612474967168117,0.23425535452778606,0.26023007281791805,0.1478960985569279,0.12320958565509962,0.19648597490113606,0.2272709379737657,0.37685553279162043,0.18765177052048274,0.19109814735633732,0.3037752838815096,0.3120129253509486,0.1963424492233237,0.9500025933204415,0.3552058923460085,0.35293211765755916,0.28158386867408336,0.27788876450607525,0.07342928974019382,0.07440732369960969,0.04788729934281651,0.4534951018025555,0.8577292331346075,0.452808266238712
p25_hook_left_post_007,0.2839221092880539,0.14518865455868774,0.14647273961222937,0.13985791124235464,0.23473580852561607,0.26890863235629353,0.13778019772277234,0.10910612183794595,0.19478520902865376,0.21782491132702142,0.36419127204523993,0.18227865731597892,0.19076946806134118,0.3184652165177161,0.29347866678416235,0.19504604179006638,0.9643831737731656,0.3697928003216959,0.3664935691643896,0.29851533398315805,0.288665511349122,0.07399013479328087,0.07170618011164967,0.04772624298577129,0.4559009072103362,0.8400550460305615,0.4438906445081664
p25_hook_left_post_008,0.26730722366972953,0.16231209124190177,0.15740598573145065,0.14742252474941514,0.2234922921490617,0.2490812724598485,0.14549068650059882,0.12351606612838353,0.18326365616196902,0.18910622284680662,0.32469579728919296,0.1684215229539347,0.1782049850511918,0.31249652636537617,0.29934683240572413,0.19406434611474613,0.9504251312884717,0.3606588863381903,0.3549225131654798,0.2989151366412696,0.2970953555388811,0.07746112604926378,0.07237285395861572,0.04763172328255239,0.4567165517398871,0.8020875424242658,0.4248596328534091
p25_hook_left_post_009,0.27503282747340857,0.15784531178684624,0.17864912205618458,0.1598751934953165,0.22406448231755519,0.24536320700436076,0.15087663105337676,0.1308380667781099,0.19919236050610195,0.218483773481499,0.34806437243153815,0.18168886472007134,0.19417276603961858,0.3131012268883031,0.304549608024053,0.19668676828822584,0.9520270847732674,0.36430725959152255,0.35452495668413186,0.2995040309139898,0.29333154630640956,0.07619899621844024,0.07308329734306614,0.04786758747899168,0.44117453940278095,0.8551519990120235,0.4515097932455076
p25_hook_left_post_010,0.27528758556853383,0.15818723416197597,0.17728918412480793,0.1632665832009576,0.2228600384587592,0.2507001329686094,0.1460112748304504,0.12527530556915795,0.19238729290030357,0.20493834643115427,0.3450944345429431,0.17681721533714068,0.18834238228643574,0.3152046221138994,0.30303180010482145,0.19599143996203022,0.9611187683423745,0.3670679618713845,0.36383338651392855,0.3079882649747811,0.2966871637290119,0.07340645285720113,0.07326282390320413,0.04771594127568494,0.45993215900948714,0.8390065283331758,0.44336123480443035
p25_hook_left_pre_001,0.2249165884581564,0.13570729471342297,0.13637496139037558,0.12892657379871947,0.21861118873085966,0.23784926911135762,0.15344920445426513,0.1261350602122031,0.19082042695191154,0.19569838422044086,0.2981768532436573,0.1421571149429019,0.1846366323799184,0.32059573051677803,0.29695294428262714,0.1876914054313107,0.9447079074790133,0.34622045631454346,0.34250931833170223,0.317581427939683,0.3036473812391317,0.07087139789736104,0.05924032098460522,0.04762752935751754,0.4121964297501702,0.8148344256324721,0.43123097749499484
p25_hook_left_pre_002,0.2232610587081126,0.1548471772063612,0.08906037807493741,0.07849060731743532,0.18704834371545534,0.20630374087703798,0.09014802966363167,0.06705645928592671,0.17740750672230693,0.19095163007037882,0.2823395771047249,0.1316610202640238,0.18504040210688,0.32528216196566695,0.3199398355050459,0.19592518518863128,0.938291575132828,0.33768272350390344,0.3356823950203326,0.33708124662371075,0.3200243915791906,0.06918121119998537,0.056223692951825326,0.04763532428608356,0.44080381454932943,0.7349807393786574,0.39130803183237045
p25_hook_left_pre_003,0.24499717528685405,0.17338352841590782,0.16204192920527422,0.13997727343851157,0.1955297675830207,0.1961835829841016,0.15559302305987632,0.1367141049377611,0.166732217893195,0.18436237461394722,0.27539919921652645,0.12396022143127242,0.17167757689870194,0.28906753740242275,0.28969650033987315,0.19639467098440905,0.9331984155064296,0.3366745364781896,0.33663307763113465,0.3061599134178178,0.29344219306806923,0.06985057117521035,0.061544893204642556,0.04763222517603535,0.43811825682764366,0.7620472973733841,0.4048397612747097
p25_hook_left_pre_004,0.2823776987262092,0.15310631371559671,0.19526816204941644,0.15208473390519758,0.23142095959366898,0.23917027830399457,0.15247504903144732,0.131099700677732,0.18422976417709466,0.18731065167564448,0.31094339191990433,0.14766719144747473,0.18368025844024702,0.30860178063105115,0.3076768078552578,0.1967213818389259,0.9609482854661575,0.36503986171033964,0.3605542574518646,0.2984498968878745,0.28230556036914844,0.07476812120204171,0.06469934811026491,0.04764632191102279,0.4727582826806064,0.8157395630123134,0.4316929424616681
p25_hook_left_pre_005,0.2775173661918878,0.15076387727377968,0.1752648676969973,0.14669866563743503,0.2226869154331524,0.23354396330493676,0.15995649109777496,0.13591200633729267,0.18776810328272672,0.1799199453183994,0.3011150635433719,0.14534185401585764,0.18600531937476594,0.32742569980686986,0.30646363904954504,0.19732342860668964,0.9378231474892902,0.34434677233910577,0.3394098325846405,0.3189886105180694,0.31689697067675027,0.074801420349001,0.064920662210036,0.04765735699678801,0.46141757019195684,0.8180507824236138,0.4328540697102009
p25_hook_left_pre_006,0.21036029984724552,0.15961475763447228,0.12896678810110784,0.10421377698830114,0.18266854108053807,0.18363723882283964,0.1434886314699048,0.12671337833181243,0.14322357449075196,0.14864576489039463,0.2746279044454662,0.10592574798162253,0.14238502619045784,0.2797355171800695,0.28567272840307456,0.18330109004761191,0.9031440931406699,0.3159525431698984,0.3102244659246381,0.2897796657318091,0.28998437482449346,0.07226894318690492,0.06136745468229962,0.04762309012294151,0.4563460806504486,0.6562288472511006,0.3519259686870211
p25_hook_left_pre_007,0.19819384324605802,0.14377773125675702,0.14707130057403422,0.09745054427205607,0.20343446226939407,0.18585988559624228,0.1743449812107803,0.15356644946923953,0.17592226272610584,0.18340981846400445,0.22974310445312235,0.11775902994167393,0.17972405833506738,0.3157346833662972,0.30886096251992456,0.2008965286379441,0.9063776010956157,0.3114550795622721,0.30755079131434593,0.3386074331795468,0.3253957195327632,0.07358836708876827,0.05872542860946539,0.04762157798584802,0.40589760041757705,0.7653529386355106,0.4064872583106793
p25_hook_left_pre_008,0.258161221695028,0.15337561027578991,0.16375598865339785,0.14172467240975667,0.22196446337371442,0.23157255528990336,0.16052762509947432,0.13738830458914614,0.17142778414040002,0.158864594758555,0.3041802951841812,0.1328065082776418,0.16738788951471278,0.31191811329572355,0.3028817756444035,0.19208221892485128,0.9050522427252824,0.3137271117931131,0.30941509956764096,0.31172188735874207,0.30493343918692944,0.07476178381773506,0.0646655886640768,0.047626086215360214,0.4664125896920601,0.765921531242727,0.4067738087290436
p25_hook_left_pre_009,0.22928757519056148,0.16570530286834895,0.15216810933395286,0.12376947767037574,0.19431170016383287,0.19469655560988466,0.14396492431901564,0.11914114907996338,0.15086513077184346,0.14808836802756856,0.26835710907483684,0.11131345246106553,0.14946906170219812,0.28345123485424223,0.2903934146289273,0.1845319267934265,0.8880432615696563,0.2962998998589965,0.29326820382837193,0.2965280290778711,0.29296150686021094,0.07241338967909626,0.06151119988326338,0.04762668032522802,0.4420350317377958,0.6909761155657912,0.3693013979455096
p25_hook_left_pre_010,0.24357689894271578,0.15597108346434635,0.16024780572071953,0.1438754178057236,0.21482809630316094,0.2184863598793269,0.15434048473920045,0.13369782676831315,0.17334378259774313,0.16277703411160496,0.2886723441628029,0.12977365050822254,0.16824530666772264,0.3082385700518272,0.29686011386578093,0.19323649302147888,0.9129546732725811,0.31799209880374796,0.3142557951411852,0.3131297355956792,0.3089505973587953,0.07226612084006369,0.06251758908297689,0.047625790032341964,0.44366070557095305,0.7681520222837661,0.40788890615805407
AVG,0.25610231938752,0.15508233668322619,0.1612876958144885,0.13888996206878995,0.2164639251221454,0.2295106652353381,0.1468529010055974,0.12439320584188188,0.18071760782610735,0.19656030267305427,0.31647604607312013,0.15353710065452092,0.1784050941421506,0.30589653696811403,0.30234648765697586,0.19232494264139469,0.9362003277008176,0.34251219920691034,0.3391544361928793,0.30429965518629815,0.29460379204597026,0.07342292343463225,0.06601675797086135,0.047704379259581896,0.44963093691085093,0.794870216861014,0.4212872980602979
