Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.015743,0.893174,-0.001351,0.449433,12.838301,87.056091,103.832687,-0.069032,0.893482,0.058196,0.439929,12.632606,94.696465,103.706062,0.020232,0.894906,-0.063235,0.441289,9.245068,113.785912,104.545502,0.100997,0.888204,-0.232799,0.383011,11.181826,134.647125,102.539291,0.131342,0.849223,-0.424768,0.284855,17.531834,146.320297,96.566353,-0.066922,0.855321,-0.024194,0.513188,7.732373,128.661423,100.489998,-0.470362,0.634945,-0.187247,0.583561,-0.909708,126.068535,84.210831,0.162154,-0.093527,-0.460214,-0.867849,1.907547,107.467697,71.33123,0.118599,-0.01277,-0.43553,-0.892236,17.369789,128.727173,62.711227,-0.056544,0.931569,0.035656,0.357366,12.276673,128.807495,106.39579,0.229955,0.916197,0.321428,-0.066238,26.016033,130.293961,118.863365,0.213182,0.412881,0.366617,-0.806024,46.204113,121.657852,112.7257,-0.03471,0.195597,0.706143,-0.679632,37.873943,130.515747,95.18145,0.026241,0.887806,0.180062,0.422718,7.286706,86.7826,96.348816,0.101844,0.939629,0.025375,0.3257,11.049223,53.524078,84.171135,0.007134,0.912213,-0.000876,0.409654,3.088545,9.001753,78.980026,-0.137977,0.868291,-0.048469,0.474008,18.389896,87.329575,111.316559,-0.040005,0.85322,-0.122504,0.50538,25.287502,53.23592,118.973389,0.002687,0.87105,-0.001946,0.491184,22.758265,9.222695,130.331085,0.007134,0.912213,-0.000876,0.409654,13.456026,2.838872,69.664261,0.002687,0.87105,-0.001946,0.491184,34.683548,3.079091,123.099709
1,0.008333,-0.015834,0.89287,-0.000635,0.450035,12.985769,87.04982,104.045547,-0.067028,0.892814,0.060345,0.441304,12.773995,94.690178,103.927933,0.022352,0.89432,-0.061737,0.442584,9.417444,113.782249,104.871078,0.102267,0.888572,-0.230988,0.382918,11.409056,134.647552,102.963425,0.131156,0.850608,-0.423192,0.283146,17.771879,146.341446,97.044907,-0.065857,0.855868,-0.023997,0.512423,7.952207,128.679062,100.87674,-0.464267,0.63551,-0.193024,0.58594,-0.724343,126.123138,84.610054,0.158918,-0.096628,-0.456967,-0.869821,1.960027,107.512161,71.716736,0.118735,-0.014016,-0.434782,-0.892564,17.578024,128.687134,63.03513,-0.055471,0.931229,0.036856,0.358299,12.478091,128.788376,106.797455,0.231504,0.914784,0.324287,-0.066439,26.197083,130.219696,119.293884,0.213723,0.411594,0.368315,-0.805765,46.351364,121.54541,113.099228,-0.035149,0.195111,0.707001,-0.678857,38.029228,130.459885,95.579842,0.027965,0.887392,0.179642,0.423654,7.444329,86.780891,96.553986,0.10268,0.939594,0.027134,0.325397,11.09796,53.518261,84.354416,0.008357,0.912423,-0.001465,0.40916,3.117566,9.019908,78.990898,-0.137148,0.869562,-0.047297,0.472033,18.52721,87.318741,111.537102,-0.038096,0.854031,-0.122675,0.504114,25.432125,53.200829,119.078407,0.002379,0.871258,-0.000499,0.490819,22.763678,9.177849,130.366196,0.008357,0.912423,-0.001465,0.40916,13.458231,2.82835,69.664352,0.002379,0.871258,-0.000499,0.490819,34.694908,3.07369,123.111259
2,0.016667,-0.016286,0.892596,-1.8e-05,0.450562,13.144519,87.052963,104.253426,-0.064917,0.892204,0.062721,0.44252,12.922399,94.693108,104.140984,0.024247,0.893815,-0.060223,0.443712,9.596152,113.788818,105.198288,0.103351,0.88898,-0.229442,0.38261,11.633222,134.658173,103.385315,0.131374,0.852047,-0.42128,0.281566,18.005184,146.369522,97.51133,-0.064812,0.856311,-0.024194,0.511807,8.17068,128.705353,101.263618,-0.464302,0.635711,-0.193725,0.585461,-0.534438,126.178467,85.007675,0.159426,-0.098535,-0.455718,-0.87017,2.125854,107.547676,72.138,0.11868,-0.015501,-0.434062,-0.892897,17.782974,128.647034,63.362675,-0.054098,0.930849,0.037683,0.359407,12.680346,128.780624,107.197227,0.23298,0.91345,0.326894,-0.066851,26.375336,130.151016,119.726768,0.214509,0.410505,0.369911,-0.805381,46.495853,121.443352,113.469482,-0.035545,0.194248,0.707868,-0.678179,38.18578,130.402832,95.967339,0.029806,0.887097,0.179103,0.424374,7.6122,86.781784,96.755203,0.103494,0.939517,0.02887,0.325213,11.142969,53.512955,84.536346,0.009314,0.91267,-0.002298,0.408584,3.144548,9.03874,79.002167,-0.136618,0.871491,-0.045549,0.468791,18.676836,87.32415,111.75164,-0.03587,0.854814,-0.123511,0.502744,25.637024,53.18433,119.14151,0.002876,0.871308,0.000375,0.490728,22.775082,9.165102,130.396454,0.009314,0.91267,-0.002298,0.408584,13.458371,2.815361,69.667091,0.002876,0.871308,0.000375,0.490728,34.704792,3.075443,123.126854
3,0.025,-0.01669,0.892334,0.00033,0.451066,13.294903,87.064232,104.458664,-0.062389,0.89169,0.065137,0.443569,13.064935,94.70417,104.348061,0.025968,0.893414,-0.058781,0.444615,9.783947,113.796997,105.528427,0.104845,0.889482,-0.227685,0.382086,11.860624,134.669952,103.803841,0.131675,0.853698,-0.419271,0.279418,18.247982,146.399002,97.982132,-0.063243,0.856909,-0.024474,0.510988,8.392735,128.731613,101.65049,-0.464688,0.635904,-0.194163,0.584801,-0.351048,126.248726,85.408524,0.160139,-0.100629,-0.454424,-0.870476,2.290351,107.59684,72.565536,0.118279,-0.01715,-0.433948,-0.892975,17.984531,128.612289,63.683891,-0.053045,0.930479,0.038708,0.360413,12.889157,128.775375,107.594452,0.234744,0.911918,0.329828,-0.067189,26.561373,130.093384,120.154442,0.216069,0.408741,0.371921,-0.804935,46.642193,121.342674,113.830078,-0.035755,0.193148,0.710551,-0.675672,38.334064,130.353119,96.353195,0.031704,0.88667,0.1785,0.42538,7.771303,86.78933,96.954163,0.104238,0.939991,0.030922,0.323413,11.177714,53.513474,84.719154,0.010283,0.912796,-0.003291,0.408272,3.166892,9.064489,79.003159,-0.136549,0.872812,-0.044628,0.466436,18.818502,87.339134,111.963165,-0.033456,0.855912,-0.123267,0.5011,25.825464,53.192062,119.274887,0.004121,0.871309,0.001318,0.490716,22.808598,9.152111,130.407669,0.010283,0.912796,-0.003291,0.408272,13.458199,2.805062,69.667328,0.004121,0.871309,0.001318,0.490716,34.730606,3.06847,123.120415
4,0.033333,-0.017261,0.891958,0.000599,0.451789,13.440333,87.074638,104.656288,-0.059518,0.891088,0.068063,0.444732,13.200812,94.714279,104.545235,0.027359,0.892948,-0.057623,0.445618,9.967216,113.805054,105.872002,0.105824,0.889803,-0.226328,0.381874,12.076436,134.680557,104.219284,0.131985,0.855118,-0.417088,0.278193,18.473036,146.424377,98.437622,-0.061247,0.857351,-0.024773,0.510475,8.605728,128.753876,102.038528,-0.465596,0.635979,-0.194701,0.583817,-0.166789,126.328445,85.803375,0.161008,-0.102837,-0.453348,-0.870619,2.460709,107.643021,73.006371,0.117921,-0.019076,-0.432737,-0.893571,18.176838,128.575928,64.009384,-0.052044,0.930263,0.039583,0.36102,13.087739,128.772491,107.993492,0.236542,0.91053,0.332307,-0.067485,26.747561,130.042755,120.571877,0.217556,0.407271,0.373894,-0.804365,46.787937,121.244339,114.185692,-0.035415,0.192071,0.712392,-0.674057,38.491417,130.301208,96.727295,0.033449,0.886559,0.177827,0.425761,7.929266,86.792633,97.142838,0.104853,0.940457,0.032909,0.321659,11.210115,53.507782,84.89801,0.010946,0.913028,-0.004122,0.40773,3.195458,9.082052,79.009216,-0.136528,0.873572,-0.043632,0.465112,18.951401,87.356636,112.169739,-0.031221,0.855723,-0.123173,0.501589,26.001675,53.202892,119.408287,0.004843,0.871196,0.001979,0.490908,22.808865,9.14768,130.431061,0.010946,0.913028,-0.004122,0.40773,13.463792,2.794211,69.667191,0.004843,0.871196,0.001979,0.490908,34.730431,3.070313,123.137856
5,0.041667,-0.017846,0.891657,0.000941,0.45236,13.593093,87.090096,104.843094,-0.056549,0.890493,0.071482,0.445775,13.343307,94.729408,104.732498,0.028712,0.892515,-0.0566,0.44653,10.152859,113.808655,106.224335,0.106877,0.890239,-0.224543,0.381618,12.295404,134.685867,104.637611,0.132284,0.856595,-0.414961,0.276683,18.698669,146.450623,98.90612,-0.059065,0.857752,-0.024988,0.510048,8.821153,128.770584,102.43174,-0.46591,0.636302,-0.195615,0.582909,0.022639,126.410248,86.201065,0.161489,-0.105245,-0.452153,-0.870863,2.615145,107.692635,73.444031,0.117715,-0.020798,-0.431464,-0.894175,18.359753,128.544861,64.330307,-0.051306,0.930096,0.040313,0.361476,13.289897,128.765335,108.396698,0.238169,0.909231,0.334543,-0.068237,26.940315,129.999237,120.988892,0.219248,0.405705,0.375571,-0.803916,46.940823,121.165756,114.526596,-0.034953,0.190691,0.714405,-0.672339,38.643608,130.258224,97.087051,0.035572,0.886074,0.177025,0.42693,8.092025,86.801353,97.322578,0.105312,0.941051,0.034884,0.319555,11.230448,53.506672,85.067123,0.011547,0.913214,-0.004995,0.407286,3.221936,9.101924,79.01403,-0.136556,0.874312,-0.043043,0.463765,19.09416,87.37883,112.363609,-0.029012,0.855753,-0.122913,0.501734,26.177061,53.222,119.555641,0.005768,0.87113,0.002464,0.491013,22.822582,9.148836,130.457993,0.011547,0.913214,-0.004995,0.407286,13.469747,2.785326,69.668869,0.005768,0.87113,0.002464,0.491013,34.739052,3.070698,123.157104
6,0.05,-0.018034,0.891273,0.00113,0.453106,13.733572,87.105965,105.029617,-0.053363,0.889929,0.074715,0.446763,13.480009,94.745171,104.92009,0.029599,0.89215,-0.05556,0.447332,10.342463,113.817169,106.574867,0.107844,0.890633,-0.222822,0.381436,12.50022,134.697113,105.045723,0.132947,0.85793,-0.412775,0.275495,18.909273,146.482208,99.362686,-0.055861,0.858165,-0.025253,0.509701,9.026758,128.789551,102.818062,-0.467277,0.636199,-0.196594,0.581596,0.201351,126.525925,86.588203,0.162665,-0.107943,-0.451168,-0.870825,2.782316,107.756569,73.905067,0.117328,-0.022584,-0.429948,-0.894913,18.538561,128.521591,64.644394,-0.050544,0.930033,0.040965,0.361671,13.484052,128.766388,108.791542,0.239906,0.908021,0.336479,-0.068738,27.132109,129.964722,121.389732,0.221212,0.403954,0.37758,-0.803318,47.091621,121.086166,114.862778,-0.033843,0.189226,0.717161,-0.669872,38.798473,130.220459,97.443153,0.037448,0.885924,0.176334,0.427368,8.245228,86.815842,97.499863,0.105706,0.941602,0.036774,0.317585,11.250117,53.513527,85.231712,0.012257,0.913483,-0.005999,0.406649,3.250911,9.128698,79.022285,-0.136739,0.874639,-0.042539,0.463141,19.221916,87.396088,112.55938,-0.026773,0.855994,-0.12241,0.50157,26.3379,53.239738,119.720932,0.006403,0.871091,0.002967,0.491072,22.834354,9.14397,130.4841,0.012257,0.913483,-0.005999,0.406649,13.47225,2.778875,69.670654,0.006403,0.871091,0.002967,0.491072,34.748154,3.069486,123.175812
7,0.058333,-0.018209,0.890968,0.001455,0.453698,13.879681,87.116898,105.207703,-0.050387,0.889402,0.077767,0.447635,13.621552,94.755997,105.101219,0.030451,0.891843,-0.054233,0.448049,10.533015,113.8172,106.909218,0.108871,0.891035,-0.220945,0.381296,12.69899,134.701126,105.447563,0.133368,0.859238,-0.410699,0.274316,19.114182,146.508362,99.817642,-0.05368,0.858183,-0.024805,0.509927,9.227798,128.801331,103.195885,-0.467538,0.636799,-0.197783,0.580325,0.402062,126.615654,86.955521,0.1629,-0.110226,-0.450188,-0.871002,2.926823,107.805885,74.321045,0.117232,-0.024246,-0.428604,-0.895526,18.70612,128.508453,64.951172,-0.050075,0.930102,0.042003,0.361439,13.674768,128.758728,109.176949,0.241585,0.906867,0.33838,-0.068756,27.330811,129.927353,121.769287,0.222785,0.40226,0.379419,-0.802867,47.253342,120.998215,115.198479,-0.032541,0.187588,0.718586,-0.66887,38.961266,130.177231,97.80188,0.039467,0.885647,0.175631,0.428048,8.401458,86.826721,97.670586,0.106087,0.942759,0.038903,0.313747,11.26685,53.51783,85.386887,0.012704,0.913504,-0.007067,0.406569,3.271841,9.154996,79.016922,-0.137027,0.87561,-0.042653,0.461207,19.357903,87.407074,112.744835,-0.024039,0.856817,-0.121726,0.500469,26.503403,53.257034,119.907089,0.007761,0.870813,0.004477,0.491532,22.831944,9.133413,130.498779,0.012704,0.913504,-0.007067,0.406569,13.480738,2.773135,69.673508,0.007761,0.870813,0.004477,0.491532,34.748287,3.077301,123.179398
8,0.066667,-0.017905,0.890702,0.002091,0.454231,14.025002,87.121223,105.382416,-0.047656,0.888827,0.080275,0.448633,13.766657,94.760452,105.286552,0.031346,0.891457,-0.052658,0.448942,10.726065,113.820923,107.225327,0.109717,0.891467,-0.219153,0.381078,12.897423,134.70961,105.841698,0.134072,0.860527,-0.408588,0.273084,19.314575,146.538773,100.260246,-0.051807,0.85835,-0.024258,0.509865,9.4304,128.818161,103.561905,-0.468053,0.637108,-0.198588,0.579295,0.594956,126.702431,87.317558,0.163082,-0.112602,-0.449452,-0.871044,3.087209,107.859146,74.726639,0.116782,-0.025905,-0.427249,-0.896186,18.874662,128.505753,65.243553,-0.049636,0.930149,0.043004,0.361261,13.864597,128.754013,109.552254,0.243067,0.905786,0.340194,-0.068831,27.527069,129.894333,122.140213,0.22446,0.400428,0.381054,-0.802542,47.416382,120.922745,115.526749,-0.031143,0.186081,0.720331,-0.667478,39.114613,130.141281,98.155678,0.041396,0.885701,0.175031,0.428,8.555593,86.841591,97.838501,0.10641,0.943758,0.040914,0.31036,11.280208,53.528831,85.533279,0.013186,0.913569,-0.008259,0.406386,3.292543,9.186885,79.010521,-0.137164,0.876425,-0.043123,0.459571,19.494413,87.400856,112.926338,-0.021338,0.858176,-0.120804,0.498483,26.646042,53.256371,120.108925,0.00715,0.870837,0.005279,0.491492,22.830374,9.101242,130.516769,0.013186,0.913569,-0.008259,0.406386,13.485768,2.769531,69.674309,0.00715,0.870837,0.005279,0.491492,34.757362,3.07305,123.191681
9,0.075,-0.017143,0.890559,0.003,0.454534,14.168802,87.126083,105.548584,-0.04535,0.888293,0.082295,0.449563,13.914539,94.765648,105.470299,0.032258,0.891082,-0.050855,0.449828,10.915706,113.82531,107.515892,0.110272,0.891924,-0.217245,0.38094,13.088584,134.719421,106.219185,0.134861,0.861639,-0.406575,0.272189,19.500124,146.574356,100.68618,-0.050782,0.858409,-0.023269,0.509916,9.626815,128.836792,103.908829,-0.468239,0.637664,-0.199035,0.578378,0.789424,126.7724,87.658943,0.163011,-0.114446,-0.44887,-0.871117,3.241228,107.908318,75.09124,0.116545,-0.02722,-0.426047,-0.89675,19.034885,128.513123,65.525566,-0.049295,0.930186,0.044389,0.361045,14.048274,128.749313,109.908279,0.244203,0.904747,0.342163,-0.068713,27.717796,129.859634,122.491264,0.226134,0.398847,0.382538,-0.802153,47.582607,120.857025,115.846382,-0.030252,0.184639,0.722333,-0.665754,39.275272,130.106689,98.494545,0.043345,0.885621,0.174442,0.428212,8.704044,86.866859,98.000565,0.106711,0.944676,0.04283,0.30719,11.290659,53.551216,85.673416,0.013546,0.913643,-0.009874,0.406171,3.310067,9.229696,79.004784,-0.137206,0.87757,-0.043526,0.45733,19.63356,87.3853,113.096596,-0.018488,0.859546,-0.12012,0.496398,26.792801,53.244133,120.287369,0.006078,0.87071,0.005972,0.491723,22.810619,9.063652,130.523819,0.013546,0.913643,-0.009874,0.406171,13.486004,2.767511,69.680641,0.006078,0.87071,0.005972,0.491723,34.756939,3.066964,123.204361
