hook_right|p11_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p11_hook_right_main_001,0.3511327802386358,0.41290347622248635,0.23796434262797295,0.33580320462754215,0.18016912961872084,0.2981350471400389,0.05381477680833189,0.04889004612233118,0.047770264541582966,0.5902313007692446,0.7858534291499581,0.23097870789996922
p11_hook_right_main_002,0.32981315310573756,0.4085033286162084,0.21781278026876802,0.3367104653956138,0.19163156207993734,0.32215557085385155,0.053035811331972715,0.04900193421002935,0.0477122323198718,0.6580827226885424,0.7214632437644015,0.25337348941018145
p11_hook_right_main_003,0.2735717277649949,0.3727507044922609,0.23019581523665394,0.3120347338506339,0.1718381683988932,0.26113583293414255,0.053064619585757505,0.047835997803081745,0.04763744970004824,0.6223466799958539,0.614305180811337,0.24108243246156438
p11_hook_right_main_004,0.23926151592191788,0.29252177444568844,0.16801865310471292,0.24056786022066148,0.0749540524085848,0.1807677402869354,0.05324047422479207,0.04799601231129421,0.047619151536876916,0.42879394915290653,0.4412829897501412,0.17667681189633094
p11_hook_right_main_005,0.3460955409557455,0.42138138723930274,0.23620178507590692,0.35975997910318036,0.21269915280161497,0.31145500059856357,0.05134861058028913,0.049361743724793496,0.04804460233006467,0.6461080389206815,0.7986168886370518,0.248939464408588
p11_hook_right_main_006,0.3097476379094574,0.41135248813535075,0.23344545445534898,0.348943699410792,0.11624380247550352,0.2963237501771458,0.051842736399852915,0.04921624339509104,0.04766945412439313,0.5633832317227608,0.7360184575213848,0.22148073717256828
p11_hook_right_main_007,0.30490796445852364,0.3974649240713813,0.22048225476833747,0.32686388676710354,0.18214013741439045,0.27355192551115287,0.05225624142929474,0.04964915938863955,0.04766404758703675,0.6338849334560355,0.663973498471548,0.24526344475798992
p11_hook_right_main_008,0.2491020278978052,0.2988484392116485,0.18281614368086035,0.24693280087765035,0.0773444787724467,0.22886427086993227,0.05205154149025882,0.04817929911236184,0.04761913381138629,0.45244320573912206,0.4953560962018945,0.18422468211391424
p11_hook_right_main_009,0.24621994765834296,0.2857701409860955,0.17823706065772002,0.2458256031605422,0.07613357734435763,0.19677168488893854,0.05270459424369536,0.04796074929903609,0.04761919426556255,0.42936960522759005,0.4715010099337002,0.17667831625677383
p11_hook_right_main_010,0.24235514352060358,0.27943217423522515,0.1772783626144518,0.24434288201555504,0.06381735167868874,0.21551666092407445,0.05188657627387426,0.0479165195370807,0.04761919375433189,0.46119575782349453,0.4388715086059806,0.1869996178781498
p11_hook_right_main_011,0.22764930292793933,0.31302598410352556,0.17755025120043788,0.27355382080166224,0.08853152213505275,0.1992675713148762,0.05194542134253949,0.04777535782425601,0.04761951150333324,0.5181498417579472,0.42659374650904247,0.20595687364158088
p11_hook_right_main_012,0.22627069445443754,0.2594409045618883,0.1720212723024206,0.27175122876623875,0.10297527533180535,0.23112973516815472,0.05115330442099329,0.04779922600692049,0.04761933663997151,0.5098810133247659,0.4474540085578275,0.20294451458422655
