Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.004153,0.896408,0.042838,0.441135,16.716066,87.372543,103.199661,-0.033173,0.894735,0.136314,0.42399,16.370239,94.988419,103.758743,0.009019,0.906435,0.014444,0.422003,13.063606,113.144508,107.837387,0.124234,0.940939,-0.11978,0.291295,13.151145,134.179062,108.548698,0.036412,0.975366,-0.182943,0.117763,18.504208,147.212601,104.842911,-0.055453,0.857102,0.045558,0.510123,10.118469,128.22435,105.852196,-0.470289,0.651884,-0.14319,0.577384,1.307415,127.320221,89.482475,0.160993,-0.05118,-0.47301,-0.86471,3.794572,109.570923,75.390335,0.124844,0.028106,-0.462115,-0.877538,19.058483,131.926392,68.673973,-0.080351,0.949591,0.146564,0.265216,14.915842,128.011627,111.552238,0.199957,0.871594,0.384822,-0.228589,30.669493,129.404922,121.365562,0.22775,0.281458,0.317887,-0.876276,49.263046,125.469063,108.771873,0.062608,0.033071,0.672082,-0.737084,35.613148,134.624573,95.151627,0.027532,0.896532,0.168372,0.408808,11.022391,87.655464,95.823662,0.092038,0.946653,-0.020603,0.308145,14.167264,54.111748,84.269005,-0.012344,0.909456,-0.020888,0.415092,5.656152,9.396338,83.462532,-0.147237,0.8485,-0.013287,0.508126,22.40974,87.089615,110.575653,-0.009351,0.814162,-0.146736,0.561712,30.82818,53.029316,116.708145,-0.000845,0.852759,-0.012598,0.522152,24.016678,9.472364,128.063904,-0.012344,0.909456,-0.020888,0.415092,16.251936,2.956078,74.602425,-0.000845,0.852759,-0.012598,0.522152,36.398663,3.126765,121.845474
1,0.008333,-0.004116,0.896495,0.04313,0.440931,16.769096,87.358665,103.226067,-0.03319,0.894741,0.136582,0.423889,16.421934,94.974167,103.789459,0.009091,0.906464,0.014252,0.421944,13.110763,113.128555,107.877281,0.124136,0.940928,-0.11984,0.291346,13.204516,134.1633,108.582565,0.03621,0.975341,-0.183018,0.11791,18.555725,147.197006,104.874718,-0.055355,0.857334,0.044912,0.509801,10.16974,128.208679,105.888176,-0.469908,0.651857,-0.144927,0.577292,1.346043,127.294388,89.525833,0.161469,-0.051845,-0.472402,-0.864914,3.811991,109.511887,75.471863,0.125822,0.027453,-0.46245,-0.877243,19.11072,131.845657,68.712822,-0.080219,0.949499,0.146393,0.265679,14.967832,127.996208,111.587616,0.200146,0.871534,0.385113,-0.22816,30.713133,129.383759,121.415138,0.229352,0.281818,0.317945,-0.875721,49.312153,125.436417,108.833122,0.064151,0.034622,0.672272,-0.736706,35.67244,134.563797,95.183815,0.027853,0.896515,0.16854,0.408752,11.072065,87.644432,95.852768,0.092458,0.946842,-0.020555,0.307441,14.200704,54.10601,84.278336,-0.012463,0.909431,-0.020817,0.415146,5.65449,9.397462,83.462234,-0.147189,0.848082,-0.012747,0.508852,22.466127,87.072899,110.599365,-0.009014,0.813475,-0.14721,0.562589,30.896164,53.01059,116.704727,-0.0007,0.852751,-0.012363,0.522172,24.023146,9.465763,128.069916,-0.012463,0.909431,-0.020817,0.415146,16.253059,2.960412,74.603119,-0.0007,0.852751,-0.012363,0.522172,36.405403,3.123566,121.848549
2,0.016667,-0.00399,0.896648,0.043421,0.440592,16.821285,87.34481,103.250084,-0.033237,0.894742,0.136944,0.423767,16.474108,94.959938,103.818443,0.009064,0.906478,0.013991,0.421923,13.155404,113.114716,107.918846,0.124024,0.940926,-0.119761,0.291433,13.252777,134.149796,108.613678,0.036067,0.975302,-0.183181,0.118025,18.600958,147.185211,104.907463,-0.055158,0.857609,0.044433,0.509401,10.216843,128.194351,105.922409,-0.471693,0.651435,-0.144778,0.576348,1.377157,127.276039,89.568924,0.163322,-0.051985,-0.472504,-0.864502,3.870144,109.459702,75.562683,0.126831,0.026904,-0.462093,-0.877303,19.154678,131.76918,68.751846,-0.080179,0.949439,0.146125,0.266054,15.015204,127.983894,111.621712,0.200547,0.871492,0.385347,-0.227575,30.753326,129.370438,121.460869,0.231207,0.282292,0.317956,-0.875076,49.357208,125.399712,108.89341,0.065175,0.035428,0.67251,-0.736361,35.729225,134.49176,95.208832,0.028122,0.896488,0.168771,0.408699,11.118663,87.634796,95.881287,0.092918,0.947073,-0.020492,0.306594,14.23624,54.102993,84.284714,-0.012384,0.909319,-0.020785,0.415395,5.651746,9.401978,83.457901,-0.14719,0.847745,-0.012762,0.509413,22.523911,87.054817,110.618889,-0.008563,0.813133,-0.147401,0.563041,30.949364,52.992546,116.730751,-0.000834,0.852881,-0.011917,0.521969,24.026752,9.452137,128.082748,-0.012384,0.909319,-0.020785,0.415395,16.254517,2.964951,74.603806,-0.000834,0.852881,-0.011917,0.521969,36.410355,3.122376,121.851418
3,0.025,-0.00389,0.896858,0.043772,0.440131,16.873337,87.333527,103.267967,-0.033192,0.894783,0.137312,0.423564,16.525469,94.948212,103.841972,0.008903,0.906518,0.013785,0.421849,13.203237,113.100136,107.956245,0.124202,0.940883,-0.119809,0.291478,13.298178,134.135574,108.640335,0.03576,0.975317,-0.183167,0.118015,18.651604,147.169022,104.934761,-0.054952,0.857881,0.044091,0.508995,10.262513,128.178406,105.952621,-0.460401,0.652589,-0.156596,0.581065,1.406609,127.258942,89.607979,0.156762,-0.055558,-0.468696,-0.867562,3.668539,109.409538,75.604614,0.127927,0.026659,-0.461084,-0.877682,19.195002,131.694244,68.790283,-0.080145,0.949341,0.145781,0.266602,15.061855,127.97142,111.651207,0.198942,0.871935,0.385079,-0.227739,30.789307,129.356903,121.507561,0.233298,0.283471,0.316137,-0.8748,49.418999,125.446022,108.959595,0.065988,0.036296,0.673131,-0.735679,35.770245,134.429413,95.22406,0.028361,0.896375,0.168952,0.408855,11.163128,87.627678,95.905205,0.093334,0.947247,-0.020496,0.305929,14.272876,54.101192,84.291183,-0.012535,0.909341,-0.020889,0.415338,5.652168,9.407252,83.459068,-0.146958,0.846933,-0.012408,0.510837,22.583544,87.039383,110.63073,-0.008462,0.812479,-0.147746,0.563896,30.998083,52.971615,116.726982,-0.000485,0.852988,-0.011383,0.521806,24.038336,9.440303,128.091156,-0.012535,0.909341,-0.020889,0.415338,16.255014,2.969385,74.605675,-0.000485,0.852988,-0.011383,0.521806,36.419289,3.117999,121.847008
4,0.033333,-0.003812,0.897009,0.043945,0.439807,16.919106,87.323906,103.284813,-0.033119,0.894804,0.137589,0.423435,16.571342,94.938354,103.861832,0.008834,0.906537,0.013671,0.421812,13.247958,113.086662,107.986687,0.124138,0.94087,-0.119902,0.291509,13.342314,134.122284,108.665215,0.035552,0.975321,-0.183141,0.118086,18.694927,147.155304,104.956902,-0.05486,0.858139,0.043738,0.508601,10.306609,128.164322,105.979324,-0.460837,0.652569,-0.157078,0.580612,1.435406,127.239944,89.643257,0.157784,-0.055589,-0.468378,-0.867546,3.691666,109.368469,75.667152,0.128947,0.026357,-0.461557,-0.877293,19.235006,131.634445,68.827209,-0.080256,0.949248,0.14558,0.267007,15.106428,127.958977,111.677574,0.199371,0.871877,0.38537,-0.227093,30.825155,129.347916,121.547333,0.23496,0.283933,0.316085,-0.874223,49.460472,125.412193,109.015488,0.066658,0.036666,0.672975,-0.735742,35.821499,134.36113,95.247787,0.028562,0.896274,0.169106,0.409,11.203568,87.620491,95.926285,0.09373,0.947268,-0.020526,0.305738,14.306852,54.098518,84.297516,-0.012263,0.909275,-0.020854,0.415491,5.651277,9.411436,83.458672,-0.146897,0.846697,-0.012069,0.511253,22.634645,87.027321,110.643341,-0.008171,0.812117,-0.148195,0.564302,31.054996,52.95768,116.721085,-9.3e-05,0.85302,-0.011141,0.521759,24.044952,9.438032,128.099014,-0.012263,0.909275,-0.020854,0.415491,16.254223,2.971306,74.607048,-9.3e-05,0.85302,-0.011141,0.521759,36.422607,3.115693,121.848358
5,0.041667,-0.00375,0.897165,0.044067,0.439476,16.962194,87.314507,103.297661,-0.033087,0.894853,0.137761,0.423278,16.614672,94.928802,103.876892,0.008785,0.906578,0.013706,0.421725,13.290451,113.075111,108.008453,0.12407,0.940873,-0.119904,0.291527,13.382393,134.110718,108.687447,0.035427,0.975324,-0.183059,0.118227,18.733353,147.144257,104.9786,-0.054852,0.858343,0.043508,0.508277,10.346897,128.152451,106.001999,-0.461235,0.652509,-0.157658,0.580206,1.463361,127.22303,89.672913,0.158451,-0.055702,-0.468179,-0.867525,3.714843,109.328522,75.725525,0.129431,0.026224,-0.461224,-0.877401,19.268082,131.581421,68.864334,-0.080252,0.949165,0.145303,0.267457,15.147827,127.947571,111.699318,0.199853,0.871784,0.385646,-0.226559,30.857641,129.336411,121.583298,0.236686,0.284158,0.316171,-0.873653,49.495232,125.375839,109.062668,0.067718,0.037354,0.673312,-0.735302,35.864044,134.297134,95.269333,0.02878,0.896199,0.169273,0.409079,11.241221,87.612846,95.943428,0.094046,0.947235,-0.020635,0.305738,14.336575,54.095798,84.29834,-0.012338,0.909274,-0.02087,0.415491,5.651058,9.414518,83.459991,-0.147,0.847006,-0.01179,0.510718,22.683167,87.016167,110.651901,-0.007716,0.812092,-0.148703,0.564212,31.123611,52.948219,116.71122,-7.6e-05,0.853127,-0.011395,0.521578,24.055,9.441647,128.102905,-0.012338,0.909274,-0.02087,0.415491,16.254765,2.974866,74.608925,-7.6e-05,0.853127,-0.011395,0.521578,36.428154,3.11304,121.849678
6,0.05,-0.003717,0.897315,0.044147,0.439162,17.005184,87.307152,103.30529,-0.033113,0.894884,0.138035,0.423121,16.657787,94.921341,103.885971,0.008718,0.906616,0.013659,0.421646,13.329169,113.064178,108.026649,0.123911,0.940888,-0.119824,0.291578,13.419422,134.099899,108.70266,0.035369,0.975317,-0.182966,0.118445,18.765913,147.135544,104.994797,-0.0549,0.858575,0.043377,0.507891,10.383968,128.140991,106.018578,-0.461612,0.652409,-0.158091,0.579901,1.486029,127.206459,89.697632,0.158968,-0.055628,-0.468064,-0.867496,3.73726,109.293602,75.773788,0.12984,0.026132,-0.460235,-0.877862,19.294798,131.536148,68.904655,-0.080167,0.949132,0.144908,0.267812,15.185913,127.937317,111.715088,0.200181,0.871841,0.385679,-0.22599,30.889153,129.325104,121.609642,0.23802,0.284471,0.316087,-0.873219,49.532475,125.341293,109.104935,0.068355,0.03793,0.67347,-0.735069,35.906677,134.234253,95.287994,0.029003,0.896104,0.169448,0.409199,11.279072,87.606445,95.955101,0.094338,0.947222,-0.020795,0.305675,14.366987,54.09454,84.293236,-0.012268,0.909268,-0.020885,0.415505,5.651999,9.418884,83.461128,-0.146989,0.847079,-0.011635,0.510604,22.731297,87.007866,110.655487,-0.007421,0.811854,-0.149131,0.564446,31.177599,52.939438,116.703926,0.000537,0.85313,-0.011162,0.521579,24.061831,9.444091,128.109085,-0.012268,0.909268,-0.020885,0.415505,16.255114,2.97804,74.610229,0.000537,0.85313,-0.011162,0.521579,36.429974,3.112036,121.849442
7,0.058333,-0.003582,0.897501,0.044259,0.438772,17.045013,87.300125,103.306137,-0.033143,0.894938,0.138359,0.422901,16.698975,94.914185,103.889404,0.008715,0.906687,0.013722,0.421492,13.365438,113.052643,108.040916,0.123643,0.940932,-0.119797,0.291561,13.45461,134.088287,108.719254,0.035322,0.975323,-0.182775,0.118706,18.79381,147.126419,105.009605,-0.054866,0.858754,0.043216,0.507606,10.418619,128.129501,106.03553,-0.461846,0.652332,-0.158487,0.579692,1.509783,127.192184,89.720688,0.159114,-0.055635,-0.468046,-0.867479,3.759854,109.264992,75.815109,0.129768,0.025948,-0.460028,-0.877987,19.319277,131.507034,68.941589,-0.080127,0.949107,0.144708,0.268022,15.222504,127.925476,111.730408,0.200501,0.871815,0.385825,-0.225561,30.921799,129.312607,121.631325,0.239302,0.284696,0.31597,-0.872838,49.568123,125.31028,109.137001,0.068999,0.038748,0.673684,-0.73477,35.944588,134.175873,95.300255,0.029151,0.896107,0.169563,0.409135,11.312498,87.602264,95.961052,0.09459,0.947239,-0.020931,0.305539,14.393525,54.093731,84.287689,-0.012124,0.909232,-0.020826,0.415592,5.65315,9.422925,83.461517,-0.147061,0.847282,-0.011669,0.510245,22.777529,86.997993,110.65123,-0.006994,0.81186,-0.149548,0.564332,31.229343,52.93111,116.700699,0.000819,0.853018,-0.010996,0.521765,24.06216,9.446514,128.11467,-0.012124,0.909232,-0.020826,0.415592,16.256636,2.981899,74.611191,0.000819,0.853018,-0.010996,0.521765,36.431126,3.114281,121.856834
8,0.066667,-0.003603,0.897617,0.044243,0.438535,17.081373,87.296013,103.305145,-0.033182,0.894991,0.138675,0.422681,16.7353,94.910088,103.888153,0.008805,0.906781,0.013765,0.421286,13.397039,113.042114,108.049599,0.123508,0.940982,-0.119663,0.291511,13.489016,134.077637,108.731148,0.035183,0.975337,-0.182608,0.118885,18.823423,147.118286,105.023422,-0.054859,0.858911,0.043174,0.507345,10.451099,128.119629,106.047882,-0.474139,0.651165,-0.147295,0.574004,1.532359,127.180992,89.738533,0.167013,-0.052013,-0.471529,-0.864327,4.007848,109.247414,75.879585,0.129506,0.025864,-0.459933,-0.878078,19.339785,131.488831,68.981277,-0.080117,0.949065,0.144479,0.268295,15.257544,127.914169,111.74054,0.20097,0.871758,0.386011,-0.225045,30.951448,129.301636,121.649933,0.240441,0.284849,0.315949,-0.872483,49.599785,125.274025,109.166756,0.069422,0.039254,0.673732,-0.73466,35.979412,134.118607,95.313477,0.02935,0.896129,0.169671,0.409028,11.344988,87.597466,95.963058,0.094752,0.94721,-0.02114,0.305561,14.415103,54.092396,84.276909,-0.012047,0.909252,-0.020817,0.415551,5.655116,9.425193,83.463928,-0.147096,0.847713,-0.011253,0.509528,22.81776,86.994568,110.64724,-0.006775,0.811688,-0.150208,0.564406,31.291861,52.927738,116.665756,0.001546,0.853038,-0.01116,0.521727,24.073463,9.46089,128.115005,-0.012047,0.909252,-0.020817,0.415551,16.256952,2.983447,74.612152,0.001546,0.853038,-0.01116,0.521727,36.433048,3.114211,121.853256
9,0.075,-0.00357,0.897787,0.044282,0.438184,17.121176,87.29026,103.29747,-0.033265,0.895004,0.139084,0.422513,16.77553,94.904289,103.881363,0.008688,0.906813,0.013782,0.421219,13.428831,113.031555,108.055565,0.12314,0.941021,-0.119381,0.291657,13.516109,134.067154,108.735703,0.035182,0.975317,-0.182408,0.119355,18.839642,147.113663,105.03299,-0.054863,0.859065,0.043044,0.507094,10.479163,128.108246,106.053268,-0.474114,0.651204,-0.147351,0.573966,1.550978,127.166344,89.749275,0.166605,-0.051705,-0.471581,-0.864396,4.023365,109.231461,75.891457,0.128771,0.025869,-0.459804,-0.878254,19.355539,131.482986,69.017525,-0.07999,0.949067,0.144202,0.268475,15.286478,127.904274,111.745247,0.201243,0.871825,0.386005,-0.224549,30.977541,129.289063,121.659531,0.241424,0.284974,0.315917,-0.872182,49.631042,125.241219,109.19062,0.069911,0.039468,0.673932,-0.734419,36.012844,134.067291,95.32341,0.029563,0.896184,0.169726,0.408869,11.379035,87.592285,95.9599,0.09493,0.947272,-0.021327,0.305301,14.435102,54.089428,84.263733,-0.012064,0.909218,-0.020743,0.415628,5.654545,9.426016,83.464355,-0.147173,0.848105,-0.011317,0.508852,22.863316,86.988243,110.63504,-0.006436,0.8117,-0.150676,0.564269,31.344431,52.923141,116.653427,0.001862,0.853046,-0.011227,0.521711,24.078783,9.468719,128.119934,-0.012064,0.909218,-0.020743,0.415628,16.258457,2.986343,74.613548,0.001862,0.853046,-0.011227,0.521711,36.434303,3.115843,121.856461
