Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.005259,0.90304,0.04683,0.426963,18.601727,86.583054,103.185249,-0.034735,0.900455,0.145823,0.408302,18.223431,94.193306,103.797462,0.016562,0.913931,0.025461,0.404732,14.771688,112.343109,108.24913,0.098078,0.946849,-0.096998,0.2906,14.975065,133.351044,109.510765,0.034049,0.971121,-0.189006,0.141566,19.463875,146.801819,106.16584,-0.054091,0.858358,0.07118,0.505202,11.817941,127.479729,106.774498,-0.383692,0.699177,-0.103897,0.594253,2.81532,127.090012,90.488892,0.066025,-0.181658,-0.441679,-0.876105,2.831578,112.041977,73.360893,0.05093,-0.062151,-0.488997,-0.868576,17.960775,132.904358,62.883408,-0.084888,0.9527,0.153247,0.248338,16.825283,127.100502,112.282051,0.429288,0.853723,0.204196,-0.21254,32.873695,128.69429,121.573349,0.100895,0.252678,0.527319,-0.804928,45.209927,113.961662,109.302284,0.028209,-0.004682,0.702202,-0.711404,36.864124,135.023468,95.756371,0.043835,0.900034,0.179395,0.39476,12.67887,86.867294,95.992035,0.112707,0.94636,-0.000845,0.302819,14.913166,53.679527,83.257782,-0.005321,0.916454,-0.015537,0.399803,5.178299,9.310836,80.223091,-0.144784,0.864901,-0.017908,0.480274,24.524582,86.298813,110.378456,-0.0019,0.827063,-0.166191,0.536977,32.83215,52.19775,116.435135,0.011609,0.861925,7.5e-05,0.506903,24.849844,9.187484,129.042984,-0.005321,0.916454,-0.015537,0.399803,15.41142,2.915952,70.915146,0.011609,0.861925,7.5e-05,0.506903,36.948006,2.966915,122.173622
1,0.008333,-0.005292,0.903692,0.046114,0.42566,18.601534,86.604462,103.123772,-0.03479,0.901083,0.145447,0.407043,18.228323,94.215729,103.726433,0.016381,0.914488,0.025473,0.403479,14.787832,112.36322,108.167969,0.097662,0.94718,-0.096758,0.289741,14.985763,133.371384,109.426735,0.033932,0.971248,-0.188612,0.141252,19.457285,146.827332,106.079483,-0.054314,0.858817,0.071567,0.504343,11.823663,127.498436,106.699753,-0.38288,0.699361,-0.103891,0.594562,2.789657,127.105644,90.43161,0.064788,-0.180917,-0.442096,-0.876141,2.794243,112.078979,73.284843,0.050039,-0.061171,-0.489749,-0.868274,17.921993,132.983368,62.869179,-0.084912,0.953074,0.153851,0.246516,16.846186,127.121925,112.193657,0.429282,0.853836,0.203658,-0.212613,32.927998,128.722626,121.425835,0.101406,0.251727,0.526805,-0.805498,45.263039,113.983467,109.161415,0.029098,-0.005064,0.702158,-0.711408,36.862148,135.040421,95.635017,0.043535,0.900535,0.179063,0.393799,12.657973,86.881256,95.947365,0.112422,0.946377,-0.000962,0.302872,14.888297,53.683125,83.239433,-0.005472,0.916439,-0.015512,0.399836,5.174527,9.308627,80.222145,-0.144707,0.865318,-0.018555,0.479522,24.545094,86.327675,110.300186,-0.002209,0.827111,-0.166411,0.536833,32.831104,52.2267,116.386864,0.012483,0.86174,-0.001046,0.507196,24.863455,9.223223,129.027115,-0.005472,0.916439,-0.015512,0.399836,15.410182,2.916112,70.915352,0.012483,0.86174,-0.001046,0.507196,36.949684,2.96342,122.172394
2,0.016667,-0.005239,0.904446,0.045488,0.424124,18.598961,86.62648,103.05703,-0.034904,0.901809,0.144963,0.405595,18.231565,94.238625,103.652046,0.01601,0.915118,0.025495,0.402062,14.803079,112.38369,108.079315,0.097169,0.947544,-0.096484,0.288806,14.988287,133.392303,109.332359,0.033794,0.971385,-0.188157,0.140947,19.439806,146.854279,105.982613,-0.05454,0.8592,0.072242,0.503568,11.822441,127.516197,106.616547,-0.382607,0.699487,-0.103324,0.594688,2.76029,127.126022,90.363998,0.063858,-0.179868,-0.442848,-0.876045,2.76218,112.120644,73.198608,0.04926,-0.060002,-0.490478,-0.867989,17.876411,133.075836,62.85358,-0.084836,0.953349,0.153856,0.245474,16.862164,127.145004,112.095047,0.429072,0.853965,0.203088,-0.213065,32.963554,128.749786,121.292328,0.101914,0.251215,0.52634,-0.805897,45.29805,114.014946,109.022163,0.029979,-0.005492,0.70196,-0.711564,36.856911,135.06134,95.499252,0.04311,0.901238,0.178741,0.392382,12.631054,86.897835,95.900642,0.112079,0.946518,-0.001018,0.302556,14.859398,53.688885,83.220688,-0.005516,0.916427,-0.015466,0.399865,5.172248,9.307382,80.220856,-0.144526,0.865164,-0.019473,0.479817,24.566866,86.355125,110.213409,-0.002649,0.826991,-0.166448,0.537004,32.808327,52.252899,116.353294,0.013254,0.861541,-0.001718,0.507513,24.869373,9.250748,129.016052,-0.005516,0.916427,-0.015466,0.399865,15.409225,2.916537,70.914375,0.013254,0.861541,-0.001718,0.507513,36.947968,2.963979,122.172569
3,0.025,-0.005185,0.905296,0.044983,0.42236,18.600389,86.64637,102.985107,-0.035365,0.902577,0.144297,0.404083,18.238155,94.259224,103.574219,0.015822,0.915765,0.025632,0.400583,14.812104,112.406631,107.976929,0.096622,0.947935,-0.096292,0.287769,14.989821,133.415207,109.231758,0.033564,0.971551,-0.187614,0.140584,19.419985,146.882813,105.876366,-0.054714,0.859649,0.072931,0.502683,11.818487,127.537666,106.525467,-0.383451,0.699224,-0.101863,0.594706,2.723899,127.151527,90.290955,0.063455,-0.178668,-0.444181,-0.875645,2.756242,112.163368,73.110565,0.048155,-0.05878,-0.491426,-0.867598,17.824438,133.176117,62.836117,-0.084978,0.953687,0.153695,0.244209,16.87599,127.168633,111.987701,0.429202,0.853987,0.202304,-0.213462,32.999527,128.788223,121.143486,0.102365,0.25073,0.526023,-0.806198,45.321228,114.043953,108.871803,0.030646,-0.005929,0.701549,-0.711937,36.849503,135.082153,95.354576,0.04268,0.90201,0.178488,0.390767,12.604636,86.913071,95.851868,0.111718,0.946554,-0.001192,0.302577,14.830703,53.695061,83.195259,-0.005615,0.916431,-0.015423,0.399857,5.169512,9.306234,80.220146,-0.144468,0.86536,-0.02041,0.479443,24.596142,86.379669,110.118355,-0.002818,0.827184,-0.166745,0.536614,32.804577,52.278931,116.310501,0.014408,0.861275,-0.00225,0.507929,24.869772,9.285868,129.006699,-0.005615,0.916431,-0.015423,0.399857,15.407663,2.917592,70.913445,0.014408,0.861275,-0.00225,0.507929,36.939083,2.970169,122.173485
4,0.033333,-0.005184,0.90618,0.044459,0.420516,18.601757,86.664673,102.908073,-0.035752,0.90338,0.143604,0.402499,18.244114,94.278244,103.490685,0.015475,0.916433,0.025731,0.399059,14.823045,112.431847,107.870163,0.096049,0.948347,-0.096101,0.286665,14.987794,133.440674,109.122726,0.03336,0.971724,-0.187119,0.140092,19.395542,146.914078,105.761086,-0.055054,0.860107,0.073646,0.501759,11.812323,127.560318,106.427399,-0.38306,0.699347,-0.101183,0.594929,2.684554,127.173195,90.21154,0.062166,-0.1775,-0.445024,-0.875547,2.715384,112.212753,73.006996,0.046808,-0.057406,-0.492414,-0.867204,17.767742,133.284805,62.817554,-0.084786,0.95398,0.154074,0.242889,16.888147,127.195847,111.87291,0.429114,0.854038,0.201787,-0.21392,33.036839,128.813675,120.984566,0.102872,0.249916,0.525569,-0.806682,45.353039,114.070961,108.705475,0.031619,-0.006392,0.701263,-0.712172,36.833778,135.102921,95.203598,0.042314,0.902707,0.178199,0.389326,12.57702,86.925659,95.799088,0.111318,0.946592,-0.0014,0.302606,14.798125,53.698097,83.16671,-0.005819,0.916437,-0.015312,0.399844,5.165319,9.301191,80.220322,-0.1444,0.865664,-0.021576,0.478862,24.626495,86.403679,110.017059,-0.003049,0.827447,-0.166891,0.536161,32.794956,52.305031,116.273247,0.015124,0.86111,-0.003191,0.508184,24.877375,9.316525,128.99559,-0.005819,0.916437,-0.015312,0.399844,15.406075,2.917655,70.912987,0.015124,0.86111,-0.003191,0.508184,36.936779,2.968207,122.175133
5,0.041667,-0.005543,0.906936,0.043356,0.418994,18.580507,86.693489,102.832588,-0.035603,0.904165,0.142896,0.400996,18.225924,94.308479,103.398254,0.015069,0.917079,0.025825,0.397583,14.830807,112.454498,107.75827,0.095764,0.948719,-0.095836,0.285619,14.980345,133.463638,109.00737,0.032829,0.971883,-0.186882,0.139431,19.373108,146.941559,105.644287,-0.055289,0.860506,0.074398,0.500937,11.801651,127.580002,106.323036,-0.382762,0.699493,-0.100483,0.595067,2.644178,127.196327,90.123856,0.060765,-0.176181,-0.44604,-0.875395,2.672089,112.2612,72.897331,0.045502,-0.056063,-0.493221,-0.866902,17.702999,133.401489,62.802887,-0.084778,0.954325,0.154058,0.241544,16.895195,127.220955,111.752342,0.429055,0.854104,0.201167,-0.214358,33.068188,128.847458,120.819244,0.103454,0.249254,0.525077,-0.807133,45.378132,114.103737,108.53511,0.032404,-0.007011,0.700825,-0.712562,36.814388,135.122559,95.042389,0.04172,0.903417,0.178006,0.387828,12.532025,86.938461,95.743217,0.110915,0.946735,-0.001558,0.302305,14.764845,53.702427,83.135185,-0.005931,0.916408,-0.015202,0.399912,5.161015,9.29741,80.21653,-0.144347,0.866065,-0.022523,0.478109,24.628988,86.448517,109.921959,-0.003584,0.827416,-0.166968,0.536182,32.767185,52.351749,116.227638,0.016734,0.860825,-0.004041,0.508609,24.885849,9.365922,128.981476,-0.005931,0.916408,-0.015202,0.399912,15.404992,2.917947,70.90995,0.016734,0.860825,-0.004041,0.508609,36.928905,2.974778,122.17215
6,0.05,-0.005391,0.907914,0.042818,0.416929,18.571838,86.712601,102.745583,-0.036086,0.905046,0.142057,0.399261,18.224083,94.328323,103.305565,0.014722,0.917803,0.026013,0.395908,14.833868,112.479164,107.635864,0.094958,0.949145,-0.095517,0.284575,14.969131,133.488327,108.886185,0.032531,0.971975,-0.186594,0.139243,19.33263,146.974655,105.5187,-0.05578,0.860915,0.075312,0.500042,11.785997,127.602066,106.212891,-0.382262,0.699515,-0.099817,0.595475,2.597202,127.216316,90.031509,0.059227,-0.174742,-0.44718,-0.875207,2.629818,112.312988,72.777489,0.044153,-0.05441,-0.494449,-0.866378,17.634689,133.527588,62.787731,-0.08463,0.95468,0.1542,0.240098,16.8995,127.247131,111.623672,0.429156,0.854071,0.20047,-0.214942,33.099358,128.876511,120.64196,0.104036,0.248357,0.524751,-0.807547,45.393921,114.128021,108.348129,0.033315,-0.007666,0.700854,-0.712485,36.787926,135.143234,94.87294,0.041139,0.90426,0.177773,0.386029,12.49114,86.954193,95.683708,0.110495,0.946907,-0.001708,0.301921,14.729698,53.708839,83.101311,-0.006219,0.91639,-0.015236,0.399949,5.156304,9.295392,80.211029,-0.144265,0.866467,-0.023763,0.477345,24.652538,86.471001,109.807457,-0.004022,0.827495,-0.167158,0.535998,32.748871,52.37664,116.17968,0.017528,0.860652,-0.004814,0.50887,24.894089,9.396878,128.970306,-0.006219,0.91639,-0.015236,0.399949,15.40418,2.918339,70.907089,0.017528,0.860652,-0.004814,0.50887,36.927448,2.976141,122.171677
7,0.058333,-0.005623,0.90881,0.041864,0.415066,18.554146,86.741936,102.656212,-0.036341,0.905867,0.141342,0.397627,18.210361,94.358856,103.202202,0.014462,0.918483,0.026156,0.39433,14.83166,112.506851,107.508385,0.094471,0.949587,-0.095268,0.283343,14.956655,133.516022,108.759689,0.03203,0.972148,-0.186396,0.138414,19.298923,147.008087,105.387672,-0.056055,0.861436,0.075997,0.49901,11.768476,127.627739,106.096878,-0.380946,0.699612,-0.100151,0.596148,2.542449,127.241936,89.936691,0.056994,-0.173668,-0.447985,-0.875158,2.565801,112.366722,72.658386,0.042502,-0.052883,-0.495496,-0.865957,17.561792,133.65918,62.767666,-0.084436,0.95505,0.154164,0.238712,16.900688,127.275978,111.490128,0.429344,0.853938,0.199904,-0.215621,33.126469,128.907913,120.46125,0.104612,0.247557,0.524494,-0.807885,45.400345,114.155342,108.151672,0.03396,-0.008557,0.700442,-0.71285,36.759586,135.164719,94.692322,0.040525,0.905079,0.177644,0.384228,12.444593,86.970634,95.618858,0.110004,0.94703,-0.002011,0.301709,14.694026,53.718437,83.056488,-0.006458,0.916443,-0.015352,0.399818,5.153339,9.295255,80.208,-0.14406,0.866782,-0.024996,0.476772,24.663696,86.513237,109.693565,-0.004802,0.827348,-0.167171,0.536214,32.709702,52.418945,116.129593,0.018456,0.860501,-0.006036,0.509079,24.909735,9.440207,128.957138,-0.006458,0.916443,-0.015352,0.399818,15.400717,2.917936,70.903694,0.018456,0.860501,-0.006036,0.509079,36.928043,2.977342,122.171806
8,0.066667,-0.005921,0.909616,0.040799,0.413399,18.528097,86.774956,102.565399,-0.036555,0.90674,0.14051,0.395909,18.187895,94.393173,103.095352,0.014091,0.919231,0.026346,0.392584,14.824732,112.536621,107.373749,0.093989,0.949984,-0.094869,0.282306,14.934577,133.545822,108.626022,0.031513,0.972226,-0.186305,0.138107,19.255661,147.04483,105.254639,-0.056347,0.861899,0.076683,0.498071,11.741951,127.654694,105.974838,-0.382451,0.699224,-0.097667,0.596052,2.482297,127.268623,89.833908,0.056522,-0.171717,-0.449962,-0.874559,2.552845,112.420128,72.532776,0.040855,-0.051329,-0.496785,-0.865391,17.482122,133.797089,62.751961,-0.084324,0.95545,0.154151,0.237154,16.894794,127.307442,111.348679,0.429626,0.853877,0.199253,-0.215901,33.148872,128.945709,120.267235,0.105404,0.246804,0.524173,-0.808221,45.406174,114.179504,107.957497,0.035004,-0.008857,0.700148,-0.713084,36.726994,135.180893,94.504135,0.039927,0.905883,0.177465,0.382476,12.392852,86.989006,95.549965,0.109469,0.94721,-0.002264,0.301338,14.651491,53.728855,83.01033,-0.006823,0.916431,-0.015494,0.399834,5.148277,9.295079,80.20208,-0.143899,0.86704,-0.026802,0.476253,24.663342,86.560913,109.580826,-0.005641,0.827231,-0.166768,0.536512,32.641708,52.469975,116.11805,0.019624,0.860421,-0.006774,0.509161,24.919996,9.479797,128.95462,-0.006823,0.916431,-0.015494,0.399834,15.399465,2.918322,70.901588,0.019624,0.860421,-0.006774,0.509161,36.921806,2.983155,122.17234
9,0.075,-0.00584,0.910686,0.040247,0.411093,18.515604,86.799088,102.461334,-0.037313,0.907619,0.139821,0.394063,18.181347,94.417999,102.984985,0.013788,0.919972,0.026396,0.390851,14.811249,112.565353,107.235336,0.093322,0.950439,-0.094705,0.281047,14.910934,133.574799,108.48436,0.031207,0.972374,-0.186031,0.1375,19.20644,147.07988,105.104637,-0.056882,0.862403,0.077617,0.496993,11.712549,127.681053,105.845978,-0.38154,0.699154,-0.097527,0.59674,2.4152,127.290955,89.72683,0.054409,-0.170276,-0.451208,-0.874332,2.491433,112.473465,72.399162,0.039156,-0.04936,-0.497883,-0.864952,17.393436,133.941223,62.734825,-0.084272,0.955854,0.154351,0.235406,16.885763,127.338173,111.200485,0.43013,0.85367,0.198396,-0.216505,33.17091,128.9841,120.060776,0.10607,0.245844,0.524049,-0.808506,45.396561,114.199379,107.741798,0.03559,-0.009787,0.700256,-0.712937,36.68523,135.200867,94.307449,0.039303,0.906799,0.177279,0.38045,12.344896,87.008408,95.476936,0.10893,0.947394,-0.002564,0.300951,14.61055,53.740025,82.960419,-0.007311,0.916485,-0.015784,0.39969,5.143875,9.295654,80.196747,-0.143756,0.867648,-0.028002,0.475117,24.68631,86.589767,109.44574,-0.006178,0.827663,-0.167244,0.535691,32.62365,52.500587,116.041801,0.020709,0.860275,-0.007759,0.509351,24.931898,9.525442,128.946503,-0.007311,0.916485,-0.015784,0.39969,15.396279,2.917057,70.898857,0.020709,0.860275,-0.007759,0.509351,36.918049,2.99027,122.173561
