Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.002943,0.957574,0.016807,0.287681,0.070266,87.606277,17.286118,-0.034694,0.973286,0.088812,0.20886,0.03924,95.293289,17.546711,-0.008306,0.977721,0.109331,0.178998,-2.135255,115.697571,20.838333,0.068329,0.99468,0.021411,0.074053,-3.295718,136.147888,25.255812,0.13298,0.974757,-0.173281,-0.046237,-1.083687,150.598511,24.168531,-0.009583,0.904998,0.101588,0.412996,-6.870068,130.541824,23.290682,-0.228334,0.700541,0.019435,0.675817,-18.388561,131.705872,10.184649,0.032584,-0.045468,-0.416132,-0.907582,-17.948339,124.414398,-13.547376,0.114195,0.134719,-0.509131,-0.842375,-0.393561,144.748932,-16.510891,-0.016671,0.974245,0.188411,0.122759,0.096763,130.371338,25.91008,0.254065,0.886485,0.198391,-0.332018,17.047089,130.130432,30.202766,-0.04116,0.130637,0.420583,-0.896856,33.197792,122.216621,13.082753,0.030508,-0.138722,0.642483,-0.753021,18.293812,140.847763,8.220112,0.070932,0.936331,0.13669,0.315544,-7.756876,87.749847,12.119182,0.078334,0.9917,-0.044592,0.091689,-9.444592,53.226852,1.219814,-0.02589,0.983387,0.046755,0.173478,-17.223532,6.435159,4.743382,-0.065697,0.93182,-0.086454,0.346295,7.897408,87.462708,22.453053,0.027629,0.884106,-0.14724,0.442622,10.164669,52.075344,29.94142,-0.031066,0.850784,0.039497,0.523107,1.641241,6.645748,41.161625,-0.02589,0.983387,0.046755,0.173478,-12.047726,1.793277,-8.923945,-0.031066,0.850784,0.039497,0.523107,14.704509,1.98251,34.62426
1,0.008333,0.002963,0.957538,0.016786,0.287803,0.06972,87.607468,17.282375,-0.034737,0.973266,0.088819,0.208943,0.039049,95.294495,17.542746,-0.008321,0.977717,0.109241,0.179069,-2.137622,115.699577,20.834232,0.068251,0.994681,0.021451,0.074107,-3.298353,136.150696,25.247896,0.132845,0.974805,-0.173128,-0.046195,-1.088494,150.601746,24.161736,-0.009765,0.90499,0.101535,0.413024,-6.872519,130.544357,23.283247,-0.228231,0.70077,0.019548,0.675611,-18.390079,131.701965,10.175829,0.032966,-0.046695,-0.416107,-0.907517,-17.965981,124.4151,-13.557898,0.114857,0.133637,-0.50882,-0.842645,-0.412856,144.747726,-16.59058,-0.016685,0.974186,0.188772,0.122676,0.093927,130.374207,25.903685,0.253946,0.886579,0.198321,-0.3319,17.044952,130.132751,30.193567,-0.041345,0.13072,0.420462,-0.896892,33.202545,122.220634,13.079283,0.030342,-0.138618,0.642415,-0.753105,18.293367,140.850281,8.215872,0.070993,0.936312,0.136637,0.31561,-7.75611,87.75132,12.113462,0.078294,0.991682,-0.044651,0.091884,-9.448404,53.227901,1.216139,-0.025636,0.983387,0.046857,0.173484,-17.224833,6.436119,4.744095,-0.065672,0.931831,-0.086522,0.346256,7.895549,87.463615,22.451288,0.027622,0.88419,-0.147191,0.44247,10.159701,52.076859,29.943436,-0.031201,0.850802,0.039352,0.52308,1.640754,6.645858,41.161366,-0.025636,0.983387,0.046857,0.173484,-12.051436,1.795783,-8.924669,-0.031201,0.850802,0.039352,0.52308,14.704098,1.981075,34.625256
2,0.016667,0.002934,0.957502,0.016827,0.287922,0.069891,87.608788,17.278671,-0.03474,0.973244,0.0888,0.209056,0.038577,95.295792,17.539509,-0.008412,0.977702,0.109168,0.179191,-2.13851,115.701607,20.830044,0.068282,0.994667,0.021538,0.074235,-3.302989,136.153336,25.239914,0.132673,0.974855,-0.173001,-0.046111,-1.092037,150.604431,24.15667,-0.009739,0.90493,0.10152,0.413159,-6.875928,130.546204,23.275276,-0.228195,0.701063,0.019706,0.675315,-18.389616,131.704895,10.164552,0.033408,-0.047869,-0.415958,-0.907508,-17.986227,124.420998,-13.57045,0.115526,0.132473,-0.50839,-0.842997,-0.430262,144.745377,-16.670759,-0.016814,0.974174,0.188824,0.122673,0.089847,130.37738,25.897587,0.253759,0.886709,0.198384,-0.331658,17.040749,130.140121,30.188202,-0.041345,0.130884,0.42022,-0.896981,33.21101,122.233269,13.083449,0.030269,-0.138455,0.642254,-0.753275,18.294634,140.853745,8.212031,0.07104,0.936319,0.13652,0.31563,-7.754654,87.752373,12.107804,0.078254,0.991694,-0.044641,0.091796,-9.452711,53.227127,1.217184,-0.025974,0.983381,0.046847,0.17347,-17.224922,6.434649,4.745262,-0.065682,0.931828,-0.08659,0.346243,7.894435,87.465195,22.449537,0.027596,0.884135,-0.147171,0.442589,10.157612,52.079391,29.946487,-0.031234,0.850841,0.039364,0.523015,1.640205,6.647667,41.162682,-0.025974,0.983381,0.046847,0.17347,-12.048356,1.795872,-8.922832,-0.031234,0.850841,0.039364,0.523015,14.70291,1.983693,34.624722
3,0.025,0.002898,0.957475,0.016852,0.288009,0.071351,87.609756,17.277163,-0.034764,0.973228,0.088717,0.20916,0.039372,95.296753,17.538204,-0.008521,0.977687,0.109107,0.179309,-2.138382,115.703735,20.825094,0.068298,0.994652,0.021574,0.074419,-3.307394,136.155945,25.23151,0.132507,0.974924,-0.172797,-0.045894,-1.095504,150.607025,24.149828,-0.009673,0.904929,0.101573,0.41315,-6.878892,130.547928,23.266802,-0.228184,0.701319,0.019842,0.675048,-18.392879,131.709473,10.156594,0.033835,-0.049025,-0.415735,-0.907533,-18.007641,124.427307,-13.579242,0.115954,0.131438,-0.507956,-0.843362,-0.445507,144.740616,-16.745926,-0.016917,0.974156,0.188844,0.122764,0.086224,130.380661,25.890959,0.253519,0.886854,0.198276,-0.331519,17.036217,130.146225,30.185312,-0.041316,0.131028,0.420025,-0.897053,33.217121,122.244965,13.088043,0.030397,-0.138418,0.64229,-0.753246,18.294943,140.858032,8.209005,0.071041,0.936349,0.136512,0.315544,-7.752256,87.752853,12.104866,0.078265,0.991679,-0.044693,0.091923,-9.451533,53.227467,1.214911,-0.026123,0.983364,0.046907,0.173529,-17.225643,6.435591,4.74673,-0.065689,0.931779,-0.086648,0.34636,7.894957,87.46666,22.449461,0.027571,0.884092,-0.147135,0.442687,10.156195,52.08165,29.950756,-0.031223,0.850824,0.03942,0.523039,1.64116,6.648806,41.164188,-0.026123,0.983364,0.046907,0.173529,-12.045811,1.799369,-8.920991,-0.031223,0.850824,0.03942,0.523039,14.704397,1.98605,34.626423
4,0.033333,0.002915,0.95745,0.016828,0.288093,0.070004,87.61203,17.274647,-0.034788,0.973213,0.08869,0.209236,0.038364,95.299042,17.535421,-0.008561,0.977679,0.109053,0.179384,-2.140373,115.706085,20.820824,0.068032,0.994668,0.021507,0.074466,-3.310949,136.158752,25.224682,0.132578,0.974971,-0.17251,-0.045766,-1.106458,150.610779,24.140587,-0.00964,0.904934,0.101549,0.413146,-6.8819,130.550354,23.260059,-0.228218,0.701606,0.02011,0.674731,-18.396023,131.712585,10.150023,0.034176,-0.05027,-0.415415,-0.907599,-18.031273,124.434677,-13.587448,0.11613,0.130036,-0.50766,-0.843734,-0.461352,144.730652,-16.822527,-0.017132,0.974197,0.188475,0.12298,0.082808,130.383698,25.88534,0.253538,0.886913,0.198322,-0.331318,17.030697,130.156784,30.188412,-0.041057,0.131245,0.419953,-0.897067,33.217743,122.252716,13.098255,0.030486,-0.138296,0.642064,-0.753458,18.296852,140.859787,8.204714,0.07103,0.93632,0.136443,0.315662,-7.752692,87.755348,12.100973,0.078263,0.991671,-0.044696,0.092012,-9.451489,53.228466,1.215645,-0.026144,0.983363,0.046876,0.173538,-17.225805,6.436595,4.747109,-0.065669,0.931769,-0.086717,0.346373,7.892699,87.468719,22.448318,0.027537,0.884104,-0.147078,0.442686,10.150686,52.084373,29.953751,-0.03116,0.850817,0.039481,0.52305,1.640931,6.649756,41.164021,-0.026144,0.983363,0.046876,0.173538,-12.045546,1.799617,-8.920198,-0.03116,0.850817,0.039481,0.52305,14.704082,1.987563,34.625671
5,0.041667,0.002932,0.957422,0.016743,0.288192,0.069769,87.613052,17.27297,-0.034787,0.973196,0.08868,0.209322,0.038728,95.300102,17.532562,-0.008616,0.977669,0.10899,0.179475,-2.140034,115.705696,20.817122,0.068265,0.994637,0.021724,0.074594,-3.312808,136.158905,25.217884,0.132289,0.975028,-0.172419,-0.04574,-1.101664,150.610443,24.140917,-0.009599,0.904985,0.101458,0.413057,-6.883007,130.549988,23.253355,-0.227987,0.70194,0.02022,0.674458,-18.399733,131.711884,10.145582,0.034477,-0.051501,-0.414975,-0.907719,-18.058451,124.44165,-13.594578,0.116398,0.128874,-0.507381,-0.844042,-0.474469,144.716888,-16.896572,-0.01728,0.974198,0.188385,0.123089,0.0812,130.384155,25.880013,0.253385,0.886983,0.198367,-0.331222,17.027967,130.161926,30.187719,-0.041265,0.131546,0.419585,-0.897185,33.222019,122.263542,13.101581,0.029805,-0.137493,0.642023,-0.753667,18.288813,140.860229,8.197256,0.071008,0.936328,0.136418,0.315655,-7.751862,87.756241,12.097687,0.078271,0.991669,-0.044711,0.092014,-9.44982,53.228645,1.214508,-0.026099,0.98338,0.046831,0.173465,-17.225031,6.437021,4.747268,-0.065624,0.931778,-0.086763,0.346346,7.891399,87.469864,22.448254,0.027505,0.884106,-0.147006,0.442708,10.145458,52.085678,29.955608,-0.031383,0.850806,0.039339,0.523065,1.641096,6.64886,41.161026,-0.026099,0.98338,0.046831,0.173465,-12.047293,1.798438,-8.920446,-0.031383,0.850806,0.039339,0.523065,14.705725,1.986564,34.625717
6,0.05,0.002985,0.957403,0.016647,0.28826,0.068168,87.612343,17.272434,-0.034834,0.973185,0.088659,0.209375,0.038309,95.299438,17.53084,-0.008642,0.977671,0.108882,0.179525,-2.142488,115.706337,20.814215,0.068291,0.99463,0.021819,0.07464,-3.315774,136.160507,25.210384,0.132206,0.975087,-0.172153,-0.045719,-1.10393,150.612152,24.136337,-0.009513,0.905029,0.101378,0.412983,-6.885755,130.551163,23.246702,-0.227705,0.702277,0.020216,0.674203,-18.404678,131.71434,10.14097,0.034485,-0.052823,-0.414217,-0.907989,-18.086893,124.44973,-13.601242,0.115732,0.127591,-0.507465,-0.844279,-0.473104,144.695099,-16.968342,-0.01724,0.974154,0.188666,0.123009,0.07818,130.38591,25.874126,0.253208,0.887178,0.197947,-0.331086,17.025682,130.161636,30.178854,-0.041274,0.131778,0.41964,-0.897125,33.228672,122.260323,13.102534,0.030188,-0.137837,0.641742,-0.753828,18.299789,140.85994,8.188468,0.07094,0.936348,0.136404,0.315616,-7.752716,87.755974,12.096032,0.078302,0.991673,-0.044687,0.091965,-9.446893,53.227402,1.21537,-0.02566,0.983385,0.047012,0.17345,-17.224636,6.436035,4.745943,-0.065581,0.93177,-0.086816,0.346362,7.889052,87.468712,22.448835,0.027487,0.884138,-0.146932,0.442668,10.138722,52.084785,29.958702,-0.0314,0.850795,0.039319,0.523083,1.6394,6.645828,41.159283,-0.02566,0.983385,0.047012,0.17345,-12.051733,1.800268,-8.924561,-0.0314,0.850795,0.039319,0.523083,14.704362,1.983304,34.624798
7,0.058333,0.002989,0.95737,0.016587,0.288372,0.068351,87.611664,17.270317,-0.034868,0.973168,0.088639,0.209454,0.038798,95.29879,17.527857,-0.008685,0.977666,0.108802,0.179597,-2.143602,115.707275,20.810209,0.068136,0.994634,0.02185,0.074728,-3.318374,136.162155,25.202715,0.132232,0.975144,-0.171853,-0.04556,-1.110802,150.614517,24.129477,-0.009398,0.905101,0.101296,0.412848,-6.887832,130.552322,23.239445,-0.227267,0.702612,0.020014,0.674008,-18.410736,131.717438,10.137383,0.034721,-0.053855,-0.413647,-0.90818,-18.115931,124.457382,-13.606522,0.116106,0.126603,-0.507285,-0.844484,-0.48127,144.677902,-17.029331,-0.017487,0.974187,0.188289,0.123294,0.075708,130.387802,25.867962,0.253228,0.887225,0.19819,-0.3308,17.02046,130.171707,30.18392,-0.040955,0.13213,0.419496,-0.897155,33.232334,122.270096,13.11616,0.030036,-0.13757,0.64149,-0.754097,18.303085,140.861435,8.180061,0.070939,0.936334,0.136344,0.315686,-7.751319,87.755081,12.092072,0.078343,0.991673,-0.044678,0.091933,-9.446052,53.225315,1.215287,-0.025857,0.983386,0.046896,0.173449,-17.227407,6.434483,4.744972,-0.065566,0.93176,-0.086857,0.34638,7.888022,87.468246,22.448561,0.02748,0.884168,-0.146894,0.442621,10.135481,52.08469,29.960859,-0.031362,0.850792,0.039297,0.523093,1.638974,6.644621,41.159088,-0.025857,0.983386,0.046896,0.173449,-12.052582,1.796451,-8.924036,-0.031362,0.850792,0.039297,0.523093,14.703647,1.980984,34.624809
8,0.066667,0.002983,0.95734,0.016547,0.288476,0.069425,87.61322,17.269936,-0.034933,0.973154,0.088566,0.209538,0.039919,95.300362,17.526855,-0.008717,0.977654,0.108799,0.179667,-2.144798,115.70916,20.805519,0.067867,0.994656,0.021832,0.074681,-3.321146,136.164032,25.197592,0.13243,0.975188,-0.171442,-0.045591,-1.12143,150.617508,24.123131,-0.009277,0.905174,0.101213,0.412711,-6.890058,130.554031,23.233858,-0.226629,0.702983,0.019603,0.673847,-18.416983,131.721283,10.135524,0.03482,-0.054766,-0.413007,-0.908413,-18.147308,124.465355,-13.609942,0.116531,0.125659,-0.507106,-0.844674,-0.48736,144.659882,-17.079536,-0.017635,0.974182,0.188291,0.123309,0.073095,130.389862,25.86342,0.252907,0.887399,0.198215,-0.330564,17.017532,130.17865,30.180859,-0.041,0.132401,0.419134,-0.897282,33.245251,122.287109,13.123507,0.029878,-0.137267,0.641336,-0.75429,18.305145,140.865509,8.175078,0.070926,0.936338,0.136272,0.315707,-7.749127,87.756332,12.089996,0.078364,0.991676,-0.044647,0.091895,-9.444436,53.225018,1.218216,-0.025592,0.983372,0.047015,0.173533,-17.227379,6.434229,4.745062,-0.065559,0.931714,-0.086908,0.346493,7.887976,87.4701,22.449873,0.027468,0.88413,-0.146833,0.442718,10.132716,52.087116,29.96567,-0.031321,0.850766,0.039355,0.523132,1.638524,6.64528,41.158455,-0.025592,0.983372,0.047015,0.173533,-12.052917,1.798203,-8.924763,-0.031321,0.850766,0.039355,0.523132,14.703716,1.982456,34.624641
9,0.075,0.002844,0.957305,0.016639,0.288587,0.07404,87.61203,17.266506,-0.034977,0.973135,0.08852,0.209643,0.042054,95.299133,17.524168,-0.008768,0.977632,0.108816,0.179771,-2.144913,115.713142,20.801153,0.068178,0.99462,0.022015,0.074828,-3.323931,136.167831,25.193384,0.132171,0.975264,-0.171222,-0.045541,-1.11518,150.620407,24.125277,-0.009149,0.905239,0.101149,0.412588,-6.891943,130.557556,23.228748,-0.226265,0.703341,0.019461,0.6736,-18.422518,131.727478,10.133862,0.034952,-0.055532,-0.412373,-0.908649,-18.177568,124.475273,-13.613014,0.116712,0.124756,-0.506611,-0.845079,-0.494073,144.641891,-17.122669,-0.017816,0.974184,0.188208,0.123393,0.070643,130.393906,25.859842,0.252808,0.887482,0.19834,-0.330339,17.014133,130.188705,30.181292,-0.040857,0.132591,0.418974,-0.897336,33.251678,122.300278,13.131845,0.029944,-0.13694,0.641336,-0.754347,18.307613,140.872055,8.171594,0.071004,0.936301,0.136237,0.315813,-7.743326,87.753181,12.084722,0.07835,0.991644,-0.044756,0.092199,-9.443479,53.221958,1.213403,-0.025917,0.98338,0.047039,0.173436,-17.227116,6.431899,4.748273,-0.065554,0.931718,-0.087068,0.346444,7.891406,87.470871,22.44829,0.027501,0.884134,-0.14675,0.442736,10.132127,52.089859,29.974573,-0.031264,0.85075,0.039445,0.523155,1.63838,6.645882,41.159019,-0.025917,0.98338,0.047039,0.173436,-12.051847,1.798291,-8.922071,-0.031264,0.85075,0.039445,0.523155,14.703846,1.984409,34.624783
