Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.019854,0.954817,0.04023,0.293788,-1.977203,87.269951,17.19838,-0.059079,0.966183,0.130654,0.214311,-2.450636,94.930481,17.699551,-0.028886,0.973862,0.129022,0.184694,-6.028242,115.090431,22.475239,0.023105,0.991382,0.049858,0.118921,-8.20583,135.311966,27.517431,0.074898,0.985683,-0.144553,0.043854,-7.265536,149.93811,27.221008,-0.022199,0.903222,0.132845,0.407492,-11.484648,129.614716,25.313715,0.329951,-0.59053,-0.00147,-0.736481,-23.147051,130.806717,12.338116,0.084995,0.114268,-0.497968,-0.855422,-15.634641,121.184113,-9.284494,0.148457,0.256875,-0.602825,-0.74066,-2.83436,144.521225,-6.315825,-0.016199,0.969791,0.189607,0.152615,-4.560061,129.678757,28.047401,0.280462,0.883844,0.220325,-0.302685,12.103265,129.216141,33.331184,-0.047364,0.14761,0.45122,-0.878845,28.477818,120.21769,16.97666,0.021017,-0.119414,0.651599,-0.748811,15.056966,139.939789,11.681177,0.065904,0.934281,0.148592,0.317327,-9.730501,87.13604,11.92103,0.087744,0.988621,-0.030978,0.118192,-10.775747,52.809288,0.342486,0.002878,0.969326,0.069182,0.235822,-19.376053,6.068378,2.269312,-0.07357,0.921956,-0.085561,0.370491,5.776096,87.403854,22.475729,0.019142,0.867062,-0.131558,0.480135,8.394867,52.084827,30.169212,-0.045454,0.824304,0.047356,0.562329,0.807066,6.201544,40.146183,0.002878,0.969326,0.069182,0.235822,-12.773132,1.897869,-10.926906,-0.045454,0.824304,0.047356,0.562329,14.571649,1.97487,34.873299
1,0.008333,-0.019731,0.954885,0.040259,0.293572,-1.97174,87.267288,17.182047,-0.05894,0.966217,0.130691,0.214176,-2.443381,94.927864,17.684299,-0.028853,0.973893,0.128923,0.184605,-6.015576,115.091309,22.464037,0.023296,0.991406,0.049811,0.118701,-8.190598,135.313995,27.502695,0.075021,0.985596,-0.145212,0.043434,-7.245061,149.939774,27.20524,-0.022244,0.903371,0.132562,0.40725,-11.470286,129.616592,25.300705,0.330454,-0.590522,-0.001176,-0.736263,-23.139519,130.801895,12.330625,0.085595,0.113856,-0.497734,-0.855553,-15.626576,121.1539,-9.280494,0.148506,0.256437,-0.602643,-0.74095,-2.809383,144.484558,-6.344973,-0.016023,0.969882,0.189189,0.152579,-4.54518,129.680603,28.033077,0.280803,0.883779,0.219894,-0.302871,12.118734,129.214539,33.314713,-0.046938,0.147617,0.451361,-0.878794,28.478205,120.197548,16.955305,0.021377,-0.119332,0.651484,-0.748914,15.06389,139.921158,11.650896,0.065962,0.934328,0.148573,0.317186,-9.727508,87.135551,11.908271,0.087705,0.988637,-0.031083,0.118059,-10.778902,52.808952,0.329833,0.002719,0.96935,0.069124,0.235745,-19.376465,6.068015,2.268094,-0.073584,0.922048,-0.085614,0.370248,5.784029,87.399033,22.455826,0.019146,0.86707,-0.131752,0.480068,8.4043,52.080811,30.152506,-0.045181,0.82432,0.047331,0.56233,0.808176,6.202409,40.145576,0.002719,0.96935,0.069124,0.235745,-12.774152,1.896913,-10.928244,-0.045181,0.82432,0.047331,0.56233,14.570517,1.970519,34.871006
2,0.016667,-0.019595,0.954938,0.040296,0.293403,-1.967302,87.266502,17.164103,-0.058867,0.966243,0.130806,0.214005,-2.437018,94.927109,17.667606,-0.028744,0.973951,0.128734,0.184447,-6.006812,115.091934,22.453796,0.023393,0.991435,0.049329,0.118642,-8.175157,135.316925,27.48609,0.075236,0.985506,-0.145697,0.043482,-7.225303,149.942139,27.174849,-0.022264,0.903533,0.132346,0.40696,-11.456998,129.619537,25.287243,0.330693,-0.590522,-0.000688,-0.736156,-23.134464,130.799683,12.324103,0.086075,0.113384,-0.497572,-0.855662,-15.621456,121.126869,-9.275889,0.148749,0.255984,-0.602525,-0.741154,-2.790401,144.45285,-6.373505,-0.01591,0.969958,0.188884,0.152487,-4.530927,129.682846,28.017187,0.281133,0.883656,0.220197,-0.302706,12.134101,129.21524,33.295181,-0.046251,0.147445,0.451312,-0.878885,28.48933,120.188248,16.937048,0.021752,-0.119129,0.651539,-0.748887,15.070841,139.905746,11.624289,0.065969,0.934419,0.148475,0.316961,-9.725031,87.137268,11.893146,0.08766,0.988685,-0.031116,0.117682,-10.781963,52.808632,0.32124,0.00268,0.969361,0.069064,0.235715,-19.374981,6.067145,2.266451,-0.073636,0.922074,-0.085649,0.370164,5.790428,87.395729,22.435059,0.019107,0.866932,-0.131941,0.480266,8.413914,52.078499,30.13522,-0.045124,0.824304,0.047266,0.562363,0.810128,6.204682,40.143505,0.00268,0.969361,0.069064,0.235715,-12.773231,1.894601,-10.929714,-0.045124,0.824304,0.047266,0.562363,14.572149,1.97027,34.870129
3,0.025,-0.019474,0.95498,0.040346,0.293267,-1.962202,87.264481,17.146507,-0.058696,0.966289,0.130862,0.213813,-2.430295,94.925102,17.651356,-0.028779,0.974005,0.128567,0.184273,-5.993127,115.092674,22.442663,0.023514,0.991472,0.049034,0.118435,-8.160698,135.319382,27.468365,0.075686,0.985401,-0.146242,0.043231,-7.206764,149.944138,27.14864,-0.022247,0.903685,0.13207,0.406714,-11.443023,129.621048,25.272703,0.33112,-0.5906,-0.000464,-0.735901,-23.127506,130.796555,12.315475,0.086513,0.113034,-0.497364,-0.855785,-15.619096,121.1017,-9.276236,0.148833,0.2554,-0.602356,-0.741476,-2.773345,144.421326,-6.399944,-0.015892,0.969956,0.188913,0.152462,-4.516028,129.685654,28.000265,0.281482,0.883579,0.219803,-0.30289,12.149276,129.217453,33.277309,-0.04581,0.14724,0.451443,-0.878875,28.489191,120.172295,16.913908,0.022184,-0.119312,0.651745,-0.748666,15.072873,139.892532,11.600346,0.066001,0.934479,0.148413,0.316806,-9.721523,87.137573,11.877842,0.087631,0.988687,-0.031214,0.117664,-10.784006,52.807911,0.309491,0.002593,0.969369,0.069013,0.2357,-19.375345,6.066519,2.264421,-0.073664,0.922091,-0.085688,0.370106,5.797118,87.391396,22.415171,0.019094,0.866922,-0.132111,0.480237,8.421865,52.074951,30.118481,-0.0448,0.824275,0.047316,0.562427,0.811771,6.205359,40.141312,0.002593,0.969369,0.069013,0.2357,-12.773278,1.893075,-10.931296,-0.0448,0.824275,0.047316,0.562427,14.572292,1.966724,34.867416
4,0.033333,-0.019292,0.955047,0.040379,0.293059,-1.960953,87.261009,17.129986,-0.058532,0.966341,0.130888,0.213606,-2.426422,94.9217,17.636248,-0.028765,0.97406,0.128413,0.18409,-5.98227,115.092346,22.431465,0.023746,0.991488,0.048613,0.118427,-8.147195,135.32074,27.451525,0.075876,0.985287,-0.146879,0.043349,-7.185112,149.944717,27.12031,-0.022136,0.903855,0.131608,0.406491,-11.430555,129.621841,25.2589,0.33152,-0.590713,-0.000344,-0.735631,-23.121559,130.793106,12.307162,0.086966,0.112734,-0.49717,-0.855892,-15.619763,121.080269,-9.278767,0.149032,0.254937,-0.602288,-0.741651,-2.760054,144.395096,-6.426766,-0.015837,0.969974,0.188883,0.152388,-4.502543,129.687042,27.983866,0.281726,0.883515,0.219737,-0.302897,12.163613,129.217606,33.258118,-0.045288,0.147066,0.451469,-0.878918,28.49651,120.161758,16.893629,0.022506,-0.119734,0.651625,-0.748694,15.079292,139.879272,11.575916,0.065977,0.934553,0.148368,0.316616,-9.722694,87.137352,11.864808,0.087628,0.988751,-0.031252,0.117121,-10.787008,52.806484,0.3002,0.002307,0.969382,0.068945,0.235671,-19.377405,6.065264,2.263388,-0.07373,0.922042,-0.085773,0.370198,5.800788,87.384666,22.395164,0.019166,0.866845,-0.132167,0.480358,8.426781,52.069973,30.106085,-0.045291,0.824113,0.047055,0.562648,0.806805,6.202051,40.129055,0.002307,0.969382,0.068945,0.235671,-12.773434,1.891744,-10.931357,-0.045291,0.824113,0.047055,0.562648,14.57274,1.965456,34.867653
5,0.041667,-0.019199,0.955108,0.040412,0.292861,-1.955042,87.261475,17.112186,-0.058426,0.966374,0.130965,0.213439,-2.41918,94.922173,17.619446,-0.02876,0.974099,0.128316,0.183954,-5.970764,115.093628,22.419626,0.023922,0.991511,0.04825,0.118343,-8.134052,135.32309,27.436129,0.076125,0.985179,-0.147489,0.043283,-7.165817,149.946426,27.094841,-0.022147,0.903963,0.13141,0.406314,-11.418086,129.623764,25.245567,0.331751,-0.590877,-0.000126,-0.735395,-23.1141,130.790955,12.297985,0.087257,0.112415,-0.496996,-0.856005,-15.621937,121.060669,-9.283434,0.149163,0.254517,-0.602169,-0.741866,-2.749001,144.371017,-6.452288,-0.01585,0.97,0.188885,0.152223,-4.489328,129.689438,27.968628,0.281976,0.883466,0.219531,-0.302957,12.178583,129.221542,33.237484,-0.04501,0.146841,0.451468,-0.87897,28.502686,120.152954,16.871271,0.022717,-0.119861,0.651636,-0.748657,15.081737,139.869827,11.556557,0.066034,0.934619,0.148257,0.316459,-9.719027,87.139496,11.850276,0.087582,0.988757,-0.031333,0.117078,-10.791747,52.806793,0.291891,0.002266,0.969395,0.068982,0.235606,-19.378645,6.065294,2.263633,-0.073714,0.922058,-0.085815,0.370151,5.808943,87.383446,22.374096,0.01905,0.86685,-0.132464,0.480272,8.433115,52.069115,30.087257,-0.044991,0.824257,0.047109,0.562457,0.81017,6.208253,40.14024,0.002266,0.969395,0.068982,0.235606,-12.775901,1.89316,-10.932168,-0.044991,0.824257,0.047109,0.562457,14.5716,1.967841,34.87014
6,0.05,-0.019151,0.955163,0.04053,0.292667,-1.946864,87.262367,17.092276,-0.058379,0.966392,0.131077,0.213303,-2.410725,94.922951,17.601578,-0.02876,0.974136,0.128166,0.183861,-5.961204,115.09626,22.407856,0.024365,0.991511,0.048007,0.118352,-8.122879,135.327332,27.418541,0.076226,0.985064,-0.148211,0.043261,-7.140966,149.949615,27.071705,-0.022087,0.904104,0.131215,0.406069,-11.407513,129.627441,25.23035,0.332149,-0.590994,2.6e-05,-0.735122,-23.110598,130.792542,12.288976,0.087716,0.112129,-0.496798,-0.85611,-15.625271,121.043106,-9.28617,0.149389,0.254053,-0.602031,-0.742091,-2.739114,144.347198,-6.478968,-0.015619,0.970044,0.188759,0.15212,-4.478242,129.693741,27.952089,0.282076,0.883405,0.219692,-0.302926,12.191007,129.219391,33.216114,-0.044621,0.146522,0.451347,-0.879105,28.513245,120.149353,16.848848,0.023053,-0.119981,0.651822,-0.748466,15.082405,139.860489,11.537989,0.066052,0.934738,0.148132,0.316162,-9.713009,87.141731,11.833525,0.087631,0.988752,-0.031388,0.117068,-10.793569,52.806515,0.283351,0.002133,0.969377,0.068907,0.235701,-19.38562,6.066158,2.259787,-0.073689,0.921992,-0.085872,0.370307,5.819281,87.383003,22.351027,0.019008,0.866875,-0.132682,0.480168,8.438986,52.069103,30.067709,-0.044946,0.824285,0.046936,0.562434,0.810865,6.213591,40.141148,0.002133,0.969377,0.068907,0.235701,-12.779227,1.892687,-10.93376,-0.044946,0.824285,0.046936,0.562434,14.570841,1.968206,34.871258
7,0.058333,-0.018923,0.95522,0.040499,0.292499,-1.944008,87.261215,17.074152,-0.058312,0.96642,0.131178,0.21313,-2.404287,94.921967,17.584114,-0.0287,0.974184,0.128057,0.183693,-5.952463,115.09671,22.396177,0.02448,0.991533,0.047418,0.118381,-8.10999,135.329086,27.403358,0.076393,0.984945,-0.148854,0.043482,-7.122678,149.950623,27.039799,-0.021976,0.904225,0.130997,0.405874,-11.396067,129.629135,25.217527,0.332354,-0.591202,0.000247,-0.734861,-23.104849,130.793671,12.281251,0.087967,0.111792,-0.496656,-0.856211,-15.631771,121.026703,-9.290215,0.149555,0.25361,-0.60198,-0.74225,-2.734015,144.326859,-6.503834,-0.015409,0.970077,0.188626,0.1521,-4.465828,129.695175,27.93681,0.282151,0.883346,0.219679,-0.303036,12.203863,129.214554,33.198875,-0.044465,0.14643,0.451238,-0.879185,28.520662,120.143059,16.827002,0.022948,-0.119977,0.651734,-0.748547,15.084044,139.849426,11.516025,0.06603,0.934847,0.148048,0.315884,-9.712161,87.144363,11.818279,0.08759,0.988782,-0.031434,0.116834,-10.796674,52.80714,0.274439,0.001969,0.969398,0.068796,0.235651,-19.384926,6.066379,2.257671,-0.073645,0.922014,-0.085932,0.370247,5.824146,87.378075,22.330023,0.018879,0.866718,-0.132848,0.480412,8.439754,52.064453,30.049383,-0.044915,0.824278,0.04694,0.562446,0.811892,6.212661,40.139946,0.001969,0.969398,0.068796,0.235651,-12.778505,1.890828,-10.935208,-0.044915,0.824278,0.04694,0.562446,14.571801,1.966858,34.870216
8,0.066667,-0.01875,0.955281,0.040445,0.29232,-1.939426,87.259354,17.056046,-0.058253,0.966455,0.131259,0.212937,-2.396832,94.92028,17.566078,-0.028602,0.974231,0.128013,0.183493,-5.942491,115.095284,22.382841,0.024588,0.991572,0.046893,0.118246,-8.094679,135.328369,27.389442,0.076754,0.984818,-0.149524,0.043425,-7.102747,149.949203,27.010769,-0.022075,0.904314,0.130878,0.405708,-11.382591,129.628784,25.205452,0.332412,-0.591475,0.000428,-0.734615,-23.09593,130.787674,12.272793,0.088021,0.111382,-0.496521,-0.856337,-15.638886,121.007919,-9.298425,0.149532,0.253151,-0.601772,-0.742581,-2.728851,144.304016,-6.530851,-0.015384,0.970104,0.188479,0.152113,-4.451175,129.693939,27.921749,0.282405,0.883288,0.219125,-0.303372,12.218407,129.213165,33.184147,-0.044375,0.146307,0.45143,-0.879111,28.517973,120.126656,16.803432,0.02321,-0.120083,0.651672,-0.748575,15.08711,139.840118,11.496275,0.066075,0.934883,0.147931,0.315824,-9.709671,87.145134,11.803211,0.087538,0.988815,-0.031463,0.116582,-10.800711,52.805798,0.266249,0.001684,0.969441,0.068671,0.235513,-19.38393,6.064343,2.255024,-0.073543,0.921986,-0.085923,0.370338,5.83082,87.373573,22.308878,0.018679,0.866369,-0.133051,0.480992,8.439143,52.058758,30.025223,-0.045003,0.82425,0.046793,0.562492,0.81173,6.211379,40.136173,0.001684,0.969441,0.068671,0.235513,-12.778666,1.887118,-10.937901,-0.045003,0.82425,0.046793,0.562492,14.572224,1.963486,34.869652
9,0.075,-0.018619,0.955317,0.040433,0.292212,-1.933576,87.257454,17.038837,-0.058223,0.966492,0.131286,0.212762,-2.388949,94.918465,17.549334,-0.028467,0.974277,0.127994,0.183279,-5.933036,115.09491,22.368498,0.024515,0.991609,0.046415,0.118138,-8.078454,135.328537,27.375895,0.077053,0.984689,-0.150197,0.04348,-7.087252,149.94902,26.982883,-0.022072,0.904443,0.130659,0.405493,-11.368636,129.629623,25.193495,0.332542,-0.591776,0.000469,-0.734314,-23.088091,130.784409,12.266011,0.088102,0.111004,-0.496405,-0.856446,-15.64872,120.994377,-9.306653,0.149572,0.252655,-0.601588,-0.74289,-2.727146,144.288208,-6.557174,-0.015245,0.970162,0.188179,0.152127,-4.435937,129.693298,27.906557,0.282517,0.883237,0.219061,-0.303462,12.233652,129.209351,33.168648,-0.044063,0.1462,0.451391,-0.879165,28.527378,120.118675,16.784418,0.023417,-0.120154,0.6516,-0.74862,15.093085,139.829437,11.474447,0.06613,0.934934,0.147839,0.315703,-9.705093,87.145409,11.787835,0.087488,0.988829,-0.031522,0.116487,-10.803518,52.804642,0.255846,0.001592,0.969457,0.06864,0.235456,-19.382469,6.062696,2.251505,-0.073621,0.922163,-0.086149,0.369829,5.837941,87.369492,22.289839,0.018838,0.866621,-0.133127,0.480511,8.449556,52.058315,30.021727,-0.044585,0.824258,0.046801,0.562513,0.811259,6.213427,40.135754,0.001592,0.969457,0.06864,0.235456,-12.777862,1.885208,-10.941668,-0.044585,0.824258,0.046801,0.562513,14.568779,1.958717,34.866962
