Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.026354,0.941673,0.043422,0.332674,1.242438,87.201881,17.470881,-0.067434,0.961059,0.114692,0.242207,0.638468,94.853683,17.965015,-0.044464,0.969007,0.123824,0.209083,-3.208411,114.892624,21.866159,0.088829,0.986525,-0.017547,0.136275,-6.099069,135.121353,26.504978,0.170369,0.968559,-0.175182,0.046676,-2.982856,149.311401,24.548466,-0.038267,0.90608,0.129629,0.400937,-9.128329,129.323639,24.208082,0.314398,-0.573374,0.060518,-0.754144,-20.942093,129.92868,11.329116,0.152978,0.142259,-0.435894,-0.875418,-12.619821,118.709778,-9.199998,0.23607,0.272919,-0.548735,-0.754107,2.79277,140.164551,-6.122653,-0.052387,0.963953,0.186081,0.182824,-2.363752,129.579697,27.306789,0.258256,0.907883,0.186987,-0.27219,13.858375,130.156036,33.811348,-0.060155,0.205224,0.410093,-0.886616,31.697638,121.039673,19.140934,-0.025107,-0.028902,0.65385,-0.755655,17.579525,139.360138,11.476011,0.078064,0.922057,0.147509,0.349225,-6.048224,87.007317,11.572543,0.089415,0.989912,-0.042544,0.101342,-7.531682,52.784222,-0.262167,-0.048273,0.974856,0.04752,0.21229,-16.361986,6.152373,2.882142,-0.066483,0.934771,-0.081159,0.339405,8.5331,87.396446,23.369221,0.030289,0.902683,-0.148721,0.402651,11.041128,51.952278,30.503801,-0.032142,0.881372,0.043513,0.469316,2.74362,6.579015,42.114502,-0.048273,0.974856,0.04752,0.21229,-9.90613,1.703337,-10.29587,-0.032142,0.881372,0.043513,0.469316,14.938435,2.021443,34.012222
1,0.008333,-0.026327,0.941681,0.043418,0.332654,1.243652,87.202263,17.471588,-0.067394,0.961073,0.114644,0.242183,0.640113,94.854095,17.965811,-0.044425,0.969021,0.123775,0.209058,-3.204762,114.894341,21.865713,0.088925,0.986513,-0.017705,0.136274,-6.09326,135.123734,26.502987,0.170338,0.96855,-0.17526,0.046686,-2.973771,149.312485,24.542349,-0.03818,0.906131,0.12937,0.400916,-9.123198,129.326111,24.206764,0.314456,-0.573489,0.060624,-0.754024,-20.937803,129.930115,11.328518,0.153072,0.142156,-0.43582,-0.875455,-12.622685,118.704163,-9.199638,0.2362,0.272704,-0.548782,-0.754109,2.795614,140.157196,-6.128284,-0.052256,0.964006,0.185839,0.182827,-2.358411,129.581802,27.305046,0.258328,0.90787,0.1869,-0.272226,13.864154,130.155334,33.808765,-0.060082,0.205127,0.410118,-0.886632,31.700605,121.035042,19.137373,-0.024904,-0.028733,0.654081,-0.755469,17.581429,139.356094,11.475045,0.078026,0.922077,0.147559,0.349159,-6.047288,87.008133,11.573577,0.089442,0.989923,-0.042561,0.101202,-7.52772,52.785675,-0.263362,-0.048713,0.974889,0.047293,0.212088,-16.360271,6.15443,2.883541,-0.066448,0.934711,-0.081053,0.339604,8.534594,87.396393,23.369598,0.030191,0.902461,-0.148778,0.403136,11.041347,51.950638,30.496752,-0.03212,0.881324,0.043629,0.469396,2.7438,6.578424,42.111526,-0.048713,0.974889,0.047293,0.212088,-9.905507,1.701824,-10.293799,-0.03212,0.881324,0.043629,0.469396,14.940351,2.023571,34.01033
2,0.016667,-0.026335,0.941691,0.043351,0.332635,1.245856,87.199356,17.472269,-0.067388,0.961084,0.114609,0.242161,0.64255,94.851273,17.965496,-0.044423,0.969038,0.123664,0.209043,-3.201957,114.893616,21.864513,0.088349,0.986565,-0.017858,0.136255,-6.089376,135.124161,26.497429,0.17083,0.968468,-0.175173,0.046919,-2.98573,149.31546,24.530064,-0.038124,0.906228,0.129122,0.400781,-9.119649,129.326172,24.20256,0.314594,-0.573496,0.060678,-0.753957,-20.938183,129.92775,11.327807,0.153228,0.14202,-0.435755,-0.875482,-12.623826,118.695938,-9.197454,0.236227,0.272546,-0.548732,-0.754195,2.799387,140.146362,-6.135309,-0.052191,0.964025,0.185764,0.182823,-2.354767,129.58223,27.300602,0.258467,0.907862,0.186702,-0.272258,13.868078,130.154114,33.803761,-0.060227,0.205336,0.409877,-0.886685,31.700083,121.025261,19.132278,-0.025965,-0.028482,0.654177,-0.755359,17.573641,139.341431,11.461564,0.078002,0.922107,0.147527,0.349099,-6.04531,87.004646,11.574557,0.089274,0.989982,-0.042468,0.100811,-7.525741,52.781235,-0.259631,-0.048689,0.974961,0.047464,0.211726,-16.340488,6.14638,2.883723,-0.066379,0.934891,-0.081126,0.339104,8.537023,87.394066,23.36998,0.030224,0.902587,-0.148748,0.402862,11.041145,51.948513,30.499062,-0.032183,0.881362,0.043525,0.469331,2.745451,6.575641,42.112621,-0.048689,0.974961,0.047464,0.211726,-9.895438,1.698091,-10.299828,-0.032183,0.881362,0.043525,0.469331,14.940956,2.018964,34.010872
3,0.025,-0.026244,0.941703,0.043189,0.332627,1.245193,87.196144,17.474661,-0.067422,0.961097,0.1146,0.242101,0.64403,94.848351,17.966026,-0.044352,0.969075,0.123531,0.208967,-3.201741,114.89167,21.864786,0.088244,0.986585,-0.017942,0.13617,-6.084804,135.123856,26.493263,0.171053,0.968426,-0.175194,0.046897,-2.984158,149.315369,24.522766,-0.038038,0.906271,0.128969,0.400741,-9.116488,129.325836,24.200314,0.314763,-0.573538,0.060797,-0.753845,-20.936384,129.92775,11.326821,0.153401,0.141881,-0.435696,-0.875504,-12.625101,118.686386,-9.194458,0.236222,0.27246,-0.548802,-0.754176,2.802832,140.134644,-6.142191,-0.052084,0.964061,0.185642,0.182784,-2.351038,129.581451,27.297157,0.258537,0.907908,0.186362,-0.272269,13.872707,130.150818,33.798313,-0.060282,0.205397,0.409889,-0.886662,31.70261,121.01371,19.12941,-0.025965,-0.028347,0.654347,-0.755217,17.576828,139.331985,11.456866,0.07798,0.922064,0.147601,0.349187,-6.046173,87.002022,11.577173,0.089291,0.989988,-0.042457,0.100735,-7.522134,52.779938,-0.261401,-0.048265,0.974968,0.047505,0.211779,-16.338142,6.145287,2.881446,-0.06637,0.934856,-0.080986,0.339236,8.536559,87.390274,23.372147,0.030145,0.902556,-0.148735,0.402941,11.042521,51.942982,30.491894,-0.032486,0.881444,0.042906,0.469213,2.753048,6.569287,42.106686,-0.048265,0.974968,0.047505,0.211779,-9.895982,1.695251,-10.302934,-0.032486,0.881444,0.042906,0.469213,14.94659,2.000823,34.008617
4,0.033333,-0.026255,0.941712,0.043123,0.33261,1.247552,87.193863,17.474886,-0.067389,0.961108,0.114601,0.242069,0.646567,94.846146,17.965246,-0.044283,0.969093,0.123467,0.208934,-3.198053,114.891281,21.864813,0.088644,0.986552,-0.017869,0.136153,-6.07762,135.124374,26.491442,0.170871,0.968428,-0.175403,0.046725,-2.965955,149.31398,24.52457,-0.038132,0.906301,0.1289,0.400686,-9.110384,129.326599,24.199339,0.314739,-0.573603,0.060961,-0.753792,-20.931545,129.924286,11.326818,0.153432,0.141739,-0.435675,-0.875532,-12.62497,118.676567,-9.192885,0.236294,0.272313,-0.548821,-0.754192,2.805903,140.123291,-6.147608,-0.05199,0.964093,0.185516,0.182772,-2.344643,129.581482,27.295599,0.258669,0.907917,0.186059,-0.27232,13.879588,130.148636,33.795715,-0.060307,0.205465,0.409961,-0.886611,31.704718,121.001854,19.127064,-0.025931,-0.028168,0.654361,-0.755212,17.582712,139.323257,11.452503,0.077976,0.922067,0.147635,0.349165,-6.044012,86.9991,11.57767,0.089351,0.989996,-0.042458,0.100602,-7.519075,52.777706,-0.263009,-0.049246,0.974924,0.047067,0.211856,-16.340286,6.144083,2.880483,-0.066381,0.934951,-0.081018,0.338963,8.539116,87.388626,23.372103,0.030257,0.902659,-0.148705,0.402712,11.047101,51.941826,30.493568,-0.032412,0.881436,0.04285,0.469239,2.752113,6.567931,42.1036,-0.049246,0.974924,0.047067,0.211856,-9.886433,1.688558,-10.296315,-0.032412,0.881436,0.04285,0.469239,14.945215,1.996993,34.006275
5,0.041667,-0.026251,0.941715,0.043144,0.332599,1.251251,87.192986,17.47533,-0.067368,0.961109,0.11458,0.242078,0.650232,94.845245,17.966022,-0.044345,0.969089,0.123437,0.208959,-3.193206,114.889717,21.864773,0.088839,0.986526,-0.018051,0.136194,-6.075125,135.12291,26.48955,0.170865,0.968431,-0.175392,0.04674,-2.957132,149.310532,24.518391,-0.03791,0.90637,0.128715,0.400609,-9.10715,129.324646,24.197712,0.314954,-0.573613,0.061041,-0.753689,-20.931053,129.926331,11.327895,0.153684,0.141642,-0.435616,-0.875533,-12.625544,118.669678,-9.187341,0.236407,0.272231,-0.54887,-0.754151,2.809311,140.11441,-6.151999,-0.052011,0.964105,0.18547,0.182747,-2.341647,129.58046,27.294415,0.258772,0.907917,0.186044,-0.272233,13.882839,130.148819,33.793797,-0.060105,0.205478,0.409999,-0.886605,31.707674,120.996368,19.128305,-0.02575,-0.028105,0.654497,-0.755103,17.587517,139.317154,11.449389,0.077958,0.922069,0.147794,0.349097,-6.040452,86.998428,11.578279,0.089555,0.989929,-0.042599,0.101026,-7.511049,52.780235,-0.27222,-0.048178,0.974914,0.047311,0.212094,-16.353945,6.151211,2.878688,-0.066371,0.934882,-0.081007,0.339159,8.542954,87.38755,23.372383,0.030335,0.902739,-0.148732,0.402518,11.049082,51.940514,30.493351,-0.031693,0.881346,0.043323,0.469412,2.7489,6.567833,42.104443,-0.048178,0.974914,0.047311,0.212094,-9.904475,1.695354,-10.300144,-0.031693,0.881346,0.043323,0.469412,14.940621,1.999142,34.003765
6,0.05,-0.026281,0.941721,0.043144,0.33258,1.253526,87.193398,17.47518,-0.06735,0.961118,0.114562,0.242058,0.652073,94.845634,17.965727,-0.044223,0.969113,0.123329,0.208938,-3.190512,114.891113,21.864151,0.088685,0.986536,-0.018273,0.136187,-6.066487,135.12587,26.485783,0.171018,0.968402,-0.175367,0.046863,-2.952103,149.313309,24.507668,-0.03794,0.906396,0.128689,0.400556,-9.100284,129.328064,24.195126,0.314983,-0.573679,0.061228,-0.753611,-20.9256,129.928177,11.326536,0.153785,0.141573,-0.43559,-0.875539,-12.624979,118.66288,-9.185926,0.236546,0.272179,-0.548928,-0.754084,2.812636,140.107452,-6.155756,-0.051935,0.964104,0.18541,0.182839,-2.334487,129.58252,27.291298,0.258992,0.907905,0.185615,-0.272357,13.889093,130.148056,33.793171,-0.060282,0.205662,0.41024,-0.886438,31.704926,120.981178,19.125765,-0.025814,-0.027992,0.654285,-0.755289,17.598236,139.311295,11.444845,0.077985,0.922087,0.147789,0.349045,-6.03839,86.998276,11.578409,0.089505,0.989939,-0.042601,0.100972,-7.511531,52.780289,-0.272346,-0.048359,0.974923,0.047257,0.212021,-16.349579,6.150436,2.879791,-0.066395,0.934823,-0.080996,0.339319,8.545442,87.388519,23.371952,0.030319,0.902569,-0.148764,0.402889,11.052245,51.941586,30.493191,-0.032556,0.881329,0.043004,0.469414,2.747435,6.569722,42.104149,-0.048359,0.974923,0.047257,0.212021,-9.900234,1.694232,-10.298985,-0.032556,0.881329,0.043004,0.469414,14.945655,2.004831,34.01112
7,0.058333,-0.026267,0.941732,0.043097,0.332555,1.257006,87.193832,17.47514,-0.067353,0.961118,0.114563,0.242056,0.65602,94.846146,17.965094,-0.044164,0.969117,0.123308,0.208941,-3.186785,114.891945,21.8636,0.088726,0.986535,-0.01837,0.136155,-6.060176,135.127136,26.484922,0.171074,0.968387,-0.175415,0.046808,-2.944405,149.313904,24.50408,-0.037925,0.906433,0.128559,0.400517,-9.094724,129.329666,24.194389,0.315047,-0.573708,0.061391,-0.753548,-20.921179,129.928207,11.326766,0.153938,0.141505,-0.435547,-0.875544,-12.62323,118.654701,-9.182279,0.236726,0.272088,-0.548977,-0.754025,2.816746,140.097122,-6.158519,-0.051863,0.964125,0.18528,0.18288,-2.328864,129.583328,27.290497,0.259103,0.907892,0.185549,-0.272341,13.89446,130.147049,33.79319,-0.060183,0.20573,0.410311,-0.886396,31.707882,120.974304,19.126505,-0.02571,-0.027835,0.654257,-0.755323,17.605539,139.305618,11.441372,0.078092,0.922075,0.147749,0.349069,-6.03523,86.998657,11.578762,0.089432,0.989934,-0.042616,0.101076,-7.516244,52.781021,-0.27205,-0.048021,0.974943,0.047432,0.211968,-16.347996,6.150052,2.881283,-0.066378,0.934749,-0.081002,0.339525,8.549241,87.389015,23.371517,0.030221,0.902335,-0.148799,0.403406,11.053179,51.94199,30.493317,-0.032599,0.881355,0.043006,0.469363,2.748817,6.570548,42.106255,-0.048021,0.974943,0.047432,0.211968,-9.903361,1.696407,-10.300666,-0.032599,0.881355,0.043006,0.469363,14.9465,2.006274,34.012062
8,0.066667,-0.026245,0.941739,0.04305,0.332545,1.258379,87.19323,17.476362,-0.067329,0.961137,0.114517,0.242008,0.657946,94.845619,17.965755,-0.044141,0.969139,0.123246,0.208882,-3.182775,114.889435,21.862417,0.08872,0.98654,-0.018485,0.136112,-6.054428,135.125351,26.481632,0.171169,0.96837,-0.175411,0.046814,-2.938583,149.311615,24.497335,-0.037792,0.906498,0.128419,0.400427,-9.089591,129.327774,24.192179,0.315177,-0.57371,0.061528,-0.753481,-20.918909,129.92807,11.327278,0.154117,0.141417,-0.435486,-0.875558,-12.621916,118.645897,-9.177369,0.236798,0.272003,-0.549088,-0.753951,2.82238,140.086548,-6.161234,-0.05183,0.964138,0.185173,0.182927,-2.323339,129.581421,27.28742,0.259366,0.907887,0.185415,-0.272198,13.899486,130.14447,33.791393,-0.059615,0.205464,0.411103,-0.886129,31.709999,120.956825,19.130514,-0.02355,-0.028507,0.654207,-0.755412,17.636097,139.307953,11.451613,0.078018,0.922121,0.14782,0.348933,-6.033996,86.998131,11.580162,0.089549,0.989937,-0.042623,0.100939,-7.509971,52.781178,-0.273243,-0.048254,0.974913,0.047234,0.212097,-16.352224,6.152251,2.880787,-0.066404,0.934738,-0.081023,0.339544,8.550755,87.388336,23.372562,0.030349,0.90255,-0.14876,0.402929,11.055771,51.941799,30.496424,-0.032312,0.881334,0.043167,0.469406,2.74802,6.570003,42.105556,-0.048254,0.974913,0.047234,0.212097,-9.901963,1.694733,-10.297094,-0.032312,0.881334,0.043167,0.469406,14.944571,2.005913,34.00956
9,0.075,-0.026178,0.941744,0.042921,0.332552,1.258401,87.191498,17.478329,-0.067246,0.961145,0.114481,0.242016,0.659596,94.844116,17.966209,-0.044214,0.969135,0.1232,0.20891,-3.177132,114.886711,21.861889,0.088767,0.986529,-0.018568,0.136144,-6.051482,135.122833,26.47855,0.171291,0.96834,-0.175453,0.046843,-2.933877,149.308426,24.492176,-0.037726,0.906532,0.128266,0.400405,-9.085797,129.324646,24.189529,0.315391,-0.573733,0.061508,-0.753376,-20.915899,129.924744,11.32534,0.154357,0.141437,-0.435401,-0.875554,-12.620062,118.637207,-9.176822,0.236942,0.271972,-0.549071,-0.75393,2.82734,140.074997,-6.164756,-0.051819,0.96416,0.18504,0.182948,-2.319814,129.579437,27.285267,0.259565,0.907868,0.185248,-0.272186,13.902791,130.142838,33.789757,-0.059577,0.205546,0.411211,-0.886063,31.708479,120.944069,19.129999,-0.023591,-0.028287,0.654378,-0.75527,17.639887,139.299149,11.447411,0.078026,0.922119,0.14783,0.348935,-6.033956,86.996788,11.582093,0.089534,0.989938,-0.042587,0.100956,-7.510191,52.780128,-0.272125,-0.048065,0.974927,0.04731,0.212061,-16.350824,6.150657,2.878462,-0.066369,0.934758,-0.080955,0.339512,8.550758,87.386208,23.374565,0.030269,0.902398,-0.148793,0.403265,11.055389,51.938545,30.492956,-0.032529,0.881351,0.04301,0.469374,2.748962,6.567213,42.104809,-0.048065,0.974927,0.04731,0.212061,-9.903386,1.69393,-10.301068,-0.032529,0.881351,0.04301,0.469374,14.946243,2.002076,34.010506
