Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.002942,0.888683,0.073931,0.452513,4.693305,85.527649,14.549353,-0.018132,0.882895,0.146904,0.445632,4.226493,93.013039,15.563984,0.038302,0.892463,0.090464,0.440294,1.602686,108.409714,19.480732,0.013435,0.952374,0.038377,0.30221,1.398458,126.142906,23.01038,0.009577,0.987588,-0.039607,0.15169,2.497179,140.521378,22.668974,0.10031,0.858409,0.171899,0.472781,-0.87732,120.916496,19.105507,0.322835,-0.659695,0.076098,-0.67438,-10.385968,126.890373,5.2361,0.165541,-0.210955,-0.389198,-0.88126,-8.096687,116.637466,-11.069663,0.092001,0.092976,-0.623235,-0.771018,4.768267,129.673386,-21.662741,-0.127648,0.929034,0.124697,0.324117,3.620083,119.823944,24.854786,0.41432,0.773287,0.262677,-0.401706,17.13463,122.614014,36.170017,0.019011,0.190156,0.501026,-0.844069,23.612083,114.278427,19.89731,0.00435,0.182663,0.507567,-0.842016,14.159937,132.901001,12.345466,0.092743,0.882977,0.086924,0.451878,-0.756269,86.193451,7.130196,0.121274,0.937315,-0.060093,0.321127,-3.752568,52.170406,-1.213816,-0.004374,0.965451,0.015921,0.26006,-16.259232,6.865034,0.421,-0.054791,0.833613,-0.123334,0.535608,10.142879,84.861847,21.968508,0.02141,0.804099,-0.117758,0.582323,8.709488,50.983395,31.261707,-0.044256,0.775052,0.00772,0.630299,0.640508,5.302423,38.995205,-0.004374,0.965451,0.015921,0.26006,-9.208858,1.326179,-11.714499,-0.044256,0.775052,0.00772,0.630299,14.627311,0.265434,36.415462
1,0.008333,0.002911,0.888673,0.074104,0.452505,4.694581,85.526596,14.553514,-0.017702,0.882833,0.146736,0.445827,4.226173,93.011597,15.570261,0.03797,0.892309,0.090447,0.440639,1.615962,108.411087,19.48818,0.01321,0.952265,0.038412,0.302557,1.399934,126.145302,23.011961,0.009619,0.987533,-0.039634,0.152037,2.492875,140.524216,22.670372,0.100094,0.858379,0.171968,0.472857,-0.870043,120.916496,19.106926,0.322835,-0.659599,0.076299,-0.674451,-10.377667,126.885269,5.234622,0.165849,-0.210727,-0.388933,-0.881373,-8.084677,116.62812,-11.067952,0.092335,0.09327,-0.623114,-0.77104,4.793467,129.655289,-21.657133,-0.127902,0.928921,0.124606,0.324376,3.623249,119.828056,24.860201,0.414504,0.773194,0.262931,-0.401529,17.129488,122.625923,36.18343,0.018052,0.19067,0.501585,-0.843642,23.60655,114.288437,19.911528,0.002673,0.183002,0.509324,-0.840888,14.189477,132.92717,12.366071,0.092801,0.882869,0.086916,0.45208,-0.755124,86.193336,7.134537,0.121251,0.937337,-0.060066,0.321077,-3.753373,52.170956,-1.211447,-0.004443,0.96547,0.015922,0.259991,-16.257124,6.864744,0.422393,-0.054748,0.83356,-0.123399,0.535679,10.144286,84.859863,21.972492,0.021395,0.804005,-0.117686,0.582468,8.705124,50.982212,31.267715,-0.044256,0.775036,0.007852,0.630317,0.639729,5.299601,38.995251,-0.004443,0.96547,0.015922,0.259991,-9.207707,1.326429,-11.713909,-0.044256,0.775036,0.007852,0.630317,14.627481,0.265507,36.414982
2,0.016667,0.00282,0.888527,0.073904,0.452825,4.685633,85.530243,14.5628,-0.018161,0.882739,0.146703,0.446004,4.217003,93.015709,15.576075,0.038143,0.892276,0.09032,0.440716,1.5941,108.411171,19.484959,0.013572,0.952182,0.038453,0.302797,1.385372,126.145744,23.007387,0.009665,0.987476,-0.039641,0.152403,2.488342,140.524002,22.670599,0.099948,0.858245,0.171813,0.473187,-0.886405,120.917633,19.102461,0.323252,-0.659178,0.076446,-0.674647,-10.383942,126.880882,5.220872,0.166331,-0.21028,-0.388962,-0.881377,-8.07024,116.613914,-11.072597,0.092762,0.093584,-0.62299,-0.771052,4.813548,129.639618,-21.652136,-0.127828,0.928913,0.124708,0.324391,3.605702,119.827667,24.856373,0.414013,0.773521,0.263362,-0.401122,17.11228,122.621788,36.180122,0.016643,0.190914,0.501823,-0.843474,23.617777,114.296341,19.913401,0.001039,0.183027,0.510826,-0.839974,14.214128,132.954651,12.390404,0.09279,0.882798,0.086962,0.452212,-0.758739,86.194237,7.139662,0.121256,0.937273,-0.06008,0.321259,-3.753603,52.172272,-1.209263,-0.004623,0.965466,0.015855,0.260004,-16.258564,6.866345,0.423252,-0.054814,0.833543,-0.123191,0.535747,10.130005,84.866257,21.985939,0.021375,0.803879,-0.117603,0.582659,8.70187,50.985516,31.271601,-0.044126,0.774961,0.007903,0.630417,0.640716,5.300981,38.992188,-0.004623,0.965466,0.015855,0.260004,-9.207008,1.327507,-11.711571,-0.044126,0.774961,0.007903,0.630417,14.628428,0.265691,36.414032
3,0.025,0.002753,0.888427,0.073912,0.453019,4.680742,85.532013,14.568474,-0.018132,0.882643,0.146609,0.446227,4.21094,93.017456,15.581296,0.038046,0.892165,0.090219,0.440971,1.589635,108.411369,19.486683,0.013656,0.952083,0.038428,0.30311,1.378418,126.146873,23.004297,0.009735,0.987422,-0.039614,0.152755,2.484486,140.524918,22.668262,0.099813,0.858161,0.171734,0.473396,-0.891007,120.917664,19.099474,0.323404,-0.658989,0.07669,-0.674731,-10.382448,126.876411,5.21178,0.166616,-0.20992,-0.388872,-0.881449,-8.060575,116.601273,-11.075375,0.093099,0.093843,-0.622952,-0.77101,4.832354,129.624588,-21.645983,-0.127853,0.928849,0.124605,0.324602,3.597883,119.829346,24.856209,0.413908,0.773667,0.263692,-0.400733,17.099327,122.624275,36.185883,0.015637,0.191242,0.502168,-0.843214,23.620316,114.300797,19.924358,-0.000421,0.183094,0.512187,-0.839131,14.237306,132.975067,12.413244,0.092779,0.882693,0.086997,0.452413,-0.760391,86.195244,7.142891,0.121275,0.937196,-0.060116,0.321468,-3.75149,52.173553,-1.20851,-0.004394,0.965443,0.015894,0.260094,-16.259506,6.868464,0.423837,-0.05484,0.833437,-0.123102,0.53593,10.121875,84.86879,21.994057,0.021346,0.803747,-0.11755,0.582853,8.69664,50.986706,31.275269,-0.044161,0.77495,0.007932,0.630428,0.638691,5.300874,38.991528,-0.004394,0.965443,0.015894,0.260094,-9.208139,1.329026,-11.710824,-0.044161,0.77495,0.007932,0.630428,14.626941,0.266855,36.413799
4,0.033333,0.002653,0.888347,0.073859,0.453186,4.677575,85.532913,14.575272,-0.017603,0.882529,0.146476,0.446518,4.206597,93.018494,15.586612,0.037726,0.891967,0.090172,0.441407,1.601436,108.411316,19.494381,0.013531,0.951947,0.038299,0.303556,1.378946,126.147995,23.005342,0.009691,0.987352,-0.039628,0.153205,2.483592,140.526062,22.665707,0.099842,0.858112,0.171661,0.473506,-0.884269,120.916382,19.100138,0.323462,-0.65897,0.077052,-0.674681,-10.37178,126.875282,5.209826,0.166838,-0.209788,-0.388804,-0.881468,-8.051046,116.589592,-11.070828,0.093469,0.094086,-0.622861,-0.77101,4.847892,129.611084,-21.64105,-0.128144,0.928713,0.124507,0.324914,3.599304,119.832108,24.861776,0.414266,0.773605,0.263955,-0.400309,17.090864,122.635796,36.201061,0.015157,0.191729,0.502617,-0.842844,23.613537,114.302299,19.945332,-0.001703,0.183157,0.513216,-0.838487,14.25924,132.988098,12.429876,0.092731,0.882645,0.086995,0.452517,-0.760778,86.194275,7.147485,0.121327,0.937243,-0.060055,0.321322,-3.748021,52.171944,-1.202664,-0.004559,0.965463,0.015888,0.260017,-16.258528,6.867361,0.42465,-0.054827,0.833354,-0.123081,0.536065,10.115929,84.871552,22.003057,0.021301,0.803736,-0.117443,0.582891,8.689229,50.989006,31.282347,-0.044875,0.77471,0.006966,0.630684,0.640169,5.300644,38.992897,-0.004559,0.965463,0.015888,0.260017,-9.207261,1.328971,-11.71055,-0.044875,0.77471,0.006966,0.630684,14.62999,0.259235,36.438236
5,0.041667,0.002616,0.888262,0.073824,0.453359,4.671804,85.532883,14.579823,-0.018211,0.882395,0.146529,0.44674,4.200377,93.018532,15.590352,0.038093,0.891896,0.090025,0.44155,1.576037,108.411232,19.4904,0.01379,0.951859,0.038356,0.303815,1.367171,126.147865,23.002438,0.009709,0.987293,-0.039753,0.153549,2.478916,140.525497,22.667181,0.099735,0.857945,0.171453,0.473906,-0.899369,120.918343,19.096352,0.323785,-0.658698,0.07727,-0.674766,-10.374118,126.872314,5.195214,0.16708,-0.209449,-0.388866,-0.881476,-8.040812,116.575813,-11.07681,0.0937,0.094181,-0.622837,-0.770989,4.86117,129.599075,-21.638123,-0.127913,0.928696,0.124429,0.325084,3.581925,119.830048,24.859009,0.413806,0.773966,0.264262,-0.399883,17.071659,122.626175,36.202335,0.014077,0.19222,0.502724,-0.842687,23.622313,114.301071,19.953562,-0.002754,0.183574,0.513687,-0.838104,14.280216,132.998138,12.444332,0.092691,0.882559,0.086996,0.452692,-0.763663,86.193581,7.149865,0.121351,0.937212,-0.060028,0.321411,-3.746765,52.170753,-1.199742,-0.004551,0.965455,0.01594,0.260042,-16.25868,6.866405,0.423286,-0.054861,0.833275,-0.123058,0.53619,10.10727,84.872177,22.009783,0.021242,0.803732,-0.117351,0.582917,8.682057,50.989487,31.288761,-0.045163,0.774776,0.006826,0.630584,0.642186,5.298853,38.995419,-0.004551,0.965455,0.01594,0.260042,-9.206726,1.329358,-11.712126,-0.045163,0.774776,0.006826,0.630584,14.632779,0.259653,36.440632
6,0.05,0.002562,0.888183,0.073835,0.453512,4.668103,85.532486,14.584008,-0.018291,0.882265,0.146478,0.44701,4.195703,93.01812,15.594238,0.03816,0.891755,0.089936,0.441847,1.568587,108.411392,19.490967,0.013792,0.951747,0.038378,0.304164,1.362135,126.14843,23.001162,0.009705,0.98723,-0.039844,0.153935,2.474406,140.526047,22.66733,0.099764,0.857829,0.171278,0.474174,-0.903292,120.919121,19.094141,0.323982,-0.658592,0.077612,-0.674736,-10.368771,126.872238,5.186328,0.167249,-0.209361,-0.388882,-0.881457,-8.032082,116.563179,-11.07725,0.093863,0.094368,-0.622722,-0.771039,4.871686,129.58667,-21.638643,-0.127883,0.92862,0.124313,0.325357,3.574054,119.830215,24.859745,0.413859,0.774076,0.264514,-0.399449,17.057709,122.625137,36.21059,0.013438,0.19279,0.503015,-0.842394,23.620144,114.296165,19.968559,-0.003577,0.184148,0.513877,-0.837858,14.300182,133.003937,12.454044,0.092667,0.8825,0.087002,0.452811,-0.764803,86.192604,7.152126,0.12139,0.937223,-0.060013,0.321366,-3.745117,52.169537,-1.197487,-0.00452,0.965438,0.01601,0.260101,-16.259855,6.865901,0.423557,-0.054929,0.833312,-0.123015,0.536136,10.10101,84.872368,22.01589,0.021312,0.803867,-0.11733,0.582733,8.681992,50.98946,31.295025,-0.045101,0.774777,0.006902,0.630586,0.639778,5.298647,38.998188,-0.00452,0.965438,0.01601,0.260101,-9.206583,1.330518,-11.711849,-0.045101,0.774777,0.006902,0.630586,14.630344,0.259921,36.442329
7,0.058333,0.002534,0.8881,0.073857,0.453671,4.664401,85.53186,14.588449,-0.018404,0.882141,0.146412,0.447271,4.191284,93.017448,15.598692,0.038229,0.89162,0.08985,0.44213,1.560654,108.411835,19.49136,0.013888,0.951635,0.038402,0.304505,1.356719,126.149239,22.999815,0.009615,0.987168,-0.039971,0.1543,2.472062,140.526672,22.668257,0.099722,0.857725,0.171101,0.474434,-0.907713,120.920166,19.091902,0.324139,-0.658515,0.077826,-0.674711,-10.364678,126.870239,5.176999,0.167396,-0.209219,-0.38885,-0.881477,-8.025372,116.552589,-11.080761,0.093974,0.094456,-0.622741,-0.771,4.8822,129.57518,-21.639454,-0.127836,0.928528,0.124171,0.325692,3.565861,119.83062,24.86031,0.413826,0.774201,0.264842,-0.399023,17.042162,122.623734,36.220325,0.012917,0.193339,0.503192,-0.842171,23.618814,114.294434,19.984219,-0.004036,0.185064,0.513847,-0.837673,14.315835,133.008652,12.462379,0.09275,0.882378,0.086994,0.453033,-0.765832,86.19191,7.154611,0.121349,0.937149,-0.060039,0.321593,-3.749396,52.169823,-1.197854,-0.004823,0.965418,0.016006,0.260171,-16.261801,6.865558,0.423756,-0.054919,0.83316,-0.123013,0.536373,10.094634,84.871811,22.022285,0.021194,0.803746,-0.117229,0.582925,8.672489,50.988792,31.300539,-0.045145,0.774833,0.007027,0.630512,0.642863,5.295262,39.000717,-0.004823,0.965418,0.016006,0.260171,-9.203418,1.33229,-11.709634,-0.045145,0.774833,0.007027,0.630512,14.634048,0.25999,36.441463
8,0.066667,0.002446,0.887976,0.073743,0.453933,4.656494,85.534515,14.595121,-0.018408,0.882014,0.146355,0.44754,4.182685,93.020363,15.6031,0.03829,0.891492,0.089752,0.442404,1.552413,108.410309,19.492064,0.014004,0.951521,0.038591,0.304831,1.350937,126.148178,22.998301,0.009521,0.987111,-0.040207,0.154611,2.468426,140.525604,22.673697,0.099765,0.857588,0.170966,0.474722,-0.912543,120.919228,19.089685,0.324251,-0.658478,0.078038,-0.674669,-10.359457,126.869598,5.16808,0.167581,-0.209203,-0.388817,-0.88146,-8.01954,116.544136,-11.084636,0.094088,0.094658,-0.622769,-0.770939,4.88922,129.563492,-21.64518,-0.127778,0.928442,0.124001,0.326023,3.557389,119.829224,24.860832,0.41386,0.774244,0.265312,-0.398592,17.026518,122.620522,36.229794,0.012622,0.19381,0.503419,-0.841931,23.615417,114.292351,19.998077,-0.004405,0.185633,0.514018,-0.837441,14.330935,133.011505,12.467323,0.092658,0.882333,0.086996,0.453139,-0.769376,86.19252,7.157915,0.12141,0.937187,-0.059988,0.321467,-3.746193,52.16925,-1.192132,-0.004677,0.965438,0.015992,0.2601,-16.26214,6.865802,0.424804,-0.054978,0.833137,-0.122892,0.536431,10.082364,84.876511,22.032326,0.021158,0.803652,-0.117112,0.583078,8.667638,50.991856,31.305773,-0.045911,0.775077,0.007291,0.630154,0.645592,5.295619,38.997807,-0.004677,0.965438,0.015992,0.2601,-9.207206,1.331091,-11.709939,-0.045911,0.775077,0.007291,0.630154,14.64209,0.279854,36.429276
9,0.075,0.00235,0.887819,0.073415,0.454294,4.644177,85.539581,14.603255,-0.018317,0.881891,0.146308,0.447803,4.170922,93.026169,15.605993,0.038382,0.891379,0.089633,0.442646,1.544017,108.409142,19.4923,0.014178,0.951417,0.038667,0.305139,1.346451,126.14753,22.996138,0.009375,0.987057,-0.040356,0.154927,2.468639,140.524689,22.675852,0.099775,0.857456,0.170884,0.474987,-0.916728,120.9188,19.087057,0.32424,-0.6585,0.078261,-0.674627,-10.354585,126.869225,5.159335,0.167696,-0.209152,-0.388716,-0.881495,-8.017114,116.538071,-11.090109,0.094334,0.094636,-0.622748,-0.770929,4.897045,129.554749,-21.651217,-0.127681,0.928354,0.123794,0.326393,3.549936,119.828102,24.860603,0.413795,0.774414,0.265407,-0.398267,17.01136,122.616554,36.239391,0.012482,0.194419,0.503589,-0.841691,23.612413,114.285744,20.013962,-0.004095,0.186534,0.514039,-0.837229,14.345937,133.006958,12.465494,0.092562,0.882282,0.087042,0.453249,-0.775645,86.193733,7.161301,0.121465,0.937196,-0.059958,0.321426,-3.74409,52.169777,-1.188929,-0.00459,0.965409,0.016042,0.260206,-16.263811,6.86723,0.42422,-0.055092,0.833136,-0.122625,0.536482,10.063999,84.885422,22.04521,0.021106,0.80354,-0.117084,0.583241,8.665601,50.997044,31.307468,-0.044291,0.77507,0.008082,0.63027,0.647499,5.299968,38.998611,-0.00459,0.965409,0.016042,0.260206,-9.207046,1.333243,-11.709789,-0.044291,0.77507,0.008082,0.63027,14.636623,0.271446,36.414917
