Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.01996,0.953415,-0.03711,0.298703,3.000709,86.510155,17.580542,-0.0309,0.978644,0.088584,0.182904,3.474306,94.345367,17.117889,0.008972,0.989464,0.02237,0.142757,1.785467,112.207436,20.064882,0.009685,0.994056,0.027801,0.104809,2.035748,134.198257,21.095909,0.143717,0.983726,-0.033869,0.102378,2.635969,149.137802,20.074867,0.006783,0.891938,0.151493,0.42597,-1.991235,128.680862,20.142712,0.357375,-0.596956,-0.00182,-0.718278,-12.900045,131.098312,7.164926,0.156484,0.246137,-0.474979,-0.830256,-6.385942,121.482742,-12.30975,0.276884,0.39878,-0.441752,-0.75443,4.422564,143.36496,-5.736541,-0.05011,0.980279,0.176169,0.07421,5.303535,128.497238,22.288406,0.239007,0.892474,0.049838,-0.379318,22.154015,129.731888,25.082335,-0.114919,0.148702,0.461676,-0.866912,35.713379,120.915726,9.189744,0.074139,-0.127277,0.675538,-0.722463,22.715864,141.404037,5.465593,0.019149,0.956971,0.169371,0.234849,-4.869679,86.662529,12.104565,0.074445,0.950326,-0.007857,0.302119,-3.392642,54.2351,0.634581,-0.005932,0.965672,-0.006515,0.259616,-10.154191,8.51748,-0.754776,-0.077076,0.88852,-0.018494,0.451939,10.871099,86.357773,23.056519,0.003718,0.840466,-0.126276,0.526932,15.011081,52.362476,26.586481,-0.023968,0.854831,0.018034,0.518039,8.569119,7.60248,36.21941,-0.005932,0.965672,-0.006515,0.259616,-2.890617,2.148784,-13.10078,-0.023968,0.854831,0.018034,0.518039,21.667871,2.181403,29.52776
1,0.008333,0.019973,0.953456,-0.037204,0.298562,3.011874,86.509308,17.582092,-0.030894,0.978675,0.088471,0.182794,3.486038,94.344414,17.118015,0.009077,0.989483,0.022144,0.142658,1.798537,112.206741,20.061155,0.011184,0.994872,0.032307,0.095189,2.054931,134.197922,21.082993,0.14401,0.983659,-0.036067,0.101861,2.658891,149.145584,20.191017,0.006792,0.892096,0.151507,0.425634,-1.973731,128.681213,20.132938,0.35736,-0.596965,-0.00164,-0.718278,-12.892342,131.097412,7.16317,0.156635,0.245925,-0.474925,-0.830321,-6.378743,121.476242,-12.3089,0.276975,0.39868,-0.441789,-0.754428,4.437726,143.35817,-5.746926,-0.050176,0.980272,0.176123,0.074367,5.321441,128.496521,22.277168,0.239195,0.892367,0.049738,-0.379465,22.170887,129.732559,25.076691,-0.114769,0.148523,0.461768,-0.866914,35.721104,120.908531,9.180667,0.074267,-0.127346,0.675612,-0.722369,22.724871,141.39917,5.461165,0.019222,0.956978,0.169405,0.234787,-4.860121,86.661499,12.108422,0.074502,0.950301,-0.007764,0.302186,-3.388031,54.235077,0.634962,-0.004851,0.965537,-0.006015,0.260151,-10.151918,8.518118,-0.76461,-0.076827,0.888364,-0.018608,0.452285,10.883869,86.357124,23.055761,0.003593,0.840292,-0.126247,0.527218,15.003782,52.359474,26.586555,-0.023964,0.854862,0.018137,0.517984,8.569713,7.598704,36.221142,-0.004851,0.965537,-0.006015,0.260151,-2.886189,2.155138,-13.11229,-0.023964,0.854862,0.018137,0.517984,21.668137,2.180114,29.526842
2,0.016667,0.020015,0.953498,-0.037211,0.298424,3.024906,86.510201,17.581133,-0.030978,0.978697,0.088483,0.182658,3.49966,94.345268,17.117081,0.00914,0.989506,0.021939,0.142522,1.809523,112.206795,20.060236,0.012731,0.994938,0.036287,0.09284,2.070076,134.198318,21.073498,0.143491,0.983729,-0.038232,0.101128,2.702528,149.151505,20.302114,0.006828,0.892189,0.151505,0.42544,-1.959827,128.681961,20.126715,0.357427,-0.597005,-0.001569,-0.718212,-12.884068,131.098251,7.161702,0.156846,0.245715,-0.474812,-0.830408,-6.372624,121.472298,-12.308733,0.277086,0.398501,-0.441781,-0.754486,4.45395,143.351425,-5.759025,-0.050154,0.980263,0.176171,0.074387,5.33592,128.496811,22.268953,0.239358,0.892279,0.049772,-0.379564,22.185349,129.731842,25.069052,-0.114637,0.148345,0.461887,-0.866898,35.728645,120.902992,9.169798,0.074386,-0.127511,0.675712,-0.722233,22.735056,141.396561,5.455588,0.019281,0.957025,0.169349,0.234633,-4.848637,86.663231,12.109709,0.074563,0.95037,-0.007719,0.301955,-3.383199,54.235638,0.638688,-0.00458,0.965541,-0.006004,0.26014,-10.151463,8.51945,-0.764948,-0.076822,0.888529,-0.018642,0.451958,10.89845,86.35717,23.052555,0.003765,0.840429,-0.12636,0.526971,15.018278,52.359558,26.583771,-0.023756,0.854839,0.018161,0.518031,8.568155,7.601535,36.220436,-0.00458,0.965541,-0.006004,0.26014,-2.889282,2.154691,-13.113806,-0.023756,0.854839,0.018161,0.518031,21.665428,2.180361,29.525959
3,0.025,0.020039,0.953541,-0.03727,0.298276,3.035834,86.50901,17.581787,-0.030964,0.978728,0.088383,0.182541,3.51116,94.343994,17.116892,0.009178,0.989524,0.021794,0.142416,1.82262,112.20517,20.056648,0.01417,0.994831,0.039847,0.09232,2.085864,134.196945,21.063808,0.142731,0.983844,-0.040104,0.100356,2.750004,149.154022,20.402033,0.006898,0.89229,0.151458,0.425243,-1.944865,128.680771,20.119419,0.357522,-0.597001,-0.001509,-0.718168,-12.87483,131.097534,7.159314,0.157097,0.245543,-0.474737,-0.830454,-6.363125,121.46714,-12.308836,0.277362,0.398207,-0.441675,-0.754602,4.471371,143.346115,-5.771152,-0.050276,0.980254,0.176149,0.074468,5.351329,128.495392,22.260117,0.239519,0.892194,0.049704,-0.379671,22.199926,129.73407,25.063614,-0.114544,0.148239,0.461962,-0.866889,35.736015,120.898697,9.161849,0.074375,-0.127564,0.675829,-0.722116,22.743492,141.395157,5.450326,0.019327,0.957067,0.169306,0.234487,-4.839385,86.662277,12.112782,0.074586,0.950393,-0.007792,0.301878,-3.379465,54.233826,0.643491,-0.00605,0.965706,-0.006546,0.259485,-10.151935,8.518067,-0.753778,-0.076791,0.888578,-0.018697,0.451866,10.911054,86.355751,23.050791,0.003875,0.840478,-0.126423,0.526876,15.02766,52.357952,26.584005,-0.023827,0.854854,0.018129,0.518003,8.567004,7.601505,36.22089,-0.00605,0.965706,-0.006546,0.259485,-2.890368,2.149402,-13.10098,-0.023827,0.854854,0.018129,0.518003,21.664351,2.180596,29.526346
4,0.033333,0.020016,0.953576,-0.037315,0.29816,3.048742,86.508598,17.583496,-0.031001,0.978759,0.088247,0.182434,3.523875,94.343536,17.117771,0.009248,0.989541,0.021706,0.14231,1.835391,112.203812,20.052401,0.015515,0.994688,0.043054,0.092201,2.102352,134.195694,21.056131,0.142021,0.983952,-0.041875,0.09957,2.797446,149.155411,20.49357,0.00697,0.892386,0.151396,0.425061,-1.929461,128.680023,20.113478,0.357475,-0.597044,-0.001352,-0.718156,-12.864666,131.097153,7.157866,0.15727,0.245319,-0.474649,-0.830538,-6.355268,121.462212,-12.308809,0.277571,0.398005,-0.441477,-0.754748,4.489034,143.33992,-5.782938,-0.050333,0.980244,0.176185,0.074485,5.367174,128.49382,22.252598,0.239602,0.892116,0.049665,-0.379806,22.215485,129.734222,25.057041,-0.114499,0.1481,0.462001,-0.866897,35.745117,120.895943,9.151384,0.0744,-0.127594,0.675823,-0.722113,22.752575,141.392929,5.445004,0.019376,0.957103,0.169303,0.234338,-4.827821,86.661278,12.116412,0.074692,0.95041,-0.007676,0.301798,-3.372963,54.232872,0.646365,-0.004905,0.965582,-0.006098,0.25998,-10.151518,8.518401,-0.763507,-0.076564,0.888471,-0.018782,0.452112,10.925304,86.355911,23.050583,0.003785,0.840303,-0.126415,0.527159,15.024514,52.355938,26.583099,-0.023868,0.85485,0.018215,0.518006,8.568029,7.59922,36.221512,-0.004905,0.965582,-0.006098,0.25998,-2.889791,2.153502,-13.112556,-0.023868,0.85485,0.018215,0.518006,21.666271,2.181091,29.526472
5,0.041667,0.020036,0.95362,-0.037387,0.29801,3.062646,86.508575,17.583448,-0.031046,0.978784,0.088214,0.182306,3.538333,94.343422,17.116665,0.009272,0.989561,0.02155,0.142192,1.848814,112.204048,20.050093,0.016701,0.99454,0.045824,0.092257,2.117887,134.196213,21.047165,0.141417,0.984034,-0.04339,0.098973,2.840839,149.157593,20.570572,0.006979,0.892474,0.151358,0.424892,-1.914624,128.680603,20.107141,0.357541,-0.597022,-0.001177,-0.718142,-12.854767,131.096573,7.155482,0.157517,0.245091,-0.474594,-0.83059,-6.344171,121.454475,-12.307247,0.277723,0.397819,-0.441331,-0.754875,4.508571,143.332672,-5.795722,-0.050355,0.980237,0.176185,0.074552,5.382516,128.4944,22.244547,0.239769,0.891995,0.04961,-0.379994,22.230413,129.735107,25.051352,-0.114438,0.147948,0.462146,-0.866854,35.749962,120.8909,9.140422,0.074478,-0.127614,0.675893,-0.722037,22.761457,141.392197,5.440145,0.019449,0.957148,0.169254,0.234185,-4.815618,86.661324,12.118814,0.074727,0.950417,-0.007638,0.30177,-3.368181,54.231991,0.650454,-0.004776,0.965581,-0.006018,0.259987,-10.148833,8.517957,-0.763556,-0.076504,0.888596,-0.018886,0.451871,10.940911,86.355827,23.048084,0.003915,0.840404,-0.126456,0.526987,15.034177,52.355488,26.583925,-0.023785,0.854849,0.018203,0.518011,8.567587,7.599822,36.220467,-0.004776,0.965581,-0.006018,0.259987,-2.888235,2.154285,-13.113904,-0.023785,0.854849,0.018203,0.518011,21.665058,2.180142,29.525167
6,0.05,0.020066,0.953651,-0.037546,0.297889,3.074831,86.508659,17.584764,-0.03107,0.97881,0.088154,0.182192,3.551667,94.3433,17.115677,0.009295,0.98958,0.0214,0.142082,1.862105,112.203613,20.046942,0.017778,0.994393,0.048272,0.09239,2.133258,134.196045,21.037575,0.140926,0.984096,-0.044772,0.098442,2.881876,149.158401,20.637154,0.007022,0.892556,0.151304,0.424737,-1.899929,128.680496,20.100063,0.357621,-0.597023,-0.001075,-0.718102,-12.844542,131.096222,7.152148,0.157754,0.244981,-0.474486,-0.830639,-6.333989,121.448639,-12.307871,0.277925,0.397659,-0.441248,-0.754934,4.526317,143.324875,-5.805386,-0.050305,0.980231,0.176212,0.074605,5.397675,128.494308,22.235874,0.23984,0.89191,0.049602,-0.380148,22.245462,129.732956,25.044193,-0.114411,0.14783,0.462234,-0.866831,35.758133,120.886978,9.128419,0.074535,-0.127666,0.675816,-0.722094,22.771935,141.390579,5.433239,0.019498,0.957187,0.169223,0.234044,-4.804785,86.661163,12.12208,0.074784,0.950465,-0.007603,0.301605,-3.362761,54.231216,0.654761,-0.004678,0.965582,-0.005984,0.259988,-10.147632,8.517915,-0.762711,-0.076408,0.888627,-0.018906,0.451826,10.954447,86.356155,23.047451,0.003954,0.840387,-0.126515,0.526999,15.041452,52.354858,26.581398,-0.023635,0.85484,0.018276,0.518031,8.568772,7.600605,36.220406,-0.004678,0.965582,-0.005984,0.259988,-2.888107,2.15442,-13.113776,-0.023635,0.85484,0.018276,0.518031,21.665493,2.18043,29.52405
7,0.058333,0.020101,0.953676,-0.03763,0.297797,3.08695,86.508423,17.584068,-0.031034,0.978821,0.08814,0.182147,3.564643,94.342941,17.113842,0.009264,0.989587,0.021247,0.14206,1.876666,112.202728,20.044806,0.018692,0.994258,0.050434,0.092507,2.147443,134.195465,21.028584,0.140438,0.984151,-0.045978,0.09803,2.917602,149.158386,20.695328,0.007063,0.892644,0.151274,0.424563,-1.885684,128.67955,20.092974,0.357581,-0.59705,-0.00081,-0.718099,-12.835365,131.095215,7.149323,0.15784,0.244794,-0.474419,-0.830716,-6.326222,121.439674,-12.307223,0.277988,0.397417,-0.441262,-0.75503,4.541674,143.314011,-5.813305,-0.050264,0.980223,0.176266,0.07461,5.412026,128.494186,22.228504,0.239923,0.891853,0.049631,-0.380226,22.259935,129.731262,25.036823,-0.114425,0.147866,0.462321,-0.866777,35.768127,120.883224,9.118375,0.074419,-0.127674,0.67556,-0.722344,22.786705,141.389099,5.422995,0.019604,0.957213,0.169075,0.234035,-4.7937,86.661148,12.122874,0.07482,0.950447,-0.007639,0.301654,-3.361216,54.228043,0.663297,-0.006022,0.965728,-0.006523,0.259405,-10.150186,8.515292,-0.752397,-0.076263,0.888598,-0.019004,0.451903,10.967599,86.355698,23.045261,0.003958,0.840397,-0.126525,0.52698,15.042442,52.353138,26.581032,-0.023919,0.854891,0.018105,0.51794,8.569236,7.59913,36.220814,-0.006022,0.965728,-0.006523,0.259405,-2.890958,2.147031,-13.101185,-0.023919,0.854891,0.018105,0.51794,21.666351,2.179017,29.525173
8,0.066667,0.020126,0.953721,-0.037707,0.297641,3.102162,86.508881,17.581377,-0.030496,0.97881,0.088427,0.182159,3.580524,94.343292,17.110044,0.007636,0.989577,0.020747,0.142296,1.909801,112.20192,20.054621,0.018041,0.99416,0.051981,0.092837,2.112518,134.196793,21.006495,0.141764,0.9839,-0.04679,0.098253,2.859851,149.161789,20.71805,0.007892,0.892433,0.151326,0.424973,-1.903153,128.66716,20.076803,0.35826,-0.596635,-0.000456,-0.718105,-12.84046,131.111023,7.127985,0.158519,0.245058,-0.474285,-0.830585,-6.308886,121.432266,-12.309495,0.278054,0.397279,-0.441254,-0.755083,4.558167,143.306976,-5.821771,-0.049524,0.980219,0.17654,0.074511,5.393956,128.507309,22.216438,0.239867,0.892091,0.050406,-0.379601,22.2449,129.719421,25.01742,-0.114584,0.147996,0.462323,-0.866732,35.77586,120.883034,9.111859,0.07436,-0.1277,0.675561,-0.722344,22.796892,141.389206,5.41502,0.019721,0.957279,0.169006,0.233807,-4.78024,86.661774,12.122722,0.074861,0.950402,-0.007535,0.301787,-3.359283,54.227383,0.665357,-0.004813,0.965588,-0.005971,0.259964,-10.148764,8.515069,-0.761593,-0.076176,0.88868,-0.019155,0.45175,10.984564,86.355988,23.040033,0.004052,0.840482,-0.126566,0.526835,15.050009,52.352917,26.581684,-0.023677,0.854845,0.018197,0.518024,8.569126,7.599926,36.221069,-0.004813,0.965588,-0.005971,0.259964,-2.88818,2.152958,-13.112751,-0.023677,0.854845,0.018197,0.518024,21.66571,2.178419,29.525518
9,0.075,0.020186,0.953755,-0.037841,0.29751,3.114157,86.510323,17.580067,-0.030431,0.978834,0.088353,0.182075,3.59397,94.344536,17.106937,0.007568,0.989588,0.020654,0.142235,1.926444,112.202225,20.04925,0.018846,0.994045,0.053761,0.092892,2.126856,134.197327,20.996614,0.141384,0.983945,-0.047721,0.097907,2.893372,149.162323,20.763618,0.007895,0.892506,0.151351,0.42481,-1.88832,128.667053,20.068542,0.358311,-0.596609,-0.000341,-0.718102,-12.830369,131.110519,7.12366,0.158651,0.244967,-0.474239,-0.830613,-6.297358,121.427094,-12.31101,0.278125,0.397165,-0.441314,-0.755082,4.573858,143.300827,-5.829709,-0.049522,0.98021,0.176585,0.074517,5.409069,128.508453,22.207315,0.239911,0.892024,0.050387,-0.379733,22.259989,129.720337,25.008532,-0.114544,0.14787,0.46238,-0.866729,35.785419,120.882843,9.098872,0.074423,-0.127806,0.675545,-0.722334,22.807604,141.389679,5.406968,0.020264,0.957144,0.168992,0.234322,-4.769696,86.663643,12.123518,0.074619,0.950099,-0.007754,0.302793,-3.378619,54.230423,0.659168,-0.005838,0.965737,-0.00642,0.259379,-10.151541,8.51506,-0.748928,-0.076023,0.888633,-0.01929,0.451863,10.998009,86.357002,23.036613,0.004046,0.840443,-0.126562,0.526898,15.04949,52.35268,26.582226,-0.023583,0.854842,0.018262,0.51803,8.568596,7.599595,36.221134,-0.005838,0.965737,-0.00642,0.259379,-2.894878,2.148224,-13.099955,-0.023583,0.854842,0.018262,0.51803,21.664719,2.178273,29.524532
